# ReferenceParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -1 Track 1
0 0 0 0 0 248 0 -13 -1 1 0 1 2.63039e-05 -7.18764e-05 1.94254 0 0 17.6535 
4.37117e-06 1.56306e-06 10 0.000217637 7.69105e-05 248.188 0.0362554 -13 -1 1 0 1 2.66988e-05 -7.27078e-05 1.9485 0 0 16.9098 
1.75918e-05 6.14308e-06 20 0.000439583 0.00014986 248.367 0.0725067 -13 -1 1 0 1 2.71236e-05 -7.35639e-05 1.95507 0 0 16.0737 
3.9822e-05 1.35742e-05 30 0.000665789 0.000218713 248.537 0.108754 -13 -1 1 0 1 2.75343e-05 -7.44376e-05 1.9631 0 0 15.1496 
7.12215e-05 2.36858e-05 40 0.000896223 0.000283356 248.696 0.144998 -13 -1 1 0 1 2.79353e-05 -7.53143e-05 1.97157 0 0 14.1426 
0.000111949 3.63021e-05 50 0.00113085 0.000343627 248.844 0.181238 -13 -1 1 0 1 2.83644e-05 -7.62189e-05 1.98096 0 0 13.0583 
0.000162162 5.1242e-05 60 0.00136962 0.000399355 248.98 0.217475 -13 -1 1 0 1 2.87759e-05 -7.7143e-05 1.99163 0 0 11.9026 
0.00022202 6.83183e-05 70 0.00161251 0.000450387 249.102 0.25371 -13 -1 1 0 1 2.91699e-05 -7.80723e-05 2.00314 0 0 10.6819 
0.00025685 7.78276e-05 75 0.00173548 0.000474071 249.159 0.271826 -13 -1 1 0 1 2.93866e-05 -7.85568e-05 2.00927 0 0 10.0492 
0.000331471 9.77425e-05 85 0.00198451 0.000518151 249.261 0.308056 -13 -1 1 0 1 3.18253e-05 -7.97645e-05 2.02413 0 0 8.74358 
0.000416149 0.000119436 95 0.00223834 0.000562646 249.348 0.344285 -13 -1 1 0 1 3.22474e-05 -8.07539e-05 2.03787 0 0 7.39017 
0.00051106 0.000142799 105 0.00249627 0.000601692 249.421 0.380511 -13 -1 1 0 1 3.2641e-05 -8.17656e-05 2.0531 0 0 5.9964 
0.000616368 0.000167608 115 0.00275824 0.000635059 249.479 0.416736 -13 -1 1 0 1 3.30138e-05 -8.27812e-05 2.06895 0 0 4.56988 
0.000732235 0.000193631 125 0.0030242 0.000662477 249.52 0.452961 -13 -1 1 0 1 3.34064e-05 -8.38301e-05 2.08565 0 0 3.11842 
0.000858823 0.000220625 135 0.00329407 0.000683652 249.546 0.489184 -13 -1 1 0 1 3.37691e-05 -8.48999e-05 2.10374 0 0 1.64993 
0.000996293 0.000248336 145 0.00356775 0.000698334 249.556 0.525407 -13 -1 1 0 1 3.41049e-05 -8.59723e-05 2.12237 0 0 0.172433 
0.0011448 0.0002765 155 0.00384516 0.000706198 249.55 0.56163 -13 -1 1 0 1 3.44628e-05 -8.70768e-05 2.14178 0 0 -1.30601 
0.00130451 0.000304839 165 0.00412616 0.000706943 249.528 0.597853 -13 -1 1 0 1 3.4789e-05 -8.82e-05 2.16237 0 0 -2.77731 
0.00147557 0.000333064 175 0.00441065 0.000700271 249.49 0.634077 -13 -1 1 0 1 3.50855e-05 -8.93224e-05 2.18334 0 0 -4.23346 
0.00165814 0.000360873 185 0.00469846 0.000685867 249.436 0.670302 -13 -1 1 0 1 3.54096e-05 -9.04743e-05 2.20497 0 0 -5.66649 
0.00185235 0.00038795 195 0.00498943 0.000663401 249.367 0.706528 -13 -1 1 0 1 3.57045e-05 -9.16412e-05 2.22744 0 0 -7.06858 
0.00194503 0.000399657 199.5 0.00512135 0.000650601 249.331 0.722831 -13 -1 1 0 1 3.58351e-05 -9.21623e-05 2.23733 0 0 -7.68738 
0.00194757 0.000399962 199.62 0.00512404 0.00065013 249.291 0.723265 -13 -1 1 0 1 3.57541e-05 -9.17678e-05 2.23759 0 0 -6.74581e-26 
0.00195349 0.000400673 199.9 0.00513223 0.000649267 249.291 0.72428 -13 -1 1 0 1 3.57627e-05 -9.17987e-05 2.23821 0 0 0 
0.00195772 0.00040118 200.1 0.00513806 0.000648643 249.289 0.725004 -13 -1 1 0 1 3.57669e-05 -9.18215e-05 2.23866 0 0 0 
0.00196365 0.000401889 200.38 0.00514626 0.000647769 249.289 0.726019 -13 -1 1 0 1 3.57735e-05 -9.18537e-05 2.23931 0 0 1.73841e-25 
0.0019662 0.000402193 200.5 0.00514895 0.000647289 249.25 0.726453 -13 -1 1 0 1 3.57883e-05 -9.19218e-05 2.23959 0 0 19.8506 
0.00217858 0.000427465 210.5 0.00544336 0.000611654 249.464 0.762681 -13 -1 1 0 1 3.60833e-05 -9.31186e-05 2.2629 0 0 19.6159 
0.00240263 0.000451117 220.5 0.00574044 0.000567484 249.675 0.798903 -13 -1 1 0 1 3.63612e-05 -9.43177e-05 2.28585 0 0 19.274 
0.00263844 0.000472807 230.5 0.00604 0.000514537 249.882 0.835121 -13 -1 1 0 1 3.66765e-05 -9.55496e-05 2.30951 0 0 18.8268 
0.00288609 0.000492181 240.5 0.0063418 0.000452599 250.084 0.871335 -13 -1 1 0 1 3.69895e-05 -9.6802e-05 2.33287 0 0 18.2767 
0.00314564 0.000508882 250.5 0.00664561 0.000381515 250.279 0.907544 -13 -1 1 0 1 3.73005e-05 -9.80532e-05 2.35635 0 0 17.6268 
