# ReferenceParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -1 Track 1
0 0 0 0 0 248 0 -13 -1 1 0 1 1.5198e-05 -6.92044e-05 1.94957 0 0 17.6535 
4.20444e-06 8.9142e-07 10 0.000209231 4.35639e-05 248.188 0.0362554 -13 -1 1 0 1 1.54993e-05 -7.00319e-05 1.9556 0 0 16.9098 
1.69038e-05 3.45529e-06 20 0.000421972 8.30744e-05 248.367 0.0725067 -13 -1 1 0 1 1.58289e-05 -7.08833e-05 1.96224 0 0 16.0737 
3.82265e-05 7.52424e-06 30 0.000638166 0.000118414 248.537 0.108754 -13 -1 1 0 1 1.61453e-05 -7.17509e-05 1.97034 0 0 15.1496 
6.82999e-05 1.29266e-05 40 0.000857772 0.000149484 248.696 0.144998 -13 -1 1 0 1 1.64485e-05 -7.26217e-05 1.97889 0 0 14.1426 
0.00010725 1.94861e-05 50 0.00108074 0.00017614 248.844 0.181238 -13 -1 1 0 1 1.67796e-05 -7.35188e-05 1.98835 0 0 13.0583 
0.000155202 2.70217e-05 60 0.00130701 0.000198233 248.98 0.217475 -13 -1 1 0 1 1.70929e-05 -7.44337e-05 1.9991 0 0 11.9026 
0.000212281 3.53469e-05 70 0.00153654 0.000215627 249.102 0.25371 -13 -1 1 0 1 1.73878e-05 -7.53526e-05 2.01069 0 0 10.6819 
0.000245445 3.98078e-05 75 0.0016525 0.000222498 249.159 0.271826 -13 -1 1 0 1 1.7555e-05 -7.58308e-05 2.01686 0 0 10.0492 
0.000316445 4.89537e-05 85 0.00188692 0.000233499 249.261 0.308056 -13 -1 1 0 1 2.21321e-05 -7.72988e-05 2.03395 0 0 8.74358 
0.000396917 5.86904e-05 95 0.00212609 0.000251119 249.348 0.344285 -13 -1 1 0 1 2.2462e-05 -7.82747e-05 2.04778 0 0 7.39017 
0.00048702 6.90239e-05 105 0.0023686 0.000263373 249.421 0.380511 -13 -1 1 0 1 2.27663e-05 -7.92697e-05 2.06311 0 0 5.9964 
0.000586889 7.97351e-05 115 0.00261439 0.000270053 249.479 0.416736 -13 -1 1 0 1 2.30453e-05 -8.02681e-05 2.07904 0 0 4.56988 
0.000696652 9.05957e-05 125 0.00286338 0.000270913 249.52 0.452961 -13 -1 1 0 1 2.33449e-05 -8.12968e-05 2.09585 0 0 3.11842 
0.000816442 0.000101369 135 0.00311546 0.00026569 249.546 0.489184 -13 -1 1 0 1 2.36167e-05 -8.23436e-05 2.11402 0 0 1.64993 
0.000946384 0.000111806 145 0.00337053 0.000254161 249.556 0.525407 -13 -1 1 0 1 2.38583e-05 -8.3392e-05 2.13275 0 0 0.172433 
0.00108661 0.00012165 155 0.00362848 0.000236032 249.55 0.56163 -13 -1 1 0 1 2.41238e-05 -8.44697e-05 2.15226 0 0 -1.30601 
0.00123723 0.000130631 165 0.00388917 0.000211031 249.528 0.597853 -13 -1 1 0 1 2.43576e-05 -8.55638e-05 2.17295 0 0 -2.77731 
0.00139837 0.000138469 175 0.00415245 0.000178899 249.49 0.634077 -13 -1 1 0 1 2.45625e-05 -8.66559e-05 2.19402 0 0 -4.23346 
0.00157014 0.000144873 185 0.00441816 0.000139357 249.436 0.670302 -13 -1 1 0 1 2.47938e-05 -8.77758e-05 2.21576 0 0 -5.66649 
0.00175265 0.000149539 195 0.00468611 9.21099e-05 249.367 0.706528 -13 -1 1 0 1 2.49993e-05 -8.89087e-05 2.23833 0 0 -7.06858 
0.00183965 0.000150716 199.5 0.00480737 6.82848e-05 249.331 0.722831 -13 -1 1 0 1 2.50856e-05 -8.9415e-05 2.24827 0 0 -7.68738 
0.00184203 0.000150735 199.62 0.00480983 6.76154e-05 249.291 0.723265 -13 -1 1 0 1 2.50573e-05 -8.9042e-05 2.24853 0 0 -6.74581e-26 
0.00184758 0.000150778 199.9 0.00481736 6.60739e-05 249.291 0.72428 -13 -1 1 0 1 2.5063e-05 -8.90721e-05 2.24915 0 0 0 
0.00185155 0.000150808 200.1 0.00482271 6.49687e-05 249.289 0.725004 -13 -1 1 0 1 2.50651e-05 -8.90942e-05 2.24961 0 0 0 
0.00185712 0.000150849 200.38 0.00483024 6.34164e-05 249.289 0.726019 -13 -1 1 0 1 2.50705e-05 -8.91254e-05 2.25026 0 0 1.73841e-25 
0.00185951 0.000150865 200.5 0.00483269 6.27391e-05 249.25 0.726453 -13 -1 1 0 1 2.50761e-05 -8.91903e-05 2.25054 0 0 19.8506 
0.00205872 0.000152212 210.5 0.00510272 3.08334e-06 249.464 0.762681 -13 -1 1 0 1 2.52786e-05 -9.03519e-05 2.27396 0 0 19.6159 
0.00226862 0.000151006 220.5 0.0053745 -6.46724e-05 249.675 0.798903 -13 -1 1 0 1 2.54598e-05 -9.15165e-05 2.29701 0 0 19.274 
0.00248926 0.000146922 230.5 0.00564784 -0.000140732 249.882 0.835121 -13 -1 1 0 1 2.56791e-05 -9.27127e-05 2.32078 0 0 18.8268 
