#BLTrackFile VirtualDetector/Det25
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-52.6719 30.4293 105050 8.2933 -13.2618 219.433 774.429 -13 2 1 0 0.6315
-52.0688 -5.22803 105050 -13.946 8.62347 231.264 761.599 -13 3 1 0 0.6315
-14.7127 10.6202 105050 -15.8371 -10.7365 202.512 752.603 -13 10 1 0 0.6315
-50.3066 -35.1493 105050 -9.30988 20.6306 232.269 767.957 -13 12 1 0 0.6315
8.86224 19.8394 105050 -16.2694 -21.9119 194.476 752.939 -13 14 1 0 0.6315
7.44535 28.6575 105050 -55.1452 26.209 326.225 703.013 -13 17 1 0 0.6315
-17.4422 -44.6135 105050 -3.97553 20.5615 235.286 789.399 -13 23 1 0 0.6315
-29.4496 12.8559 105050 13.4557 -10.0117 222.186 777.367 -13 33 1 0 0.6315
-81.0892 49.1274 105050 -14.3901 20.2187 292.48 719.03 -13 39 1 0 0.6315
10.0317 -9.11533 105050 -5.31151 12.3528 237.044 823.622 -13 40 1 0 0.6315
-64.4076 36.4905 105050 7.74005 -17.4154 198.43 872.52 -13 41 1 0 0.6315
87.7076 31.9498 105050 0.464492 5.61337 211.806 949.859 -13 46 1 0 0.6315
43.803 -12.2018 105050 10.554 -5.80371 208.978 774.088 -13 47 1 0 0.6315
4.983 91.33 105050 4.71493 -8.62157 205.806 764.878 -13 49 1 0 0.6315
-26.2317 2.59704 105050 -21.2331 1.04223 209.391 826.579 -13 53 1 0 0.6315
-99.1424 -68.0116 105050 -13.9383 -9.4869 256.611 808.051 -13 55 1 0 0.6315
-34.6046 -17.7343 105050 -26.8567 -1.9453 252.229 762.06 -13 63 1 0 0.6315
-54.6917 5.09837 105050 9.78693 19.1313 214.437 795.717 -13 75 1 0 0.6315
-26.1718 49.3997 105050 -0.24167 3.5849 190.243 820.423 -13 76 1 0 0.6315
-58.2751 41.7617 105050 28.2667 29.2592 256.538 820.047 -13 78 1 0 0.6315
74.0624 32.6306 105050 -23.5081 15.713 215.748 749.865 -13 83 1 0 0.6315
-40.1959 125.027 105050 -27.5634 10.2278 396.828 701.475 -13 84 1 0 0.6315
-5.15096 -47.8185 105050 7.66463 -3.02363 197.849 792.72 -13 89 1 0 0.6315
-17.541 -27.7509 105050 -20.4886 -26.5053 222.412 792.938 -13 90 1 0 0.6315
-49.4406 -28.1527 105050 25.0596 7.47435 209.526 770.649 -13 92 1 0 0.6315
0.53353 -35.1635 105050 -6.24653 -18.4917 259.527 765.271 -13 96 1 0 0.6315
2.85063 4.12799 105050 23.6021 -24.301 197.698 888.212 -13 97 1 0 0.6315
-64.6722 20.2091 105050 -1.94364 3.54434 224.436 872.723 -13 99 1 0 0.6315
-53.9575 -40.0506 105050 1.30484 15.8033 208.012 713.63 -13 103 1 0 0.6315
-50.3738 -63.1831 105050 -0.625474 36.2017 261.833 722.499 -13 107 1 0 0.6315
17.9302 -17.0122 105050 7.66768 -19.5798 218.515 768.039 -13 108 1 0 0.6315
7.83384 -38.8914 105050 6.38785 -1.53554 197.861 758.339 -13 109 1 0 0.6315
-19.3761 -1.42154 105050 14.2435 -13.2435 190.422 777.358 -13 111 1 0 0.6315
-31.842 4.01915 105050 18.8132 -13.6627 214.735 817.355 -13 119 1 0 0.6315
-19.0723 16.2259 105050 7.22478 7.7689 205.379 783.241 -13 122 1 0 0.6315
