# ReferenceParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -1 Track 1
0 0 0 0 0 248 0 -13 -1 1 0 1 1.66788e-05 -6.95606e-05 1.94863 0 0 -7.76634 
4.22985e-06 9.81686e-07 10 0.000210353 4.80084e-05 247.908 0.0362585 -13 -1 1 0 1 1.69926e-05 -7.0389e-05 1.95465 0 0 -9.10843 
1.70214e-05 3.81909e-06 20 0.000424326 9.19638e-05 247.802 0.0725193 -13 -1 1 0 1 1.73351e-05 -7.12417e-05 1.96128 0 0 -10.4007 
3.85279e-05 8.34817e-06 30 0.000641867 0.000131736 247.682 0.108783 -13 -1 1 0 1 1.76642e-05 -7.21105e-05 1.96938 0 0 -11.636 
6.89022e-05 1.43996e-05 40 0.000862934 0.000167209 247.549 0.145049 -13 -1 1 0 1 1.79804e-05 -7.29817e-05 1.97791 0 0 -12.8077 
0.000108297 2.17979e-05 50 0.00108748 0.000198223 247.404 0.181318 -13 -1 1 0 1 1.83244e-05 -7.38779e-05 1.98736 0 0 -13.9092 
0.000156864 3.03619e-05 60 0.00131543 0.00022461 247.247 0.217591 -13 -1 1 0 1 1.86486e-05 -7.47904e-05 1.9981 0 0 -14.9346 
0.000214753 3.99031e-05 70 0.00154675 0.000246218 247.08 0.253867 -13 -1 1 0 1 1.89559e-05 -7.5704e-05 2.00968 0 0 -15.8782 
0.000248435 4.50642e-05 75 0.00166365 0.000255159 246.992 0.272007 -13 -1 1 0 1 1.9129e-05 -7.61785e-05 2.01585 0 0 -16.3176 
0.000320589 5.57012e-05 85 0.00189999 0.000270147 246.81 0.308289 -13 -1 1 0 1 2.34177e-05 -7.76003e-05 2.03264 0 0 -17.1289 
0.000402475 6.70876e-05 95 0.00214104 0.000290802 246.62 0.344576 -13 -1 1 0 1 2.37573e-05 -7.85624e-05 2.04645 0 0 -17.8462 
0.000494272 7.921e-05 105 0.00238549 0.000305942 246.422 0.380867 -13 -1 1 0 1 2.4069e-05 -7.95397e-05 2.06177 0 0 -18.4657 
0.000596136 9.18413e-05 115 0.00263324 0.000315342 246.218 0.417162 -13 -1 1 0 1 2.43549e-05 -8.05157e-05 2.0777 0 0 -18.9839 
