# ReferenceParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -1 Track 1
0 0 0 0 0 248 0 -13 -1 1 0 1 1.66788e-05 -6.95606e-05 1.94863 0 0 -15.5714 
4.2307e-06 9.81876e-07 10 0.000210351 4.80075e-05 247.836 0.0362594 -13 -1 1 0 1 1.69923e-05 -7.03875e-05 1.95465 0 0 -14.6002 
1.70272e-05 3.8203e-06 20 0.000424315 9.19576e-05 247.683 0.0725224 -13 -1 1 0 1 1.73338e-05 -7.12356e-05 1.96128 0 0 -13.549 
3.85443e-05 8.35134e-06 30 0.000641827 0.000131717 247.542 0.108789 -13 -1 1 0 1 1.76612e-05 -7.20965e-05 1.96938 0 0 -12.4233 
6.89333e-05 1.4405e-05 40 0.000862838 0.000167169 247.413 0.145058 -13 -1 1 0 1 1.79752e-05 -7.29567e-05 1.97791 0 0 -11.2295 
0.000108342 2.18048e-05 50 0.00108729 0.000198155 247.298 0.18133 -13 -1 1 0 1 1.83165e-05 -7.38389e-05 1.98736 0 0 -9.97401 
0.000156914 3.03682e-05 60 0.0013151 0.000224511 247.196 0.217605 -13 -1 1 0 1 1.86378e-05 -7.47345e-05 1.9981 0 0 -8.66372 
0.000214789 3.99053e-05 70 0.00154622 0.00024609 247.109 0.253881 -13 -1 1 0 1 1.89419e-05 -7.56289e-05 2.00968 0 0 -7.30584 
0.000248446 4.5062e-05 75 0.001663 0.000255021 247.072 0.27202 -13 -1 1 0 1 1.91134e-05 -7.60926e-05 2.01585 0 0 -6.61137 
0.000320528 5.56872e-05 85 0.00189904 0.000270001 247.007 0.3083 -13 -1 1 0 1 2.33989e-05 -7.74924e-05 2.03264 0 0 -5.19614 
0.000402279 6.70557e-05 95 0.00213972 0.000290678 246.959 0.34458 -13 -1 1 0 1 2.37355e-05 -7.84314e-05 2.04645 0 0 -3.75236 
0.000493858 7.91536e-05 105 0.00238373 0.000305885 246.926 0.380862 -13 -1 1 0 1 2.40458e-05 -7.93849e-05 2.06177 0 0 -2.28795 
0.000595394 9.17545e-05 115 0.00263096 0.000315411 246.909 0.417144 -13 -1 1 0 1 2.43279e-05 -8.03379e-05 2.0777 0 0 -0.81096 
0.000707011 0.000104622 125 0.00288134 0.000319016 246.908 0.453426 -13 -1 1 0 1 2.46363e-05 -8.13166e-05 2.09449 0 0 0.670485 
0.000828826 0.000117511 135 0.00313473 0.00031644 246.923 0.489708 -13 -1 1 0 1 2.49111e-05 -8.23114e-05 2.11265 0 0 2.14824 
0.00096095 0.000130166 145 0.00339103 0.000307465 246.955 0.52599 -13 -1 1 0 1 2.51576e-05 -8.33051e-05 2.13137 0 0 3.61419 
0.00110349 0.000142321 155 0.00365012 0.000291812 247.002 0.56227 -13 -1 1 0 1 2.54301e-05 -8.43267e-05 2.15086 0 0 5.06028 
0.00125653 0.000153701 165 0.00391184 0.000269227 247.065 0.59855 -13 -1 1 0 1 2.56702e-05 -8.53648e-05 2.17154 0 0 6.47855 
0.00142018 0.000164019 175 0.00417606 0.00023947 247.143 0.634827 -13 -1 1 0 1 2.58823e-05 -8.64016e-05 2.1926 0 0 7.86123 
0.00159451 0.00017298 185 0.00444262 0.000202283 247.236 0.671103 -13 -1 1 0 1 2.61221e-05 -8.74686e-05 2.21432 0 0 9.20071 
0.00177959 0.000180279 195 0.00471133 0.000157402 247.343 0.707377 -13 -1 1 0 1 2.63356e-05 -8.85526e-05 2.23688 0 0 10.4897 
0.00186776 0.000182675 199.5 0.00483291 0.000134652 247.395 0.723699 -13 -1 1 0 1 2.64304e-05 -8.90375e-05 2.24681 0 0 11.0513 
0.00187017 0.000182727 199.62 0.00483538 0.000134003 247.356 0.724134 -13 -1 1 0 1 2.64667e-05 -8.94042e-05 2.24707 0 0 9.69004e-26 
0.0018758 0.000182847 199.9 0.00484299 0.000132534 247.356 0.72515 -13 -1 1 0 1 2.64727e-05 -8.94344e-05 2.24769 0 0 0 
