# ReferenceParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -1 Track 1
0 0 0 0 0 248 0 -13 -1 1 0 1 1.66788e-05 -6.95606e-05 1.94863 0 0 -18.164 
4.2311e-06 9.81967e-07 10 0.000210352 4.80075e-05 247.799 0.0362598 -13 -1 1 0 1 1.69925e-05 -7.03885e-05 1.95465 0 0 -18.7335 
1.70311e-05 3.82113e-06 20 0.000424323 9.19571e-05 247.593 0.0725241 -13 -1 1 0 1 1.73346e-05 -7.12395e-05 1.96128 0 0 -19.2003 
3.85598e-05 8.35439e-06 30 0.000641856 0.000131714 247.382 0.108793 -13 -1 1 0 1 1.76631e-05 -7.21052e-05 1.96938 0 0 -19.562 
6.89756e-05 1.44127e-05 40 0.000862904 0.000167156 247.168 0.145067 -13 -1 1 0 1 1.79783e-05 -7.29718e-05 1.97791 0 0 -19.8164 
0.000108435 2.18206e-05 50 0.00108742 0.000198124 246.952 0.181346 -13 -1 1 0 1 1.83211e-05 -7.38618e-05 1.98736 0 0 -19.9622 
0.000157094 3.03961e-05 60 0.00131532 0.000224445 246.734 0.21763 -13 -1 1 0 1 1.8644e-05 -7.47662e-05 1.9981 0 0 -19.9984 
0.000215104 3.99498e-05 70 0.00154656 0.000245963 246.517 0.253918 -13 -1 1 0 1 1.89494e-05 -7.56701e-05 2.00968 0 0 -19.9249 
0.00024886 4.51168e-05 75 0.0016634 0.00025485 246.409 0.272064 -13 -1 1 0 1 1.91202e-05 -7.61391e-05 2.01585 0 0 -19.8471 
0.000321178 5.57647e-05 85 0.00189961 0.000269712 246.194 0.30836 -13 -1 1 0 1 2.34072e-05 -7.75487e-05 2.03264 0 0 -19.6098 
0.000403254 6.71596e-05 95 0.0021405 0.00029022 245.982 0.344661 -13 -1 1 0 1 2.3746e-05 -7.84965e-05 2.04645 0 0 -19.2648 
0.000495265 7.92866e-05 105 0.00238473 0.000305191 245.775 0.380967 -13 -1 1 0 1 2.40556e-05 -7.94584e-05 2.06177 0 0 -18.8139 
0.000597361 9.19169e-05 115 0.00263221 0.000314404 245.573 0.417278 -13 -1 1 0 1 2.43393e-05 -8.04176e-05 2.0777 0 0 -18.2596 
0.000709686 0.000104811 125 0.00288285 0.000317598 245.378 0.453593 -13 -1 1 0 1 2.4646e-05 -8.14009e-05 2.09449 0 0 -17.6048 
0.000832378 0.000117717 135 0.00313651 0.000314497 245.19 0.489912 -13 -1 1 0 1 2.492e-05 -8.23969e-05 2.11265 0 0 -16.8532 
0.000965571 0.000130375 145 0.00339306 0.000304865 245.011 0.526236 -13 -1 1 0 1 2.51649e-05 -8.33884e-05 2.13137 0 0 -16.0088 
0.00110939 0.00014251 155 0.00365238 0.000288406 244.842 0.562564 -13 -1 1 0 1 2.54336e-05 -8.44039e-05 2.15086 0 0 -15.0763 
0.00126396 0.000153836 165 0.00391428 0.000264846 244.683 0.598896 -13 -1 1 0 1 2.56708e-05 -8.54307e-05 2.17154 0 0 -14.0607 
0.00142937 0.000164057 175 0.00417862 0.000233925 244.536 0.635231 -13 -1 1 0 1 2.5879e-05 -8.6451e-05 2.1926 0 0 -12.9677 
0.00160575 0.000172864 185 0.00444519 0.000195367 244.401 0.671569 -13 -1 1 0 1 2.61143e-05 -8.74955e-05 2.21432 0 0 -11.8032 
0.00179316 0.000179936 195 0.00471378 0.000148888 244.279 0.707911 -13 -1 1 0 1 2.63212e-05 -8.85505e-05 2.23688 0 0 -10.5736 
0.00188251 0.000182189 199.5 0.00483526 0.000125342 244.228 0.724265 -13 -1 1 0 1 2.64137e-05 -8.90201e-05 2.24681 0 0 -10.0009 
0.00188496 0.000182237 199.62 0.00483772 0.000124672 244.188 0.724702 -13 -1 1 0 1 2.64512e-05 -8.94035e-05 2.24707 0 0 -8.74378e-26 
0.00189066 0.000182347 199.9 0.00484532 0.000123152 244.188 0.725719 -13 -1 1 0 1 2.64562e-05 -8.94338e-05 2.24769 0 0 0 
0.00189474 0.000182425 200.1 0.00485073 0.000122062 244.187 0.726446 -13 -1 1 0 1 2.64596e-05 -8.94559e-05 2.24815 0 0 0 
0.00190046 0.000182532 200.38 0.00485833 0.000120531 244.187 0.727464 -13 -1 1 0 1 2.64654e-05 -8.94871e-05 2.2488 0 0 -1.22425e-25 
0.00190292 0.000182577 200.5 0.00486079 0.000119853 244.147 0.7279 -13 -1 1 0 1 2.64966e-05 -8.98095e-05 2.24908 0 0 -13.9937 
0.00210767 0.000186306 210.5 0.00513425 6.07888e-05 243.988 0.764248 -13 -1 1 0 1 2.66996e-05 -9.09424e-05 2.27248 0 0 -15.0148 
0.00232381 0.000187441 220.5 0.00540935 -6.88049e-06 243.82 0.8006 -13 -1 1 0 1 2.68831e-05 -9.20657e-05 2.29553 0 0 -15.9533 
