#BLTrackFile VirtualDetector/Det12
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
26.2988 61.1984 50450.2 -1.4217 -32.9252 179.565 154.709 13 20 1 -1 3.89519
23.3174 40.5164 50450.2 3.33617 -7.66862 244.808 180.683 13 562 20 -1 5.00266
94.7551 12.5416 50450.2 0.961965 -54.8063 233.803 171.238 13 636 23 -1 7.22597
-44.5692 -76.4617 50450.2 -29.6023 29.0784 208.873 294.157 13 750 33 -1 6.20948
-53.9174 27.4262 50450.2 29.4628 5.2048 243.748 180.622 13 814 34 -1 1.11424
44.9136 -62.8826 50450.2 -4.32989 11.7131 219.835 199.253 13 858 38 -1 7.07787
-38.5103 7.24602 50450.2 -4.89183 20.0355 180.753 171.233 13 929 43 -1 6.24555
50.6056 88.2353 50450.2 27.2207 -37.6592 415.598 147.433 13 1246 56 -1 4.90929
-72.4018 -102.649 50450.2 -15.587 -6.35748 468.299 146.92 13 1770 81 -1 4.65343
-76.8121 47.1542 50450.2 95.4644 24.5205 368.546 152.926 13 1802 83 -1 5.4579
8.33074 -37.1059 50450.2 -7.01549 9.17402 266.69 151.901 13 1990 89 -1 4.78776
-140.736 76.6891 50450.2 48.4063 75.6111 496.789 150.05 13 2048 91 -1 3.10467
-18.5418 -2.50775 50450.2 -1.86595 -24.0956 274.633 153.715 13 2377 108 -1 3.16736
91.0379 33.4982 50450.2 31.8636 -26.3359 295.894 151.789 13 2405 110 -1 3.98559
37.4002 -9.9431 50450.2 -7.95207 -27.9946 212.915 184.053 13 2701 119 -1 4.371
16.1993 39.5343 50450.2 9.0286 40.6781 406.926 150.502 13 2773 122 -1 5.47307
78.082 82.9769 50450.2 -5.53328 -97.3948 217.318 163.391 13 2774 123 -1 5.83797
120.556 46.3303 50450.2 10.4748 -45.8062 269.862 186.557 13 3148 139 -1 5.33889
-74.1543 68.7412 50450.2 85.0471 14.5147 214.081 172.002 13 3155 140 -1 8.61052
-15.6645 9.33399 50450.2 2.35063 33.9633 340.796 152.782 13 3314 149 -1 4.3893
18.8554 -33.164 50450.2 1.77569 14.2632 192.049 208.176 13 3479 150 -1 8.97324
67.105 -107.879 50450.2 -53.7958 -16.3565 227.92 205.167 13 3522 153 -1 8.78518
-71.7242 38.945 50450.2 39.1362 19.1373 216.957 184.096 13 3555 154 -1 6.37807
-106.641 -42.4299 50450.2 -15.7107 37.6242 277.199 168.75 13 3618 159 -1 4.76841
-21.4519 -50.6946 50450.2 -17.1238 33.9768 180.243 189.654 13 3837 168 -1 7.88388
-65.1803 -28.9967 50450.2 -16.4117 33.9785 206.837 297.443 13 4166 191 -1 9.60226
-19.4464 53.0172 50450.2 12.5767 40.7888 307.316 149.292 13 4219 195 -1 1.76718
-8.2339 -9.46436 50450.2 -37.2832 33.572 256.1 199.213 13 4277 196 -1 9.54745
37.0048 21.1387 50450.2 5.28264 -18.1574 194.388 316.637 13 4367 198 -1 6.34104
3.66024 -53.9222 50450.2 -42.7272 -5.85397 252.018 192.646 13 4444 205 -1 6.26729
-71.9375 -11.4004 50450.2 24.921 58.3526 366.559 148.151 13 4785 226 -1 3.03816
45.2674 -12.7178 50450.2 -31.2213 -32.2578 170.271 165.573 13 4881 232 -1 5.89255
-35.0168 -12.8107 50450.2 -17.2053 4.78366 121.983 158.652 13 4898 233 -1 5.42912
119.022 9.26044 50450.2 -46.93 -106.91 246.996 157.483 13 5234 251 -1 1.28724
-55.8137 38.087 50450.2 16.8055 25.4899 185.018 223.837 13 5870 277 -1 5.1246
-64.3777 -53.2172 50450.2 12.5242 46.3245 196.872 227.088 13 6087 287 -1 6.13271
167.622 54.4042 50450.2 43.4473 -96.763 360.89 149.597 13 6096 290 -1 5.04994
90.089 -76.6881 50450.2 -44.6193 -90.031 296.701 168.156 13 6199 299 -1 6.91139
-22.6321 -40.3926 50450.2 4.49877 3.84744 144.91 154.323 13 6287 307 -1 4.5592
166.306 1.83473 50450.2 -29.9406 -52.7995 272.902 159.761 13 6404 312 -1 5.97016
-87.8174 63.9632 50450.2 26.3953 32.7543 252.539 165.674 13 6416 313 -1 6.39796
81.0227 -103.353 50450.2 -71.6535 -10.2568 296.41 230.198 13 6596 318 -1 8.19438
59.5946 -37.7272 50450.2 -35.0764 -59.223 266.129 205 13 6807 328 -1 1.77848
-25.2961 -51.8404 50450.2 -52.6557 -12.8188 302.334 147.759 13 7021 334 -1 1.24436
-41.1085 21.8001 50450.2 8.77131 5.21785 235.284 208.297 13 7149 338 -1 7.92605
36.2434 66.5345 50450.2 36.77 -58.8749 188.312 152.037 13 7168 339 -1 6.1413
82.3005 66.7073 50450.2 62.3273 -29.804 347.706 147.036 13 7732 362 -1 4.66307
-18.8433 51.0093 50450.2 -7.23548 26.7112 191.216 149.048 13 7827 366 -1 5.39645
128.66 -17.4071 50450.2 -61.7281 -71.548 221.153 155.699 13 7847 369 -1 6.87464
78.1215 117.098 50450.2 27.4914 -63.2721 316.414 155.088 13 8864 409 -1 4.56132
74.6556 24.1623 50450.2 -17.4079 -90.9278 217.456 151.945 13 9042 417 -1 4.02622
29.4228 -38.0687 50450.2 -49.2936 -19.2976 337.446 148.358 13 9096 419 -1 3.00665
28.4531 -69.325 50450.2 -46.357 -13.9925 214.851 183.43 13 9135 421 -1 10.6348
