 #VirtualDetector/det-1                                                          
  output from Ecalc9 version 2 
  settings: 
    particle type:            0
    pzmin/pzmax:    0.0000000000000000      /   0.0000000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    0.0000000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.1500E+00  0.5645E-02  0.2096E-02  0.1381E-03  0.6856E-09 -0.1369E+00  0.1977E+00  0.3823E+00 -0.1733E+01  0.6811E-01 -0.1351E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.7063E-02  0.9647E-02  0.9452E-11  0.2266E-01  0.6737E-09  0.9646E-02 -0.3834E-02  0.1478E-01  0.6589E-01  0.2421E-01 -0.8291E-02  0.1276E+00
     2  0.5000E+00  0.3282E+01  0.2529E-02  0.5382E-03  0.4236E-08 -0.2599E+00  0.1949E+00  0.2019E+01 -0.2060E+01  0.2152E+00 -0.1147E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.9726E-02  0.9647E-02  0.4136E-10 -0.7343E-01  0.2248E-08  0.9602E-02  0.1999E-01  0.6913E-02  0.1535E+00 -0.2462E-01  0.6615E-01  0.2505E+00
     3  0.8500E+00  0.1213E-02  0.3187E-02  0.8397E-03  0.9904E-08 -0.1036E+00  0.2000E+00  0.1792E+01  0.3059E+00  0.3874E+00 -0.1249E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.6305E-02  0.9647E-02  0.6972E-10 -0.5186E-01  0.2147E-08  0.9573E-02  0.1901E-01 -0.1524E-01  0.1656E+00 -0.1477E+00  0.2040E+00  0.3588E+00
     4  0.1200E+01 -0.3277E+01  0.3310E-02  0.9793E-03  0.1317E-07 -0.4247E-01  0.1965E+00  0.1218E+01  0.1572E+01  0.5282E+00 -0.1439E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.4018E-02  0.9647E-02  0.8598E-10 -0.5059E-01  0.2539E-08  0.9576E-02  0.2368E-01 -0.1046E-01  0.2221E+00 -0.8126E-01  0.3133E+00  0.4118E+00
     5  0.1550E+01  0.3063E-02  0.3547E-02  0.1287E-02  0.1916E-07 -0.9825E-01  0.1978E+00  0.2129E+00  0.5372E+00  0.6459E+00 -0.1352E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.5561E-02  0.9647E-02  0.1053E-09 -0.4905E-01  0.2854E-08  0.9574E-02  0.1683E-01 -0.3750E-02  0.1478E+00 -0.1133E-01  0.1071E+00  0.1697E+00
     6  0.1900E+01  0.3280E+01  0.3993E-02  0.1562E-02  0.3072E-07 -0.1240E+00  0.1966E+00  0.4748E+00 -0.9109E+00  0.8039E+00 -0.1384E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.6487E-02  0.9647E-02  0.1335E-09 -0.4511E-01  0.3087E-08  0.9556E-02 -0.7290E-03 -0.1186E-01 -0.3652E-02 -0.7530E-01 -0.2238E+00  0.5113E-01
     7  0.2250E+01 -0.3011E-03  0.4311E-02  0.1732E-02  0.4236E-07 -0.9272E-01  0.1993E+00  0.9940E+00 -0.9286E+00  0.1014E+01 -0.1500E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.5271E-02  0.9647E-02  0.1594E-09 -0.4037E-01  0.3308E-08  0.9552E-02 -0.1394E-01 -0.5020E-03 -0.1406E+00  0.6952E-01  0.2170E-01  0.1104E+00
     8  0.2600E+01 -0.3281E+01  0.4549E-02  0.1852E-02  0.5540E-07  0.1300E-01  0.1955E+00  0.1396E+01  0.2656E+00  0.1168E+01 -0.1620E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.1219E-02  0.9647E-02  0.1777E-09 -0.3568E-01  0.3959E-08  0.9584E-02 -0.1934E-01 -0.3523E-02 -0.2703E+00  0.6296E-01  0.2893E+00  0.2581E+00
     9  0.2950E+01 -0.3170E-03  0.4827E-02  0.2087E-02  0.7133E-07 -0.8593E-01  0.1988E+00  0.6575E+00  0.8861E+00  0.1374E+01 -0.1645E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.4362E-02  0.9647E-02  0.1984E-09 -0.3021E-01  0.4400E-08  0.9603E-02 -0.1520E-01 -0.8443E-02 -0.2641E+00 -0.3372E-01  0.3313E+00  0.2019E+00
    10  0.3300E+01  0.3280E+01  0.4827E-02  0.2076E-02  0.8298E-07 -0.1082E+00  0.1969E+00  0.3101E+00  0.2746E+00  0.1672E+01 -0.1898E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.5111E-02  0.9647E-02  0.2254E-09 -0.3151E-01  0.5515E-08  0.9606E-02 -0.1340E-01  0.4433E-02 -0.1476E+00  0.1250E+00  0.6039E-01  0.1066E+00
