#BLTrackFile VirtualDetector/Det24
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
31.1895 39.395 100850 18.3655 -1.38792 213.422 369.448 13 562 20 -1 5.00266
-11.8067 66.3307 100850 34.0839 -20.7431 208.665 360.459 13 636 23 -1 7.22597
12.1592 28.306 100850 3.09966 -18.6827 199.26 483.335 13 750 33 -1 6.20948
2.51647 -4.39422 100850 -2.68577 -16.919 208.744 369.513 13 814 34 -1 1.11424
-15.7816 -33.3256 100850 -16.0008 -4.50592 209.117 387.448 13 858 38 -1 7.07787
53.3478 -13.7015 100850 -23.4554 -21.0435 210.445 360.392 13 929 43 -1 6.24555
-32.7609 -29.6961 100850 -19.0398 7.57455 226.019 372.249 13 2701 119 -1 4.371
25.4677 -53.9369 100850 -16.911 -13.2206 231.946 396.836 13 3479 150 -1 8.97324
21.4701 8.27784 100850 5.92984 -7.12135 229.672 393.56 13 3522 153 -1 8.78518
-20.6149 -90.4625 100850 -38.5488 21.0559 203.733 372.202 13 3555 154 -1 6.37807
17.6864 -94.6822 100850 -34.5919 15.8842 275.885 357.265 13 3618 159 -1 4.76841
-6.15144 -132.153 100850 -39.4362 51.1662 237.14 378.116 13 3837 168 -1 7.88388
33.9 -6.03226 100850 -19.5347 -8.77929 197.866 486.274 13 4166 191 -1 9.60226
-22.8431 -11.4879 100850 -0.835107 8.17288 184.264 387.338 13 4277 196 -1 9.54745
-70.3022 -32.2403 100850 2.84347 50.7538 201.371 381.312 13 4444 205 -1 6.26729
38.0377 -21.1945 100850 -21.4281 -20.5701 223.756 412.39 13 5870 277 -1 5.1246
17.0894 23.645 100850 31.4539 -11.1082 235.912 415.099 13 6087 287 -1 6.13271
-83.8906 -17.1443 100850 -2.2516 6.22702 279.124 347.551 13 6404 312 -1 5.97016
-61.826 -16.2585 100850 7.5925 28.0176 215.816 418.54 13 6596 318 -1 8.19438
41.6921 34.3191 100850 13.3739 4.10416 236.239 393.711 13 6807 328 -1 1.77848
-1.20635 -4.89444 100850 -3.79892 -23.0456 219.263 397.152 13 7149 338 -1 7.92605
43.3479 -7.27116 100850 2.40244 -13.1104 207.249 372.119 13 9135 421 -1 10.6348
7.89644 9.85715 100850 37.0751 4.88649 217.366 360.289 13 9212 424 -1 4.93997
-45.6159 42.705 100850 26.4094 12.5999 238.925 449.207 13 9380 428 -1 5.37569
45.8829 -55.6162 100850 -17.9174 -8.00024 226.119 385.045 13 9798 460 -1 5.60106
-26.1638 -125.662 100850 -49.6936 19.3113 227.097 442.988 13 10686 497 -1 6.32689
60.6186 -31.7546 100850 -35.4109 -20.7485 222.663 409.397 13 11068 519 -1 6.22706
-2.66248 -30.161 100850 -32.0583 10.832 243.977 433.849 13 11403 534 -1 8.44532
-31.771 -64.2811 100850 -31.8232 -5.47446 221.553 378.478 13 12431 586 -1 6.59573
-66.6832 -19.479 100850 -29.3892 31.9599 227.5 363.313 13 12544 595 -1 6.17295
12.7455 -7.32368 100850 -9.58654 10.9575 181.464 422.856 13 12678 601 -1 6.24573
-43.2976 42.8195 100850 35.6014 16.4956 217.331 412.191 13 13118 623 -1 5.48637
40.1066 -39.023 100850 -18.158 -19.3389 221.432 485.932 13 13236 627 -1 2.78678
3.47919 -55.0179 100850 -19.9345 -4.55822 202.198 439.833 13 13428 635 -1 7.88681
-56.6527 -109.342 100850 -32.5646 62.1548 218.341 333.592 13 13766 651 -1 2.73895
-25.5342 -51.4825 100850 -37.6741 9.63597 224.949 446.179 13 14471 678 -1 5.84083
5.891 -65.665 100850 -32.1508 8.728 204.925 421.304 13 14840 695 -1 8.51353
-1.08716 -26.6724 100850 -28.1746 3.06593 197.631 415.587 13 15374 728 -1 6.64192
-55.2335 -60.7098 100850 -27.0686 25.9117 188.451 331.929 13 15691 748 -1 3.86465
-3.17863 34.2161 100850 28.4236 -27.8404 232.752 347.531 13 15804 753 -1 1.08827
0.871412 -45.7457 100850 -7.7674 2.83769 225.502 382.424 13 15831 754 -1 9.62495
20.0677 13.7511 100850 27.0517 16.9272 208.349 351.539 13 16542 774 -1 5.84497
51.4337 5.52339 100850 -34.6604 -27.8241 227.28 375.14 13 17619 808 -1 7.41063
-42.4717 -127.241 100850 -50.4068 24.894 238.74 424.757 13 17784 819 -1 6.36517
-34.9246 -14.0876 100850 1.94836 16.2129 203.084 363.383 13 17966 825 -1 5.28315
-16.1833 34.7757 100850 35.5213 -17.2565 235.693 421.514 13 18880 862 -1 9.80308
2.09963 0.969716 100850 -0.708378 9.86477 246.118 381.578 13 19342 890 -1 8.99865
8.2596 -69.9078 100850 -52.0383 -33.7278 191.718 436.781 13 20114 927 -1 9.50338
-46.6259 -25.8862 100850 -16.8654 16.9304 191.5 363.234 13 20160 928 -1 7.83648
-19.1841 -31.9587 100850 -25.945 10.9781 186.079 449.096 13 20368 939 -1 5.08384
-14.3608 -2.9995 100850 21.1389 -0.862908 212.934 408.889 13 20601 947 -1 3.6747
15.7439 22.6414 100850 24.6281 -15.8706 240.978 399.886 13 21301 978 -1 9.74532
5.30827 20.1722 100850 13.5671 -14.1634 222.311 412.036 13 22015 1006 -1 5.52133
6.2613 46.7547 100850 16.1645 -19.0461 215.18 369.012 13 22145 1011 -1 4.9675
-15.0298 -27.8239 100850 -13.8435 9.30813 205.963 440.042 13 22551 1029 -1 8.91577
-26.95 -45.4076 100850 7.78269 31.752 175.878 387.605 13 23123 1057 -1 4.74189
13.2162 -35.8999 100850 -27.6058 -18.6262 203.073 375.086 13 24255 1123 -1 2.04198
-52.0308 22.9933 100850 10.4492 22.6234 219.02 436.803 13 24517 1135 -1 1.07431
-26.6988 -15.8433 100850 -15.2685 -15.6548 192.355 359.834 13 24635 1141 -1 7.4546
37.5439 -30.5775 100850 -48.1024 -16.3815 248.477 384.93 13 25683 1180 -1 9.14055
32.5149 -64.1444 100850 -60.1198 -16.2858 242.356 393.489 13 25884 1189 -1 2.66141
48.9607 -69.8935 100850 -50.8278 -18.7094 235.617 360.203 13 26961 1241 -1 5.944
60.2536 10.6753 100850 -7.29448 -15.3707 225.356 372.102 13 27260 1248 -1 7.76917
14.1929 1.88375 100850 -12.3777 11.9203 201.881 532.533 13 27649 1264 -1 3.73102
-1.73184 11.5586 100850 -14.964 -11.4436 232.949 396.497 13 28403 1305 -1 5.01712
10.9441 6.2937 100850 14.4961 15.631 198.707 369.211 13 28996 1335 -1 6.00301
43.6806 -61.602 100850 3.9547 -14.6639 209.177 357.992 13 29008 1337 -1 4.49123
45.2111 -24.0127 100850 -32.8623 -29.4427 225.358 375.185 13 29498 1365 -1 9.97005
34.6503 -56.172 100850 -15.82 -29.0321 233.49 382.028 13 30087 1394 -1 6.62468
-47.814 -86.4911 100850 -38.2326 33.9306 222.28 477.065 13 31177 1441 -1 1.90135
-22.4295 20.0041 100850 19.0702 -19.3173 233.416 458.458 13 32909 1513 -1 5.9205
14.7101 34.3626 100850 -4.25455 -8.37273 184.345 372.13 13 33302 1527 -1 5.20157
-48.5791 -41.1731 100850 -30.7273 19.8944 212.345 384.643 13 33595 1544 -1 7.78847
-9.52084 -35.9048 100850 -23.3297 -3.06843 187.534 369.012 13 34524 1602 -1 8.14178
10.8641 -65.4408 100850 -11.9955 -1.77967 204.355 387.273 13 35402 1641 -1 2.18285
-22.8507 -54.6765 100850 -11.5469 37.2299 207.828 516.985 13 35578 1651 -1 1.07904
4.6108 -7.87371 100850 1.41016 -1.41851 229.526 372.585 13 36475 1687 -1 7.63877
24.9007 35.2198 100850 10.274 -10.9843 257.605 362.987 13 36676 1702 -1 8.84145
30.6114 -48.5873 100850 -46.5753 -9.22337 210.201 387.489 13 36827 1713 -1 5.09684
-23.7699 42.8763 100850 28.3932 20.3791 219.896 375.596 13 36923 1719 -1 5.96425
-20.8353 -39.3277 100850 -9.73224 -3.68489 197.956 461.46 13 37440 1738 -1 3.10271
41.8573 -17.0004 100850 -32.9455 -17.1512 200.679 384.401 13 37829 1755 -1 6.0007
43.3798 -46.1975 100850 -17.1871 -45.6383 267.905 353.975 13 37852 1756 -1 5.13574
-27.1827 -85.3273 100850 -57.5861 -4.07328 219.703 421.456 13 38297 1768 -1 5.61081
-7.028 -69.1363 100850 -42.334 1.19793 183.613 458.493 13 38398 1775 -1 5.63757
-53.2563 -4.09103 100850 13.0636 56.5223 187.614 458.71 13 38652 1790 -1 3.07838
-27.3816 -57.3493 100850 -18.6605 23.4493 224.646 372.23 13 38743 1795 -1 6.42744
-44.1455 -78.5465 100850 -25.556 22.4808 225.732 390.63 13 39019 1807 -1 6.34603
-27.9762 -35.6166 100850 10.3365 10.3414 218.537 366.064 13 39246 1823 -1 1.89094
21.5574 -11.8792 100850 21.4185 -24.1821 217.43 391.064 13 40497 1876 -1 1.01281
-46.403 -43.8271 100850 -16.1151 59.9179 209.752 390.719 13 40524 1877 -1 2.68636
22.4269 -85.8114 100850 -56.3083 -0.832882 198.983 396.999 13 41813 1940 -1 5.20918
23.3546 -75.5433 100850 -51.162 23.6049 196.643 375.317 13 42685 1978 -1 9.231
-1.99386 73.163 100850 32.8635 -17.1274 221.012 350.761 13 42724 1982 -1 4.70294
-70.7564 -8.68542 100850 23.6979 67.8412 217.958 387.701 13 42796 1986 -1 7.63393
4.32837 31.8365 100850 5.21709 -9.51521 199.393 384.638 13 42894 1993 -1 5.23363
-82.5922 16.7031 100850 12.1182 49.1203 225.827 363.328 13 43069 1998 -1 4.07117
-0.899107 -54.1731 100850 -35.1874 2.29302 198.812 376.379 13 43502 2015 -1 7.2631
-48.6737 -19.5006 100850 3.21962 7.17139 198.183 504.867 13 43503 2016 -1 1.47554
19.8801 -43.5619 100850 -28.1273 -10.5277 213.396 381.659 13 43744 2024 -1 5.2518
-44.1853 -32.7276 100850 -2.47136 23.1017 169.761 369.026 13 44336 2049 -1 5.10983
96.6031 -5.54666 100850 -24.6853 -39.8865 202.636 367.326 13 44351 2050 -1 5.38595
62.5428 -91.6448 100850 -47.8078 -28.7666 264.376 332.029 13 44743 2062 -1 2.58691
-6.61921 14.6746 100850 37.948 -18.8257 255.767 353.337 13 45183 2076 -1 5.61173
23.5131 -45.6207 100850 -12.502 -8.58886 217.7 378.596 13 45335 2088 -1 6.18315
11.3904 50.1031 100850 12.3239 -10.9268 212.687 462.147 13 45437 2092 -1 9.39428
-4.05773 -10.8242 100850 -18.3525 -3.41787 188.025 378.552 13 45704 2106 -1 5.38479
7.68478 -47.754 100850 -3.08773 -37.3771 235.262 418.213 13 45941 2115 -1 5.85283
15.5063 -20.6684 100850 -13.4046 5.93751 210.605 366.069 13 46350 2136 -1 5.74495
-21.0962 7.59472 100850 8.72345 -1.54865 215.96 504.65 13 46693 2155 -1 1.53421
-55.2654 -86.7045 100850 -42.8958 28.5204 228.789 369.136 13 46909 2166 -1 5.69456
-12.922 -109.141 100850 -44.152 24.9548 230.105 365.818 13 47050 2171 -1 2.18464
36.1638 33.6125 100850 1.27318 -6.58927 203.34 387.904 13 47841 2208 -1 6.37174
9.56177 -23.1638 100850 -25.9466 -22.2657 232.315 402.836 13 48073 2220 -1 9.70514
37.6997 67.1552 100850 24.1697 2.82409 221.394 393.721 13 48417 2234 -1 5.9968
-41.0454 46.2036 100850 55.0884 7.33847 205.188 471.019 13 49380 2275 -1 4.89733
5.80333 26.3022 100850 -3.14484 -9.45772 254.533 366.047 13 49382 2276 -1 1.87897
-31.4201 69.4878 100850 20.8701 37.6761 222.356 378.531 13 50485 2333 -1 7.70458
-81.4672 3.10581 100850 10.9146 52.2157 219.211 381.795 13 51183 2357 -1 5.93834
-1.95892 -39.2744 100850 -26.0871 7.47827 224.994 477.071 13 51444 2375 -1 9.08681
32.8042 2.63746 100850 -7.22561 -11.7242 210.319 390.955 13 51569 2384 -1 7.36642
-20.1104 -7.00729 100850 -13.6636 7.48797 225.887 440.226 13 51574 2385 -1 8.92078
-70.9247 54.0587 100850 14.2333 32.4235 207.305 387.747 13 52017 2407 -1 7.30628
-46.5211 -46.7984 100850 -12.3616 30.82 201.509 397.126 13 52436 2435 -1 5.38915
17.1364 -31.0428 100850 -13.0661 -22.4162 245.057 378.222 13 52824 2457 -1 1.66168
41.3639 -69.2536 100850 -62.3583 2.30844 224.045 405.667 13 53044 2467 -1 8.35203
33.6939 -0.605345 100850 -11.241 -21.6277 201.91 532.488 13 53114 2469 -1 9.9332
-69.3377 -15.8993 100850 42.5559 60.5328 194.266 437.186 13 53384 2483 -1 6.00192
-71.4021 64.7135 100850 22.3365 34.0659 217.61 446.158 13 53798 2501 -1 5.00374
61.3514 -1.80275 100850 -6.76232 -46.1876 219.95 341.264 13 54810 2551 -1 6.79404
76.3321 -79.4797 100850 -54.659 -35.0325 252.194 368.913 13 56023 2601 -1 7.47498
13.7088 -30.7222 100850 -3.89884 -2.56235 257.446 360.343 13 56025 2602 -1 5.00915
35.2342 4.96892 100850 14.985 -30.4979 221.763 433.489 13 56238 2612 -1 3.7637
-5.47331 -43.7163 100850 -13.7022 -5.36776 209.866 381.558 13 56700 2634 -1 5.25689
-12.9592 -10.5478 100850 9.97637 2.83691 207.472 394.097 13 57001 2646 -1 2.18911
4.78975 -6.329 100850 7.75557 -24.1642 194.329 378.182 13 59140 2740 -1 1.19119
71.6528 94.0995 100850 48.6357 -20.9987 244.414 354.209 13 59567 2765 -1 7.00591
-24.8228 -0.724668 100850 10.9877 11.9332 222.055 363.082 13 60122 2793 -1 4.69069
59.4981 23.5229 100850 -16.098 -26.8034 192.107 334.873 13 60233 2798 -1 6.26803
-34.7367 -8.56443 100850 18.5865 18.6735 199.726 363.044 13 60931 2832 -1 7.64905
53.6166 -26.8732 100850 -25.0872 -38.5699 241.201 353.754 13 60951 2835 -1 2.38296
