#BLTrackFile VirtualDetector/Det449
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
64.3933 -48.1951 44850.2 -23.3182 -10.9487 265.509 167.196 -13 9 1 0 1
-56.5607 -30.2423 44850.2 -4.94111 3.54648 234.675 168.572 -13 15 1 0 1
38.7903 -21.6246 44850.2 -16.1958 -0.635445 281.181 167.259 -13 19 1 0 1
53.4947 -53.8388 44850.2 -21.0981 2.0589 260.178 167.09 -13 21 1 0 1
53.0898 -37.5586 44850.2 -32.711 1.35476 267.107 168.211 -13 22 1 0 1
-55.7873 21.1024 44850.2 -10.3924 3.18603 220.541 168.738 -13 24 1 0 1
-18.6488 -55.0524 44850.2 6.03654 10.881 250.192 168.358 -13 37 1 0 1
24.0774 -98.8024 44850.2 12.1881 -10.7094 249.284 168.217 -13 38 1 0 1
60.2433 -38.9939 44850.2 5.30647 -19.9566 248.978 167.321 -13 40 1 0 1
62.0616 -89.4965 44850.2 -10.1413 9.53343 253.627 167.123 -13 41 1 0 1
-12.6661 17.8182 44850.2 -10.206 -0.143899 254.545 168.326 -13 43 1 0 1
48.7182 -76.0366 44850.2 -3.72075 -2.27495 296.971 167.615 -13 46 1 0 1
80.5539 -1.99143 44850.2 -4.01692 12.6319 274.488 167.7 -13 47 1 0 1
-44.123 16.5432 44850.2 -3.74607 2.30313 207.431 168.809 -13 49 1 0 1
45.7772 -53.4792 44850.2 -16.6715 6.90206 249.177 167.086 -13 51 1 0 1
9.7081 -39.4327 44850.2 -34.9947 11.6675 241.94 167.175 -13 54 1 0 1
68.381 -110.207 44850.2 -19.7335 10.049 298.674 167.44 -13 61 1 0 1
5.6978 -78.6226 44850.2 -11.6957 -13.5584 249.458 167.176 -13 65 1 0 1
-55.734 -40.9107 44850.2 -0.114904 27.9894 216.911 167.487 -13 66 1 0 1
34.0823 -74.9451 44850.2 -10.1088 5.03174 220.21 167.208 -13 70 1 0 1
-88.9191 -29.2026 44850.2 1.35465 -1.70578 203.271 167.427 -13 73 1 0 1
-64.1573 -31.6617 44850.2 -31.5722 -14.2617 234.958 167.389 -13 75 1 0 1
33.587 -66.8249 44850.2 -9.19882 7.69796 257.593 167.04 -13 82 1 0 1
47.4839 -40.6249 44850.2 -22.9051 4.58686 264.518 168.134 -13 85 1 0 1
38.1018 -97.0729 44850.2 -13.2914 -6.33779 251.312 167.171 -13 89 1 0 1
-12.9321 -96.7153 44850.2 -19.2058 5.79847 230.966 167.359 -13 92 1 0 1
24.3457 -80.3219 44850.2 -25.9485 -0.775402 243.39 167.32 -13 94 1 0 1
49.7473 -3.01128 44850.2 24.4282 -5.45993 248.912 167.844 -13 97 1 0 1
-9.27938 -80.7376 44850.2 -0.411974 -10.0848 287.367 167.892 -13 100 1 0 1
