# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.731368 -1.13023 199.895 0 -13 -2 1 0 1 0.0742529 -0.077735 -1.9919 0 0 0 
-11.2894 14.0922 0.4995 0.744693 -1.11801 199.895 0.0018847 -13 -2 1 0 1 0.074312 -0.0778721 -1.98611 0 0 0 
-11.2894 14.0922 0.5005 0.74472 -1.11798 199.895 0.00188848 -13 -2 1 0 1 0.0743121 -0.0778723 -1.9861 0 0 0 
-10.2581 14.2045 100.494 3.38846 1.60982 199.865 0.379181 -13 -2 1 0 1 0.0786646 -0.0972309 -0.689683 0 0 0 
-7.81238 15.5966 200.452 6.54708 3.69609 199.759 0.756473 -13 -2 1 0 1 0.0616768 -0.109295 0.714143 0 0 0 
-3.54729 17.48 300.342 10.5866 3.25578 199.593 1.13376 -13 -2 1 0 1 0.0294884 -0.104558 2.00417 0 0 0 
2.64109 18.1955 400.145 13.7268 -1.02282 199.426 1.51106 -13 -2 1 0 1 0.00199368 -0.0666535 2.93689 0 0 0 
9.48704 16.0795 499.883 12.7927 -7.4339 199.352 1.88835 -13 -2 1 0 1 0.0115256 -0.00671459 3.28243 0 0 0 
14.7164 11.1806 599.621 7.69192 -11.4116 199.426 2.26564 -13 -2 1 0 1 0.0595915 0.0308709 2.93818 0 0 0 
17.1665 5.45898 699.425 2.43907 -10.7784 199.594 2.64293 -13 -2 1 0 1 0.106741 0.0255396 2.00633 0 0 0 
17.6612 0.845379 799.315 0.0814967 -7.44886 199.761 3.02022 -13 -2 1 0 1 0.12725 -4.34976e-05 0.713206 0 0 0 
17.6928 -1.92055 899.275 0.343369 -3.61434 199.867 3.39752 -13 -2 1 0 1 0.125442 -0.0204594 -0.6912 0 0 0 
18.1321 -2.79102 999.269 1.37043 0.103982 199.895 3.77481 -13 -2 1 0 1 0.10639 -0.0257699 -1.98561 0 0 0 
18.8811 -1.89803 1099.26 1.34676 3.28961 199.868 4.1521 -13 -2 1 0 1 0.0643956 -0.0186142 -2.92518 0 0 0 
19.2152 0.1867 1199.24 -0.179124 4.60759 199.847 4.52939 -13 -2 1 0 1 0.000547941 -0.0133306 -3.27666 0 0 0 
18.7098 2.23781 1299.22 -1.65959 3.16322 199.868 4.90669 -13 -2 1 0 1 -0.0628935 -0.019687 -2.93561 0 0 0 
17.8276 3.05161 1399.21 -1.58789 -0.0701151 199.894 5.28398 -13 -2 1 0 1 -0.104083 -0.0272338 -2.00399 0 0 0 
17.3011 2.10097 1499.2 -0.479945 -3.7486 199.864 5.66127 -13 -2 1 0 1 -0.122514 -0.0217246 -0.710349 0 0 0 
17.2147 -0.710847 1599.16 -0.167175 -7.49345 199.759 6.03856 -13 -2 1 0 1 -0.124219 -0.000985177 0.693669 0 0 0 
16.6902 -5.32292 1699.05 -2.46933 -10.7321 199.596 6.41585 -13 -2 1 0 1 -0.104368 0.0248903 1.98678 0 0 0 
14.2418 -11.0088 1798.85 -7.65499 -11.3275 199.432 6.79315 -13 -2 1 0 1 -0.0586081 0.0307929 2.92585 0 0 0 
9.04233 -15.8715 1898.6 -12.7208 -7.38251 199.358 7.17044 -13 -2 1 0 1 -0.0119966 -0.00588345 3.27964 0 0 0 
2.22798 -17.9761 1998.34 -13.681 -1.02669 199.429 7.54773 -13 -2 1 0 1 -0.00349537 -0.0651385 2.94452 0 0 0 
-3.95096 -17.2735 2098.14 -10.5953 3.2091 199.593 7.92502 -13 -2 1 0 1 -0.0317379 -0.102963 2.01935 0 0 0 
-8.2331 -15.4247 2198.03 -6.60385 3.60047 199.758 8.30231 -13 -2 1 0 1 -0.0645395 -0.108041 0.729511 0 0 0 
-10.7142 -14.0994 2297.99 -3.46564 1.43293 199.865 8.67961 -13 -2 1 0 1 -0.0819126 -0.0966873 -0.67481 0 0 0 
-11.776 -14.1016 2397.98 -0.774401 -1.39955 199.894 9.0569 -13 -2 1 0 1 -0.0774341 -0.0783827 -1.97518 0 0 0 
-11.4534 -15.3059 2497.97 2.06776 -3.08489 199.866 9.43419 -13 -2 1 0 1 -0.0499842 -0.0467336 -2.92086 0 0 0 
-9.83045 -16.7912 2597.95 4.13556 -2.46948 199.842 9.81148 -13 -2 1 0 1 -0.0122715 0.00543662 -3.28039 0 0 0 
-7.73187 -17.5249 2697.92 3.77899 -0.388834 199.864 10.1888 -13 -2 1 0 1 0.0151278 0.0643364 -2.94813 0 0 0 
-6.46425 -17.2584 2797.91 0.990804 1.29023 199.893 10.5661 -13 -2 1 0 1 0.0293933 0.105087 -2.02272 0 0 0 
-6.9035 -16.3664 2897.91 -2.79113 2.23891 199.868 10.9434 -13 -2 1 0 1 0.0428649 0.119155 -0.731868 0 0 0 
-9.20708 -14.9107 2997.87 -6.27275 3.83194 199.765 11.3206 -13 -2 1 0 1 0.0611918 0.11064 0.672509 0 0 0 
-12.8982 -12.1897 3097.76 -8.03438 7.40819 199.601 11.6979 -13 -2 1 0 1 0.0736909 0.080482 1.97192 0 0 0 
-16.6164 -7.27596 3197.57 -6.07871 12.2045 199.435 12.0752 -13 -2 1 0 1 0.0564853 0.0371335 2.91728 0 0 0 
-18.2961 -0.367462 3297.31 -0.19136 14.7026 199.359 12.4525 -13 -2 1 0 1 0.00173356 0.0133699 3.27915 0 0 0 
-16.7815 6.60678 3397.05 5.84747 12.4396 199.427 12.8298 -13 -2 1 0 1 -0.0543499 0.0338717 2.95289 0 0 0 
-13.1069 11.6501 3496.85 8.09022 7.65284 199.59 13.2071 -13 -2 1 0 1 -0.0737203 0.0763904 2.03415 0 0 0 
-9.33011 14.4636 3596.74 6.54085 3.95279 199.754 13.5844 -13 -2 1 0 1 -0.0618554 0.1072 0.747441 0 0 0 
-6.85896 15.9582 3696.7 3.18164 2.295 199.862 13.9617 -13 -2 1 0 1 -0.0428898 0.116816 -0.656852 0 0 0 
-6.20872 16.8934 3796.69 -0.554841 1.43321 199.894 14.339 -13 -2 1 0 1 -0.0286672 0.104551 -1.96003 0 0 0 
-7.27679 17.2768 3896.68 -3.44907 -0.0622759 199.87 14.7163 -13 -2 1 0 1 -0.0149308 0.0663124 -2.91191 0 0 0 
-9.27352 16.7361 3996.66 -4.07479 -2.05827 199.848 15.0936 -13 -2 1 0 1 0.0104407 0.00866632 -3.27961 0 0 0 
-10.9342 15.4324 4096.64 -2.25782 -2.79973 199.868 15.4709 -13 -2 1 0 1 0.0465038 -0.0445624 -2.95638 0 0 0 
-11.3807 14.319 4196.63 0.495073 -1.31723 199.895 15.8482 -13 -2 1 0 1 0.0741625 -0.0781702 -2.03751 0 0 0 
-11.345 14.3192 4200.5 0.601181 -1.22439 199.895 15.8628 -13 -2 1 0 1 0.0746559 -0.0792327 -1.99277 0 0 0 
-11.345 14.3192 4200.5 0.601209 -1.22437 199.895 15.8628 -13 -2 1 0 1 0.0746561 -0.079233 -1.99276 0 0 0 
