# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-12.2945 13.0917 0 0.731734 -1.1308 199.995 0 -13 -2 1 0 1 0.0800284 -0.0719565 -1.99182 0 0 0 
-12.2896 13.0924 0.4995 0.744192 -1.11771 199.995 0.00188449 -13 -2 1 0 1 0.0800977 -0.0720861 -1.98602 0 0 0 
-12.2896 13.0924 0.5005 0.744217 -1.11768 199.995 0.00188826 -13 -2 1 0 1 0.0800978 -0.0720864 -1.98601 0 0 0 
-11.3088 13.2489 100.494 3.18211 1.79003 199.967 0.379139 -13 -2 1 0 1 0.0859469 -0.0906036 -0.689632 0 0 0 
-9.0171 14.7862 200.454 6.15757 4.11573 199.863 0.75639 -13 -2 1 0 1 0.0700212 -0.103678 0.714162 0 0 0 
-4.96148 16.96 300.347 10.1904 4.01452 199.7 1.13364 -13 -2 1 0 1 0.0376502 -0.101552 2.00414 0 0 0 
1.08868 18.1386 400.154 13.6379 0.0445521 199.534 1.51089 -13 -2 1 0 1 0.00719955 -0.0664556 2.93678 0 0 0 
8.01674 16.5748 499.897 13.2345 -6.36663 199.46 1.88814 -13 -2 1 0 1 0.0115334 -0.00670966 3.28223 0 0 0 
13.5754 12.1294 599.639 8.52426 -10.7199 199.531 2.26539 -13 -2 1 0 1 0.0557749 0.0340503 2.93792 0 0 0 
16.4617 6.63858 699.443 3.29855 -10.5409 199.695 2.64264 -13 -2 1 0 1 0.102675 0.0323463 2.00604 0 0 0 
17.3383 2.07126 799.333 0.730099 -7.46926 199.859 3.0199 -13 -2 1 0 1 0.125012 0.00845028 0.712935 0 0 0 
17.6299 -0.721285 899.292 0.737287 -3.67853 199.965 3.39715 -13 -2 1 0 1 0.125002 -0.0121409 -0.691435 0 0 0 
18.2085 -1.61099 999.285 1.54106 0.0954163 199.994 3.7744 -13 -2 1 0 1 0.106826 -0.0189335 -1.9858 0 0 0 
18.9964 -0.710145 1099.28 1.34476 3.32221 199.968 4.15165 -13 -2 1 0 1 0.0647761 -0.0145968 -2.92534 0 0 0 
19.3054 1.38724 1199.25 -0.255716 4.62149 199.946 4.5289 -13 -2 1 0 1 0.000538328 -0.0132979 -3.27678 0 0 0 
18.7722 3.43552 1299.23 -1.67255 3.14659 199.968 4.90615 -13 -2 1 0 1 -0.0631143 -0.0236819 -2.93566 0 0 0 
17.9237 4.24191 1399.22 -1.42865 -0.0740023 199.995 5.2834 -13 -2 1 0 1 -0.104648 -0.0340971 -2.00392 0 0 0 
17.5327 3.29679 1499.22 -0.092143 -3.73075 199.965 5.66065 -13 -2 1 0 1 -0.124125 -0.0300081 -0.71016 0 0 0 
17.7029 0.482664 1599.17 0.471158 -7.55309 199.857 6.0379 -13 -2 1 0 1 -0.12761 -0.00926229 0.693939 0 0 0 
17.55 -4.21796 1699.06 -1.64695 -11.0743 199.686 6.41515 -13 -2 1 0 1 -0.109358 0.0184881 1.9871 0 0 0 
15.5105 -10.1823 1798.86 -6.90698 -12.1221 199.513 6.7924 -13 -2 1 0 1 -0.0629175 0.0279917 2.92622 0 0 0 
10.5919 -15.5368 1898.59 -12.405 -8.51382 199.433 7.16965 -13 -2 1 0 1 -0.0120774 -0.00589612 3.28005 0 0 0 
3.79999 -18.2092 1998.32 -13.9031 -2.1013 199.505 7.54691 -13 -2 1 0 1 0.00170347 -0.0659065 2.94498 0 0 0 
-2.57193 -17.9628 2098.11 -11.0981 2.48296 199.676 7.92416 -13 -2 1 0 1 -0.0238139 -0.106924 2.01986 0 0 0 
-7.10342 -16.3869 2198 -7.06356 3.22077 199.849 8.30141 -13 -2 1 0 1 -0.0567232 -0.114704 0.730019 0 0 0 
-9.76327 -15.1917 2297.95 -3.71194 1.27585 199.962 8.67866 -13 -2 1 0 1 -0.075316 -0.10428 -0.674375 0 0 0 
-10.8881 -15.2328 2397.94 -0.790052 -1.40146 199.994 9.05591 -13 -2 1 0 1 -0.0722818 -0.0849762 -1.97493 0 0 0 
-10.5348 -16.3995 2497.94 2.18138 -2.93586 199.967 9.43316 -13 -2 1 0 1 -0.0468565 -0.0504962 -2.9209 0 0 0 
-8.85927 -17.7802 2597.91 4.2075 -2.22066 199.943 9.81041 -13 -2 1 0 1 -0.0122122 0.00534283 -3.28071 0 0 0 
-6.76312 -18.3943 2697.89 3.69272 -0.190091 199.966 10.1877 -13 -2 1 0 1 0.0119288 0.0671885 -2.94865 0 0 0 
-5.58046 -18.0725 2797.88 0.745395 1.29781 199.994 10.5649 -13 -2 1 0 1 0.0243159 0.109759 -2.02331 0 0 0 
-6.17713 -17.2336 2897.87 -3.17854 2.02669 199.965 10.9422 -13 -2 1 0 1 0.0378393 0.125159 -0.732428 0 0 0 
-8.71893 -15.923 2997.83 -6.85804 3.49116 199.852 11.3194 -13 -2 1 0 1 0.0578088 0.117679 0.672017 0 0 0 
-12.7684 -13.364 3097.71 -8.89646 7.15255 199.674 11.6967 -13 -2 1 0 1 0.0729559 0.0873341 1.9716 0 0 0 
-16.9751 -8.49738 3197.5 -7.14339 12.3277 199.492 12.0739 -13 -2 1 0 1 0.057762 0.0413478 2.91735 0 0 0 
-19.1731 -1.3993 3297.22 -1.13766 15.3464 199.407 12.4512 -13 -2 1 0 1 0.00187999 0.0134741 3.27983 0 0 0 
-18.0325 5.98445 3396.94 5.3295 13.3865 199.48 12.8284 -13 -2 1 0 1 -0.0583901 0.0318237 2.9543 0 0 0 
-14.5084 11.4952 3496.72 7.98198 8.5327 199.658 13.2057 -13 -2 1 0 1 -0.0817243 0.0754925 2.0361 0 0 0 
-10.7371 14.6838 3596.59 6.5886 4.56435 199.839 13.5829 -13 -2 1 0 1 -0.0715851 0.108726 0.749575 0 0 0 
-8.2531 16.4089 3696.55 3.16531 2.6093 199.958 13.9602 -13 -2 1 0 1 -0.0525951 0.119975 -0.654932 0 0 0 
-7.64417 17.4274 3796.54 -0.698373 1.45359 199.994 14.3374 -13 -2 1 0 1 -0.0370778 0.10773 -1.95874 0 0 0 
-8.79711 17.7498 3896.53 -3.62001 -0.316024 199.967 14.7147 -13 -2 1 0 1 -0.0202389 0.0680424 -2.91165 0 0 0 
-10.85 17.0389 3996.51 -4.1101 -2.45132 199.943 15.0919 -13 -2 1 0 1 0.0101956 0.00879595 -3.28042 0 0 0 
-12.4806 15.5546 4096.48 -2.11413 -3.09159 199.965 15.4692 -13 -2 1 0 1 0.0514933 -0.0448951 -2.9581 0 0 0 
-12.8313 14.3608 4196.47 0.711563 -1.33226 199.994 15.8464 -13 -2 1 0 1 0.0824388 -0.078379 -2.03971 0 0 0 
-12.7899 14.3639 4200.5 0.822337 -1.22293 199.995 15.8616 -13 -2 1 0 1 0.0830303 -0.0795043 -1.99314 0 0 0 
-12.7899 14.3639 4200.5 0.822365 -1.22291 199.995 15.8616 -13 -2 1 0 1 0.0830304 -0.0795046 -1.99313 0 0 0 
-11.7062 14.4997 4300.49 3.51547 1.81443 199.961 16.2389 -13 -2 1 0 1 0.0887326 -0.0993328 -0.695995 0 0 0 
-9.18209 16.0705 4400.45 6.757 4.20128 199.842 16.6161 -13 -2 1 0 1 0.0711863 -0.112636 0.708388 0 0 0 
-4.7604 18.2601 4500.32 11.0441 3.94759 199.656 16.9934 -13 -2 1 0 1 0.0364939 -0.109112 2.00202 0 0 0 
1.74812 19.3133 4600.1 14.5689 -0.421734 199.468 17.3706 -13 -2 1 0 1 0.00497621 -0.0704663 2.93512 0 0 0 
9.08838 17.4027 4699.81 13.8925 -7.26248 199.385 17.7479 -13 -2 1 0 1 0.0114907 -0.0067878 3.28118 0 0 0 
14.8543 12.4592 4799.51 8.68731 -11.752 199.465 18.1251 -13 -2 1 0 1 0.0600019 0.0351017 2.93766 0 0 0 
17.7187 6.49017 4899.29 3.09171 -11.3842 199.652 18.5024 -13 -2 1 0 1 0.109889 0.0314682 2.00649 0 0 0 
18.4595 1.57278 4999.17 0.439113 -8.02923 199.838 18.8796 -13 -2 1 0 1 0.132767 0.00498988 0.713773 0 0 0 
18.6309 -1.44052 5099.12 0.571111 -4.01386 199.959 19.2569 -13 -2 1 0 1 0.131966 -0.0171343 -0.690651 0 0 0 
19.176 -2.45242 5199.11 1.5748 -0.0597345 199.994 19.6341 -13 -2 1 0 1 0.112481 -0.0238124 -1.98871 0 0 0 
20.0214 -1.58279 5299.1 1.52038 3.35361 199.966 20.0114 -13 -2 1 0 1 0.0683363 -0.0175553 -2.92916 0 0 0 
20.4222 0.570934 5399.08 -0.0916573 4.79875 199.943 20.3886 -13 -2 1 0 1 0.000672523 -0.0133211 -3.28163 0 0 0 
19.9406 2.71386 5499.05 -1.64011 3.3164 199.966 20.7659 -13 -2 1 0 1 -0.0669387 -0.0212725 -2.9414 0 0 0 
19.0731 3.56674 5599.04 -1.53091 -0.0793462 199.994 21.1431 -13 -2 1 0 1 -0.111251 -0.0302073 -2.01006 0 0 0 
18.6035 2.55794 5699.04 -0.304978 -3.98268 199.96 21.5204 -13 -2 1 0 1 -0.131555 -0.0248967 -0.716283 0 0 0 
18.6293 -0.438346 5798.99 0.0877499 -8.01464 199.839 21.8976 -13 -2 1 0 1 -0.134083 -0.00287548 0.688163 0 0 0 
18.2143 -5.39147 5898.86 -2.33243 -11.5827 199.651 22.2749 -13 -2 1 0 1 -0.113282 0.0253147 1.98517 0 0 0 
15.7458 -11.5605 5998.64 -7.92098 -12.3765 199.46 22.6521 -13 -2 1 0 1 -0.0638285 0.0327546 2.92539 0 0 0 
10.2846 -16.9202 6098.34 -13.4989 -8.25963 199.373 23.0294 -13 -2 1 0 1 -0.0121529 -0.00567927 3.28072 0 0 0 
3.0053 -19.3462 6198.04 -14.7088 -1.41349 199.454 23.4066 -13 -2 1 0 1 -0.000952993 -0.0695242 2.94742 0 0 0 
-3.66376 -18.7161 6297.81 -11.4888 3.27175 199.643 23.7839 -13 -2 1 0 1 -0.0300773 -0.111179 2.02364 0 0 0 
-8.31588 -16.7797 6397.68 -7.19197 3.84603 199.834 24.1611 -13 -2 1 0 1 -0.0651062 -0.117411 0.734443 0 0 0 
-11.0176 -15.3343 6497.64 -3.77739 1.64596 199.958 24.5384 -13 -2 1 0 1 -0.0840457 -0.105312 -0.670091 0 0 0 
-12.1811 -15.2566 6597.63 -0.882512 -1.29447 199.994 24.9156 -13 -2 1 0 1 -0.0798711 -0.0852169 -1.97156 0 0 0 
-11.8745 -16.429 6697.62 2.10149 -3.0527 199.966 25.2929 -13 -2 1 0 1 -0.0515569 -0.0507691 -2.91928 0 0 0 
-10.2178 -17.899 6797.59 4.22107 -2.43134 199.941 25.6701 -13 -2 1 0 1 -0.0124304 0.00512948 -3.28119 0 0 0 
-8.0911 -18.6025 6897.57 3.78865 -0.307607 199.964 26.0474 -13 -2 1 0 1 0.0162226 0.0677041 -2.95125 0 0 0 
-6.86081 -18.2883 6997.56 0.822633 1.39619 199.994 26.4246 -13 -2 1 0 1 0.0316245 0.110907 -2.0273 0 0 0 
-7.43769 -17.3377 7097.55 -3.17604 2.37724 199.961 26.8019 -13 -2 1 0 1 0.0465437 0.125853 -0.73701 0 0 0 
-9.98405 -15.7864 7197.5 -6.85406 4.10381 199.841 27.1791 -13 -2 1 0 1 0.0666087 0.116757 0.667556 0 0 0 
-13.9904 -12.8619 7297.38 -8.68751 7.98403 199.652 27.5564 -13 -2 1 0 1 0.0801533 0.0844843 1.96794 0 0 0 
-17.995 -7.56464 7397.16 -6.52131 13.1662 199.46 27.9336 -13 -2 1 0 1 0.0614591 0.0382196 2.91539 0 0 0 
-19.7776 -0.118653 7496.86 -0.133238 15.8448 199.371 28.3109 -13 -2 1 0 1 0.00219227 0.0133494 3.28012 0 0 0 
-18.1049 7.38575 7596.56 6.38839 13.3729 199.45 28.6881 -13 -2 1 0 1 -0.0584285 0.0363274 2.95713 0 0 0 
-14.1067 12.7932 7696.33 8.78806 8.18262 199.639 29.0654 -13 -2 1 0 1 -0.0793395 0.0828483 2.04082 0 0 0 
-10.0114 15.7866 7796.19 7.08841 4.1789 199.831 29.4427 -13 -2 1 0 1 -0.0665552 0.116325 0.755199 0 0 0 
-7.33559 17.3546 7896.14 3.44836 2.38732 199.956 29.8199 -13 -2 1 0 1 -0.0462457 0.12659 -0.649391 0 0 0 
-6.62576 18.3184 7996.14 -0.575497 1.45624 199.994 30.1972 -13 -2 1 0 1 -0.0311909 0.113067 -1.95422 0 0 0 
-7.75917 18.6871 8096.13 -3.66765 -0.154743 199.966 30.5744 -13 -2 1 0 1 -0.0167489 0.0715228 -2.9092 0 0 0 
-9.87518 18.0627 8196.1 -4.30061 -2.29702 199.941 30.9517 -13 -2 1 0 1 0.010173 0.00918517 -3.28058 0 0 0 
-11.6082 16.6223 8296.08 -2.30249 -3.0836 199.963 31.3289 -13 -2 1 0 1 0.048522 -0.0481612 -2.96102 0 0 0 
-12.0163 15.3903 8396.07 0.691846 -1.48822 199.993 31.7062 -13 -2 1 0 1 0.0777033 -0.0841506 -2.04455 0 0 0 
