# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 200 0 -13 -2 1 0 1 0.00900519 0.00367151 -1.98876 0 0 0 
-0.000126892 0.000307751 0.4995 -0.000549942 0.00134738 200 0.00188437 -13 -2 1 0 1 0.00899645 0.00365833 -1.98298 0 0 0 
-0.000127148 0.000308373 0.5005 -0.000551043 0.00135007 200 0.00188814 -13 -2 1 0 1 0.00899644 0.0036583 -1.98296 0 0 0 
-0.0257456 0.0625239 100.5 -0.0916652 0.239545 200 0.379139 -13 -2 1 0 1 0.00773057 0.000812556 -0.688507 0 0 0 
-0.0707498 0.239251 200.5 -0.0571946 0.471959 199.999 0.75639 -13 -2 1 0 1 0.00804986 -0.00290263 0.714332 0 0 0 
-0.0427724 0.537317 300.5 0.216174 0.715044 199.999 1.13364 -13 -2 1 0 1 0.00926359 -0.0067578 2.0034 0 0 0 
0.191256 0.932553 400.499 0.755536 0.825684 199.997 1.51089 -13 -2 1 0 1 0.0102112 -0.00875539 2.934 0 0 0 
0.723869 1.31173 500.497 1.35594 0.640873 199.994 1.88814 -13 -2 1 0 1 0.0115599 -0.00663294 3.27587 0 0 0 
1.50291 1.54585 600.493 1.70213 0.301 199.993 2.26539 -13 -2 1 0 1 0.0153662 -0.00134167 2.92738 0 0 0 
2.37406 1.65316 700.489 1.74549 0.196826 199.992 2.64264 -13 -2 1 0 1 0.0213932 0.00360803 1.99162 0 0 0 
3.22666 1.82511 800.486 1.65061 0.578609 199.992 3.0199 -13 -2 1 0 1 0.0272179 0.00674154 0.696509 0 0 0 
4.00045 2.31449 900.481 1.39892 1.44918 199.99 3.39715 -13 -2 1 0 1 0.0304075 0.00886925 -0.707048 0 0 0 
4.54837 3.31567 1000.47 0.686468 2.55236 199.983 3.7744 -13 -2 1 0 1 0.0275693 0.00949185 -1.99706 0 0 0 
4.57659 4.79668 1100.46 -0.657319 3.22946 199.973 4.15165 -13 -2 1 0 1 0.0158268 0.00381534 -2.92872 0 0 0 
3.88501 6.35466 1200.45 -2.015 2.80233 199.97 4.5289 -13 -2 1 0 1 -5.70138e-05 -0.0134236 -3.2714 0 0 0 
2.74574 7.4571 1300.44 -2.30317 1.5552 199.981 4.90615 -13 -2 1 0 1 -0.0097757 -0.0373073 -2.92324 0 0 0 
1.8086 7.94796 1400.43 -1.26491 0.507251 199.995 5.2834 -13 -2 1 0 1 -0.0117903 -0.0555674 -1.98748 0 0 0 
1.59806 8.06376 1500.43 0.483746 0.0191817 199.999 5.66065 -13 -2 1 0 1 -0.0137769 -0.063043 -0.692352 0 0 0 
2.31273 7.9596 1600.43 2.35693 -0.522123 199.985 6.0379 -13 -2 1 0 1 -0.0208807 -0.0610446 0.711102 0 0 0 
3.8819 7.38763 1700.41 3.77037 -1.96216 199.955 6.41515 -13 -2 1 0 1 -0.0300733 -0.0485829 2.00093 0 0 0 
5.83474 5.8266 1800.38 3.70259 -4.36805 199.918 6.7924 -13 -2 1 0 1 -0.0298245 -0.0260482 2.93253 0 0 0 
7.22553 3.09059 1900.33 1.5585 -6.33662 199.894 7.16965 -13 -2 1 0 1 -0.0114627 -0.00662855 3.27558 0 0 0 
7.25453 -0.167402 2000.28 -1.38727 -6.3339 199.895 7.54691 -13 -2 1 0 1 0.0135647 -0.0062029 2.92821 0 0 0 
6.04971 -2.98334 2100.23 -3.12928 -4.81419 199.918 7.92416 -13 -2 1 0 1 0.0259698 -0.0208967 1.9935 0 0 0 
4.42432 -5.00296 2200.2 -3.11614 -3.38407 199.947 8.30141 -13 -2 1 0 1 0.0231168 -0.0359175 0.699018 0 0 0 
3.1314 -6.51557 2300.18 -1.90818 -2.80163 199.971 8.67866 -13 -2 1 0 1 0.0141455 -0.043897 -0.704494 0 0 0 
2.62768 -7.88415 2400.17 -0.0312087 -2.68046 199.982 9.05591 -13 -2 1 0 1 0.00616462 -0.0418501 -1.99847 0 0 0 
3.12002 -9.13255 2500.16 1.94458 -2.19852 199.978 9.43316 -13 -2 1 0 1 -0.000388939 -0.0249456 -2.93173 0 0 0 
4.42338 -9.97498 2600.14 3.03776 -1.11791 199.974 9.81041 -13 -2 1 0 1 -0.0115696 0.00672211 -3.27652 0 0 0 
5.89791 -10.2994 2700.13 2.61811 -0.332331 199.983 10.1877 -13 -2 1 0 1 -0.0301176 0.0411622 -2.93001 0 0 0 
6.86362 -10.5188 2800.13 1.1332 -0.769665 199.995 10.5649 -13 -2 1 0 1 -0.0473229 0.0667416 -1.99521 0 0 0 
6.95128 -11.2462 2900.12 -0.864554 -2.24145 199.986 10.9422 -13 -2 1 0 1 -0.0530259 0.0838572 -0.700282 0 0 0 
5.87726 -12.7572 3000.11 -3.59599 -3.67765 199.934 11.3194 -13 -2 1 0 1 -0.0434188 0.0955603 0.703478 0 0 0 
3.18851 -14.6529 3100.05 -7.26852 -3.48533 199.837 11.6967 -13 -2 1 0 1 -0.0197441 0.0942458 1.9975 0 0 0 
-1.32837 -15.7226 3199.94 -10.4989 -0.258219 199.724 12.0739 -13 -2 1 0 1 0.00393038 0.0650074 2.93148 0 0 0 
-6.76679 -14.5442 3299.78 -10.5514 5.05193 199.658 12.4512 -13 -2 1 0 1 5.78318e-05 0.0134608 3.27834 0 0 0 
-11.2384 -10.9404 3399.61 -6.90702 8.80811 199.687 12.8284 -13 -2 1 0 1 -0.03705 -0.0243624 2.93496 0 0 0 
-13.5714 -6.37518 3499.48 -2.62141 8.87131 199.786 13.2057 -13 -2 1 0 1 -0.0769417 -0.0271267 2.00334 0 0 0 
-14.2207 -2.47139 3599.4 -0.396265 6.52914 199.893 13.5829 -13 -2 1 0 1 -0.0958209 -0.00994591 0.710265 0 0 0 
-14.3304 0.0708406 3699.37 -0.304446 3.637 199.967 13.9602 -13 -2 1 0 1 -0.0945211 0.0064104 -0.693774 0 0 0 
-14.6619 1.18892 3799.36 -1.03297 0.87416 199.995 14.3374 -13 -2 1 0 1 -0.077196 0.0128426 -1.9902 0 0 0 
-15.2706 1.02026 3899.36 -1.2368 -1.41011 199.991 14.7147 -13 -2 1 0 1 -0.0412338 0.0100044 -2.92797 0 0 0 
-15.7348 0.00853807 3999.35 -0.512562 -2.32286 199.986 15.0919 -13 -2 1 0 1 0.0111969 0.00666974 -3.27799 0 0 0 
-15.7873 -0.959654 4099.35 0.187985 -1.22915 199.996 15.4692 -13 -2 1 0 1 0.0635236 0.00885774 -2.93624 0 0 0 
-15.7147 -0.976613 4199.35 -0.0609784 1.32271 199.996 15.8464 -13 -2 1 0 1 0.0996042 0.00930404 -2.00469 0 0 0 
-15.7172 -0.959918 4200.5 -0.0688173 1.35699 199.995 15.8508 -13 -2 1 0 1 0.0999142 0.00920091 -1.99135 0 0 0 
-15.7172 -0.959904 4200.5 -0.0688241 1.35702 199.995 15.8508 -13 -2 1 0 1 0.0999144 0.00920082 -1.99134 0 0 0 
-15.9341 0.505817 4300.49 -0.755289 4.58503 199.946 16.228 -13 -2 1 0 1 0.118009 -0.00227307 -0.695362 0 0 0 
-16.2788 3.69167 4400.44 -0.275418 8.19203 199.832 16.6053 -13 -2 1 0 1 0.120339 -0.0268343 0.708207 0 0 0 
-15.7294 8.62265 4500.31 3.03314 11.2779 199.659 16.9825 -13 -2 1 0 1 0.0998197 -0.0534505 2.00145 0 0 0 
