# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.735393 -1.13645 200.995 0 -13 -2 1 0 1 0.0742529 -0.077735 -1.9919 0 0 0 
-11.2894 14.0922 0.4995 0.748718 -1.12423 200.995 0.00188245 -13 -2 1 0 1 0.0743121 -0.0778719 -1.98611 0 0 0 
-11.2894 14.0922 0.5005 0.748744 -1.1242 200.995 0.00188622 -13 -2 1 0 1 0.0743122 -0.0778722 -1.9861 0 0 0 
-10.2615 14.2005 100.494 3.39356 1.60267 200.965 0.378728 -13 -2 1 0 1 0.0786883 -0.0972036 -0.689682 0 0 0 
-7.82689 15.5817 200.453 6.55009 3.69104 200.859 0.75557 -13 -2 1 0 1 0.0617773 -0.109192 0.714149 0 0 0 
-3.58552 17.4552 300.344 10.5818 3.2658 200.695 1.13241 -13 -2 1 0 1 0.029709 -0.104415 2.00418 0 0 0 
2.5666 18.1799 400.149 13.7264 -0.977786 200.528 1.50925 -13 -2 1 0 1 0.00224386 -0.0665986 2.9369 0 0 0 
9.38348 16.1069 499.89 12.8331 -7.35698 200.455 1.8861 -13 -2 1 0 1 0.0115282 -0.00671082 3.28241 0 0 0 
14.6191 11.2725 599.631 7.78995 -11.3453 200.528 2.26294 -13 -2 1 0 1 0.0592697 0.0311817 2.9381 0 0 0 
17.1126 5.60488 699.437 2.56126 -10.7546 200.696 2.63978 -13 -2 1 0 1 0.106433 0.0263827 2.00619 0 0 0 
17.6621 1.02021 799.328 0.185167 -7.45259 200.862 3.01662 -13 -2 1 0 1 0.127257 0.00116797 0.713025 0 0 0 
17.736 -1.7325 899.289 0.409202 -3.61389 200.967 3.39347 -13 -2 1 0 1 0.125741 -0.0191552 -0.691393 0 0 0 
18.1954 -2.59352 999.282 1.39513 0.122446 200.995 3.77031 -13 -2 1 0 1 0.106753 -0.0246256 -1.98579 0 0 0 
18.9436 -1.69353 1099.27 1.338 3.31602 200.968 4.14715 -13 -2 1 0 1 0.0645998 -0.0179222 -2.92531 0 0 0 
19.2677 0.391632 1199.25 -0.199052 4.62729 200.947 4.52399 -13 -2 1 0 1 0.000539957 -0.0133251 -3.27671 0 0 0 
