#BLTrackFile VirtualDetector/Det2
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
124.049 79.6753 4200 2.18162 12.9925 257.784 427.803 -13 1 1 0 0.6315
-80.1508 55.5416 4200 -4.00286 26.2732 277.333 396.015 -13 2 1 0 0.6315
-154.179 -25.7824 4200 -18.2296 -6.65443 281.478 384.453 -13 3 1 0 0.6315
-127.107 54.4317 4200 4.97842 1.57636 367.166 366.141 -13 7 1 0 0.6315
-188.247 -62.2428 4200 -14.915 -57.1587 223.703 372.697 -13 8 1 0 0.6315
-91.436 80.3032 4200 -19.0509 -17.0176 241.678 375.425 -13 10 1 0 0.6315
-112.508 -94.1817 4200 10.9017 22.5346 274.126 390.429 -13 12 1 0 0.6315
-25.1228 130.991 4200 -13.584 8.86776 206.422 375.568 -13 14 1 0 0.6315
67.9403 101.902 4200 -15.5477 -37.9022 322.503 375.076 -13 15 1 0 0.6315
-128.903 -145.906 4200 37.6677 -44.2978 1010.39 355.336 -13 17 1 0 0.6315
-37.0694 124.044 4200 -14.3703 10.5026 228.724 443.424 -13 18 1 0 0.6315
-137.322 -53.3993 4200 -25.7812 -26.8644 287.361 412.072 -13 23 1 0 0.6315
114.922 109.377 4200 10.9735 -6.78095 351.125 373.511 -13 26 1 0 0.6315
3.6923 -161.637 4200 15.2098 -25.1045 488.812 366.088 -13 30 1 0 0.6315
-110.946 21.2179 4200 4.78023 18.1946 281.4 399.225 -13 33 1 0 0.6315
41.9834 57.7647 4200 -9.51375 -62.4083 826.891 359.483 -13 39 1 0 0.6315
-45.8605 -69.1202 4200 1.19497 3.797 255.475 445.161 -13 40 1 0 0.6315
51.3516 -53.0497 4200 -16.5803 -13.8292 222.776 495.403 -13 41 1 0 0.6315
23.9548 -162.762 4200 -30.1183 53.9381 233.022 411.683 -13 45 1 0 0.6315
-118.698 -102.424 4200 2.44475 29.3967 222.94 575.094 -13 46 1 0 0.6315
23.0806 -3.53277 4200 -30.0476 -58.8904 334.428 396.202 -13 47 1 0 0.6315
28.0491 -20.2908 4200 -6.35393 24.951 208.516 387.885 -13 49 1 0 0.6315
-9.1724 -144.398 4200 22.1931 6.90478 656.798 356.557 -13 52 1 0 0.6315
-1.63764 201.376 4200 -29.1904 20.4629 242.659 449.848 -13 53 1 0 0.6315
-23.7736 -32.8691 4200 31.3689 -9.218 265.048 430.119 -13 55 1 0 0.6315
52.2921 -104.924 4200 -22.6818 13.0991 313.937 383.902 -13 63 1 0 0.6315
38.2547 39.9974 4200 13.2117 -5.35377 531.096 365.053 -13 64 1 0 0.6315
15.4654 149.291 4200 14.3842 42.3828 313.228 386.823 -13 70 1 0 0.6315
-34.1663 -61.5108 4200 1.27726 29.4755 304.924 368.371 -13 71 1 0 0.6315
50.893 23.3298 4200 -32.0868 -21.6563 329.15 386.195 -13 72 1 0 0.6315
-17.9948 -100.069 4200 -13.6831 2.63464 292.373 392.943 -13 73 1 0 0.6315
133.552 157.732 4200 -14.8179 -16.5493 242.752 421.461 -13 75 1 0 0.6315
70.7094 -18.5641 4200 7.01313 -18.5645 279.774 442.41 -13 76 1 0 0.6315
41.3379 16.4928 4200 -6.78691 -1.19141 195.773 667.171 -13 77 1 0 0.6315
-23.5256 36.2077 4200 -8.15825 12.1631 248.199 442.772 -13 78 1 0 0.6315
109.649 -158.814 4200 -79.3401 -49.9849 928.574 360.478 -13 79 1 0 0.6315
32.8772 -19.7488 4200 34.2637 -3.47506 354.153 371.76 -13 80 1 0 0.6315
44.644 22.3351 4200 -6.06451 6.66689 432.805 365.265 -13 82 1 0 0.6315
-98.5725 -49.4036 4200 127.254 162.958 159.691 374.745 -13 83 1 0 0.6315
-189.584 -22.954 4200 48.4224 -1.68824 1141.78 357.42 -13 84 1 0 0.6315
108.036 -87.6057 4200 -12.3903 -7.35928 913.287 354.262 -13 87 1 0 0.6315
110.202 -67.1656 4200 -50.5778 -15.2586 334.429 377.896 -13 88 1 0 0.6315
40.4846 -227.333 4200 40.2118 -30.3343 263.504 416.364 -13 90 1 0 0.6315
77.525 48.31 4200 49.5579 -3.07486 275.008 393.197 -13 92 1 0 0.6315
-195.826 -179.683 4200 18.8369 -54.18 268.074 376.889 -13 94 1 0 0.6315
109.604 119.2 4200 -32.9229 -23.9953 348.077 387.353 -13 95 1 0 0.6315
39.3632 -42.3484 4200 33.0336 22.5799 245.96 387.609 -13 96 1 0 0.6315
