# ReferenceParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -1 Track 1
-6.65767 11.7673 0 0 0 270 0 -13 -1 1 0 1 0.0129215 -0.00744558 3.66788 0 0 0 
-6.65767 11.7673 0.0005 1.11605e-06 1.93688e-06 270 1.79098e-06 -13 -1 1 0 1 0.0129214 -0.00744535 3.66788 0 0 0 
-6.69632 11.7917 100 -0.430976 0.0257946 270 0.358197 -13 -1 1 0 1 -0.0135935 0.0369211 3.28112 0 0 0 
-7.13342 11.7334 199.999 -2.10936 -0.396709 269.991 0.716392 -13 -1 1 0 1 -0.0375046 0.069148 2.23595 0 0 0 
-8.35406 11.4387 299.991 -4.55012 -1.32287 269.958 1.07459 -13 -1 1 0 1 -0.0593307 0.0820725 0.787432 0 0 0 
-10.4969 10.6068 399.964 -6.91518 -3.43329 269.89 1.43278 -13 -1 1 0 1 -0.0783691 0.0742412 -0.783287 0 0 0 
-13.2989 8.68142 499.905 -7.82315 -7.22364 269.79 1.79098 -13 -1 1 0 1 -0.084492 0.0453712 -2.22838 0 0 0 
-15.898 5.17025 599.808 -5.59852 -11.6308 269.691 2.14917 -13 -1 1 0 1 -0.0592151 0.00580026 -3.27453 0 0 0 
-17.0464 0.349733 699.684 -0.262709 -13.7742 269.648 2.50737 -13 -1 1 0 1 -0.000227558 -0.0149094 -3.6634 0 0 0 
-16.0817 -4.51025 799.559 5.15919 -11.83 269.691 2.86556 -13 -1 1 0 1 0.0595371 0.0031948 -3.27966 0 0 0 
-13.6121 -8.11326 899.462 7.56799 -7.49549 269.79 3.22376 -13 -1 1 0 1 0.0863304 0.0415563 -2.23748 0 0 0 
-10.8722 -10.1328 999.403 6.8255 -3.65523 269.889 3.58195 -13 -1 1 0 1 0.0812364 0.0704855 -0.790894 0 0 0 
-8.74106 -11.0297 1099.38 4.56817 -1.45066 269.957 3.94015 -13 -1 1 0 1 0.062376 0.0789132 0.779539 0 0 0 
-7.49993 -11.356 1199.37 2.19751 -0.446319 269.991 4.29834 -13 -1 1 0 1 0.0399871 0.0668365 2.22583 0 0 0 
-7.02122 -11.4262 1299.37 0.562259 0.000970038 269.999 4.65654 -13 -1 1 0 1 0.0149804 0.035781 3.27429 0 0 0 
-6.93241 -11.4152 1399.37 0.130233 -0.0548164 270 5.01473 -13 -1 1 0 1 -0.0127435 -0.00718013 3.66538 0 0 0 
-6.78359 -11.5762 1499.37 0.828986 -0.981891 269.997 5.37293 -13 -1 1 0 1 -0.0374498 -0.0495271 3.28323 0 0 0 
-6.22643 -12.2542 1599.36 2.28934 -2.78916 269.976 5.73112 -13 -1 1 0 1 -0.0502305 -0.0831279 2.24163 0 0 0 
-4.9926 -13.6726 1699.34 4.53809 -4.82777 269.919 6.08932 -13 -1 1 0 1 -0.0471306 -0.107341 0.795187 0 0 0 
-2.71275 -15.7209 1799.3 7.99935 -5.96448 269.816 6.44752 -13 -1 1 0 1 -0.0294801 -0.120573 -0.774982 0 0 0 
1.06679 -17.7897 1899.2 12.4767 -4.67246 269.671 6.80571 -13 -1 1 0 1 -0.00313753 -0.111203 -2.22534 0 0 0 
6.41278 -18.747 1999.05 15.9632 0.0446465 269.528 7.16391 -13 -1 1 0 1 0.0121837 -0.0647269 -3.27624 0 0 0 
12.3947 -17.5281 2098.86 15.5296 6.50452 269.475 7.5221 -13 -1 1 0 1 -0.012383 0.00668733 -3.67156 0 0 0 
17.3857 -14.2351 2198.68 10.9465 10.559 269.571 7.8803 -13 -1 1 0 1 -0.0761632 0.0602414 -3.29415 0 0 0 
20.4047 -10.3097 2298.56 5.53229 9.875 269.763 8.23849 -13 -1 1 0 1 -0.140044 0.073077 -2.25548 0 0 0 
21.7343 -7.34756 2398.5 2.02927 5.75285 269.931 8.59669 -13 -1 1 0 1 -0.173876 0.0635317 -0.80929 0 0 0 
22.118 -6.18689 2498.49 0.173948 0.47814 270 8.95488 -13 -1 1 0 1 -0.174827 0.0560224 0.763433 0 0 0 
21.8339 -6.92349 2598.49 -1.89172 -4.22075 269.96 9.31308 -13 -1 1 0 1 -0.143385 0.0557066 2.21798 0 0 0 
20.5439 -9.01593 2698.46 -5.26531 -6.51116 269.87 9.67127 -13 -1 1 0 1 -0.0789104 0.0479941 3.27325 0 0 0 
17.9252 -11.2545 2798.4 -8.65189 -4.9101 269.817 10.0295 -13 -1 1 0 1 -0.00116396 0.015647 3.67108 0 0 0 
14.4575 -12.2773 2898.33 -9.51407 -0.343574 269.832 10.3877 -13 -1 1 0 1 0.0540692 -0.0317211 3.29489 0 0 0 
11.2565 -11.497 2998.27 -7.40703 4.37746 269.863 10.7459 -13 -1 1 0 1 0.0738312 -0.0630883 2.25727 0 0 0 
9.07927 -9.22065 3098.22 -4.41879 7.66585 269.855 11.1041 -13 -1 1 0 1 0.0732527 -0.0633155 0.813422 0 0 0 
7.80497 -5.96084 3198.16 -2.83636 9.79749 269.807 11.4622 -13 -1 1 0 1 0.0659599 -0.0396391 -0.756398 0 0 0 
