# ReferenceParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -1 Track 1
-0.000811901 0.00143502 0 -3.82564 -2.37079 221.754 0 -13 -1 1 0 1 0.0134623 -0.00775821 3.81879 0 0 0 
-1.84949 -0.524726 99.981 -4.15746 -0.016723 221.761 0.369478 -13 -1 1 0 1 0.00478743 -0.00969385 3.41665 0 0 0 
-3.6078 -0.16287 199.965 -3.57714 1.38535 221.767 0.738956 -13 -1 1 0 1 -0.0153445 -0.00804268 2.32913 0 0 0 
-5.0942 0.502169 299.951 -3.09392 1.33358 221.774 1.10843 -13 -1 1 0 1 -0.0354912 -0.00282962 0.824701 0 0 0 
-6.46544 0.85422 399.941 -3.02398 0.046958 221.779 1.47791 -13 -1 1 0 1 -0.0490914 -0.00143768 -0.815417 0 0 0 
-7.77708 0.410604 499.931 -2.64755 -2.10973 221.774 1.84739 -13 -1 1 0 1 -0.0508299 -0.00844836 -2.32096 0 0 0 
-8.64682 -1.03762 599.916 -0.945713 -4.16176 221.759 2.21687 -13 -1 1 0 1 -0.033233 -0.0182895 -3.41039 0 0 0 
-8.45401 -3.07073 699.895 1.85301 -4.45181 221.748 2.58635 -13 -1 1 0 1 -4.33604e-05 -0.0155555 -3.81432 0 0 0 
-7.09933 -4.70438 799.872 3.86211 -2.51733 221.752 2.95582 -13 -1 1 0 1 0.0271122 0.00413968 -3.41263 0 0 0 
-5.27688 -5.24885 899.853 3.92256 0.0402333 221.765 3.3253 -13 -1 1 0 1 0.0339632 0.0240986 -2.32501 0 0 0 
-3.729 -4.80653 999.84 2.88392 1.73171 221.774 3.69478 -13 -1 1 0 1 0.0269798 0.0304723 -0.820604 0 0 0 
-2.64076 -3.84402 1099.83 2.05354 2.39121 221.778 4.06426 -13 -1 1 0 1 0.0156855 0.0241606 0.819226 0 0 0 
-1.75331 -2.76856 1199.82 2.0212 2.24861 221.779 4.43374 -13 -1 1 0 1 0.00287824 0.0116982 2.32421 0 0 0 
-0.728706 -1.94689 1299.81 2.56134 1.24321 221.782 4.80321 -13 -1 1 0 1 -0.0091541 -2.22046e-05 3.41304 0 0 0 
0.52106 -1.76382 1399.8 2.87923 -0.505083 221.781 5.17269 -13 -1 1 0 1 -0.0134592 -0.00775511 3.81694 0 0 0 
1.762 -2.39256 1499.79 2.53838 -2.1912 221.775 5.54217 -13 -1 1 0 1 -0.00575774 -0.0159229 3.41628 0 0 0 
2.7998 -3.61385 1599.78 2.13726 -3.07116 221.768 5.91165 -13 -1 1 0 1 0.00834191 -0.0285879 2.3297 0 0 0 
3.81121 -5.03257 1699.76 2.52279 -3.09043 221.764 6.28113 -13 -1 1 0 1 0.0219808 -0.042103 0.825731 0 0 0 
5.22828 -6.27121 1799.75 3.90011 -2.22951 221.755 6.6506 -13 -1 1 0 1 0.0334479 -0.0492309 -0.814393 0 0 0 
7.37424 -6.84428 1899.72 5.5474 -0.0610874 221.731 7.02008 -13 -1 1 0 1 0.0392067 -0.0418641 -2.32415 0 0 0 
10.0205 -6.13463 1999.68 5.80655 3.30902 221.699 7.38956 -13 -1 1 0 1 0.0266683 -0.0174837 -3.4147 0 0 0 
12.21 -3.96264 2099.63 3.51104 5.97711 221.692 7.75904 -13 -1 1 0 1 -0.0132858 0.00771257 -3.82016 0 0 0 
13.0115 -1.2011 2199.59 0.0979629 5.72138 221.726 8.12851 -13 -1 1 0 1 -0.0627379 0.0123355 -3.42005 0 0 0 
12.5231 0.804023 2299.57 -1.91436 2.91388 221.773 8.49799 -13 -1 1 0 1 -0.093169 0.00154943 -2.3333 0 0 0 
11.5604 1.3455 2399.56 -2.16411 -0.47654 221.789 8.86747 -13 -1 1 0 1 -0.0990188 -0.00397395 -0.82896 0 0 0 
10.6044 0.458612 2499.55 -2.19149 -3.32732 221.764 9.23695 -13 -1 1 0 1 -0.0888529 0.00463249 0.811425 0 0 0 
9.37914 -1.49123 2599.53 -3.53653 -5.05989 221.714 9.60643 -13 -1 1 0 1 -0.0648004 0.0212596 2.32118 0 0 0 
7.18757 -3.76233 2699.48 -6.31364 -4.52953 221.664 9.9759 -13 -1 1 0 1 -0.0288689 0.0290043 3.41184 0 0 0 
3.7702 -5.1283 2799.41 -8.52202 -1.1298 221.633 10.3454 -13 -1 1 0 1 -9.72919e-05 0.0156665 3.81808 0 0 0 
-0.0907394 -4.63387 2899.33 -8.15272 3.21619 221.627 10.7149 -13 -1 1 0 1 0.00026126 -0.00376648 3.42031 0 0 0 
-3.32344 -2.50803 2999.25 -6.1226 5.79546 221.64 11.0843 -13 -1 1 0 1 -0.020783 -0.00560527 2.3368 0 0 0 
-5.734 0.230165 3099.19 -4.84784 6.00899 221.666 11.4538 -13 -1 1 0 1 -0.0431606 0.0102217 0.835079 0 0 0 
-7.97933 2.64997 3199.13 -5.40122 4.46043 221.689 11.8233 -13 -1 1 0 1 -0.0588726 0.0283255 -0.804502 0 0 0 
-10.7639 3.99975 3299.08 -6.96562 1.2337 221.687 12.1928 -13 -1 1 0 1 -0.0637655 0.0339547 -2.31579 0 0 0 
-14.0857 3.54429 3399.02 -7.37944 -3.36417 221.652 12.5623 -13 -1 1 0 1 -0.0435768 0.0216301 -3.41037 0 0 0 
-16.9883 1.09118 3498.95 -5.06288 -7.10064 221.629 12.9317 -13 -1 1 0 1 0.0127416 0.00782429 -3.82243 0 0 0 
-18.4681 -2.30634 3598.88 -1.59139 -7.28902 221.675 13.3012 -13 -1 1 0 1 0.0842464 0.0155439 -3.42875 0 0 0 
-18.7224 -4.97194 3698.84 -0.00158321 -4.15427 221.761 13.6707 -13 -1 1 0 1 0.136239 0.0376844 -2.34538 0 0 0 
-18.8486 -5.86134 3798.84 -0.843053 0.310985 221.798 14.0402 -13 -1 1 0 1 0.160992 0.0488106 -0.841622 0 0 0 
-19.5472 -4.618 3898.83 -2.09109 5.28992 221.727 14.4096 -13 -1 1 0 1 0.166931 0.0359437 0.800247 0 0 0 
-20.3668 -1.05001 3998.76 -0.923085 10.4635 221.551 14.7791 -13 -1 1 0 1 0.148246 0.0028701 2.31358 0 0 0 
-19.7393 4.50963 4098.6 4.35344 13.5273 221.344 15.1486 -13 -1 1 0 1 0.090918 -0.0244474 3.41045 0 0 0 
-16.1609 10.2977 4198.36 11.3582 11.1028 221.231 15.5181 -13 -1 1 0 1 0.0145895 -0.00847951 3.82411 0 0 0 
-10.065 13.7963 4298.11 14.7495 4.04439 221.272 15.8876 -13 -1 1 0 1 -0.0266467 0.045401 3.43427 0 0 0 
-3.66411 14.0589 4397.9 12.9928 -2.35761 221.407 16.257 -13 -1 1 0 1 -0.0155002 0.0870903 2.35675 0 0 0 
1.38019 12.2764 4497.75 9.39807 -4.87358 221.547 16.6265 -13 -1 1 0 1 0.016851 0.0920979 0.858576 0 0 0 
4.98129 10.1723 4597.66 6.83812 -4.02677 221.658 16.996 -13 -1 1 0 1 0.0435028 0.0740229 -0.781043 0 0 0 
7.73964 8.93458 4697.62 5.51519 -1.24559 221.728 17.3655 -13 -1 1 0 1 0.0540672 0.0494464 -2.29609 0 0 0 
9.95243 9.14378 4797.59 4.20253 2.14333 221.75 17.7349 -13 -1 1 0 1 0.0404058 0.0223627 -3.39886 0 0 0 
11.4324 10.7002 4897.57 2.32346 4.43804 221.743 18.1044 -13 -1 1 0 1 0.00115512 -0.0144734 -3.82058 0 0 0 
12.1505 12.8055 4997.54 1.13984 4.5438 221.751 18.4739 -13 -1 1 0 1 -0.0471163 -0.0633185 -3.43829 0 0 0 
12.805 14.5597 5097.53 2.18365 3.06945 221.768 18.8434 -13 -1 1 0 1 -0.0871618 -0.108674 -2.36334 0 0 0 
14.4517 15.4507 5197.51 5.39445 0.714544 221.733 19.2129 -13 -1 1 0 1 -0.119657 -0.133021 -0.863735 0 0 0 
17.783 14.9483 5297.45 9.31771 -3.36301 221.579 19.5823 -13 -1 1 0 1 -0.149633 -0.127995 0.778027 0 0 0 
22.543 11.9617 5397.29 11.1224 -10.3726 221.278 19.9518 -13 -1 1 0 1 -0.16212 -0.0882623 2.29566 0 0 0 
26.9143 5.39721 5496.97 7.07088 -18.5147 220.913 20.3213 -13 -1 1 0 1 -0.120391 -0.0293837 3.40303 0 0 0 
27.9805 -3.99017 5596.51 -2.93182 -21.797 220.707 20.6908 -13 -1 1 0 1 -0.0175537 -0.00721399 3.83152 0 0 0 
24.3939 -12.9608 5696.03 -12.1434 -16.7993 220.829 21.0602 -13 -1 1 0 1 0.079492 -0.0556539 3.45818 0 0 0 
18.1076 -18.5943 5795.67 -14.4952 -8.21744 221.173 21.4297 -13 -1 1 0 1 0.109934 -0.128144 2.39176 0 0 0 
12.1936 -20.7801 5895.46 -11.1388 -2.15169 221.51 21.7992 -13 -1 1 0 1 0.0893867 -0.168968 0.896961 0 0 0 
8.31559 -21.1026 5995.39 -6.02538 0.240196 221.718 22.1687 -13 -1 1 0 1 0.0587152 -0.169893 -0.745706 0 0 0 
6.67064 -20.8141 6095.37 -1.47455 0.95214 221.793 22.5382 -13 -1 1 0 1 0.0352073 -0.138126 -2.26959 0 0 0 
6.7164 -20.215 6195.37 1.27786 1.78355 221.789 22.9076 -13 -1 1 0 1 0.0148448 -0.075986 -3.38686 0 0 0 
7.39685 -19.2003 6295.36 1.24693 2.59422 221.781 23.2771 -13 -1 1 0 1 -0.0120645 0.00408487 -3.82414 0 0 0 
7.46846 -18.1126 6395.35 -1.21003 1.88117 221.789 23.6466 -13 -1 1 0 1 -0.040164 0.0756583 -3.45652 0 0 0 
6.1738 -17.7887 6495.34 -4.59223 -0.650552 221.752 24.0161 -13 -1 1 0 1 -0.0501089 0.125144 -2.39246 0 0 0 
3.26532 -18.7259 6595.29 -8.43828 -3.3412 221.614 24.3855 -13 -1 1 0 1 -0.0320757 0.157579 -0.899389 0 0 0 
-1.61378 -20.4593 6695.16 -13.426 -3.74456 221.362 24.755 -13 -1 1 0 1 0.00985253 0.174199 0.740576 0 0 0 
-8.92474 -21.3591 6794.88 -18.8309 0.745985 220.998 25.1245 -13 -1 1 0 1 0.0594925 0.157284 2.26203 0 0 0 
-18.0285 -18.9249 6894.43 -20.4363 10.7405 220.595 25.494 -13 -1 1 0 1 0.0735685 0.0920226 3.38166 0 0 0 
-26.084 -11.6182 6993.82 -13.9089 20.9752 220.368 25.8635 -13 -1 1 0 1 0.00665593 0.0185356 3.83032 0 0 0 
-29.8023 -1.19386 7093.2 -2.50023 23.6546 220.521 26.2329 -13 -1 1 0 1 -0.109137 0.0100183 3.48128 0 0 0 
-28.9287 8.4736 7192.72 5.21432 18.3457 220.979 26.6024 -13 -1 1 0 1 -0.189252 0.0673178 2.43259 0 0 0 
-26.2177 15.0472 7292.46 5.71935 10.9012 221.458 26.9719 -13 -1 1 0 1 -0.207693 0.129423 0.945949 0 0 0 
-24.4762 18.5144 7392.38 1.55981 4.70117 221.745 27.3414 -13 -1 1 0 1 -0.193673 0.157537 -0.698116 0 0 0 
