# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.722953 -1.11723 197.596 0 -13 -2 1 0 1 0.0742529 -0.077735 -1.9919 0 0 0 
-11.2893 14.0923 0.4995 0.736278 -1.105 197.596 0.00188952 -13 -2 1 0 1 0.0743118 -0.0778723 -1.98611 0 0 0 
-11.2893 14.0923 0.5005 0.736305 -1.10498 197.596 0.0018933 -13 -2 1 0 1 0.0743119 -0.0778726 -1.9861 0 0 0 
-10.2508 14.2129 100.493 3.37777 1.62482 197.564 0.380149 -13 -2 1 0 1 0.0786141 -0.097289 -0.689685 0 0 0 
-7.78152 15.6282 200.451 6.54084 3.70662 197.457 0.758404 -13 -2 1 0 1 0.0614632 -0.109515 0.714129 0 0 0 
-3.46592 17.5325 300.338 10.5966 3.23422 197.289 1.13666 -13 -2 1 0 1 0.0290191 -0.104863 2.00414 0 0 0 
2.79961 18.228 400.136 13.7271 -1.11889 197.119 1.51491 -13 -2 1 0 1 0.00146125 -0.0667678 2.93688 0 0 0 
9.70657 16.0194 499.868 12.705 -7.597 197.045 1.89317 -13 -2 1 0 1 0.01152 -0.00672264 3.28247 0 0 0 
14.9203 10.9827 599.6 7.48132 -11.5499 197.12 2.27143 -13 -2 1 0 1 0.0602657 0.0302017 2.93834 0 0 0 
17.2752 5.14706 699.399 2.178 -10.825 197.291 2.64968 -13 -2 1 0 1 0.107361 0.0237374 2.00662 0 0 0 
17.6509 0.473866 799.287 -0.139563 -7.4372 197.46 3.02794 -13 -2 1 0 1 0.127157 -0.00261606 0.71688 0 0 0 
17.5904 -2.31867 899.247 0.202279 -3.61356 197.567 3.40619 -13 -2 1 0 1 0.124733 -0.0232208 -0.690784 0 0 0 
17.9855 -3.20924 999.24 1.31649 0.0637009 197.596 3.78445 -13 -2 1 0 1 0.105549 -0.0281934 -1.98523 0 0 0 
18.7355 -2.3327 1099.23 1.365 3.23022 197.569 4.1627 -13 -2 1 0 1 0.0639189 -0.0200855 -2.92491 0 0 0 
19.0918 -0.251037 1199.21 -0.135023 4.56243 197.547 4.54096 -13 -2 1 0 1 0.000564575 -0.0133429 -3.27655 0 0 0 
18.5976 1.80596 1299.19 -1.64317 3.13536 197.568 4.91921 -13 -2 1 0 1 -0.0625009 -0.018246 -2.9357 0 0 0 
17.6995 2.61685 1399.18 -1.62999 -0.0923161 197.593 5.29747 -13 -2 1 0 1 -0.103332 -0.0247267 -2.00425 0 0 0 
17.1268 1.64592 1499.17 -0.599758 -3.75976 197.563 5.67572 -13 -2 1 0 1 -0.121285 -0.0185674 -0.714018 0 0 0 
16.9546 -1.1948 1599.13 -0.385175 -7.45814 197.459 6.05398 -13 -2 1 0 1 -0.122414 0.00237076 0.693223 0 0 0 
16.2879 -5.81574 1699.02 -2.78422 -10.5742 197.297 6.43223 -13 -2 1 0 1 -0.102042 0.0277483 1.98634 0 0 0 
13.6422 -11.4361 1798.82 -7.98416 -10.9527 197.135 6.81049 -13 -2 1 0 1 -0.0565839 0.0322525 2.92551 0 0 0 
8.24885 -16.1069 1898.56 -12.8867 -6.78981 197.062 7.18875 -13 -2 1 0 1 -0.0119663 -0.00585301 3.27949 0 0 0 
