#BLTrackFile VirtualDetector/det-1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det-1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det-1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det-1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det-1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det-1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det-1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det-1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det-1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det-1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det-1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det-1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-46.0344 6.21543 150 -31.8964 -7.18222 207.767 0.568193 -13 1 1 0 1
-15.8898 35.6321 150 -1.42112 17.4587 200.07 0.567236 -13 2 1 0 1
-16.2842 28.9558 150 -14.0838 23.2951 193.175 0.574775 -13 3 1 0 1
10.7777 43.5386 150 10.647 32.4867 193.724 0.576624 -13 4 1 0 1
24.4046 3.81334 150 59.3108 -5.85549 197.454 0.586445 -13 5 1 0 1
-4.71117 34.2918 150 1.84352 -3.82789 207.826 0.561571 -13 6 1 0 1
-7.71951 87.9797 150 9.11488 63.129 181.106 0.602835 -13 7 1 0 1
32.8697 35.7672 150 35.0844 33.1282 193.838 0.583063 -13 8 1 0 1
-19.5678 8.61706 150 -0.655535 -0.847523 192.66 0.570828 -13 9 1 0 1
15.0712 19.5949 150 25.7779 14.1477 203.387 0.567867 -13 10 1 0 1
26.3758 8.80131 150 38.2216 -28.6057 185.17 0.587717 -13 11 1 0 1
10.4712 25.5158 150 35.9246 8.02012 188.852 0.579619 -13 12 1 0 1
3.52972 26.6303 150 0.205568 7.2773 222.304 0.554349 -13 13 1 0 1
7.60959 50.4808 150 9.54444 30.1082 198.379 0.572178 -13 14 1 0 1
-20.4555 5.66087 150 -12.3681 20.1168 194.479 0.571871 -13 15 1 0 1
-3.52695 4.55911 150 4.5262 -25.1281 203.492 0.56749 -13 16 1 0 1
9.42438 -4.13514 150 35.9807 2.51841 220.678 0.561059 -13 17 1 0 1
-2.48891 15.1925 150 16.9721 -19.0854 202.61 0.567537 -13 18 1 0 1
-11.703 -15.5166 150 -9.6588 -19.1121 204.242 0.566001 -13 19 1 0 1
-24.7642 32.3184 150 -2.72008 14.4949 198.081 0.56796 -13 20 1 0 1
0.684082 1.72367 150 7.39938 -6.7805 197.365 0.568092 -13 21 1 0 1
-21.7564 54.5151 150 -0.218763 29.1657 202.889 0.567832 -13 22 1 0 1
34.6733 27.8975 150 48.4932 12.4439 197.368 0.579625 -13 23 1 0 1
-4.51021 43.0346 150 17.7171 33.3201 209.179 0.566119 -13 24 1 0 1
-41.3774 19.9387 150 -19.4871 7.38675 199.098 0.56936 -13 25 1 0 1
-16.1409 -15.4328 150 -17.2173 -27.4672 191.128 0.578517 -13 26 1 0 1
7.42 -2.70212 150 40.4228 -28.0204 211.245 0.571365 -13 27 1 0 1
0.115256 -9.24494 150 13.8355 -18.1604 200.839 0.568549 -13 28 1 0 1
21.1322 23.4552 150 40.5669 20.1429 217.901 0.564782 -13 29 1 0 1
0.0575326 -1.60335 150 18.7497 8.16394 201.265 0.567453 -13 30 1 0 1
-43.5707 21.4238 150 -45.7138 -8.24883 190.344 0.588888 -13 31 1 0 1
-41.1958 20.5747 150 -27.6404 2.01695 191.755 0.577345 -13 32 1 0 1
9.51989 9.46207 150 30.3997 -10.1883 199.941 0.570808 -13 33 1 0 1
5.77717 4.27531 150 8.98371 -26.6767 165.234 0.59953 -13 34 1 0 1
-22.187 -12.4774 150 -4.79635 -9.27549 175.343 0.585538 -13 35 1 0 1
-16.8856 -3.10721 150 -1.14765 -20.1484 196.471 0.571326 -13 36 1 0 1
-20.1427 7.81859 150 5.67818 1.0535 194.701 0.569453 -13 37 1 0 1
4.78649 -3.56838 150 22.993 -21.7467 199.921 0.571465 -13 38 1 0 1
-20.6937 -9.64785 150 -11.149 -12.5304 180.88 0.581849 -13 39 1 0 1
-14.9279 28.9466 150 12.3662 16.3982 180.38 0.581217 -13 40 1 0 1
-5.56609 9.4695 150 -11.3798 1.35142 205.941 0.563258 -13 41 1 0 1
13.2122 33.4869 150 28.9515 21.2149 187.476 0.580643 -13 42 1 0 1
25.3184 24.8195 150 23.1512 -5.08567 200.78 0.567182 -13 43 1 0 1
-7.56419 -13.7471 150 25.2437 -41.2583 202.024 0.57885 -13 44 1 0 1
-11.8632 6.63719 150 -1.56492 0.315938 191.105 0.571802 -13 45 1 0 1
37.7493 24.1383 150 41.1228 -0.659902 211.912 0.565724 -13 46 1 0 1
-6.09262 29.4667 150 -3.36368 24.9049 197.046 0.571233 -13 47 1 0 1
-0.670147 31.7448 150 11.4604 29.4315 207.386 0.565951 -13 48 1 0 1
-14.4901 7.9697 150 14.845 7.63182 201.274 0.566214 -13 49 1 0 1
37.9102 21.5096 150 36.2836 9.59633 214.779 0.563814 -13 50 1 0 1
-9.98604 23.7007 150 4.40172 13.1294 192.401 0.571491 -13 51 1 0 1
-35.5676 30.1397 150 -17.0842 1.10869 178.119 0.585597 -13 52 1 0 1
-23.4983 17.2334 150 1.02133 15.0962 179.732 0.581057 -13 53 1 0 1
-16.7094 -0.598559 150 -16.558 -13.2542 204.43 0.566111 -13 54 1 0 1
20.8975 -31.5693 150 26.5973 -48.4751 190.335 0.590242 -13 55 1 0 1
-36.1981 26.2145 150 -32.8801 4.64378 199.839 0.573854 -13 56 1 0 1
51.7495 15.481 150 52.2978 -14.9119 162.848 0.614355 -13 57 1 0 1
-21.6593 -27.0523 150 -22.3863 -24.1246 202.631 0.5701 -13 58 1 0 1
34.1715 12.2273 150 54.7516 0.0905183 199.999 0.580841 -13 59 1 0 1
-27.1811 49.877 150 7.7357 37.6494 199.918 0.571366 -13 60 1 0 1
-13.0506 6.89996 150 -0.422256 4.70766 198.698 0.566719 -13 61 1 0 1
-9.20716 -21.1335 150 -10.2614 -20.9471 193.769 0.573119 -13 62 1 0 1
19.3495 -6.68335 150 35.0872 -22.1058 206.123 0.570871 -13 63 1 0 1
7.7752 10.9561 150 15.3813 10.528 187.412 0.576307 -13 64 1 0 1
5.3244 5.23923 150 11.1514 -9.87657 192.422 0.571939 -13 65 1 0 1
-3.2866 8.65745 150 -1.16404 -10.1646 208.184 0.561776 -13 66 1 0 1
7.35214 -4.39049 150 31.3826 -20.2371 205.83 0.569737 -13 67 1 0 1
2.22371 44.7779 150 13.0283 42.9856 207.424 0.570979 -13 68 1 0 1
14.8143 57.1256 150 14.5054 46.8442 202.519 0.577192 -13 69 1 0 1
8.01396 15.8338 150 28.2226 -0.301137 206.643 0.565249 -13 70 1 0 1
0.967978 -0.862304 150 11.3431 -47.8121 194.371 0.583502 -13 71 1 0 1
6.50674 39.3927 150 27.1062 29.7771 183.431 0.585579 -13 72 1 0 1
-3.60931 16.7773 150 8.312 1.38457 213.44 0.558431 -13 73 1 0 1
-21.9159 5.67571 150 -4.90622 -16.1578 194.937 0.571829 -13 74 1 0 1
-4.19397 11.0589 150 6.62859 -7.24233 183.854 0.57768 -13 75 1 0 1
7.34765 -8.39338 150 20.752 -30.1014 196.399 0.575727 -13 76 1 0 1
-9.47647 44.3645 150 14.1678 26.4827 203.411 0.567039 -13 77 1 0 1
-5.78191 23.255 150 8.10983 23.8946 204.217 0.566061 -13 78 1 0 1
-11.5999 21.8952 150 23.4671 14.6448 187.427 0.577533 -13 79 1 0 1
10.5491 38.3585 150 14.2494 35.1578 204.806 0.570289 -13 80 1 0 1
5.20911 13.7094 150 44.1278 -11.8808 204.558 0.572882 -13 81 1 0 1
-20.7099 19.0776 150 -9.03939 19.4642 209.559 0.562282 -13 82 1 0 1
11.1408 33.9081 150 33.2984 29.1914 187.712 0.5842 -13 83 1 0 1
16.4307 39.8572 150 20.7293 25.773 203.48 0.568926 -13 84 1 0 1
-32.0915 50.0083 150 -3.71044 38.7869 198.772 0.573126 -13 85 1 0 1
-30.9534 -2.25973 150 -12.1316 -27.3702 218.796 0.561528 -13 86 1 0 1
-15.6459 39.7817 150 16.5437 20.7523 200.468 0.567616 -13 87 1 0 1
-4.22222 -13.3731 150 3.70116 -21.9718 207.15 0.564602 -13 88 1 0 1
-11.391 21.4477 150 6.98447 7.61383 193.686 0.570139 -13 89 1 0 1
-15.4014 27.4462 150 -10.212 -3.67558 223.253 0.55484 -13 90 1 0 1
-3.60284 -38.8228 150 -16.8775 -54.3708 188.414 0.592313 -13 91 1 0 1
-7.34829 24.7057 150 19.1265 4.02077 192.019 0.572344 -13 92 1 0 1
-38.1714 -3.83256 150 -21.8145 -18.6626 202.879 0.570164 -13 93 1 0 1
17.7057 26.9044 150 28.2586 2.1795 189.614 0.576052 -13 94 1 0 1
-10.5128 -45.4727 150 0.585009 -19.0919 187.371 0.577725 -13 95 1 0 1
-25.7259 -12.9525 150 -16.2014 -4.42579 182.301 0.580039 -13 96 1 0 1
-1.55419 30.2747 150 22.9902 20.6106 189.45 0.57699 -13 97 1 0 1
-10.4321 23.7413 150 8.66421 21.9155 187.95 0.576376 -13 98 1 0 1
3.40352 -26.9301 150 18.166 -36.3917 210.804 0.568803 -13 99 1 0 1
-9.7222 11.6866 150 7.41765 9.3561 190.46 0.572647 -13 100 1 0 1
