#BLTrackFile VirtualDetector/det30
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
104.396 -42.3829 126500 -21.3748 -51.9018 202.704 480.989 -13 1 1 0 1
-4.45381 -7.07766 126500 -5.24247 -13.4209 200.324 479.026 -13 2 1 0 1
3.28346 63.0213 126500 33.2097 -23.0758 190.854 485.093 -13 3 1 0 1
-40.6499 -12.9446 126500 -22.1731 1.33445 195.467 486.006 -13 4 1 0 1
75.1292 -108.661 126500 -63.3296 -20.0682 195.274 493.947 -13 5 1 0 1
18.705 22.9313 126500 8.10613 -12.8831 207.316 474.573 -13 6 1 0 1
-94.9213 -26.3185 126500 15.4035 52.3234 192.174 491.181 -13 8 1 0 1
22.0264 5.06706 126500 10.1404 -13.215 191.944 481.853 -13 9 1 0 1
74.2527 -13.1716 126500 3.20496 -39.4404 201.663 478.351 -13 10 1 0 1
-143.356 -25.6354 126500 -9.99905 80.5082 173.175 498.951 -13 11 1 0 1
-14.3547 5.18515 126500 -18.5324 24.815 189.905 489.03 -13 12 1 0 1
39.3816 55.9212 126500 35.0564 -37.6314 216.401 470.097 -13 13 1 0 1
-55.7201 -23.4125 126500 -21.7697 14.1611 199.2 482.96 -13 14 1 0 1
-4.37436 -46.1401 126500 -22.1089 11.3669 194.33 483.278 -13 15 1 0 1
-31.6614 -14.7724 126500 11.4666 27.1129 202.971 479.063 -13 16 1 0 1
-8.27699 52.278 126500 27.8652 -26.2183 220.317 471.925 -13 17 1 0 1
-14.6752 -45.9509 126500 -16.9926 12.331 203.138 478.7 -13 18 1 0 1
-23.2435 22.4637 126500 38.7249 15.5971 201.081 479.128 -13 19 1 0 1
-1.87463 -11.6997 126500 1.123 10.579 198.35 479.87 -13 20 1 0 1
21.6828 39.1227 126500 23.0015 -17.9506 195.458 479.544 -13 21 1 0 1
-43.1501 -54.0488 126500 -20.3999 24.4495 202.494 480.233 -13 22 1 0 1
104.236 -73.5458 126500 -23.9537 -68.8604 190.129 489.226 -13 23 1 0 1
-77.225 -8.5842 126500 -8.00015 34.5719 209.58 477.327 -13 24 1 0 1
-33.2882 74.6621 126500 45.172 7.95949 194.868 481.581 -13 25 1 0 1
5.14024 15.6776 126500 43.2862 1.67755 188.964 489.095 -13 26 1 0 1
18.1332 -55.4922 126500 -25.5516 25.2692 213.907 480.597 -13 27 1 0 1
34.9706 74.6571 126500 44.0147 -13.2439 196.844 479.685 -13 28 1 0 1
-33.1754 76.7753 126500 23.5364 29.5637 219.335 474.453 -13 29 1 0 1
38.1643 -11.1805 126500 7.47972 -19.4739 201.228 477.983 -13 30 1 0 1
-82.6237 -48.0728 126500 6.02186 44.8618 190.642 496.198 -13 31 1 0 1
-58.068 68.6182 126500 26.2685 32.2278 189.242 487.816 -13 32 1 0 1
20.4011 -8.70465 126500 8.02655 -37.2246 198.89 481.116 -13 33 1 0 1
-8.5916 -17.2434 126500 -25.6809 -9.33228 165.382 510.391 -13 34 1 0 1
34.2289 12.663 126500 18.4849 -15.0931 174.031 494.38 -13 35 1 0 1
2.63975 2.88105 126500 23.6778 7.83968 195.93 482.053 -13 36 1 0 1
-1.46348 14.0862 126500 13.8221 -4.3129 194.25 480.535 -13 37 1 0 1
-1.91124 -70.034 126500 -31.4204 -10.224 199.703 481.659 -13 38 1 0 1
53.111 11.524 126500 20.7805 -27.8198 178.313 491.617 -13 39 1 0 1
13.2819 -11.335 126500 -18.6053 -12.549 180.159 491.131 -13 40 1 0 1
28.1848 9.6981 126500 19.4094 -28.8633 203.312 476.262 -13 41 1 0 1
-80.1995 24.9776 126500 30.1288 39.4741 184.317 489.889 -13 42 1 0 1
-29.8399 58.8354 126500 34.1784 24.0521 197.814 479.506 -13 43 1 0 1
16.6785 10.1364 126500 14.381 36.7382 203.963 487.279 -13 44 1 0 1
17.3677 5.71986 126500 2.88947 -9.87921 190.837 482.655 -13 45 1 0 1
-46.3364 88.7504 126500 41.5855 39.4714 208.121 477.471 -13 46 1 0 1
27.111 62.6169 126500 27.0483 -27.4859 194.87 481.755 -13 47 1 0 1
-51.6048 -4.54637 126500 -8.69122 15.4392 209.035 476.864 -13 48 1 0 1
1.8845 14.6478 126500 21.5955 -7.936 200.655 477.381 -13 49 1 0 1
3.3368 18.1959 126500 35.5174 -30.5657 212.947 475.183 -13 50 1 0 1
-16.977 -10.9598 126500 -3.83499 5.21245 192.795 482.273 -13 51 1 0 1
