#BLTrackFile VirtualDetector/det4
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det4
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det4
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det4
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det4
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det4
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det4
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det4
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det4
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det4
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det4
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det4
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
54.2733 3.43458 17300 -26.081 -19.6973 207.77 65.8483 -13 1 1 0 1
5.46936 14.0825 17650 -27.1642 23.4217 207.244 67.1709 -13 1 1 0 1
-57.9157 24.3598 18000 -37.4304 -26.3402 205.284 68.5035 -13 1 1 0 1
-82.729 -23.0436 18350 -6.99357 -7.88769 210.061 69.828 -13 1 1 0 1
-89.9754 13.7839 18700 16.9182 37.1602 206.324 71.1465 -13 1 1 0 1
-45.8065 23.2286 19050 18.728 -23.4251 208.176 72.4697 -13 1 1 0 1
-1.50126 -20.6863 19400 41.412 -9.4642 205.99 73.7983 -13 1 1 0 1
56.7814 -2.289 19750 26.0931 10.026 208.459 75.126 -13 1 1 0 1
85.9588 -34.5321 20100 -7.35185 -40.1127 206.333 76.4484 -13 1 1 0 1
57.6398 -58.5051 20450 -3.6494 13.3398 209.87 77.7671 -13 1 1 0 1
54.7357 -3.59705 20800 -22.4706 39.3035 205.395 79.092 -13 1 1 0 1
-6.77116 16.6398 21150 -34.7135 -5.4656 207.369 80.4243 -13 1 1 0 1
2.99323 -14.6799 17300 0.86085 8.8311 200.64 65.5096 -13 2 1 0 1
17.1327 -2.27605 17650 12.7382 7.67666 200.285 66.8309 -13 2 1 0 1
26.2531 28.2708 18000 -11.0499 21.7562 199.348 68.1569 -13 2 1 0 1
3.41942 43.3193 18350 -2.47616 0.541149 200.82 69.4812 -13 2 1 0 1
19.8007 33.7344 18700 10.476 -16.5002 199.883 70.8033 -13 2 1 0 1
11.4919 8.6851 19050 -14.5347 -7.13325 200.183 72.1274 -13 2 1 0 1
-9.56651 -11.1856 19400 -2.28663 -18.5164 199.968 73.4517 -13 2 1 0 1
-1.38212 -37.9384 19750 0.477872 -12.2161 200.464 74.7753 -13 2 1 0 1
-29.1144 -45.7918 20100 -23.7704 13.0835 198.995 76.1012 -13 2 1 0 1
-39.818 -18.4028 20450 7.48804 4.82163 200.639 77.427 -13 2 1 0 1
-16.339 -19.0076 20800 16.4385 5.79134 200.079 78.7494 -13 2 1 0 1
-5.56866 7.69936 21150 -0.65918 19.6243 199.874 80.0739 -13 2 1 0 1
6.69126 62.1863 17300 31.8536 14.5901 191.913 66.3336 -13 3 1 0 1
46.7099 60.537 17650 1.70905 3.01115 195.054 67.6725 -13 3 1 0 1
6.27926 73.4169 18000 -37.2483 -10.6152 191.201 69.0138 -13 3 1 0 1
-12.0301 26.9434 18350 14.3132 -24.4482 193.017 70.3604 -13 3 1 0 1
2.40964 -23.0055 18700 -12.4902 -28.8624 192.533 71.7042 -13 3 1 0 1
-34.0316 -54.853 19050 -11.6847 -16.9102 193.999 73.0453 -13 3 1 0 1
0.132171 -92.3612 19400 45.5417 -1.05298 189.692 74.394 -13 3 1 0 1
35.24 -58.2434 19750 -11.6581 15.1164 194.149 75.7418 -13 3 1 0 1
-4.9612 -27.832 20100 -15.6581 30.7186 192.014 77.0842 -13 3 1 0 1
7.96084 27.6964 20450 14.8621 26.8497 192.656 78.4314 -13 3 1 0 1
-11.2833 76.8261 20800 -38.7074 10.9878 190.89 79.7801 -13 3 1 0 1
-52.9667 65.8299 21150 2.37389 0.049552 195.071 81.1219 -13 3 1 0 1
74.5894 61.4978 17300 43.5116 -28.3184 189.744 66.5068 -13 4 1 0 1
94.793 9.86021 17650 -7.33235 -1.07733 196.579 67.8558 -13 4 1 0 1
56.9725 44.4992 18000 -41.5717 12.2492 191.885 69.1986 -13 4 1 0 1
5.36343 8.76344 18350 -11.0505 -35.5811 193.158 70.551 -13 4 1 0 1
-39.6779 -37.8712 18700 -40.949 0.123812 192.409 71.9029 -13 4 1 0 1
-87.9995 -16.5822 19050 -14.1471 -2.76102 196.19 73.2453 -13 4 1 0 1
-73.9773 -71.9088 19400 43.7246 -31.143 189.252 74.5968 -13 4 1 0 1
-11.53 -56.146 19750 7.25067 29.8895 194.299 75.9542 -13 4 1 0 1
1.23834 -0.372002 20100 23.1035 23.9101 193.888 77.2979 -13 4 1 0 1
54.9368 14.0149 20450 27.9445 8.09022 194.556 78.6406 -13 4 1 0 1
65.4209 74.0397 20800 -33.176 39.7311 189.787 79.995 -13 4 1 0 1
9.09064 82.9407 21150 -4.14416 -14.4269 196.145 81.3457 -13 4 1 0 1
125.292 -53.1863 17300 -45.4711 -54.0453 193.784 67.439 -13 5 1 0 1
39.4378 -47.699 17650 -25.3566 42.9014 200.144 68.807 -13 5 1 0 1
-19.6715 21.167 18000 -54.0902 12.4292 198.647 70.1658 -13 5 1 0 1
-99.7407 -0.0149477 18350 -36.7848 -4.87748 202.889 71.5159 -13 5 1 0 1
-127.819 72.449 18700 34.9845 63.4513 193.109 72.8776 -13 5 1 0 1
-53.4205 87.4566 19050 13.1991 -33.3881 203.106 74.238 -13 5 1 0 1
