# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.833079 -1.28742 227.695 0 -13 -2 1 0 1 0.0844236 -0.0883828 -2.26474 0 0 0 
-11.2894 14.0922 0.4995 0.848229 -1.27352 227.695 0.00183692 -13 -2 1 0 1 0.0844909 -0.0885385 -2.25815 0 0 0 
-11.2894 14.0922 0.5005 0.848259 -1.27349 227.695 0.00184059 -13 -2 1 0 1 0.084491 -0.0885388 -2.25814 0 0 0 
-10.2593 14.2032 100.494 3.85454 1.8276 227.66 0.369567 -13 -2 1 0 1 0.0894487 -0.110539 -0.784151 0 0 0 
-7.81725 15.5916 200.453 7.44501 4.20044 227.539 0.737293 -13 -2 1 0 1 0.0701634 -0.124226 0.811965 0 0 0 
-3.56013 17.4717 300.343 12.0348 3.70558 227.352 1.10502 -13 -2 1 0 1 0.0336119 -0.118825 2.2787 0 0 0 
2.61606 18.1903 400.146 15.6069 -1.14571 227.162 1.47274 -13 -2 1 0 1 0.00236236 -0.0757625 3.33918 0 0 0 
9.45227 16.0887 499.885 14.5605 -8.42279 227.078 1.84047 -13 -2 1 0 1 0.0131054 -0.00763288 3.73203 0 0 0 
14.6838 11.2116 599.625 8.78305 -12.9494 227.162 2.2082 -13 -2 1 0 1 0.0676315 0.0352185 3.34061 0 0 0 
17.1486 5.50806 699.429 2.81989 -12.2458 227.353 2.57592 -13 -2 1 0 1 0.121245 0.0293603 2.28109 0 0 0 
17.6618 0.904118 799.319 0.131951 -8.47079 227.542 2.94365 -13 -2 1 0 1 0.144664 0.000414756 0.814565 0 0 0 
17.7074 -1.85746 899.28 0.414923 -4.10945 227.663 3.31137 -13 -2 1 0 1 0.142739 -0.0227644 -0.785951 0 0 0 
18.1532 -2.72487 999.273 1.56704 0.124949 227.695 3.6791 -13 -2 1 0 1 0.1211 -0.028864 -2.25766 0 0 0 
18.9017 -1.8297 1099.27 1.52753 3.74975 227.664 4.04683 -13 -2 1 0 1 0.0732928 -0.020901 -3.32591 0 0 0 
19.2324 0.254916 1199.24 -0.211316 5.24557 227.64 4.41455 -13 -2 1 0 1 0.000619923 -0.0151544 -3.7255 0 0 0 
18.7254 2.30459 1299.22 -1.88912 3.60068 227.664 4.78228 -13 -2 1 0 1 -0.071571 -0.022637 -3.3377 0 0 0 
17.8461 3.11859 1399.21 -1.79711 -0.0759778 227.693 5.15001 -13 -2 1 0 1 -0.118463 -0.0314034 -2.27844 0 0 0 
