# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.731734 -1.1308 199.995 0 -13 -2 1 0 1 0.0742713 -0.0777543 -1.9924 0 0 0 
-11.2894 14.0922 0.4995 0.745062 -1.11857 199.995 0.0018845 -13 -2 1 0 1 0.0743305 -0.0778914 -1.9866 0 0 0 
-11.2894 14.0922 0.5005 0.745089 -1.11855 199.995 0.00188827 -13 -2 1 0 1 0.0743306 -0.0778917 -1.98659 0 0 0 
-10.2583 14.2043 100.494 3.38954 1.6099 199.965 0.379139 -13 -2 1 0 1 0.0786852 -0.0972538 -0.689854 0 0 0 
-7.81304 15.5959 200.453 6.54885 3.69678 199.859 0.75639 -13 -2 1 0 1 0.0616968 -0.109318 0.714321 0 0 0 
-3.54904 17.4788 300.342 10.589 3.25705 199.693 1.13364 -13 -2 1 0 1 0.0295059 -0.104578 2.00467 0 0 0 
2.63767 18.1948 400.145 13.7302 -1.021 199.526 1.51089 -13 -2 1 0 1 0.00200568 -0.0666675 2.93762 0 0 0 
9.48229 16.0808 499.883 12.7977 -7.43222 199.452 1.88814 -13 -2 1 0 1 0.0115286 -0.00671609 3.28325 0 0 0 
14.7119 11.1849 599.622 7.69835 -11.4114 199.526 2.26539 -13 -2 1 0 1 0.0595916 0.030893 2.93891 0 0 0 
17.1641 5.4657 699.425 2.4453 -10.78 199.694 2.64264 -13 -2 1 0 1 0.106754 0.0255848 2.00682 0 0 0 
17.6613 0.853414 799.316 0.0859968 -7.45095 199.861 3.0199 -13 -2 1 0 1 0.127264 1.3496e-05 0.716662 0 0 0 
17.6946 -1.91196 899.276 0.345912 -3.61535 199.967 3.39715 -13 -2 1 0 1 0.125485 -0.0204049 -0.691381 0 0 0 
18.1345 -2.7821 999.27 1.37141 0.104548 199.995 3.7744 -13 -2 1 0 1 0.10643 -0.0257247 -1.98611 0 0 0 
18.8833 -1.88901 1099.26 1.34638 3.29109 199.968 4.15165 -13 -2 1 0 1 0.0644187 -0.0185883 -2.92592 0 0 0 
19.2169 0.195442 1199.24 -0.180078 4.60898 199.947 4.5289 -13 -2 1 0 1 0.000547681 -0.0133337 -3.27748 0 0 0 
18.7113 2.24608 1299.22 -1.66004 3.16403 199.968 4.90615 -13 -2 1 0 1 -0.0629146 -0.0197195 -2.93634 0 0 0 
17.8296 3.05971 1399.21 -1.58704 -0.0699867 199.994 5.2834 -13 -2 1 0 1 -0.104121 -0.0272874 -2.00448 0 0 0 
17.3043 2.10939 1499.2 -0.47722 -3.74943 199.964 5.66065 -13 -2 1 0 1 -0.122552 -0.0217826 -0.713804 0 0 0 
17.2197 -0.701825 1599.16 -0.162415 -7.49606 199.859 6.0379 -13 -2 1 0 1 -0.124285 -0.001048 0.693851 0 0 0 
16.6982 -5.31366 1699.05 -2.46331 -10.7381 199.696 6.41515 -13 -2 1 0 1 -0.104441 0.0248428 1.98728 0 0 0 
14.254 -11.0008 1798.86 -7.65001 -11.3381 199.532 6.7924 -13 -2 1 0 1 -0.0586638 0.0307732 2.92658 0 0 0 
9.05861 -15.8674 1898.6 -12.7204 -7.39666 199.458 7.16965 -13 -2 1 0 1 -0.0120002 -0.00588553 3.28046 0 0 0 
2.24633 -17.978 1998.34 -13.6866 -1.04035 199.528 7.54691 -13 -2 1 0 1 -0.00343544 -0.0651616 2.94525 0 0 0 
-3.93331 -17.2817 2098.14 -10.6041 3.19948 199.693 7.92416 -13 -2 1 0 1 -0.0316444 -0.103036 2.01984 0 0 0 
-8.21761 -15.4375 2198.03 -6.61152 3.5953 199.858 8.30141 -13 -2 1 0 1 -0.0644383 -0.108142 0.732967 0 0 0 
-10.7004 -14.1146 2297.99 -3.46952 1.4306 199.965 8.67866 -13 -2 1 0 1 -0.0818371 -0.0968173 -0.674989 0 0 0 
