# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.731734 -1.1308 199.995 0 -13 -2 1 0 1 0.0662526 -0.0810043 -1.99189 0 0 0 
-11.2893 14.092 0.4995 0.745549 -1.11977 199.995 0.0018845 -13 -2 1 0 1 0.0663195 -0.0811296 -1.98609 0 0 0 
-11.2893 14.092 0.5005 0.745576 -1.11975 199.995 0.00188827 -13 -2 1 0 1 0.0663196 -0.0811298 -1.98608 0 0 0 
-10.2355 14.1486 100.493 3.47061 1.39647 199.965 0.379139 -13 -2 1 0 1 0.071804 -0.0979576 -0.689501 0 0 0 
-7.75058 15.3827 200.454 6.59879 3.27647 199.864 0.75639 -13 -2 1 0 1 0.0545358 -0.106711 0.714495 0 0 0 
-3.5121 17.0004 300.349 10.3951 2.6212 199.712 1.13364 -13 -2 1 0 1 0.0212724 -0.0985285 2.00445 0 0 0 
2.46551 17.3655 400.167 13.0562 -1.75245 199.566 1.51089 -13 -2 1 0 1 -0.00705778 -0.0588284 2.93665 0 0 0 
8.83583 14.917 499.929 11.5921 -7.99393 199.504 1.88814 -13 -2 1 0 1 0.0012684 -0.000766285 3.28144 0 0 0 
13.3743 9.81826 599.691 6.19125 -11.6662 199.563 2.26539 -13 -2 1 0 1 0.0459235 0.0321426 2.93664 0 0 0 
15.0567 4.01055 699.505 0.905867 -10.9409 199.698 2.64264 -13 -2 1 0 1 0.087709 0.0224727 2.00483 0 0 0 
14.8026 -0.747411 799.39 -1.36835 -7.95033 199.837 3.0199 -13 -2 1 0 1 0.103067 -0.00583258 0.715474 0 0 0 
14.1531 -3.93963 899.336 -0.891303 -4.88574 199.938 3.39715 -13 -2 1 0 1 0.0984384 -0.0281107 -0.691513 0 0 0 
14.1061 -5.69058 999.32 0.754699 -2.14671 199.987 3.7744 -13 -2 1 0 1 0.0818115 -0.0340105 -1.98491 0 0 0 
14.8236 -6.10727 1099.32 1.91386 0.427894 199.99 4.15165 -13 -2 1 0 1 0.0501341 -0.0219853 -2.92355 0 0 0 
15.764 -5.40768 1199.31 1.59899 2.11129 199.982 4.5289 -13 -2 1 0 1 0.000405314 -0.00162012 -3.27464 0 0 0 
16.2691 -4.34187 1299.3 0.392002 1.77123 199.992 4.90615 -13 -2 1 0 1 -0.05431 0.0131206 -2.93373 0 0 0 
