# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 200 0 -13 -2 1 0 1 -2.7479e-18 -0.0155737 0.173999 0 0 0 
0.000296904 -1.29909e-07 5 0.0239594 -1.5714e-05 200 0.0188625 -13 -2 1 0 1 -9.22255e-08 -0.016401 0.177047 0 0 0 
0.00120849 -1.06455e-06 10 0.0491807 -6.48957e-05 200 0.0377251 -13 -2 1 0 1 -3.82036e-07 -0.0172551 0.180125 0 0 0 
0.00276683 -3.68035e-06 15 0.0757091 -0.000150762 200 0.0565876 -13 -2 1 0 1 -8.90177e-07 -0.0181446 0.183284 0 0 0 
0.0050052 -8.93683e-06 20 0.10359 -0.000276741 200 0.0754502 -13 -2 1 0 1 -1.6386e-06 -0.0190643 0.186485 0 0 0 
0.00795808 -1.78821e-05 25 0.132878 -0.000446494 200 0.0943127 -13 -2 1 0 1 -2.65027e-06 -0.020018 0.189712 0 0 0 
0.0116612 -3.16585e-05 30 0.163621 -0.000663901 200 0.113175 -13 -2 1 0 1 -3.95024e-06 -0.0210103 0.19301 0 0 0 
0.0161517 -5.15089e-05 35 0.195875 -0.000933125 200 0.132038 -13 -2 1 0 1 -5.56423e-06 -0.0220316 0.196338 0 0 0 
0.021468 -7.87834e-05 40 0.229693 -0.0012586 200 0.1509 -13 -2 1 0 1 -7.52057e-06 -0.0230961 0.199747 0 0 0 
0.0276498 -0.000114946 45 0.265127 -0.001645 200 0.169763 -13 -2 1 0 1 -9.84735e-06 -0.0241948 0.203189 0 0 0 
0.0347384 -0.000161583 50 0.30224 -0.00209732 200 0.188625 -13 -2 1 0 1 -1.25743e-05 -0.025331 0.206661 0 0 0 
0.0427763 -0.000220405 55 0.341085 -0.00262081 200 0.207488 -13 -2 1 0 1 -1.5735e-05 -0.0265125 0.210207 0 0 0 
0.0518076 -0.000293263 60 0.381725 -0.00322111 200 0.226351 -13 -2 1 0 1 -1.93621e-05 -0.027725 0.213784 0 0 0 
0.061878 -0.00038215 65 0.424223 -0.0039042 200 0.245213 -13 -2 1 0 1 -2.34916e-05 -0.0289891 0.217438 0 0 0 
0.0730347 -0.000489215 69.9999 0.468635 -0.00467632 199.999 0.264076 -13 -2 1 0 1 -2.81573e-05 -0.0302897 0.221114 0 0 0 
0.0853263 -0.000616764 74.9999 0.515033 -0.00554412 199.999 0.282938 -13 -2 1 0 1 -3.33973e-05 -0.0316325 0.224826 0 0 0 
0.0988033 -0.000767276 79.9999 0.563476 -0.0065146 199.999 0.301801 -13 -2 1 0 1 -3.9254e-05 -0.0330264 0.228614 0 0 0 
0.113518 -0.000943411 84.9999 0.614034 -0.00759521 199.999 0.320663 -13 -2 1 0 1 -4.57662e-05 -0.0344553 0.232428 0 0 0 
0.129523 -0.00114802 89.9999 0.666778 -0.00879385 199.999 0.339526 -13 -2 1 0 1 -5.29753e-05 -0.0359417 0.236307 0 0 0 
0.146875 -0.00138415 94.9998 0.721769 -0.0101186 199.999 0.358388 -13 -2 1 0 1 -6.09228e-05 -0.0374675 0.240207 0 0 0 
0.165631 -0.00165507 99.9998 0.779087 -0.0115782 199.998 0.377251 -13 -2 1 0 1 -6.96535e-05 -0.0390398 0.244141 0 0 0 
0.18585 -0.00196426 105 0.838795 -0.0131818 199.998 0.396113 -13 -2 1 0 1 -7.92162e-05 -0.0406688 0.248151 0 0 0 
0.207592 -0.00231544 110 0.900973 -0.0149389 199.998 0.414976 -13 -2 1 0 1 -8.96559e-05 -0.0423366 0.25218 0 0 0 
0.230919 -0.00271258 115 0.965696 -0.0168598 199.998 0.433838 -13 -2 1 0 1 -0.000101012 -0.0440645 0.256256 0 0 0 
0.255898 -0.00315988 120 1.03303 -0.0189547 199.997 0.452701 -13 -2 1 0 1 -0.000113338 -0.0458369 0.260357 0 0 0 
0.282593 -0.00366186 125 1.10306 -0.0212348 199.997 0.471564 -13 -2 1 0 1 -0.000126681 -0.0476574 0.264487 0 0 0 
0.311074 -0.00422327 129.999 1.17585 -0.0237117 199.997 0.490426 -13 -2 1 0 1 -0.000141084 -0.0495417 0.268684 0 0 0 
0.34141 -0.00484918 134.999 1.25149 -0.0263975 199.996 0.509289 -13 -2 1 0 1 -0.000156604 -0.0514654 0.272891 0 0 0 
0.373673 -0.00554499 139.999 1.33007 -0.0293048 199.996 0.528151 -13 -2 1 0 1 -0.000173268 -0.0534503 0.277125 0 0 0 
0.407938 -0.00631637 144.999 1.41163 -0.0324465 199.995 0.547014 -13 -2 1 0 1 -0.000191137 -0.0554847 0.281387 0 0 0 
0.44428 -0.00716938 149.999 1.49628 -0.0358365 199.994 0.565876 -13 -2 1 0 1 -0.000210258 -0.0575667 0.28567 0 0 0 
0.482778 -0.00811038 154.999 1.58409 -0.039489 199.994 0.584739 -13 -2 1 0 1 -0.000230644 -0.0597191 0.290004 0 0 0 
0.523512 -0.00914614 159.999 1.67515 -0.0434189 199.993 0.603601 -13 -2 1 0 1 -0.000252387 -0.0619049 0.294331 0 0 0 
