# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 200 0 -13 -2 1 0 1 -3.98613e-19 -0.00234554 0.163686 0 0 0 
4.46746e-05 -1.83926e-08 5 0.00360318 -2.2241e-06 200 0.0188625 -13 -2 1 0 1 -1.28158e-08 -0.00246248 0.166534 0 0 0 
0.00018164 -1.50576e-07 10 0.00738427 -9.17386e-06 200 0.0377251 -13 -2 1 0 1 -5.3026e-08 -0.00258351 0.169431 0 0 0 
0.00041543 -5.20109e-07 15 0.0113501 -2.12871e-05 200 0.0565876 -13 -2 1 0 1 -1.23392e-07 -0.0027085 0.172359 0 0 0 
0.000750741 -1.26184e-06 20 0.0155074 -3.90306e-05 200 0.0754502 -13 -2 1 0 1 -2.26877e-07 -0.00283893 0.175368 0 0 0 
0.00119245 -2.52269e-06 25 0.0198627 -6.29017e-05 200 0.0943127 -13 -2 1 0 1 -3.66586e-07 -0.00297355 0.178415 0 0 0 
0.0017456 -4.46242e-06 30 0.0244239 -9.34317e-05 200 0.113175 -13 -2 1 0 1 -5.45812e-07 -0.00311276 0.181503 0 0 0 
0.00241541 -7.25445e-06 35 0.0291976 -0.000131184 200 0.132038 -13 -2 1 0 1 -7.68122e-07 -0.00325769 0.184668 0 0 0 
0.00320731 -1.10868e-05 40 0.0341915 -0.00017676 200 0.1509 -13 -2 1 0 1 -1.03715e-06 -0.00340702 0.18787 0 0 0 
0.00412689 -1.6163e-05 45 0.0394139 -0.0002308 200 0.169763 -13 -2 1 0 1 -1.35679e-06 -0.00356182 0.191126 0 0 0 
0.00517996 -2.27029e-05 50 0.0448719 -0.000293979 200 0.188625 -13 -2 1 0 1 -1.73124e-06 -0.00372244 0.194449 0 0 0 
0.00637253 -3.09441e-05 55 0.0505743 -0.000367021 200 0.207488 -13 -2 1 0 1 -2.1647e-06 -0.00388776 0.19781 0 0 0 
