# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 200 0 -13 -2 1 0 1 8.0174e-19 0.0405769 -0.162408 0 0 0 
-0.000770579 -3.30204e-07 5 -0.0620558 -4.0498e-05 200 0.0188625 -13 -2 1 0 1 -1.17517e-06 0.042216 -0.177893 0 0 0 
-0.00312286 -2.81571e-06 10 -0.126516 -0.000175844 200 0.0377251 -13 -2 1 0 1 -4.57827e-06 0.0437792 -0.19266 0 0 0 
-0.0071156 -1.00829e-05 15 -0.19328 -0.000426445 200 0.0565876 -13 -2 1 0 1 -1.00032e-05 0.0452848 -0.207026 0 0 0 
-0.0128051 -2.52617e-05 20 -0.262235 -0.000811949 200 0.0754502 -13 -2 1 0 1 -1.72029e-05 0.046715 -0.220652 0 0 0 
-0.0202449 -5.19656e-05 25 -0.333285 -0.0013515 200 0.0943127 -13 -2 1 0 1 -2.58997e-05 0.0480686 -0.233624 0 0 0 
-0.0294858 -9.42684e-05 30 -0.406311 -0.00206289 200 0.113175 -13 -2 1 0 1 -3.57987e-05 0.0493583 -0.246152 0 0 0 
-0.0405759 -0.000156681 35 -0.481197 -0.00296276 199.999 0.132038 -13 -2 1 0 1 -4.65314e-05 0.050558 -0.257769 0 0 0 
-0.0535603 -0.00024411 40 -0.557833 -0.0040668 199.999 0.1509 -13 -2 1 0 1 -5.77531e-05 0.0516823 -0.268809 0 0 0 
-0.068481 -0.000361831 44.9999 -0.636089 -0.00538836 199.999 0.169763 -13 -2 1 0 1 -6.90822e-05 0.0527352 -0.279325 0 0 0 
-0.0853772 -0.000515445 49.9999 -0.715845 -0.00693976 199.999 0.188625 -13 -2 1 0 1 -8.00412e-05 0.0536874 -0.288832 0 0 0 
-0.104285 -0.000710824 54.9999 -0.796977 -0.0087314 199.998 0.207488 -13 -2 1 0 1 -9.02553e-05 0.054566 -0.297825 0 0 0 
-0.125236 -0.000954077 59.9998 -0.879349 -0.0107708 199.998 0.226351 -13 -2 1 0 1 -9.92481e-05 0.0553617 -0.306149 0 0 0 
