# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 200 0 -13 -2 1 0 1 -3.85115e-21 -2.2686e-05 0.163446 0 0 0 
4.32072e-07 -1.77631e-10 5 3.48483e-05 -2.14799e-08 200 0.0188625 -13 -2 1 0 1 -1.23711e-10 -2.3816e-05 0.1663 0 0 0 
1.75672e-06 -1.45424e-09 10 7.1415e-05 -8.85981e-08 200 0.0377251 -13 -2 1 0 1 -5.1185e-10 -2.49829e-05 0.169189 0 0 0 
4.01771e-06 -5.02301e-09 15 0.000109766 -2.05579e-07 200 0.0565876 -13 -2 1 0 1 -1.19106e-09 -2.61919e-05 0.172116 0 0 0 
7.2604e-06 -1.21861e-08 20 0.000149963 -3.76924e-07 200 0.0754502 -13 -2 1 0 1 -2.1899e-09 -2.74498e-05 0.17512 0 0 0 
1.15318e-05 -2.43621e-08 25 0.000192074 -6.07431e-07 200 0.0943127 -13 -2 1 0 1 -3.53831e-09 -2.8747e-05 0.178159 0 0 0 
1.68807e-05 -4.30934e-08 30 0.00023617 -9.02228e-07 200 0.113175 -13 -2 1 0 1 -5.2681e-09 -3.00944e-05 0.181248 0 0 0 
2.33574e-05 -7.00543e-08 35 0.000282318 -1.26674e-06 200 0.132038 -13 -2 1 0 1 -7.41351e-09 -3.14918e-05 0.184405 0 0 0 
3.10143e-05 -1.0706e-07 40 0.000330593 -1.70678e-06 200 0.1509 -13 -2 1 0 1 -1.00095e-08 -3.29317e-05 0.187597 0 0 0 
3.99054e-05 -1.56074e-07 45 0.000381072 -2.22852e-06 200 0.169763 -13 -2 1 0 1 -1.30943e-08 -3.44295e-05 0.190854 0 0 0 
5.00868e-05 -2.1922e-07 50 0.000433827 -2.83847e-06 200 0.188625 -13 -2 1 0 1 -1.67074e-08 -3.59784e-05 0.194168 0 0 0 
6.16165e-05 -2.98791e-07 55 0.000488943 -3.54361e-06 200 0.207488 -13 -2 1 0 1 -2.08894e-08 -3.75733e-05 0.197516 0 0 0 
7.45543e-05 -3.97256e-07 60 0.000546499 -4.35132e-06 200 0.226351 -13 -2 1 0 1 -2.56861e-08 -3.92349e-05 0.200946 0 0 0 
8.89624e-05 -5.17276e-07 65 0.000606575 -5.26939e-06 200 0.245213 -13 -2 1 0 1 -3.11419e-08 -4.09474e-05 0.204422 0 0 0 
0.000104905 -6.61714e-07 70 0.000669264 -6.30614e-06 200 0.264076 -13 -2 1 0 1 -3.73032e-08 -4.27126e-05 0.207934 0 0 0 
0.000122448 -8.33645e-07 75 0.000734649 -7.47035e-06 200 0.282938 -13 -2 1 0 1 -4.42236e-08 -4.45501e-05 0.211534 0 0 0 
0.000141661 -1.03637e-06 80 0.000802819 -8.77127e-06 200 0.301801 -13 -2 1 0 1 -5.1953e-08 -4.64384e-05 0.215172 0 0 0 
0.000162613 -1.27343e-06 85 0.000873872 -1.02188e-05 200 0.320663 -13 -2 1 0 1 -6.05432e-08 -4.83904e-05 0.218857 0 0 0 
0.000185379 -1.54862e-06 90 0.000947896 -1.18232e-05 200 0.339526 -13 -2 1 0 1 -7.00548e-08 -5.04141e-05 0.222621 0 0 0 
0.000210033 -1.86599e-06 95 0.00102499 -1.35956e-05 200 0.358388 -13 -2 1 0 1 -8.05438e-08 -5.24917e-05 0.226422 0 0 0 
0.000236655 -2.22989e-06 100 0.00110526 -1.55475e-05 200 0.377251 -13 -2 1 0 1 -9.20673e-08 -5.4644e-05 0.230282 0 0 0 
0.000265323 -2.64496e-06 105 0.00118879 -1.7691e-05 200 0.396113 -13 -2 1 0 1 -1.04691e-07 -5.68666e-05 0.234208 0 0 0 
0.000296122 -3.11615e-06 110 0.0012757 -2.0039e-05 200 0.414976 -13 -2 1 0 1 -1.18479e-07 -5.91459e-05 0.238169 0 0 0 
