#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
#BLTrackFile VirtualDetector/det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.902796 -1.20875 500 -0.0918049 -0.0529822 200 13.2038 -13 1 1 0 1
0.836184 -1.2377 700 -0.0304995 -0.00100014 200 13.9583 -13 1 1 0 1
0.838999 -1.21597 900 0.0225543 0.0357837 200 14.7128 -13 1 1 0 1
0.848051 -1.18885 1100 -0.0159801 0.00965455 200 15.4673 -13 1 1 0 1
0.806557 -1.19631 1300 -0.0561704 -0.0157823 200 16.2218 -13 1 1 0 1
0.766284 -1.19993 1500 -0.0127001 0.0149007 200 16.9763 -13 1 1 0 1
0.780358 -1.1673 1700 0.02866 0.0434305 200 17.7308 -13 1 1 0 1
0.793361 -1.13327 1900 -0.012941 0.0165458 200 18.4853 -13 1 1 0 1
0.755145 -1.13364 2100 -0.0528401 -0.00891024 200 19.2398 -13 1 1 0 1
0.716927 -1.13165 2300 -0.0125769 0.0189771 200 19.9943 -13 1 1 0 1
0.729137 -1.0963 2500 0.0254973 0.0452554 200 20.7488 -13 1 1 0 1
0.739613 -1.05998 2700 -0.0140667 0.0198871 200 21.5033 -13 1 1 0 1
0.701891 -1.05591 2900 -0.0513378 -0.00390425 200 22.2578 -13 1 1 0 1
0.664201 -1.04969 3100 -0.0138717 0.02195 200 23.0123 -13 1 1 0 1
0.67317 -1.01266 3300 0.0210946 0.0461094 200 23.7668 -13 1 1 0 1
0.680255 -0.974864 3500 -0.0156174 0.0225968 200 24.5213 -13 1 1 0 1
0.642957 -0.966775 3700 -0.0496832 0.000826958 200 25.2758 -13 1 1 0 1
0.605856 -0.956631 3900 -0.0153072 0.0245418 200 26.0303 -13 1 1 0 1
0.611251 -0.918399 4100 0.0162755 0.0464076 200 26.7848 -13 1 1 0 1
0.614709 -0.879613 4300 -0.0171388 0.0249851 200 27.5393 -13 1 1 0 1
0.578107 -0.867676 4500 -0.0476148 0.0054692 200 28.2938 -13 1 1 0 1
0.54189 -0.85377 4700 -0.0166587 0.0268491 200 29.0483 -13 1 1 0 1
0.543595 -0.814745 4900 0.01124 0.0462263 200 29.8028 -13 1 1 0 1
0.54335 -0.775369 5100 -0.0185169 0.0271041 200 30.5573 -13 1 1 0 1
0.507794 -0.759726 5300 -0.0450787 0.0100366 200 31.3118 -13 1 1 0 1
0.472819 -0.742207 5500 -0.017845 0.0288879 200 32.0663 -13 1 1 0 1
0.470817 -0.702768 5700 0.00609748 0.045604 200 32.8208 -13 1 1 0 1
0.466886 -0.663171 5900 -0.0196843 0.0289747 200 33.5753 -13 1 1 0 1
0.432772 -0.643958 6100 -0.042037 0.0145234 200 34.3298 -13 1 1 0 1
0.399455 -0.622973 6300 -0.0187766 0.0306833 200 35.0843 -13 1 1 0 1
0.393853 -0.583443 6500 0.000991024 0.0446228 200 35.8388 -13 1 1 0 1
0.386396 -0.543907 6700 -0.0204991 0.0306844 200 36.5933 -13 1 1 0 1
0.354275 -0.521181 6900 -0.0383 0.0190095 200 37.3478 -13 1 1 0 1
0.323295 -0.496754 7100 -0.0191034 0.0324245 200 38.1023 -13 1 1 0 1
0.314649 -0.457146 7300 -0.00352366 0.0437317 200 38.8568 -13 1 1 0 1
0.30453 -0.417353 7500 -0.020057 0.0329759 200 39.6113 -13 1 1 0 1
0.276252 -0.390258 7700 -0.0320558 0.024631 200 40.3658 -13 1 1 0 1
0.250882 -0.360765 7900 -0.0153118 0.03655 200 41.1203 -13 1 1 0 1
0.244406 -0.317056 8100 -0.00156916 0.0490196 200 41.8748 -13 1 1 0 1
0.239535 -0.268129 8300 -0.0104647 0.0465333 200 42.6293 -13 1 1 0 1
2.15125 -0.0957428 500 -0.0244859 -0.149297 200 13.2038 -13 2 1 0 1
2.123 -0.19549 700 -0.0264713 -0.0345897 200 13.9583 -13 2 1 0 1
2.10154 -0.172731 900 -0.019131 0.0572631 200 14.7128 -13 2 1 0 1
2.07977 -0.138215 1100 -0.025112 -0.00892056 200 15.4673 -13 2 1 0 1
2.0505 -0.190789 1300 -0.033355 -0.0763069 200 16.2218 -13 2 1 0 1
2.01809 -0.238547 1500 -0.0279411 -0.000554551 200 16.9763 -13 2 1 0 1
1.99477 -0.1935 1700 -0.0220571 0.0709201 200 17.7308 -13 2 1 0 1
1.96894 -0.148374 1900 -0.0299762 0.000666464 200 18.4853 -13 2 1 0 1
1.9348 -0.190917 2100 -0.0379345 -0.0664153 200 19.2398 -13 2 1 0 1
1.89804 -0.23132 2300 -0.0323325 0.00326714 200 19.9943 -13 2 1 0 1
1.87004 -0.18588 2500 -0.0269327 0.0690767 200 20.7488 -13 2 1 0 1
1.83939 -0.141467 2700 -0.034685 0.00244418 200 21.5033 -13 2 1 0 1
1.80078 -0.17945 2900 -0.0421058 -0.0602297 200 22.2578 -13 2 1 0 1
1.75984 -0.215453 3100 -0.0367872 0.00452502 200 23.0123 -13 2 1 0 1
1.72704 -0.172065 3300 -0.031857 0.0649859 200 23.7668 -13 2 1 0 1
1.6917 -0.130073 3500 -0.0390802 0.00318138 200 24.5213 -13 2 1 0 1
1.64905 -0.163952 3700 -0.0458356 -0.0541242 200 25.2758 -13 2 1 0 1
1.6043 -0.195756 3900 -0.0409481 0.00528301 200 26.0303 -13 2 1 0 1
1.56694 -0.155232 4100 -0.0365439 0.0599326 200 26.7848 -13 2 1 0 1
1.52723 -0.116347 4300 -0.043094 0.00366046 200 27.5393 -13 2 1 0 1
1.48095 -0.145978 4500 -0.0490931 -0.0476421 200 28.2938 -13 2 1 0 1
1.43284 -0.173404 4700 -0.0447187 0.00587636 200 29.0483 -13 2 1 0 1
1.39128 -0.136239 4900 -0.0408966 0.0542067 200 29.8028 -13 2 1 0 1
1.34756 -0.10091 5100 -0.0466805 0.00405416 200 30.5573 -13 2 1 0 1
1.29814 -0.126035 5300 -0.0518449 -0.0407111 200 31.3118 -13 2 1 0 1
1.24716 -0.148823 5500 -0.0480433 0.00640941 200 32.0663 -13 2 1 0 1
1.20179 -0.115377 5700 -0.044859 0.0479639 200 32.8208 -13 2 1 0 1
1.1545 -0.0839207 5900 -0.0498022 0.00445614 200 33.5753 -13 2 1 0 1
1.10243 -0.104226 6100 -0.0540503 -0.0332946 200 34.3298 -13 2 1 0 1
1.04913 -0.122048 6300 -0.0508685 0.00700382 200 35.0843 -13 2 1 0 1
