#BLTrackFile NTuple/det0
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0 0 0 0 0 160 0 -13 -2 1 0 1
0 0 0 0 0 160 0 -13 -1 1 0 1
-19.4884 7.03989 0 -23.6581 -10.6099 157.885 0 -13 1 1 0 1
24.9325 -8.29926 0 -13.6325 12.0727 158.96 0 -13 2 1 0 1
17.4669 42.238 0 6.67779 -18.5812 158.777 0 -13 3 1 0 1
-12.1368 5.6251 0 12.8142 8.19425 159.275 0 -13 4 1 0 1
37.0658 22.7573 0 2.37157 -8.91586 159.734 0 -13 5 1 0 1
-29.9684 -3.83566 0 -3.01704 -6.8781 159.824 0 -13 6 1 0 1
16.8738 43.9397 0 9.88615 -5.19705 159.61 0 -13 7 1 0 1
-8.19582 8.02459 0 -7.32392 -4.69739 159.763 0 -13 8 1 0 1
-21.4816 27.1818 0 0.243555 -40.3652 154.824 0 -13 9 1 0 1
-16.5959 1.04436 0 -4.78217 14.2829 159.289 0 -13 10 1 0 1
7.11145 -41.2556 0 7.18801 29.062 157.174 0 -13 11 1 0 1
-4.80551 42.0873 0 5.69963 -1.49549 159.891 0 -13 12 1 0 1
1.92223 -4.3077 0 -2.80692 -10.6873 159.618 0 -13 13 1 0 1
17.4294 -27.9955 0 -4.2062 -15.4784 159.194 0 -13 14 1 0 1
13.7383 -5.70025 0 11.7276 -21.1317 158.164 0 -13 15 1 0 1
-6.71289 6.18317 0 -8.27376 5.41274 159.694 0 -13 16 1 0 1
-6.7912 18.7201 0 0.577157 -33.4202 156.47 0 -13 17 1 0 1
15.404 -4.40831 0 16.3819 4.76935 159.088 0 -13 18 1 0 1
15.2756 4.8002 0 21.3822 -4.35957 158.505 0 -13 19 1 0 1
11.3933 -18.2543 0 23.0721 -1.5449 158.32 0 -13 20 1 0 1
8.06687 10.0675 0 5.53722 -20.8459 158.54 0 -13 21 1 0 1
12.4089 5.55053 0 -25.3322 7.0687 157.824 0 -13 22 1 0 1
-2.95968 -10.0331 0 4.38115 10.4276 159.6 0 -13 23 1 0 1
36.1187 -7.46342 0 -13.8523 5.49488 159.304 0 -13 24 1 0 1
-7.20567 15.8848 0 -17.4256 -13.6034 158.465 0 -13 25 1 0 1
0.547172 -17.2949 0 -0.564807 19.778 158.772 0 -13 26 1 0 1
10.8572 2.4118 0 9.61357 -20.0967 158.441 0 -13 27 1 0 1
31.7231 16.8576 0 45.1549 24.1682 151.581 0 -13 28 1 0 1
3.2316 17.2491 0 1.38694 0.101626 159.994 0 -13 29 1 0 1
-24.58 4.57602 0 -7.38733 -1.4704 159.823 0 -13 30 1 0 1
8.72646 -28.9977 0 -12.749 17.4147 158.538 0 -13 31 1 0 1
