# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 200 0 -13 -2 1 0 1 -1.63226e-18 -0.00555443 0.419647 0 0 0 
1.06169e-08 -1.11914e-11 0.0005 8.32591e-07 -1.30932e-13 200 1.88625e-06 -13 -2 1 0 1 -7.37796e-12 -0.00555447 0.419648 0 0 0 
0.000106201 -1.11959e-07 5.0005 0.00857886 -1.35458e-05 200 0.0188644 -13 -2 1 0 1 -7.51078e-08 -0.00589241 0.426652 0 0 0 
0.000433245 -9.18426e-07 10.0005 0.0176725 -5.60346e-05 200 0.037727 -13 -2 1 0 1 -3.11807e-07 -0.00624373 0.433798 0 0 0 
0.000994292 -3.17931e-06 15.0005 0.0273019 -0.000130403 200 0.0565895 -13 -2 1 0 1 -7.28113e-07 -0.00660712 0.441029 0 0 0 
0.00180298 -7.73041e-06 20.0005 0.0374873 -0.000239796 200 0.0754521 -13 -2 1 0 1 -1.34338e-06 -0.00698531 0.448426 0 0 0 
0.00287345 -1.54888e-05 25.0005 0.0482484 -0.000387564 200 0.0943146 -13 -2 1 0 1 -2.17817e-06 -0.00737739 0.455943 0 0 0 
0.00422038 -2.74583e-05 30.0005 0.0596074 -0.000577303 200 0.113177 -13 -2 1 0 1 -3.25424e-06 -0.00778243 0.463548 0 0 0 
0.00585898 -4.47355e-05 35.0005 0.0715859 -0.00081284 200 0.13204 -13 -2 1 0 1 -4.59547e-06 -0.0082049 0.471353 0 0 0 
0.00780501 -6.85159e-05 40.0005 0.0842057 -0.00109826 200 0.150902 -13 -2 1 0 1 -6.22617e-06 -0.00864144 0.479254 0 0 0 
0.0100748 -0.0001001 45.0005 0.0974913 -0.00143792 200 0.169765 -13 -2 1 0 1 -8.17269e-06 -0.00909284 0.487269 0 0 0 
0.0126853 -0.000140902 50.0005 0.111466 -0.00183645 200 0.188627 -13 -2 1 0 1 -1.04637e-05 -0.00956288 0.495472 0 0 0 
0.015654 -0.000192455 55.0005 0.126153 -0.0022988 200 0.20749 -13 -2 1 0 1 -1.31278e-05 -0.0100477 0.503769 0 0 0 
0.0189991 -0.000256418 60.0005 0.141579 -0.00283024 200 0.226352 -13 -2 1 0 1 -1.61967e-05 -0.0105501 0.512211 0 0 0 
0.0227393 -0.000334588 65.0005 0.157769 -0.00343631 200 0.245215 -13 -2 1 0 1 -1.97037e-05 -0.0110715 0.520818 0 0 0 
0.0268942 -0.000428905 70.0005 0.17475 -0.00412298 200 0.264077 -13 -2 1 0 1 -2.36824e-05 -0.0116087 0.529521 0 0 0 
0.0314837 -0.000541462 75.0005 0.192549 -0.00489655 200 0.28294 -13 -2 1 0 1 -2.81707e-05 -0.0121664 0.538401 0 0 0 
0.0365286 -0.000674512 80.0005 0.211193 -0.00576367 200 0.301803 -13 -2 1 0 1 -3.32062e-05 -0.0127433 0.54742 0 0 0 
0.0420506 -0.000830484 85.0005 0.230712 -0.00673146 200 0.320665 -13 -2 1 0 1 -3.88283e-05 -0.0133369 0.556536 0 0 0 
0.0480718 -0.00101199 90.0005 0.251135 -0.00780741 200 0.339528 -13 -2 1 0 1 -4.50811e-05 -0.0139547 0.565863 0 0 0 
0.0546151 -0.00122182 95.0005 0.272489 -0.00899943 200 0.35839 -13 -2 1 0 1 -5.20065e-05 -0.0145909 0.575296 0 0 0 
0.0617043 -0.001463 100 0.294808 -0.010316 200 0.377253 -13 -2 1 0 1 -5.96507e-05 -0.0152456 0.584839 0 0 0 
0.0693638 -0.00173873 105 0.31812 -0.0117658 200 0.396115 -13 -2 1 0 1 -6.80623e-05 -0.0159263 0.594591 0 0 0 
0.0776188 -0.00205248 110 0.342456 -0.0133584 200 0.414978 -13 -2 1 0 1 -7.72896e-05 -0.0166256 0.604441 0 0 0 
0.0864954 -0.00240793 115 0.367852 -0.0151037 200 0.43384 -13 -2 1 0 1 -8.73847e-05 -0.0173472 0.614436 0 0 0 
0.0960204 -0.00280902 120 0.394336 -0.017012 200 0.452703 -13 -2 1 0 1 -9.83995e-05 -0.0180944 0.62461 0 0 0 
0.106222 -0.00325998 125 0.421944 -0.0190944 200 0.471565 -13 -2 1 0 1 -0.00011039 -0.0188609 0.63488 0 0 0 
