# /Users/criggall/Documents/muon-cooling/TraceParticle.txt
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 1 Track 1
-101.17 -1.07102 -700 0 0 250 0 -13 1 1 0 1 -0.000675809 -4.33375e-05 1.98297 0 0 0 
-101.17 -1.07106 -690 0.000106566 -0.00211226 250 0.0362131 -13 1 1 0 1 -0.000732209 -4.4281e-05 1.98282 0 0 0 
-101.17 -1.07119 -680 0.000163656 -0.00439085 250 0.0724263 -13 1 1 0 1 -0.000778728 -4.5122e-05 1.98272 0 0 0 
-101.17 -1.07141 -670 0.000167574 -0.00684042 250 0.108639 -13 1 1 0 1 -0.000853978 -4.62743e-05 1.98249 0 0 0 
-101.17 -1.07174 -660 0.000113937 -0.00947519 250 0.144853 -13 1 1 0 1 -0.000901197 -4.71364e-05 1.98242 0 0 0 
-101.17 -1.07218 -650 -1.26376e-06 -0.0123115 250 0.181066 -13 1 1 0 1 -0.000982253 -4.83597e-05 1.98218 0 0 0 
-101.17 -1.07273 -640 -0.000183064 -0.0153525 250 0.217279 -13 1 1 0 1 -0.00104917 -4.94416e-05 1.98202 0 0 0 
-101.17 -1.07341 -630 -0.000436112 -0.0186176 250 0.253492 -13 1 1 0 1 -0.0011336 -5.0717e-05 1.9818 0 0 0 
-101.17 -1.07422 -620 -0.000765872 -0.0221226 250 0.289705 -13 1 1 0 1 -0.00120551 -5.18636e-05 1.98164 0 0 0 
-101.17 -1.07518 -610 -0.0011777 -0.025875 250 0.325918 -13 1 1 0 1 -0.00131458 -5.3415e-05 1.9813 0 0 0 
-101.17 -1.07629 -600 -0.00167785 -0.0298938 250 0.362131 -13 1 1 0 1 -0.00138869 -5.46046e-05 1.98116 0 0 0 
-101.17 -1.07758 -590 -0.00228204 -0.0344597 250 0.398344 -13 1 1 0 1 -0.00160008 -5.31891e-05 1.97693 0 0 0 
-101.171 -1.07905 -580 -0.00299459 -0.0393425 250 0.434558 -13 1 1 0 1 -0.0017005 -5.46588e-05 1.97666 0 0 0 
-101.171 -1.08073 -570 -0.00382156 -0.0445455 250 0.470771 -13 1 1 0 1 -0.001824 -5.63878e-05 1.9763 0 0 0 
-101.171 -1.08262 -560 -0.00477069 -0.0500897 250 0.506984 -13 1 1 0 1 -0.00193168 -5.79568e-05 1.97602 0 0 0 
-101.171 -1.08474 -550 -0.00584956 -0.0559852 250 0.543197 -13 1 1 0 1 -0.00208685 -6.00511e-05 1.97551 0 0 0 
-101.171 -1.08477 -549.9 -0.00586103 -0.0560464 250 0.543559 -13 1 1 0 1 -0.00208798 -6.00676e-05 1.97551 0 0 0 
-101.171 -1.08483 -549.62 -0.00589322 -0.0562179 250 0.544573 -13 1 1 0 1 -0.00209112 -6.01137e-05 1.9755 0 0 0 
-101.171 -1.08486 -549.5 -0.00590705 -0.0562914 250 0.545008 -13 1 1 0 1 -0.00209246 -6.01335e-05 1.9755 0 0 0 
-101.171 -1.08724 -539.5 -0.00713158 -0.0625788 250 0.581221 -13 1 1 0 1 -0.00220794 -6.18202e-05 1.97521 0 0 0 
-101.172 -1.08987 -529.5 -0.00850318 -0.0692763 250 0.617434 -13 1 1 0 1 -0.00237167 -6.40399e-05 1.97469 0 0 0 
-101.172 -1.09279 -519.5 -0.0100318 -0.0763816 250 0.653647 -13 1 1 0 1 -0.00251762 -6.60902e-05 1.97427 0 0 0 
-101.172 -1.09599 -509.5 -0.0117266 -0.0839327 250 0.68986 -13 1 1 0 1 -0.00269155 -6.84665e-05 1.97374 0 0 0 
-101.173 -1.09951 -499.5 -0.0135983 -0.0919492 250 0.726073 -13 1 1 0 1 -0.00284654 -7.06586e-05 1.9733 0 0 0 
-101.174 -1.10335 -489.5 -0.0156571 -0.100453 250 0.762286 -13 1 1 0 1 -0.00305692 -7.34829e-05 1.9726 0 0 0 
-101.174 -1.10755 -479.5 -0.0179149 -0.10946 250 0.798499 -13 1 1 0 1 -0.00322023 -7.58263e-05 1.97216 0 0 0 
