#BLTrackFile VirtualDetector/Det6
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
20.4949 -6.41835 25250.2 0.374631 -7.84525 252.811 507.361 -13 1 1 0 0.6315
-35.9533 26.9643 25250.2 9.28542 -6.1963 242.153 475.947 -13 2 1 0 0.6315
-99.3637 -57.2138 25250.2 0.00404924 -12.8995 256.25 464.022 -13 3 1 0 0.6315
-41.391 65.7055 25250.2 -16.9213 -2.43677 235.363 455.268 -13 10 1 0 0.6315
-62.3889 17.5658 25250.2 -3.27217 -43.71 215.06 469.753 -13 12 1 0 0.6315
-29.3412 9.45573 25250.2 6.53739 37.199 216.004 454.485 -13 14 1 0 0.6315
-23.6891 48.723 25250.2 -42.546 9.98168 242.608 455.824 -13 15 1 0 0.6315
29.7316 17.3348 25250.2 -72.247 20.2184 804.57 428.653 -13 17 1 0 0.6315
-33.1234 0.656231 25250.2 32.277 -35.4654 184.991 522.882 -13 18 1 0 0.6315
35.9796 -6.96881 25250.2 -32.8316 8.46974 262.319 491.728 -13 23 1 0 0.6315
-8.29467 -4.12808 25250.2 10.5838 36.9348 329.273 441.212 -13 30 1 0 0.6315
-34.5831 -5.55211 25250.2 26.9988 -6.35996 236.117 479.152 -13 33 1 0 0.6315
79.6422 -151.745 25250.2 67.8303 -26.4198 674.155 433.468 -13 39 1 0 0.6315
13.5403 20.2146 25250.2 14.0562 44.2726 210.62 525.539 -13 40 1 0 0.6315
-33.4515 -4.20519 25250.2 -15.0913 -23.5966 218.572 574.924 -13 41 1 0 0.6315
-19.3275 71.5385 25250.2 1.98231 -45.2511 205.629 652.044 -13 46 1 0 0.6315
7.16339 142.851 25250.2 -40.5215 -10.6492 300.906 476.748 -13 47 1 0 0.6315
36.0726 -14.3727 25250.2 14.3686 -40.7087 229.444 467.553 -13 49 1 0 0.6315
-87.9249 116.804 25250.2 -72.5382 -38.304 463.423 431.258 -13 52 1 0 0.6315
81.9872 0.137079 25250.2 6.2798 25.6758 236.026 528.979 -13 53 1 0 0.6315
-1.57782 -36.8661 25250.2 10.7045 -15.6441 272.455 510.471 -13 55 1 0 0.6315
-36.804 -33.8655 25250.2 28.4068 44.6938 287.893 464.493 -13 63 1 0 0.6315
4.74026 -8.56703 25250.2 -14.5347 -11.8476 367.453 439.954 -13 64 1 0 0.6315
12.382 29.3501 25250.2 5.83938 -4.86496 248.513 449.538 -13 71 1 0 0.6315
-25.0011 -27.3605 25250.2 24.8183 28.2054 262.192 473.069 -13 73 1 0 0.6315
42.4373 32.4305 25250.2 -23.117 -7.87494 187.675 498.053 -13 75 1 0 0.6315
10.5936 -24.5288 25250.2 -12.3002 26.3602 255.152 522.266 -13 76 1 0 0.6315
-28.4219 37.2075 25250.2 -4.31469 -11.1982 254.963 523.024 -13 78 1 0 0.6315
-3.6015 25.9727 25250.2 -80.1246 -82.8709 737.932 434.115 -13 79 1 0 0.6315
-16.4362 -31.291 25250.2 33.948 -41.5051 283.463 497.654 -13 81 1 0 0.6315
4.09041 21.6282 25250.2 -22.5647 -10.2967 237.414 441.402 -13 82 1 0 0.6315
-19.2424 14.2055 25250.2 16.5862 66.8871 261.549 451.394 -13 83 1 0 0.6315
43.3251 126.333 25250.2 -41.4942 -24.4054 970.881 430.436 -13 84 1 0 0.6315
38.8088 95.7603 25250.2 -59.7109 -1.17715 740.626 427.625 -13 87 1 0 0.6315
-29.6135 -75.439 25250.2 62.3221 -34.8875 309.723 458.011 -13 88 1 0 0.6315
35.0351 28.1497 25250.2 45.2741 17.984 276.684 494.882 -13 89 1 0 0.6315
-27.4429 136.485 25250.2 -4.95224 -16.2447 288.943 494.83 -13 90 1 0 0.6315
38.0315 5.03932 25250.2 -24.6432 14.7822 256.383 454.857 -13 94 1 0 0.6315
5.27051 -43.808 25250.2 22.0952 -2.34063 202.989 467.899 -13 96 1 0 0.6315
-79.7564 7.52055 25250.2 42.6957 -30.3939 204.378 590.364 -13 97 1 0 0.6315
-34.417 21.371 25250.2 0.167108 -22.4058 264.241 574.706 -13 99 1 0 0.6315
17.116 -19.0101 25250.2 0.36847 1.77402 200.957 482.888 -13 102 1 0 0.6315
102.861 66.535 25250.2 -10.574 35.682 592.689 431.244 -13 103 1 0 0.6315
-30.8408 50.405 25250.2 -1.85171 18.5186 469.137 436 -13 104 1 0 0.6315
-126.3 -8.67288 25250.2 -35.3837 -30.5798 567.107 432.926 -13 105 1 0 0.6315
-3.4898 6.3468 25250.2 -26.818 16.0788 484.947 431.935 -13 107 1 0 0.6315
55.6296 2.5603 25250.2 41.6145 6.95284 226.919 470.492 -13 108 1 0 0.6315
-43.9457 2.08684 25250.2 7.25233 -58.1308 205.36 461.235 -13 109 1 0 0.6315
-28.3203 -3.81052 25250.2 2.67113 -5.59375 125.733 466.324 -13 110 1 0 0.6315
-97.5195 8.5078 25250.2 13.7129 -22.287 266.841 479.066 -13 111 1 0 0.6315
-116.819 0.0790833 25250.2 -35.0938 -47.2368 440.099 432.513 -13 117 1 0 0.6315
22.8259 45.7105 25250.2 -28.5391 6.54322 261.975 519.274 -13 119 1 0 0.6315
-63.4425 10.2916 25250.2 -8.83469 -19.7474 410.985 434.328 -13 120 1 0 0.6315
-106.206 -101.444 25250.2 32.3063 -6.44905 286.651 486.284 -13 122 1 0 0.6315
-9.78095 -107.33 25250.2 26.6303 32.1433 228.431 452.737 -13 123 1 0 0.6315
-6.0431 -74.7037 25250.2 35.398 57.316 243.654 547.335 -13 124 1 0 0.6315
-61.1872 28.4175 25250.2 -44.3024 -19.103 171.374 449.706 -13 125 1 0 0.6315
49.8975 81.459 25250.2 -14.1109 22.1572 216.893 526.026 -13 127 1 0 0.6315
-77.3215 -16.0814 25250.2 31.2624 -23.3948 193.737 667.074 -13 129 1 0 0.6315
-16.5179 -102.243 25250.2 23.0579 44.4304 253.527 468.125 -13 130 1 0 0.6315
-3.2977 -12.551 25250.2 25.4967 25.1862 227.352 495.121 -13 134 1 0 0.6315
-33.3691 107.189 25250.2 -1.64583 -7.80984 1454.38 428.595 -13 135 1 0 0.6315
-27.3825 30.1632 25250.2 -10.6652 -50.9713 262.011 491.557 -13 136 1 0 0.6315
-10.473 -64.6325 25250.2 31.9701 -12.9683 825.918 433.168 -13 137 1 0 0.6315
-19.162 19.609 25250.2 -64.1386 -15.4871 302.901 479.107 -13 140 1 0 0.6315
-100.371 -175.66 25250.2 41.1088 -47.7168 98.5735 525.486 -13 141 1 0 0.6315
-27.7291 36.8386 25250.2 0.202716 -43.9672 231.794 476.225 -13 144 1 0 0.6315
1.77435 -16.1781 25250.2 62.4398 8.43266 574.294 435.577 -13 146 1 0 0.6315
30.7296 -20.569 25250.2 36.7294 79.5496 253.65 503.75 -13 147 1 0 0.6315
-56.902 36.6699 25250.2 9.32309 10.6351 208.995 716.117 -13 148 1 0 0.6315
-1.45804 47.3635 25250.2 -23.5158 19.038 271.136 454.317 -13 150 1 0 0.6315
-91.5891 -4.89612 25250.2 13.8043 1.58891 217.614 455.961 -13 154 1 0 0.6315
15.1515 23.6589 25250.2 -20.7139 14.5868 763.684 427.184 -13 155 1 0 0.6315
-9.99924 -4.45013 25250.2 -26.609 14.9958 300.049 448.496 -13 156 1 0 0.6315
-38.9436 31.7919 25250.2 -16.1453 -10.8962 222.545 461.911 -13 157 1 0 0.6315
-31.7211 7.31622 25250.2 -19.2676 -47.6243 271.432 541.285 -13 158 1 0 0.6315
-9.1273 -60.9717 25250.2 9.40556 -36.0265 267.651 516.236 -13 160 1 0 0.6315
-55.4532 -14.7384 25250.2 1.43502 36.4755 231.889 458.947 -13 163 1 0 0.6315
52.9899 -116.075 25250.2 61.7685 -7.28129 327.681 438.974 -13 165 1 0 0.6315
-10.5988 -64.842 25250.2 37.6102 9.86849 571.275 430.156 -13 168 1 0 0.6315
-121.745 45.1928 25250.2 -16.8686 -3.29049 277.224 491.641 -13 169 1 0 0.6315
68.497 -35.9907 25250.2 -14.4193 36.2881 204.971 467.377 -13 172 1 0 0.6315
-6.08706 -40.1748 25250.2 -31.7245 10.3772 292.875 447.981 -13 177 1 0 0.6315
-48.4188 45.7875 25250.2 -30.3276 -19.5373 277.781 451.744 -13 179 1 0 0.6315
-4.52478 -43.2456 25250.2 10.2645 27.6737 296.081 479.399 -13 182 1 0 0.6315
-12.7727 77.249 25250.2 -92.4441 -19.1802 826.585 428.017 -13 183 1 0 0.6315
-40.1115 7.87223 25250.2 -24.2861 20.0361 273.888 434.735 -13 184 1 0 0.6315
15.7908 100.383 25250.2 -16.1762 -21.1136 202.591 459.402 -13 185 1 0 0.6315
-5.12101 -28.1914 25250.2 -27.5919 -9.79455 233.857 574.774 -13 189 1 0 0.6315
40.2548 69.0069 25250.2 -35.6809 -14.495 142.658 480.689 -13 190 1 0 0.6315
7.07439 17.8924 25250.2 -15.311 40.6197 226.116 451.144 -13 193 1 0 0.6315
29.4871 -59.4907 25250.2 -0.978504 -21.1919 331.126 448.314 -13 194 1 0 0.6315
20.8318 36.869 25250.2 -19.3711 19.5871 219.252 491.757 -13 195 1 0 0.6315
66.1677 23.0019 25250.2 -19.6968 21.354 208.337 463.828 -13 196 1 0 0.6315
-46.5781 17.3683 25250.2 -15.2989 -29.8347 222.519 543.731 -13 197 1 0 0.6315
43.2896 12.2961 25250.2 -19.6331 12.852 258.688 510.493 -13 198 1 0 0.6315
1.57214 25.26 25250.2 -40.9443 -7.69515 252.193 497.538 -13 199 1 0 0.6315
-2.15584 13.7443 25250.2 1.41035 2.31104 236.786 466.969 -13 200 1 0 0.6315
