#BLTrackFile VirtualDetector/DetLast
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
19.049 -74.5684 131750 -32.5937 -17.0871 227.044 874.192 -13 2 1 0 0.6315
-9.63874 44.2348 131750 35.7193 11.3437 200.407 862.45 -13 3 1 0 0.6315
-53.7999 91.3018 131750 36.7009 0.377736 221.444 853.166 -13 10 1 0 0.6315
-56.4242 10.5763 131750 27.7058 6.20309 249.873 852.618 -13 14 1 0 0.6315
-24.7244 52.1962 131750 20.4704 11.3027 210.572 921.078 -13 18 1 0 0.6315
-53.7504 68.9697 131750 29.9609 11.0174 203.213 889.854 -13 23 1 0 0.6315
-50.4315 17.0639 131750 3.89426 23.4029 211.7 877.38 -13 33 1 0 0.6315
27.1452 23.0731 131750 2.19811 -11.0826 190.76 923.487 -13 40 1 0 0.6315
-5.65094 35.2502 131750 8.13561 -5.96574 213.316 973.191 -13 41 1 0 0.6315
-41.2873 46.0528 131750 29.7923 6.2567 211.62 1049.72 -13 46 1 0 0.6315
19.2368 -55.688 131750 -30.8966 -22.9359 197.108 865.291 -13 49 1 0 0.6315
-8.34884 -6.13314 131750 -17.8047 11.4562 186.965 926.893 -13 53 1 0 0.6315
66.8501 -37.5136 131750 -13.0472 -52.3235 222.723 908.267 -13 55 1 0 0.6315
0.386616 -76.8492 131750 -36.6876 -3.9934 200.326 861.921 -13 63 1 0 0.6315
3.5757 22.7134 131750 16.3496 -5.42892 205.549 895.861 -13 75 1 0 0.6315
80.6005 -28.2911 131750 -28.4429 -26.9789 221.947 920.369 -13 76 1 0 0.6315
-65.7405 70.4281 131750 29.9215 29.4525 274.827 895.968 -13 81 1 0 0.6315
-72.2088 -50.3931 131750 -26.457 37.3097 187.677 849.857 -13 83 1 0 0.6315
6.48828 66.89 131750 22.6096 -12.4639 188.105 855.998 -13 88 1 0 0.6315
24.6439 57.5645 131750 9.33335 -25.8401 245.182 893.061 -13 89 1 0 0.6315
4.55406 -25.1559 131750 -13.8503 -9.34955 234.271 892.902 -13 90 1 0 0.6315
