#BLTrackFile VirtualDetector/Det25
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-58.3885 28.9712 105050 4.99213 -6.26699 236.171 774.408 -13 2 1 0 0.6315
-52.1495 28.3983 105050 1.8452 -7.43324 191.099 761.504 -13 3 1 0 0.6315
45.818 70.4724 105050 12.9089 16.8643 207.776 752.445 -13 10 1 0 0.6315
-50.7329 -2.92697 105050 -15.5457 6.13558 187.34 769.179 -13 12 1 0 0.6315
-6.35897 57.0865 105050 -12.5897 -37.0569 219.982 752.862 -13 14 1 0 0.6315
71.7403 38.8246 105050 -49.6853 -5.74794 134.946 706.944 -13 17 1 0 0.6315
-17.6387 -52.2062 105050 9.98533 21.4246 203.022 820.037 -13 18 1 0 0.6315
-31.5379 25.835 105050 7.60464 8.22136 212.737 789.422 -13 23 1 0 0.6315
-41.3617 51.2347 105050 10.5808 9.56674 232.942 777.217 -13 33 1 0 0.6315
41.5337 -0.177718 105050 -1.04761 5.15396 221.696 823.597 -13 40 1 0 0.6315
30.0049 -4.27207 105050 3.46629 -4.99595 200.215 872.445 -13 41 1 0 0.6315
43.935 47.1466 105050 -0.594557 -14.5835 209.235 949.666 -13 46 1 0 0.6315
35.8147 -13.3556 105050 -7.69423 3.7348 213.944 765.054 -13 49 1 0 0.6315
20.6573 -72.7042 105050 11.9574 14.0886 236.232 826.511 -13 53 1 0 0.6315
43.8479 -1.47738 105050 -28.0528 -4.86693 237.982 808.152 -13 55 1 0 0.6315
-34.0039 25.0527 105050 -18.9148 2.50188 247.043 761.92 -13 63 1 0 0.6315
12.9562 26.5357 105050 -0.00166435 -2.11773 210.173 795.828 -13 75 1 0 0.6315
-19.9993 -17.1698 105050 8.19553 28.3243 251.565 820.428 -13 76 1 0 0.6315
-111.235 23.9603 105050 -3.43541 5.7993 278.318 820.074 -13 78 1 0 0.6315
85.3479 29.9061 105050 -31.5166 -15.5916 249.3 796.09 -13 81 1 0 0.6315
