# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
0.0 11699 -5.045 80.650 -0.327 80.350 22.29 22.45 18.01 1379 1369 1374 -0.01947 -0.00891 -0.01419 406.2
100.0 11696 -5.037 80.753 -0.265 80.434 22.83 22.98 18.01 1383 1372 1377 -0.01696 -0.008221 -0.01259 406.3
200.0 11694 -5.013 80.802 -0.191 80.468 24.12 24.25 18.02 1385 1374 1380 -0.002353 0.004264 0.0009555 407.1
300.0 11694 -4.953 80.612 -0.047 80.277 25.88 25.96 18.06 1373 1362 1368 0.04397 0.04829 0.04613 406.8
400.0 11695 -4.831 79.858 0.135 79.557 26.88 26.85 18.14 1343 1333 1338 0.1157 0.1195 0.1176 407.3
500.0 11693 -4.638 78.497 0.270 78.189 25.6 25.49 18.23 1293 1282 1287 0.1795 0.1877 0.1836 407.5
600.0 11692 -4.439 76.800 0.291 76.350 22.14 22 18.27 1236 1222 1229 0.1889 0.2091 0.199 407.5
700.0 11695 -4.185 75.562 0.104 74.827 18.9 18.74 18.3 1199 1176 1187 0.1235 0.1529 0.1382 408.3
800.0 11697 -4.024 75.052 -0.302 73.993 18.89 18.82 18.25 1184 1151 1168 0.0147 0.04463 0.02967 407.8
900.0 11694 -3.648 75.683 -0.943 74.231 23.54 23.56 18.67 1156 1112 1134 -0.08457 -0.06759 -0.07608 402
1000.0 11685 -3.213 76.647 -1.657 75.495 30.33 30.63 18.6 1181 1145 1163 -0.0923 -0.1308 -0.1115 400.9
1100.0 11661 -2.275 76.953 -2.395 76.736 36.46 36.74 18.43 1195 1188 1191 0.04373 -0.07595 -0.01611 401
1200.0 11651 -0.937 75.371 -2.706 76.653 37.88 37.84 18.44 1144 1183 1163 0.2241 0.1124 0.1682 401.4
1300.0 11653 0.185 73.265 -2.224 75.187 33.68 33.47 18.96 1053 1108 1081 0.2927 0.2835 0.2881 400.5
1400.0 11670 0.969 70.587 -1.285 72.500 26.37 26.39 18.96 982.2 1036 1009 0.2514 0.3011 0.2762 400.3
1500.0 11668 1.090 68.786 -0.517 70.103 20.39 20.68 18.94 937.1 973.3 955.2 0.1331 0.1874 0.1603 400.2
1600.0 11673 1.145 68.888 0.096 69.625 19.13 19.48 19.16 928.9 948.9 938.9 -0.003639 0.03541 0.01589 399.6
1700.0 11664 1.446 69.826 0.202 70.833 22.65 23.04 19.32 942.5 969.9 956.2 -0.07579 -0.04882 -0.06231 399
1800.0 11612 1.617 70.553 -0.177 70.912 27.04 27.47 19.01 977.9 987.9 982.9 -0.0406 -0.01934 -0.02997 399.8
1900.0 11603 1.288 70.822 -0.390 70.908 28.82 29.33 19.01 985 987.4 986.2 0.08935 0.09358 0.09147 400.4
