#BLTrackFile VirtualDetector/Det26
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-46.9686 31.164 109250 16.174 -5.89521 240.426 789.809 -13 2 1 0 0.6315
44.9299 -16.5969 109250 4.58656 7.04519 183.597 777.945 -13 3 1 0 0.6315
7.64104 -4.36102 109250 -36.423 -16.2223 208.701 768.618 -13 10 1 0 0.6315
53.2093 9.7138 109250 -8.82994 3.42186 118.815 786.318 -13 12 1 0 0.6315
-16.4207 -24.3008 109250 4.81652 -31.113 239.312 768.405 -13 14 1 0 0.6315
-5.30747 70.8561 109250 -6.87794 -1.26433 190.1 836.292 -13 18 1 0 0.6315
16.6424 45.1429 109250 -2.98093 -10.6406 200.218 805.35 -13 23 1 0 0.6315
2.07209 72.9565 109250 6.57185 -12.4731 220.885 792.898 -13 33 1 0 0.6315
18.789 -7.24998 109250 -14.2318 9.07033 230.328 839.078 -13 40 1 0 0.6315
-5.70407 -4.06906 109250 -7.83269 13.7749 191.025 888.515 -13 41 1 0 0.6315
21.164 -37.0326 109250 -5.70466 -4.89109 223.305 965.422 -13 46 1 0 0.6315
-16.2325 -20.5997 109250 -8.58781 4.17713 219.426 780.689 -13 49 1 0 0.6315
-5.36023 -25.6129 109250 -5.36421 31.9486 218.353 842.069 -13 53 1 0 0.6315
-29.7755 -40.0193 109250 -23.2412 -10.129 232.44 823.593 -13 55 1 0 0.6315
-61.299 25.5905 109250 -6.06945 -8.56082 225.269 777.32 -13 63 1 0 0.6315
4.85892 -0.162872 109250 -3.72061 -4.36925 218.236 811.457 -13 75 1 0 0.6315
-36.6987 15.6361 109250 5.85125 25.5166 233.577 835.835 -13 76 1 0 0.6315
-86.5936 67.4429 109250 20.3667 -7.06442 219.053 835.718 -13 78 1 0 0.6315
51.4531 -0.220185 109250 -35.7579 -10.6841 267.766 811.468 -13 81 1 0 0.6315
-41.3124 47.5394 109250 17.9872 -8.1503 189.39 765.071 -13 83 1 0 0.6315
59.1564 -60.8513 109250 8.10504 -4.37949 412.015 715.463 -13 84 1 0 0.6315
21.3619 -32.4185 109250 -23.5404 -12.5156 214.132 771.505 -13 88 1 0 0.6315
-61.8562 27.2952 109250 -8.46579 3.65285 240.567 808.834 -13 89 1 0 0.6315
-55.1571 26.5926 109250 2.92148 -12.5116 239.203 808.588 -13 90 1 0 0.6315
12.6807 3.95058 109250 -2.19427 -17.9031 224.483 780.872 -13 96 1 0 0.6315
45.8877 38.5309 109250 -17.2427 -6.78978 215.7 903.961 -13 97 1 0 0.6315
-61.2946 -4.12954 109250 7.17622 19.6624 199.89 888.447 -13 99 1 0 0.6315
-38.9687 -57.8491 109250 0.467946 -0.960228 243.22 783.807 -13 108 1 0 0.6315
17.4359 -7.96699 109250 -15.9996 4.63681 231.201 774.377 -13 109 1 0 0.6315
6.83285 20.2315 109250 3.20756 6.12463 215.616 793.406 -13 111 1 0 0.6315
-76.1557 35.3543 109250 22.2499 -16.4561 218.388 832.932 -13 119 1 0 0.6315
29.8642 -29.7582 109250 -8.92629 1.08026 208 839.096 -13 127 1 0 0.6315
22.7347 -6.9653 109250 2.02782 -10.8985 234.461 980.74 -13 129 1 0 0.6315
-13.3629 -93.2649 109250 8.63074 -1.86637 258.688 781.053 -13 130 1 0 0.6315
-23.1813 54.6239 109250 -16.1619 10.2106 210.383 808.516 -13 134 1 0 0.6315
-3.44067 17.1413 109250 16.8066 0.919961 202.39 805.29 -13 136 1 0 0.6315
6.51227 -6.14702 109250 0.181002 28.9303 231.674 720.909 -13 137 1 0 0.6315
11.3686 -4.40234 109250 -3.36968 -0.614243 201.498 789.829 -13 144 1 0 0.6315
-9.23623 -9.09214 109250 18.2585 14.2882 232.586 1029.88 -13 148 1 0 0.6315
6.49015 -4.0964 109250 26.5433 10.1453 141.456 719.293 -13 155 1 0 0.6315
-57.2862 -7.66884 109250 29.5037 -1.02254 191.485 762.343 -13 156 1 0 0.6315
43.4763 41.5523 109250 5.77943 5.06034 229.506 774.726 -13 157 1 0 0.6315
-80.4206 0.283746 109250 -3.13403 -5.02841 203.873 829.64 -13 160 1 0 0.6315
-5.31 -25.921 109250 -11.4984 7.83318 214.53 805.623 -13 169 1 0 0.6315
45.5624 33.4268 109250 -13.23 17.4638 223.898 780.792 -13 172 1 0 0.6315
17.2115 25.9619 109250 -0.283123 -16.0795 182.562 765.595 -13 179 1 0 0.6315
-10.8126 -17.4125 109250 10.9635 18.5702 182.766 793.001 -13 182 1 0 0.6315
30.4326 -32.7605 109250 -0.272362 -0.669813 206.015 888.573 -13 189 1 0 0.6315
-3.98779 -19.567 109250 5.48638 5.5551 214.831 805.564 -13 195 1 0 0.6315
-10.3886 8.91843 109250 -0.141927 -25.6958 235.561 777.688 -13 196 1 0 0.6315
11.2971 42.4047 109250 19.0867 7.36485 202.038 857.661 -13 197 1 0 0.6315
-59.701 42.5117 109250 9.30723 3.3824 216.417 823.773 -13 198 1 0 0.6315
