# ReferenceParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -1 Track 1
0 0 0 0 0 248 0 -13 -1 1 0 1 1.42725e-05 -6.89817e-05 1.95015 0 0 17.6535 
4.19054e-06 8.3545e-07 10 0.00020853 4.0785e-05 248.188 0.0362554 -13 -1 1 0 1 1.4566e-05 -6.98089e-05 1.95619 0 0 16.9098 
1.68465e-05 3.2313e-06 20 0.000420504 7.7509e-05 248.367 0.0725067 -13 -1 1 0 1 1.48877e-05 -7.06599e-05 1.96283 0 0 16.0737 
3.80935e-05 7.02006e-06 30 0.000635863 0.000110056 248.537 0.108754 -13 -1 1 0 1 1.5196e-05 -7.1527e-05 1.97095 0 0 15.1496 
6.80564e-05 1.203e-05 40 0.000854566 0.000138327 248.696 0.144998 -13 -1 1 0 1 1.54925e-05 -7.23971e-05 1.9795 0 0 14.1426 
0.000106858 1.80847e-05 50 0.00107656 0.000162183 248.844 0.181238 -13 -1 1 0 1 1.58155e-05 -7.32936e-05 1.98896 0 0 13.0583 
0.000154622 2.50033e-05 60 0.00130179 0.000181474 248.98 0.217475 -13 -1 1 0 1 1.6119e-05 -7.4208e-05 1.99972 0 0 11.9026 
0.000211469 3.25993e-05 70 0.0015302 0.000196065 249.102 0.25371 -13 -1 1 0 1 1.64055e-05 -7.5126e-05 2.01132 0 0 10.6819 
0.000244494 3.66395e-05 75 0.00164558 0.000201535 249.159 0.271826 -13 -1 1 0 1 1.6567e-05 -7.56039e-05 2.01749 0 0 10.0492 
0.000315191 4.48881e-05 85 0.00187878 0.000209779 249.261 0.308056 -13 -1 1 0 1 2.13236e-05 -7.70934e-05 2.03477 0 0 8.74358 
0.000395313 5.36284e-05 95 0.00211672 0.000225159 249.348 0.344285 -13 -1 1 0 1 2.16471e-05 -7.8068e-05 2.0486 0 0 7.39017 
0.000485015 6.28761e-05 105 0.00235795 0.000235181 249.421 0.380511 -13 -1 1 0 1 2.19422e-05 -7.90618e-05 2.06394 0 0 5.9964 
0.000584429 7.24125e-05 115 0.00260238 0.000239639 249.479 0.416736 -13 -1 1 0 1 2.22131e-05 -8.00588e-05 2.07988 0 0 4.56988 
0.000693684 8.20098e-05 125 0.00284995 0.000238289 249.52 0.452961 -13 -1 1 0 1 2.25078e-05 -8.10855e-05 2.0967 0 0 3.11842 
0.000812905 9.14312e-05 135 0.00310054 0.00023087 249.546 0.489184 -13 -1 1 0 1 2.27701e-05 -8.21306e-05 2.11488 0 0 1.64993 
0.000942219 0.000100429 145 0.00335406 0.000217159 249.556 0.525407 -13 -1 1 0 1 2.3005e-05 -8.31768e-05 2.13362 0 0 0.172433 
0.00108175 0.000108747 155 0.00361039 0.000196868 249.55 0.56163 -13 -1 1 0 1 2.32626e-05 -8.42523e-05 2.15314 0 0 -1.30601 
0.00123161 0.000116116 165 0.00386938 0.000169728 249.528 0.597853 -13 -1 1 0 1 2.34886e-05 -8.5344e-05 2.17383 0 0 -2.77731 
0.00139192 0.000122256 175 0.00413089 0.000135479 249.49 0.634077 -13 -1 1 0 1 2.36854e-05 -8.64335e-05 2.19491 0 0 -4.23346 
0.00156279 0.000126878 185 0.00439475 9.38446e-05 249.436 0.670302 -13 -1 1 0 1 2.39088e-05 -8.75508e-05 2.21666 0 0 -5.66649 
0.00174433 0.000129678 195 0.00466077 4.45367e-05 249.367 0.706528 -13 -1 1 0 1 2.41063e-05 -8.8681e-05 2.23924 0 0 -7.06858 
0.00183085 0.000129977 199.5 0.00478115 1.97957e-05 249.331 0.722831 -13 -1 1 0 1 2.41914e-05 -8.91858e-05 2.24918 0 0 -7.68738 
0.00183322 0.000129973 199.62 0.00478358 1.91099e-05 249.291 0.723265 -13 -1 1 0 1 2.41656e-05 -8.88147e-05 2.24944 0 0 -6.74581e-26 
0.00183874 0.000129961 199.9 0.00479105 1.7512e-05 249.291 0.72428 -13 -1 1 0 1 2.417e-05 -8.88448e-05 2.25006 0 0 0 
0.00184269 0.000129951 200.1 0.00479637 1.63667e-05 249.289 0.725004 -13 -1 1 0 1 2.41748e-05 -8.88667e-05 2.25052 0 0 0 
0.00184822 0.000129935 200.38 0.00480384 1.47581e-05 249.289 0.726019 -13 -1 1 0 1 2.41789e-05 -8.88979e-05 2.25117 0 0 1.73841e-25 
0.0018506 0.000129928 200.5 0.00480627 1.40645e-05 249.25 0.726453 -13 -1 1 0 1 2.41838e-05 -8.89625e-05 2.25145 0 0 19.8506 
0.00204871 0.000129283 210.5 0.00507426 -4.75867e-05 249.464 0.762681 -13 -1 1 0 1 2.43781e-05 -9.01213e-05 2.27488 0 0 19.6159 
0.00225743 0.000126007 220.5 0.00534393 -0.000117301 249.675 0.798903 -13 -1 1 0 1 2.45517e-05 -9.12829e-05 2.29794 0 0 19.274 
0.0024768 0.000119778 230.5 0.00561507 -0.00019528 249.882 0.835121 -13 -1 1 0 1 2.47632e-05 -9.24762e-05 2.32172 0 0 18.8268 
0.00270686 0.000110266 240.5 0.00588746 -0.000281702 250.084 0.871335 -13 -1 1 0 1 2.49709e-05 -9.36907e-05 2.34519 0 0 18.2767 
0.00294765 9.71369e-05 250.5 0.00616088 -0.000376688 250.279 0.907544 -13 -1 1 0 1 2.51706e-05 -9.49066e-05 2.3688 0 0 17.6268 
0.00319919 8.00509e-05 260.5 0.00643509 -0.000480345 250.466 0.943749 -13 -1 1 0 1 2.54268e-05 -9.6155e-05 2.39197 0 0 16.8807 
0.0034615 5.86659e-05 270.5 0.00670984 -0.000592757 250.645 0.97995 -13 -1 1 0 1 2.57001e-05 -9.74247e-05 2.41508 0 0 16.0424 
0.0037346 3.26378e-05 280.5 0.00698487 -0.000713927 250.814 1.01615 -13 -1 1 0 1 2.59848e-05 -9.86949e-05 2.43709 0 0 15.1166 
0.00401848 1.62294e-06 290.5 0.00725996 -0.000843829 250.973 1.05234 -13 -1 1 0 1 2.63487e-05 -9.99994e-05 2.45911 0 0 14.1083 
0.00431314 -3.47206e-05 300.5 0.00753481 -0.000982399 251.12 1.08853 -13 -1 1 0 1 2.67591e-05 -0.000101327 2.4796 0 0 13.0232 
0.00461857 -7.673e-05 310.5 0.00780921 -0.00112949 251.255 1.12472 -13 -1 1 0 1 2.72079e-05 -0.000102655 2.4993 0 0 11.867 
0.00493475 -0.000124737 320.5 0.00808292 -0.00128488 251.377 1.1609 -13 -1 1 0 1 2.77634e-05 -0.000104022 2.51785 0 0 10.6462 
