# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 245.87 0 -13 -2 1 0 1 1.66788e-05 -6.95606e-05 1.94863 0 0 17.6535 
4.26333e-06 9.89174e-07 10 0.000210357 4.79887e-05 246.058 0.0363038 -13 -2 1 0 1 1.69925e-05 -7.03887e-05 1.95465 0 0 16.9088 
1.71431e-05 3.84435e-06 20 0.000424339 9.18933e-05 246.238 0.0726034 -13 -2 1 0 1 1.73349e-05 -7.12407e-05 1.96128 0 0 16.0713 
3.87734e-05 8.39505e-06 30 0.000641889 0.00013159 246.408 0.108899 -13 -2 1 0 1 1.76639e-05 -7.21091e-05 1.96938 0 0 15.1457 
6.9287e-05 1.44664e-05 40 0.000862964 0.000166978 246.567 0.145191 -13 -2 1 0 1 1.79802e-05 -7.29808e-05 1.97791 0 0 14.137 
0.000108816 2.18786e-05 50 0.00108752 0.000197912 246.715 0.181479 -13 -2 1 0 1 1.83245e-05 -7.3879e-05 1.98736 0 0 13.0508 
0.00015749 3.04474e-05 60 0.00131548 0.000224238 246.851 0.217764 -13 -2 1 0 1 1.86509e-05 -7.47952e-05 1.9981 0 0 11.8931 
0.00021544 3.99824e-05 70 0.00154682 0.000245813 246.973 0.254046 -13 -2 1 0 1 1.89579e-05 -7.57157e-05 2.00968 0 0 10.6703 
0.000249118 4.51346e-05 75 0.00166373 0.000254754 247.03 0.272186 -13 -2 1 0 1 1.91304e-05 -7.61951e-05 2.01585 0 0 10.0365 
0.000321223 5.57478e-05 85 0.00190013 0.00026978 247.132 0.308464 -13 -2 1 0 1 2.3421e-05 -7.76286e-05 2.03264 0 0 8.72858 
0.000402962 6.71e-05 95 0.00214127 0.000290543 247.219 0.344741 -13 -2 1 0 1 2.37643e-05 -7.86062e-05 2.04645 0 0 7.37286 
0.000494497 7.91793e-05 105 0.00238585 0.000305871 247.292 0.381015 -13 -2 1 0 1 2.40793e-05 -7.96038e-05 2.06177 0 0 5.97677 
0.000595966 9.1762e-05 115 0.0026338 0.000315554 247.349 0.417288 -13 -2 1 0 1 2.43703e-05 -8.06047e-05 2.0777 0 0 4.54797 
0.000707504 0.000104615 125 0.00288504 0.000319339 247.391 0.453559 -13 -2 1 0 1 2.46818e-05 -8.16361e-05 2.09449 0 0 3.09426 
0.000829248 0.000117496 135 0.00313947 0.000316957 247.417 0.48983 -13 -2 1 0 1 2.49638e-05 -8.26863e-05 2.11265 0 0 1.62362 
0.000961328 0.000130151 145 0.00339698 0.000308177 247.426 0.526101 -13 -2 1 0 1 2.52174e-05 -8.3738e-05 2.13137 0 0 0.144094 
0.00110388 0.000142316 155 0.00365746 0.000292701 247.42 0.562371 -13 -2 1 0 1 2.54931e-05 -8.48195e-05 2.15086 0 0 -1.33622 
0.00125702 0.000153717 165 0.00392077 0.000270251 247.397 0.598642 -13 -2 1 0 1 2.57377e-05 -8.59176e-05 2.17154 0 0 -2.80922 
0.00142088 0.000164067 175 0.00418676 0.00024056 247.359 0.634914 -13 -2 1 0 1 2.59523e-05 -8.70137e-05 2.1926 0 0 -4.26685 
0.00159557 0.000173066 185 0.00445526 0.000203341 247.304 0.671186 -13 -2 1 0 1 2.61939e-05 -8.81379e-05 2.21432 0 0 -5.70112 
0.00178122 0.000180405 195 0.00472608 0.000158296 247.235 0.70746 -13 -2 1 0 1 2.64089e-05 -8.92751e-05 2.23688 0 0 -7.10418 
0.00186972 0.000182816 199.5 0.00484866 0.00013542 247.198 0.723784 -13 -2 1 0 1 2.65018e-05 -8.97831e-05 2.24681 0 0 -7.72332 
0.00187214 0.000182868 199.62 0.00485114 0.000134765 247.158 0.724219 -13 -2 1 0 1 2.64651e-05 -8.94043e-05 2.24707 0 0 -6.77729e-26 
0.00187779 0.000182989 199.9 0.00485875 0.000133281 247.158 0.725235 -13 -2 1 0 1 2.64712e-05 -8.94345e-05 2.24769 0 0 0 
0.00188183 0.000183074 200.1 0.00486416 0.000132216 247.157 0.725961 -13 -2 1 0 1 2.64736e-05 -8.94567e-05 2.24815 0 0 0 
0.00188749 0.000183192 200.38 0.00487177 0.000130721 247.157 0.726976 -13 -2 1 0 1 2.64794e-05 -8.9488e-05 2.2488 0 0 1.73799e-25 
