# ReferenceParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -1 Track 1
0 0 0 0 0 222.1 0 -13 -1 1 0 1 1.66788e-05 -6.95606e-05 1.94863 0 0 0 
4.72293e-06 1.0916e-06 10 0.000210416 4.77204e-05 222.1 0.0369386 -13 -1 1 0 1 1.69924e-05 -7.03882e-05 1.95465 0 0 0 
1.90039e-05 4.22753e-06 20 0.000424559 9.07999e-05 222.1 0.0738771 -13 -1 1 0 1 1.73331e-05 -7.12387e-05 1.96128 0 0 0 
4.30088e-05 9.19603e-06 30 0.000642344 0.000129092 222.1 0.110816 -13 -1 1 0 1 1.76612e-05 -7.21036e-05 1.96938 0 0 0 
7.69003e-05 1.57787e-05 40 0.000863698 0.000162471 222.1 0.147754 -13 -1 1 0 1 1.79746e-05 -7.29702e-05 1.97791 0 0 0 
0.000120837 2.375e-05 50 0.00108854 0.000190761 222.1 0.184693 -13 -1 1 0 1 1.83139e-05 -7.38613e-05 1.98736 0 0 0 
0.000174974 3.28774e-05 60 0.00131678 0.000213784 222.1 0.221631 -13 -1 1 0 1 1.86343e-05 -7.4768e-05 1.9981 0 0 0 
0.000239462 4.29199e-05 70 0.00154832 0.000231376 222.1 0.25857 -13 -1 1 0 1 1.89354e-05 -7.56762e-05 2.00968 0 0 0 
0.000276954 4.82739e-05 75 0.0016653 0.000238061 222.1 0.277039 -13 -1 1 0 1 1.91052e-05 -7.61479e-05 2.01585 0 0 0 
0.000357243 5.92184e-05 85 0.00190161 0.000247112 222.1 0.313978 -13 -1 1 0 1 1.93938e-05 -7.70776e-05 2.0288 0 0 0 
0.00044824 7.04365e-05 95 0.00214097 0.000250194 222.1 0.350916 -13 -1 1 0 1 1.97056e-05 -7.80336e-05 2.0426 0 0 0 
0.000550091 8.17386e-05 105 0.00238415 0.00025384 222.1 0.387855 -13 -1 1 0 1 2.40195e-05 -7.94985e-05 2.06177 0 0 0 
0.000662984 9.32463e-05 115 0.00263108 0.00025623 222.1 0.424794 -13 -1 1 0 1 2.42939e-05 -8.04741e-05 2.0777 0 0 0 
0.000787064 0.000104711 125 0.00288103 0.000251919 222.1 0.461732 -13 -1 1 0 1 2.4589e-05 -8.14774e-05 2.09449 0 0 0 
0.000922462 0.000115826 135 0.00313382 0.00024062 222.1 0.498671 -13 -1 1 0 1 2.48513e-05 -8.2497e-05 2.11265 0 0 0 
0.0010693 0.000126271 145 0.00338931 0.000222083 222.1 0.535609 -13 -1 1 0 1 2.50838e-05 -8.35158e-05 2.13137 0 0 0 
0.00122771 0.000135711 155 0.00364732 0.000195994 222.1 0.572548 -13 -1 1 0 1 2.53354e-05 -8.45627e-05 2.15086 0 0 0 
0.00139778 0.000143802 165 0.00390766 0.00016207 222.1 0.609486 -13 -1 1 0 1 2.55558e-05 -8.56245e-05 2.17154 0 0 0 
0.00157962 0.000150184 175 0.00417012 0.000120033 222.1 0.646425 -13 -1 1 0 1 2.57448e-05 -8.66834e-05 2.1926 0 0 0 
0.00177332 0.000154485 185 0.00443447 6.95967e-05 222.1 0.683364 -13 -1 1 0 1 2.59592e-05 -8.77698e-05 2.21432 0 0 0 
0.00197897 0.00015632 195 0.00470046 1.04648e-05 222.1 0.720302 -13 -1 1 0 1 2.61461e-05 -8.88695e-05 2.23688 0 0 0 
0.00207691 0.000155858 199.5 0.00482062 -1.90323e-05 222.1 0.736924 -13 -1 1 0 1 2.62251e-05 -8.93605e-05 2.24681 0 0 0 
0.00207959 0.000155829 199.62 0.00482383 -1.98439e-05 222.1 0.737368 -13 -1 1 0 1 2.62285e-05 -8.93733e-05 2.24707 0 0 0 
0.00208584 0.000155759 199.9 0.00483132 -2.17426e-05 222.1 0.738402 -13 -1 1 0 1 2.62336e-05 -8.94034e-05 2.24769 0 0 0 
