# ReferenceParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -1 Track 1
0 0 0 0 0 248 0 -13 -1 1 0 1 1.66788e-05 -6.95606e-05 1.94863 0 0 4.32287 
4.22821e-06 9.81316e-07 10 0.000210351 4.80089e-05 248.055 0.036257 -13 -1 1 0 1 1.69922e-05 -7.03873e-05 1.95465 0 0 5.75547 
1.7007e-05 3.81605e-06 20 0.000424311 9.19694e-05 248.125 0.0725125 -13 -1 1 0 1 1.73349e-05 -7.12345e-05 1.96128 0 0 7.15647 
3.84749e-05 8.3378e-06 30 0.000641815 0.000131757 248.21 0.108766 -13 -1 1 0 1 1.7661e-05 -7.20954e-05 1.96938 0 0 8.5182 
6.87667e-05 1.43749e-05 40 0.000862813 0.000167266 248.31 0.145018 -13 -1 1 0 1 1.7975e-05 -7.29561e-05 1.97791 0 0 9.8332 
0.000108013 2.17502e-05 50 0.00108725 0.00019835 248.424 0.181267 -13 -1 1 0 1 1.83168e-05 -7.38398e-05 1.98736 0 0 11.0943 
0.00015634 3.02814e-05 60 0.00131505 0.000224855 248.551 0.217514 -13 -1 1 0 1 1.86401e-05 -7.47384e-05 1.9981 0 0 12.2945 
0.00021387 3.978e-05 70 0.00154616 0.000246647 248.691 0.253758 -13 -1 1 0 1 1.89438e-05 -7.56383e-05 2.00968 0 0 13.4272 
0.000247297 4.49155e-05 75 0.00166294 0.000255711 248.765 0.271878 -13 -1 1 0 1 1.9116e-05 -7.61056e-05 2.01585 0 0 13.9664 
0.000318854 5.54977e-05 85 0.00189901 0.000271022 248.922 0.308117 -13 -1 1 0 1 2.34034e-05 -7.75147e-05 2.03264 0 0 14.9866 
0.00039994 6.68229e-05 95 0.00213976 0.000292125 249.09 0.344352 -13 -1 1 0 1 2.3742e-05 -7.84662e-05 2.04645 0 0 15.9247 
0.000490699 7.88805e-05 105 0.00238386 0.000307863 249.268 0.380583 -13 -1 1 0 1 2.40551e-05 -7.94356e-05 2.06177 0 0 16.7755 
0.000591247 9.14498e-05 115 0.00263126 0.000318041 249.454 0.416811 -13 -1 1 0 1 2.43433e-05 -8.0408e-05 2.0777 0 0 17.5344 
0.000701696 0.000104302 125 0.00288187 0.000322424 249.649 0.453034 -13 -1 1 0 1 2.46543e-05 -8.14108e-05 2.09449 0 0 18.1974 
0.000822156 0.000117199 135 0.00313559 0.000320764 249.849 0.489252 -13 -1 1 0 1 2.49346e-05 -8.24335e-05 2.11265 0 0 18.7608 
0.000952729 0.000129895 145 0.00339233 0.000312856 250.056 0.525466 -13 -1 1 0 1 2.51889e-05 -8.34594e-05 2.13137 0 0 19.2216 
0.00109351 0.000142135 155 0.00365199 0.000298424 250.266 0.561676 -13 -1 1 0 1 2.5465e-05 -8.45182e-05 2.15086 0 0 19.5773 
0.00124461 0.000153654 165 0.00391444 0.000277218 250.48 0.597881 -13 -1 1 0 1 2.57105e-05 -8.55976e-05 2.17154 0 0 19.8259 
0.0014061 0.000164177 175 0.00417956 0.000249004 250.696 0.634081 -13 -1 1 0 1 2.5931e-05 -8.66797e-05 2.1926 0 0 19.9662 
0.00157807 0.000173423 185 0.00444721 0.000213525 250.913 0.670277 -13 -1 1 0 1 2.61761e-05 -8.77964e-05 2.21432 0 0 19.9975 
0.00176061 0.000181098 195 0.00471723 0.000170512 251.13 0.706468 -13 -1 1 0 1 2.63963e-05 -8.89335e-05 2.23688 0 0 19.9196 
0.00184754 0.000183709 199.5 0.00483948 0.000148655 251.227 0.722752 -13 -1 1 0 1 2.64924e-05 -8.94439e-05 2.24681 0 0 19.849 
0.00184992 0.000183768 199.62 0.00484197 0.000148027 251.187 0.723186 -13 -1 1 0 1 2.64907e-05 -8.94053e-05 2.24707 0 0 1.73789e-25 
0.00185547 0.000183903 199.9 0.00484959 0.000146612 251.187 0.724199 -13 -1 1 0 1 2.64967e-05 -8.94356e-05 2.24769 0 0 0 
0.00185944 0.000183998 200.1 0.00485501 0.000145596 251.186 0.724923 -13 -1 1 0 1 2.64991e-05 -8.94577e-05 2.24815 0 0 0 
0.001865 0.000184131 200.38 0.00486263 0.00014417 251.186 0.725936 -13 -1 1 0 1 2.6505e-05 -8.94891e-05 2.2488 0 0 -2.61982e-26 
0.00186739 0.000184187 200.5 0.00486512 0.000143534 251.146 0.726371 -13 -1 1 0 1 2.64652e-05 -8.9083e-05 2.24908 0 0 -2.97432 
