# ReferenceParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -1 Track 1
0 0 0 0 0 248 0 -13 -1 1 0 1 1.66788e-05 -6.95606e-05 1.94863 0 0 -17.9532 
4.23101e-06 9.81946e-07 10 0.000210352 4.80074e-05 247.809 0.0362597 -13 -1 1 0 1 1.69923e-05 -7.03877e-05 1.95465 0 0 -17.252 
1.70298e-05 3.82085e-06 20 0.000424317 9.19564e-05 247.625 0.0725236 -13 -1 1 0 1 1.73339e-05 -7.12362e-05 1.96128 0 0 -16.4562 
3.85536e-05 8.35315e-06 30 0.000641833 0.000131712 247.451 0.108792 -13 -1 1 0 1 1.76615e-05 -7.20979e-05 1.96938 0 0 -15.57 
6.89563e-05 1.44092e-05 40 0.00086285 0.000167157 247.287 0.145063 -13 -1 1 0 1 1.79756e-05 -7.2959e-05 1.97791 0 0 -14.5984 
0.000108389 2.18126e-05 50 0.00108731 0.000198131 247.134 0.181339 -13 -1 1 0 1 1.83172e-05 -7.38421e-05 1.98736 0 0 -13.5466 
0.000156998 3.03811e-05 60 0.00131514 0.000224467 246.993 0.217617 -13 -1 1 0 1 1.86386e-05 -7.47387e-05 1.9981 0 0 -12.4205 
0.000214928 3.99245e-05 70 0.00154627 0.000246016 246.864 0.253899 -13 -1 1 0 1 1.89414e-05 -7.56342e-05 2.00968 0 0 -11.2261 
0.000248623 4.50848e-05 75 0.00166306 0.000254926 246.805 0.272041 -13 -1 1 0 1 1.91128e-05 -7.60982e-05 2.01585 0 0 -10.6053 
0.000320792 5.57176e-05 85 0.00189912 0.000269856 246.696 0.308327 -13 -1 1 0 1 2.34e-05 -7.74982e-05 2.03264 0 0 -9.3209 
0.000402658 6.70943e-05 95 0.00213983 0.000290465 246.602 0.344615 -13 -1 1 0 1 2.37349e-05 -7.84375e-05 2.04645 0 0 -7.98528 
