# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.751857 -1.1619 205.495 0 -13 -2 1 0 1 0.0742529 -0.077735 -1.9919 0 0 0 
-11.2895 14.0921 0.4995 0.765182 -1.14967 205.495 0.0018736 -13 -2 1 0 1 0.0743125 -0.0778715 -1.98611 0 0 0 
-11.2895 14.0921 0.5005 0.765208 -1.14965 205.495 0.00187735 -13 -2 1 0 1 0.0743126 -0.0778718 -1.9861 0 0 0 
-10.2752 14.1849 100.494 3.41428 1.57348 205.466 0.376948 -13 -2 1 0 1 0.0787831 -0.0970951 -0.689677 0 0 0 
-7.88473 15.5225 200.455 6.56249 3.67024 205.362 0.752019 -13 -2 1 0 1 0.0621777 -0.108781 0.714174 0 0 0 
-3.73747 17.3564 300.35 10.5634 3.30486 205.202 1.12709 -13 -2 1 0 1 0.0305855 -0.103841 2.00423 0 0 0 
2.27041 18.1154 400.164 13.7236 -0.799441 205.04 1.50216 -13 -2 1 0 1 0.00323838 -0.0663729 2.93693 0 0 0 
8.96922 16.2101 499.917 12.9894 -7.04943 204.968 1.87723 -13 -2 1 0 1 0.0115378 -0.00669592 3.28233 0 0 0 
14.2231 11.6304 599.67 8.17361 -11.0743 205.039 2.2523 -13 -2 1 0 1 0.0579583 0.0323926 2.9378 0 0 0 
16.8804 6.18025 699.483 3.04373 -10.6476 205.201 2.62737 -13 -2 1 0 1 0.105106 0.0297078 2.00565 0 0 0 
17.6407 1.7162 799.379 0.596308 -7.45639 205.364 3.00245 -13 -2 1 0 1 0.127096 0.00599157 0.715603 0 0 0 
17.8777 -0.979619 899.341 0.669022 -3.60686 205.467 3.37752 -13 -2 1 0 1 0.12672 -0.0139335 -0.692147 0 0 0 
18.4131 -1.80284 999.335 1.49037 0.193393 205.495 3.75259 -13 -2 1 0 1 0.107999 -0.020045 -1.98647 0 0 0 
19.1569 -0.879135 1099.33 1.30288 3.41273 205.468 4.12766 -13 -2 1 0 1 0.0652917 -0.0151682 -2.92579 0 0 0 
