# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.741978 -1.14663 202.795 0 -13 -2 1 0 1 0.0742529 -0.077735 -1.9919 0 0 0 
-11.2894 14.0922 0.4995 0.755303 -1.13441 202.795 0.00187885 -13 -2 1 0 1 0.0743123 -0.0778718 -1.98611 0 0 0 
-11.2894 14.0922 0.5005 0.75533 -1.13438 202.795 0.00188261 -13 -2 1 0 1 0.0743124 -0.077872 -1.9861 0 0 0 
-10.2671 14.1942 100.494 3.40187 1.59098 202.765 0.378003 -13 -2 1 0 1 0.0787267 -0.0971596 -0.68968 0 0 0 
-7.85032 15.5577 200.454 6.55503 3.68274 202.661 0.754124 -13 -2 1 0 1 0.0619395 -0.109025 0.714159 0 0 0 
-3.64714 17.4152 300.346 10.5743 3.28179 202.498 1.13024 -13 -2 1 0 1 0.0300644 -0.104182 2.0042 0 0 0 
2.4465 18.1542 400.155 13.7255 -0.905327 202.333 1.50636 -13 -2 1 0 1 0.00264717 -0.0665085 2.93691 0 0 0 
9.21597 16.1498 499.901 12.8974 -7.23259 202.26 1.88249 -13 -2 1 0 1 0.0115322 -0.00670476 3.28238 0 0 0 
14.4603 11.419 599.647 7.94671 -11.2369 202.332 2.25861 -13 -2 1 0 1 0.058744 0.0316775 2.93798 0 0 0 
17.0219 5.83914 699.456 2.75757 -10.7136 202.498 2.63473 -13 -2 1 0 1 0.105915 0.0277364 2.00597 0 0 0 
17.6582 1.30232 799.349 0.351882 -7.4563 202.663 3.01085 -13 -2 1 0 1 0.127215 0.00312378 0.716023 0 0 0 
17.7991 -1.42819 899.31 0.514494 -3.61215 202.767 3.38697 -13 -2 1 0 1 0.126177 -0.0170446 -0.691701 0 0 0 
18.2898 -2.27399 999.304 1.43392 0.151443 202.795 3.76309 -13 -2 1 0 1 0.107294 -0.0227744 -1.98606 0 0 0 
19.0364 -1.36378 1099.3 1.32357 3.3564 202.768 4.13921 -13 -2 1 0 1 0.0649014 -0.0168068 -2.92551 0 0 0 
19.3445 0.720615 1199.27 -0.230074 4.65679 202.746 4.51533 -13 -2 1 0 1 0.000526874 -0.0133167 -3.27679 0 0 0 
18.8281 2.76166 1299.25 -1.6741 3.19494 202.768 4.89145 -13 -2 1 0 1 -0.0633107 -0.021436 -2.9355 0 0 0 
17.968 3.57854 1399.24 -1.53105 -0.040863 202.794 5.26757 -13 -2 1 0 1 -0.104907 -0.0302732 -2.00367 0 0 0 
17.4992 2.65443 1499.24 -0.329161 -3.72932 202.765 5.64369 -13 -2 1 0 1 -0.12388 -0.0255521 -0.713169 0 0 0 
17.517 -0.118168 1599.2 0.103802 -7.52772 202.66 6.01981 -13 -2 1 0 1 -0.126317 -0.00509516 0.694208 0 0 0 
17.165 -4.7124 1699.09 -2.07614 -10.9127 202.496 6.39593 -13 -2 1 0 1 -0.107115 0.0213502 1.98731 0 0 0 
14.9592 -10.467 1798.89 -7.23407 -11.772 202.329 6.77205 -13 -2 1 0 1 -0.0610281 0.0289441 2.92627 0 0 0 
10.0055 -15.551 1898.64 -12.4854 -8.10095 202.253 7.14817 -13 -2 1 0 1 -0.0120307 -0.00592153 3.27983 0 0 0 
3.32267 -18.009 1998.38 -13.7846 -1.81784 202.323 7.52429 -13 -2 1 0 1 0.000131036 -0.0652722 2.94439 0 0 0 
-2.88773 -17.6716 2098.18 -10.943 2.58887 202.488 7.90041 -13 -2 1 0 1 -0.0256301 -0.105267 2.01895 0 0 0 
-7.29223 -16.0944 2198.07 -6.96323 3.22321 202.655 8.27653 -13 -2 1 0 1 -0.0580219 -0.112667 0.732224 0 0 0 
-9.88113 -14.9248 2298.03 -3.67097 1.24394 202.763 8.65265 -13 -2 1 0 1 -0.0761298 -0.102417 -0.675435 0 0 0 
-10.9816 -14.984 2398.02 -0.792652 -1.44484 202.793 9.02877 -13 -2 1 0 1 -0.0728101 -0.0835048 -1.97578 0 0 0 
-10.6422 -16.161 2498.01 2.15115 -3.00348 202.766 9.4049 -13 -2 1 0 1 -0.0471984 -0.0496388 -2.92133 0 0 0 
-9.00438 -17.566 2597.99 4.18678 -2.3297 202.743 9.78102 -13 -2 1 0 1 -0.0121975 0.00540807 -3.28064 0 0 0 
-6.93489 -18.2317 2697.97 3.72831 -0.316073 202.766 10.1571 -13 -2 1 0 1 0.0125127 0.0666945 -2.94807 0 0 0 
-5.73481 -17.9695 2797.96 0.843375 1.20705 202.795 10.5333 -13 -2 1 0 1 0.0252124 0.109191 -2.02237 0 0 0 
-6.26536 -17.1738 2897.95 -3.04684 1.98644 202.767 10.9094 -13 -2 1 0 1 0.0384533 0.124738 -0.734594 0 0 0 
-8.70394 -15.8964 2997.91 -6.71679 3.45983 202.659 11.2855 -13 -2 1 0 1 0.0577023 0.117489 0.673169 0 0 0 
-12.6319 -13.4006 3097.8 -8.78139 7.05906 202.487 11.6616 -13 -2 1 0 1 0.0721416 0.0875282 1.97261 0 0 0 
-16.7476 -8.67104 3197.6 -7.14371 12.1422 202.31 12.0377 -13 -2 1 0 1 0.0569287 0.0419191 2.91794 0 0 0 
-18.9628 -1.76796 3297.33 -1.33462 15.1643 202.228 12.4139 -13 -2 1 0 1 0.00178337 0.0135033 3.27974 0 0 0 
-17.9734 5.45618 3397.06 5.00208 13.3509 202.298 12.79 -13 -2 1 0 1 -0.0582624 0.0301155 2.95333 0 0 0 
-14.6575 10.9139 3496.86 7.68664 8.64764 202.47 13.1661 -13 -2 1 0 1 -0.0826082 0.0721865 2.03443 0 0 0 
-11.0561 14.1278 3596.74 6.4104 4.70807 202.644 13.5422 -13 -2 1 0 1 -0.073786 0.104874 0.750834 0 0 0 
-8.66545 15.8845 3696.69 3.10085 2.68014 202.759 13.9183 -13 -2 1 0 1 -0.0554492 0.116315 -0.65692 0 0 0 
-8.07105 16.9013 3796.68 -0.658968 1.43915 202.794 14.2945 -13 -2 1 0 1 -0.039544 0.104611 -1.96033 0 0 0 
-9.16463 17.2051 3896.68 -3.48887 -0.341904 202.77 14.6706 -13 -2 1 0 1 -0.0214663 0.0660754 -2.91243 0 0 0 
-11.1154 16.5083 3996.65 -3.96019 -2.39757 202.747 15.0467 -13 -2 1 0 1 0.0102219 0.00864169 -3.28024 0 0 0 
-12.6676 15.0943 4096.63 -2.05205 -2.95068 202.768 15.4228 -13 -2 1 0 1 0.0521554 -0.0434671 -2.95694 0 0 0 
-13.0147 13.9962 4196.62 0.645836 -1.16068 202.796 15.7989 -13 -2 1 0 1 0.0835177 -0.0763332 -2.03788 0 0 0 
-12.9777 14.0025 4200.5 0.747854 -1.05517 202.796 15.8135 -13 -2 1 0 1 0.0841156 -0.0774105 -1.99307 0 0 0 
-12.9776 14.0025 4200.5 0.74788 -1.05514 202.796 15.8135 -13 -2 1 0 1 0.0841157 -0.0774107 -1.99306 0 0 0 
-11.9711 14.2214 4300.49 3.34496 1.99575 202.763 16.1896 -13 -2 1 0 1 0.0905695 -0.0974022 -0.695969 0 0 0 
-9.58028 15.874 4400.45 6.53719 4.4532 202.646 16.5658 -13 -2 1 0 1 0.0739346 -0.111259 0.711717 0 0 0 
-5.32541 18.1938 4500.33 10.8538 4.36089 202.462 16.9419 -13 -2 1 0 1 0.0397564 -0.108729 2.00213 0 0 0 
1.03776 19.4862 4600.12 14.5663 0.188064 202.276 17.318 -13 -2 1 0 1 0.00736081 -0.0710407 2.93528 0 0 0 
8.35734 17.9261 4699.83 14.2375 -6.59701 202.192 17.6941 -13 -2 1 0 1 0.0115018 -0.00677872 3.2813 0 0 0 
14.2955 13.34 4799.54 9.33231 -11.2805 202.271 18.0702 -13 -2 1 0 1 0.058146 0.0380604 2.9376 0 0 0 
17.4608 7.61478 4899.33 3.78074 -11.1931 202.456 18.4464 -13 -2 1 0 1 0.108414 0.037961 2.00618 0 0 0 
18.4934 2.81654 4999.2 0.950075 -7.98034 202.641 18.8225 -13 -2 1 0 1 0.13299 0.0136079 0.716552 0 0 0 
18.85 -0.130017 5099.16 0.813973 -3.94122 202.76 19.1986 -13 -2 1 0 1 0.133485 -0.00804303 -0.691243 0 0 0 
19.4363 -1.07532 5199.15 1.53021 0.0735742 202.794 19.5747 -13 -2 1 0 1 0.113979 -0.0158315 -1.98926 0 0 0 
20.1858 -0.156747 5299.14 1.24258 3.44375 202.767 19.9508 -13 -2 1 0 1 0.0688684 -0.0127269 -2.92953 0 0 0 
