# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.731734 -1.1308 199.995 0 -13 -2 1 0 1 0.0742344 -0.0777157 -1.99141 0 0 0 
-11.2894 14.0922 0.4995 0.745055 -1.11858 199.995 0.0018845 -13 -2 1 0 1 0.0742935 -0.0778527 -1.98561 0 0 0 
-11.2894 14.0922 0.5005 0.745082 -1.11855 199.995 0.00188827 -13 -2 1 0 1 0.0742937 -0.077853 -1.9856 0 0 0 
-10.2586 14.2039 100.494 3.38832 1.60845 199.965 0.379139 -13 -2 1 0 1 0.0786482 -0.097203 -0.689511 0 0 0 
-7.81436 15.5945 200.453 6.54587 3.69449 199.859 0.75639 -13 -2 1 0 1 0.0616752 -0.109254 0.713966 0 0 0 
-3.55252 17.4766 300.342 10.5833 3.25635 199.693 1.13364 -13 -2 1 0 1 0.0295113 -0.104513 2.00367 0 0 0 
2.63091 18.1934 400.145 13.7233 -1.0164 199.526 1.51089 -13 -2 1 0 1 0.0020274 -0.0666295 2.93616 0 0 0 
9.47289 16.0833 499.884 12.7951 -7.42155 199.452 1.88814 -13 -2 1 0 1 0.0115231 -0.00671241 3.28161 0 0 0 
14.7031 11.1932 599.623 7.70345 -11.3997 199.526 2.26539 -13 -2 1 0 1 0.0595329 0.0309059 2.93744 0 0 0 
17.1592 5.47896 699.426 2.45519 -10.7725 199.695 2.64264 -13 -2 1 0 1 0.106673 0.0256487 2.00581 0 0 0 
17.6615 0.869285 799.317 0.0953681 -7.44763 199.861 3.0199 -13 -2 1 0 1 0.127202 0.000123423 0.71629 0 0 0 
17.6986 -1.89491 899.277 0.351722 -3.61353 199.967 3.39715 -13 -2 1 0 1 0.125451 -0.0202765 -0.691055 0 0 0 
18.1404 -2.76419 999.271 1.37298 0.10618 199.995 3.7744 -13 -2 1 0 1 0.106411 -0.0256081 -1.98514 0 0 0 
18.8891 -1.87044 1099.26 1.34492 3.29188 199.968 4.15165 -13 -2 1 0 1 0.0644056 -0.0185162 -2.92447 0 0 0 
19.2218 0.214062 1199.24 -0.181816 4.60851 199.947 4.5289 -13 -2 1 0 1 0.000546688 -0.0133265 -3.27585 0 0 0 
18.7157 2.2644 1299.22 -1.65982 3.1636 199.968 4.90615 -13 -2 1 0 1 -0.0628989 -0.0197708 -2.93488 0 0 0 
17.8348 3.07815 1399.21 -1.58437 -0.0689717 199.994 5.2834 -13 -2 1 0 1 -0.104099 -0.0273801 -2.00348 0 0 0 
17.3114 2.12872 1499.2 -0.471807 -3.74699 199.964 5.66065 -13 -2 1 0 1 -0.122541 -0.0219056 -0.713433 0 0 0 
17.2305 -0.681199 1599.16 -0.152975 -7.49369 199.86 6.0379 -13 -2 1 0 1 -0.124298 -0.00119047 0.693525 0 0 0 
16.7151 -5.29254 1699.05 -2.44853 -10.7392 199.696 6.41515 -13 -2 1 0 1 -0.104487 0.024708 1.98631 0 0 0 
14.2793 -10.9822 1798.86 -7.63188 -11.3482 199.532 6.7924 -13 -2 1 0 1 -0.0587199 0.0306946 2.92514 0 0 0 
9.0923 -15.8568 1898.6 -12.7064 -7.41812 199.458 7.16965 -13 -2 1 0 1 -0.0119954 -0.00588391 3.27883 0 0 0 
2.28427 -17.9799 1998.34 -13.6841 -1.0672 199.529 7.54691 -13 -2 1 0 1 -0.00330812 -0.0651364 2.94378 0 0 0 
-3.89686 -17.2963 2098.14 -10.6115 3.17672 199.693 7.92416 -13 -2 1 0 1 -0.0314193 -0.103069 2.01883 0 0 0 
-8.18578 -15.4615 2198.03 -6.62118 3.58079 199.858 8.30141 -13 -2 1 0 1 -0.0641861 -0.108254 0.732583 0 0 0 
-10.6725 -14.1439 2297.99 -3.47526 1.42349 199.965 8.67866 -13 -2 1 0 1 -0.0816033 -0.0969726 -0.674675 0 0 0 
-11.7362 -14.1489 2397.98 -0.774767 -1.40108 199.994 9.05591 -13 -2 1 0 1 -0.0771835 -0.0786376 -1.97472 0 0 0 
-11.4125 -15.3515 2497.97 2.07198 -3.07945 199.966 9.43316 -13 -2 1 0 1 -0.0498315 -0.0468769 -2.92016 0 0 0 
-9.78867 -16.8324 2597.95 4.13738 -2.46107 199.942 9.81041 -13 -2 1 0 1 -0.0122646 0.00543369 -3.27958 0 0 0 
-7.69161 -17.5622 2697.93 3.77525 -0.384363 199.964 10.1877 -13 -2 1 0 1 0.0149921 0.0644447 -2.94739 0 0 0 
-6.4277 -17.2956 2797.92 0.982449 1.28621 199.994 10.5649 -13 -2 1 0 1 0.0291766 0.105275 -2.0222 0 0 0 
-6.87203 -16.4084 2897.91 -2.80435 2.22591 199.968 10.9422 -13 -2 1 0 1 0.0426347 0.119401 -0.73494 0 0 0 
-9.18306 -14.9616 2997.87 -6.2949 3.81262 199.865 11.3194 -13 -2 1 0 1 0.0610101 0.110967 0.672377 0 0 0 
-12.887 -12.2519 3097.76 -8.07153 7.38981 199.7 11.6967 -13 -2 1 0 1 0.0736071 0.0808236 1.97146 0 0 0 
-16.6261 -7.34685 3197.57 -6.13206 12.2005 199.533 12.0739 -13 -2 1 0 1 0.0565041 0.0373673 2.91659 0 0 0 
-18.3335 -0.43746 3297.31 -0.249033 14.7251 199.457 12.4512 -13 -2 1 0 1 0.00173598 0.0133733 3.27837 0 0 0 
-16.8455 6.55091 3397.05 5.80469 12.4852 199.526 12.8284 -13 -2 1 0 1 -0.0545462 0.033681 2.95218 0 0 0 
-13.1884 11.6165 3496.85 8.06981 7.703 199.689 13.2057 -13 -2 1 0 1 -0.074169 0.0761799 2.03366 0 0 0 
