# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.731734 -1.1308 199.995 0 -13 -2 1 0 1 0.0712528 -0.078961 -1.9919 0 0 0 
-11.2893 14.0921 0.4995 0.745242 -1.11902 199.995 0.0018845 -13 -2 1 0 1 0.0713149 -0.0790936 -1.98611 0 0 0 
-11.2893 14.0921 0.5005 0.745269 -1.119 199.995 0.00188827 -13 -2 1 0 1 0.071315 -0.0790939 -1.98609 0 0 0 
-10.2498 14.1833 100.494 3.41956 1.52941 199.965 0.379139 -13 -2 1 0 1 0.0760933 -0.0975019 -0.689615 0 0 0 
-7.79003 15.5155 200.453 6.56665 3.53845 199.861 0.75639 -13 -2 1 0 1 0.0590048 -0.10832 0.714278 0 0 0 
-3.53626 17.2987 300.345 10.5145 3.01839 199.701 1.13364 -13 -2 1 0 1 0.0264202 -0.102289 2.00429 0 0 0 
2.57102 17.8834 400.154 13.4753 -1.29387 199.541 1.51089 -13 -2 1 0 1 -0.00138631 -0.0637157 2.93681 0 0 0 
9.23697 15.6451 499.901 12.3448 -7.63953 199.472 1.88814 -13 -2 1 0 1 0.00767947 -0.00448277 3.28207 0 0 0 
14.2076 10.675 599.65 7.13474 -11.5032 199.541 2.26539 -13 -2 1 0 1 0.0544484 0.0313667 2.9376 0 0 0 
16.3723 4.92426 699.458 1.87109 -10.8378 199.697 2.64264 -13 -2 1 0 1 0.0995873 0.0244381 2.00575 0 0 0 
16.5893 0.258307 799.347 -0.456414 -7.63686 199.854 3.0199 -13 -2 1 0 1 0.118169 -0.00214424 0.716081 0 0 0 
16.3678 -2.66661 899.302 -0.116199 -4.09091 199.958 3.39715 -13 -2 1 0 1 0.115328 -0.0232537 -0.691325 0 0 0 
16.6257 -3.86669 999.293 1.14064 -0.739002 199.995 3.7744 -13 -2 1 0 1 0.0971878 -0.0287958 -1.98533 0 0 0 
17.3628 -3.46451 1099.29 1.55886 2.21768 199.982 4.15165 -13 -2 1 0 1 0.0590507 -0.0198407 -2.92448 0 0 0 
17.9238 -1.89935 1199.27 0.486958 3.67225 199.966 4.5289 -13 -2 1 0 1 0.000487232 -0.00894055 -3.27571 0 0 0 
17.7973 -0.218039 1299.26 -0.889746 2.64188 199.981 4.90615 -13 -2 1 0 1 -0.0596875 -0.0074231 -2.93465 0 0 0 
17.231 0.430822 1399.26 -1.1565 -0.239644 199.997 5.2834 -13 -2 1 0 1 -0.100206 -0.00891166 -2.00313 0 0 0 
16.7814 -0.557759 1499.25 -0.625351 -3.75455 199.964 5.66065 -13 -2 1 0 1 -0.118008 -0.000915686 -0.712837 0 0 0 
16.4661 -3.33422 1599.21 -0.931527 -7.32414 199.864 6.0379 -13 -2 1 0 1 -0.117413 0.0191793 0.694448 0 0 0 
15.4302 -7.75853 1699.1 -3.70319 -10.0951 199.711 6.41515 -13 -2 1 0 1 -0.0945026 0.0409827 1.98749 0 0 0 
12.3421 -12.9334 1798.92 -8.87415 -9.90252 199.558 6.7924 -13 -2 1 0 1 -0.0487071 0.0394804 2.92631 0 0 0 
6.68538 -16.8989 1898.68 -13.2403 -5.30606 199.491 7.16965 -13 -2 1 0 1 -0.00801116 -0.00365643 3.27962 0 0 0 
-0.138276 -17.933 1998.43 -13.229 1.05509 199.559 7.54691 -13 -2 1 0 1 -0.00770053 -0.0631519 2.94382 0 0 0 
-5.91805 -16.3048 2098.25 -9.56237 4.79231 199.714 7.92416 -13 -2 1 0 1 -0.0400379 -0.0961847 2.01808 0 0 0 
-9.65972 -13.7931 2198.15 -5.56779 4.71239 199.867 8.30141 -13 -2 1 0 1 -0.0718827 -0.0963056 0.731257 0 0 0 
-11.7071 -11.9709 2298.11 -2.82087 2.35666 199.966 8.67866 -13 -2 1 0 1 -0.0862809 -0.0822909 -0.676217 0 0 0 
-12.5934 -11.5194 2398.1 -0.745608 -0.504546 199.998 9.05591 -13 -2 1 0 1 -0.07916 -0.0645323 -1.97597 0 0 0 
-12.4258 -12.3022 2498.1 1.43549 -2.33466 199.981 9.43316 -13 -2 1 0 1 -0.0496457 -0.0382709 -2.92054 0 0 0 
-11.2343 -13.4951 2598.08 3.12064 -2.07415 199.965 9.81041 -13 -2 1 0 1 -0.00846804 0.00351915 -3.2789 0 0 0 
-9.63461 -14.112 2698.07 2.88481 -0.27034 199.979 10.1877 -13 -2 1 0 1 0.02488 0.0509329 -2.94581 0 0 0 
-8.70258 -13.7744 2798.06 0.584048 1.53149 199.993 10.5649 -13 -2 1 0 1 0.0448304 0.0830927 -2.02018 0 0 0 
-9.18623 -12.6524 2898.05 -2.53623 2.95534 199.962 10.9422 -13 -2 1 0 1 0.0602843 0.0914658 -0.732817 0 0 0 
-11.15 -10.7101 2998.01 -5.11964 5.02622 199.871 11.3194 -13 -2 1 0 1 0.0755642 0.0790797 0.674439 0 0 0 
-13.9701 -7.3705 3097.92 -5.67397 8.55718 199.736 11.6967 -13 -2 1 0 1 0.0803102 0.0492237 1.97319 0 0 0 
-16.2137 -2.10071 3197.75 -2.64379 12.3123 199.603 12.0739 -13 -2 1 0 1 0.055167 0.015304 2.91746 0 0 0 
-16.1074 4.42967 3297.53 3.28267 13.0655 199.546 12.4512 -13 -2 1 0 1 0.00139918 0.00850161 3.27801 0 0 0 
-13.1182 10.2231 3397.32 8.13015 9.54829 199.607 12.8284 -13 -2 1 0 1 -0.042632 0.041668 2.95023 0 0 0 
-8.67568 13.7607 3497.15 8.9486 4.72476 199.744 13.2057 -13 -2 1 0 1 -0.04882 0.0852793 2.03031 0 0 0 
-4.69396 15.2821 3597.06 6.6489 1.78925 199.882 13.5829 -13 -2 1 0 1 -0.030683 0.110442 0.746298 0 0 0 
-2.20184 15.9302 3697.02 3.25067 1.07553 199.971 13.9602 -13 -2 1 0 1 -0.0121076 0.114598 -0.661092 0 0 0 
-1.45737 16.4824 3797.02 -0.238738 1.10904 199.997 14.3374 -13 -2 1 0 1 -0.00344132 0.10005 -1.96318 0 0 0 
-2.33068 16.9004 3897.01 -3.04018 0.358788 199.977 14.7147 -13 -2 1 0 1 -0.00120477 0.0626372 -2.91294 0 0 0 
-4.1654 16.6749 3997 -3.87715 -1.31827 199.958 15.0919 -13 -2 1 0 1 0.00724793 0.00623361 -3.27816 0 0 0 
-5.79131 15.6869 4096.98 -2.28671 -2.38494 199.973 15.4692 -13 -2 1 0 1 0.0261679 -0.0474282 -2.9527 0 0 0 
-6.24848 14.5919 4196.97 0.533024 -1.71639 199.992 15.8464 -13 -2 1 0 1 0.0418023 -0.0810321 -2.03265 0 0 0 
-6.21325 14.576 4200.5 0.637204 -1.66577 199.992 15.8597 -13 -2 1 0 1 0.0419411 -0.0818983 -1.99186 0 0 0 
-6.21323 14.576 4200.5 0.637233 -1.66575 199.992 15.8597 -13 -2 1 0 1 0.0419411 -0.0818985 -1.99185 0 0 0 
-5.16274 14.1539 4300.49 3.55595 0.00238332 199.968 16.237 -13 -2 1 0 1 0.0408221 -0.0973027 -0.695569 0 0 0 
-2.63956 14.4561 4400.46 6.57503 0.939568 199.89 16.6142 -13 -2 1 0 1 0.0233165 -0.10097 0.71157 0 0 0 
1.41223 14.6985 4500.38 9.52951 -0.462015 199.772 16.9915 -13 -2 1 0 1 -0.00214269 -0.087247 2.00134 0 0 0 
6.59267 13.5048 4600.23 10.6764 -4.69234 199.66 17.3687 -13 -2 1 0 1 -0.0148443 -0.0489812 2.93325 0 0 0 
11.4313 9.90391 4700.05 8.01006 -9.4693 199.615 17.746 -13 -2 1 0 1 0.00771969 -0.00442569 3.27771 0 0 0 
14.1551 4.57188 4799.86 2.76589 -11.1586 199.669 18.1233 -13 -2 1 0 1 0.0543122 0.0109453 2.93244 0 0 0 
14.4133 -0.627185 4899.73 -1.27197 -9.19934 199.784 18.5005 -13 -2 1 0 1 0.0882995 -0.00759698 2.00003 0 0 0 
13.4104 -4.42504 4999.65 -2.24704 -5.98322 199.898 18.8778 -13 -2 1 0 1 0.096135 -0.0345936 0.710091 0 0 0 
12.5432 -6.68808 5099.62 -0.978175 -3.16595 199.973 19.255 -13 -2 1 0 1 0.0887493 -0.0511299 -0.696942 0 0 0 
12.5411 -7.64781 5199.61 0.946023 -0.68297 199.997 19.6323 -13 -2 1 0 1 0.0734084 -0.0506321 -1.99269 0 0 0 
13.3407 -7.3715 5299.61 1.99834 1.75092 199.982 20.0095 -13 -2 1 0 1 0.0452756 -0.0329554 -2.92922 0 0 0 
14.2451 -6.03749 5399.59 1.35013 3.32203 199.968 20.3868 -13 -2 1 0 1 0.000208986 -0.00897691 -3.27787 0 0 0 
14.5361 -4.39878 5499.58 -0.199408 2.85636 199.98 20.764 -13 -2 1 0 1 -0.0489375 0.00655666 -2.93475 0 0 0 
14.1434 -3.49398 5599.58 -1.21974 0.549022 199.996 21.1413 -13 -2 1 0 1 -0.0824664 0.0137296 -2.00227 0 0 0 
13.4297 -3.96121 5699.57 -1.60697 -2.44538 199.979 21.5185 -13 -2 1 0 1 -0.0948156 0.0226611 -0.711646 0 0 0 
12.4456 -5.90573 5799.55 -2.53754 -5.23544 199.915 21.8958 -13 -2 1 0 1 -0.0895065 0.0369961 0.695549 0 0 0 
10.6054 -9.00139 5899.48 -5.13352 -6.82253 199.818 22.273 -13 -2 1 0 1 -0.0664554 0.0480982 1.99082 0 0 0 
7.09956 -12.2567 5999.36 -8.91159 -5.61611 199.723 22.6503 -13 -2 1 0 1 -0.0308201 0.0369848 2.92714 0 0 0 
1.95198 -14.0668 6099.21 -11.1554 -1.23841 199.685 23.0275 -13 -2 1 0 1 -0.00774997 -0.00405682 3.27701 0 0 0 
-3.4203 -13.4239 6199.06 -9.73897 3.55066 199.731 23.4048 -13 -2 1 0 1 -0.0186144 -0.0484348 2.93739 0 0 0 
-7.41622 -10.993 6298.95 -6.14114 5.60637 199.827 23.782 -13 -2 1 0 1 -0.0487118 -0.0657468 2.00881 0 0 0 
-9.67063 -8.31259 6398.89 -3.11626 4.7469 199.919 24.1593 -13 -2 1 0 1 -0.0719821 -0.0583918 0.72062 0 0 0 
-10.7821 -6.47944 6498.87 -1.53058 2.46624 199.979 24.5365 -13 -2 1 0 1 -0.0798071 -0.0441269 -0.686429 0 0 0 
-11.311 -5.8834 6598.86 -0.600715 -0.0449653 199.999 24.9138 -13 -2 1 0 1 -0.071539 -0.0316755 -1.98373 0 0 0 
-11.3358 -6.40733 6698.86 0.57008 -1.84905 199.991 25.291 -13 -2 1 0 1 -0.0456395 -0.0179677 -2.92364 0 0 0 
-10.7238 -7.46441 6798.85 1.80364 -2.08129 199.981 25.6683 -13 -2 1 0 1 -0.00813723 0.0041352 -3.27674 0 0 0 
-9.70976 -8.2352 6898.84 2.00087 -0.834259 199.988 26.0455 -13 -2 1 0 1 0.0253472 0.0317201 -2.93893 0 0 0 
-8.97428 -8.23143 6998.84 0.737252 0.841327 199.997 26.4228 -13 -2 1 0 1 0.0465136 0.0513546 -2.01041 0 0 0 
-9.08839 -7.41502 7098.84 -1.2145 2.42913 199.982 26.8 -13 -2 1 0 1 0.0596581 0.0552668 -0.721739 0 0 0 
-10.1144 -5.74052 7198.82 -2.71785 4.38312 199.934 27.1773 -13 -2 1 0 1 0.0683424 0.0445755 0.685398 0 0 0 
-11.5289 -2.91054 7298.77 -2.55951 7.01068 199.861 27.5545 -13 -2 1 0 1 0.0659413 0.0232668 1.98232 0 0 0 
-12.235 1.20078 7398.68 0.161987 9.17247 199.79 27.9318 -13 -2 1 0 1 0.0411807 0.00404413 2.92213 0 0 0 
-11.0973 5.81201 7498.56 4.41184 8.70925 199.762 28.309 -13 -2 1 0 1 0.000558591 0.00859205 3.2763 0 0 0 
-8.08237 9.41661 7598.45 7.16834 5.4041 199.799 28.6863 -13 -2 1 0 1 -0.0263934 0.0393156 2.94108 0 0 0 
-4.45865 11.1773 7698.37 6.86008 1.83547 199.874 29.0635 -13 -2 1 0 1 -0.024748 0.0706836 2.01541 0 0 0 
-1.53517 11.5667 7798.32 4.67526 0.0671801 199.945 29.4408 -13 -2 1 0 1 -0.0088442 0.0848244 0.728479 0 0 0 
0.16143 11.527 7898.31 2.11737 -0.0386692 199.989 29.818 -13 -2 1 0 1 0.00432742 0.083928 -0.678644 0 0 0 
0.609869 11.6048 7998.31 -0.278785 0.320166 200 30.1953 -13 -2 1 0 1 0.00862004 0.0713394 -1.97714 0 0 0 
-0.0332695 11.7374 8098.3 -2.14807 0.0538375 199.989 30.5725 -13 -2 1 0 1 0.00673452 0.0443547 -2.91961 0 0 0 
-1.31629 11.5252 8198.3 -2.70152 -0.964766 199.98 30.9498 -13 -2 1 0 1 0.0076135 0.0051467 -3.27612 0 0 0 
-2.45205 10.8191 8298.29 -1.60639 -1.7145 199.986 31.327 -13 -2 1 0 1 0.0153421 -0.031956 -2.94217 0 0 0 
-2.77762 9.99533 8398.28 0.361507 -1.40783 199.995 31.7043 -13 -2 1 0 1 0.0219809 -0.054962 -2.01657 0 0 0 
-2.76223 9.98466 8400.5 0.407481 -1.39063 199.995 31.7126 -13 -2 1 0 1 0.021972 -0.0553231 -1.99096 0 0 0 
-2.76222 9.98465 8400.5 0.407501 -1.39063 199.995 31.7126 -13 -2 1 0 1 0.021972 -0.0553233 -1.99094 0 0 0 
-2.04556 9.51301 8500.5 2.44569 -0.487203 199.985 32.0899 -13 -2 1 0 1 0.0192119 -0.0651273 -0.695241 0 0 0 
-0.323141 9.4089 8600.48 4.44007 -0.111036 199.951 32.4672 -13 -2 1 0 1 0.00727208 -0.0660076 0.711746 0 0 0 
2.35608 9.14415 8700.44 6.16518 -1.25551 199.901 32.8444 -13 -2 1 0 1 -0.00758399 -0.0551898 2.00147 0 0 0 
5.60766 7.8685 8800.38 6.47899 -4.03933 199.854 33.2217 -13 -2 1 0 1 -0.0115198 -0.0300748 2.93297 0 0 0 
8.41031 5.10382 8900.3 4.33414 -6.79972 199.838 33.5989 -13 -2 1 0 1 0.00778792 -0.00438861 3.27607 0 0 0 
9.71333 1.45463 9000.23 0.873939 -7.33852 199.864 33.9762 -13 -2 1 0 1 0.0395251 0.000515682 2.92889 0 0 0 
9.48602 -1.85406 9100.17 -1.44495 -5.65796 199.915 34.3534 -13 -2 1 0 1 0.0599273 -0.0146905 1.99433 0 0 0 
8.62399 -4.11861 9200.14 -1.69031 -3.43196 199.964 34.7307 -13 -2 1 0 1 0.0630044 -0.0324895 0.699849 0 0 0 
8.02264 -5.35835 9300.13 -0.580129 -1.59682 199.993 35.1079 -13 -2 1 0 1 0.0573805 -0.0418984 -0.707103 0 0 0 
8.08975 -5.74852 9400.13 0.806897 0.0397529 199.998 35.4852 -13 -2 1 0 1 0.0475926 -0.0396072 -1.99802 0 0 0 
8.70547 -5.30977 9500.13 1.46295 1.69483 199.988 35.8624 -13 -2 1 0 1 0.0295272 -0.0259347 -2.93147 0 0 0 
9.33755 -4.15049 9600.12 0.874646 2.75716 199.979 36.2397 -13 -2 1 0 1 -3.8025e-05 -0.00887068 -3.27637 0 0 0 
9.47646 -2.7968 9700.11 -0.318074 2.39805 199.985 36.6169 -13 -2 1 0 1 -0.0321772 0.00125458 -2.92995 0 0 0 
9.10102 -1.96225 9800.1 -1.0627 0.804323 199.996 36.9942 -13 -2 1 0 1 -0.0534695 0.00492256 -1.99537 0 0 0 
8.50961 -2.05479 9900.1 -1.26369 -1.17867 199.993 37.3714 -13 -2 1 0 1 -0.0607758 0.00946787 -0.700638 0 0 0 
7.79863 -3.10776 10000.1 -1.69495 -2.9648 199.971 37.7487 -13 -2 1 0 1 -0.0572705 0.0175908 0.706333 0 0 0 
6.64823 -4.89847 10100.1 -3.09193 -4.00598 199.936 38.1259 -13 -2 1 0 1 -0.0435048 0.0243097 1.99701 0 0 0 
4.57423 -6.83848 10200 -5.22899 -3.41458 199.903 38.5032 -13 -2 1 0 1 -0.022214 0.0185612 2.93035 0 0 0 
1.55576 -7.98946 10300 -6.55322 -0.957966 199.89 38.8804 -13 -2 1 0 1 -0.00769732 -0.00443759 3.27576 0 0 0 
-1.618 -7.74521 10399.9 -5.79906 1.79482 199.908 39.2577 -13 -2 1 0 1 -0.0126505 -0.029732 2.93052 0 0 0 
-4.02543 -6.46361 10499.9 -3.76393 3.00645 199.942 39.6349 -13 -2 1 0 1 -0.0292439 -0.0397607 1.99738 0 0 0 
-5.43702 -5.02756 10599.9 -2.01263 2.51815 199.974 40.0122 -13 -2 1 0 1 -0.0427024 -0.0356647 0.706888 0 0 0 
-6.17362 -4.08914 10699.9 -1.04057 1.15725 199.994 40.3894 -13 -2 1 0 1 -0.047821 -0.0275129 -0.699939 0 0 0 
-6.53 -3.89853 10799.9 -0.381784 -0.375735 199.999 40.7667 -13 -2 1 0 1 -0.0437302 -0.0200897 -1.99456 0 0 0 
-6.51729 -4.39284 10899.9 0.479148 -1.47376 199.994 41.1439 -13 -2 1 0 1 -0.0291174 -0.0109959 -2.92914 0 0 0 
-6.04291 -5.20254 10999.9 1.36299 -1.57858 199.989 41.5212 -13 -2 1 0 1 -0.00772869 0.00441518 -3.27572 0 0 0 
-5.27801 -5.81822 11099.8 1.52512 -0.790774 199.993 41.8984 -13 -2 1 0 1 0.0108093 0.0238687 -2.93117 0 0 0 
-4.68845 -5.9676 11199.8 0.692783 0.169201 199.999 42.2757 -13 -2 1 0 1 0.0219507 0.0384283 -1.99809 0 0 0 
-4.67261 -5.68041 11299.8 -0.661942 0.967741 199.997 42.6529 -13 -2 1 0 1 0.0291372 0.0432982 -0.707405 0 0 0 
-5.33154 -4.96829 11399.8 -1.90263 1.95686 199.982 43.0302 -13 -2 1 0 1 0.0351531 0.0392075 0.699504 0 0 0 
-6.44239 -3.624 11499.8 -2.34051 3.51318 199.956 43.4074 -13 -2 1 0 1 0.0363409 0.0273554 1.99405 0 0 0 
-7.41554 -1.42961 11599.8 -1.27103 5.1835 199.929 43.7847 -13 -2 1 0 1 0.0245708 0.0129407 2.92862 0 0 0 
-7.48981 1.35102 11699.8 1.07869 5.62956 199.918 44.1619 -13 -2 1 0 1 6.37669e-05 0.00887488 3.27553 0 0 0 
-6.39961 3.8846 11799.7 3.06718 4.25847 199.931 44.5392 -13 -2 1 0 1 -0.0210639 0.0211421 2.9318 0 0 0 
-4.70824 5.50177 11899.7 3.40931 2.24171 199.959 44.9164 -13 -2 1 0 1 -0.0262825 0.0381688 1.99963 0 0 0 
-3.21426 6.24606 11999.7 2.42218 0.895384 199.983 45.2937 -13 -2 1 0 1 -0.0204724 0.0480448 0.709537 0 0 0 
