 #VirtualDetector/det                                                            
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:   0.10000000000000001      /  0.34999999999999998     
    transverse cuts:    9.7500000000000000E-003   1.4999999999999999E-002
    longitudinal cut:    3.5000000000000003E-002
    RF frequency (MHz):    325.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    12  0.1500E+00  0.5645E-02  0.1839E-02  0.9632E-04  0.4507E-09 -0.1548E+00  0.1980E+00  0.3287E+00 -0.1512E+01  0.7734E-01 -0.1663E+01  0.9922E+04  0.7319E+04  0.9089E+04 -0.5140E-02  0.8773E-02  0.8192E-11  0.1569E+00  0.6325E-09  0.8737E-02 -0.9290E-02  0.1464E-01  0.2346E-02  0.1018E-01  0.7005E-02  0.2004E+00
    13  0.5000E+00  0.3282E+01  0.1980E-02  0.4266E-03  0.2252E-08 -0.2654E+00  0.1958E+00  0.2064E+01 -0.2267E+01  0.2452E+00 -0.1328E+01  0.9932E+04  0.7092E+04  0.8833E+04 -0.7080E-02  0.8799E-02  0.3315E-10  0.1056E+00  0.2797E-08  0.8775E-02  0.9456E-02  0.1512E-01 -0.6303E-02  0.2384E-01  0.2081E-01  0.2139E+00
    14  0.8500E+00  0.1213E-02  0.2166E-02  0.6046E-03  0.3909E-08 -0.1380E+00  0.1997E+00  0.2219E+01  0.2012E+00  0.4584E+00 -0.1586E+01  0.9891E+04  0.6778E+04  0.8542E+04 -0.4940E-02  0.8768E-02  0.5294E-10  0.8579E-01  0.3606E-08  0.8745E-02  0.1503E-01 -0.2383E-02  0.3280E-01  0.4737E-01  0.1033E+00  0.1713E+00
    15  0.1200E+01 -0.3277E+01  0.2281E-02  0.6721E-03  0.5351E-08 -0.6923E-01  0.1969E+00  0.1563E+01  0.1946E+01  0.6946E+00 -0.1961E+01  0.9899E+04  0.6555E+04  0.8375E+04 -0.3668E-02  0.8745E-02  0.6780E-10  0.1103E+00  0.4029E-08  0.8702E-02  0.1660E-01 -0.2907E-02  0.3202E-01  0.5853E-01  0.1880E+00  0.2161E+00
    16  0.1550E+01  0.3063E-02  0.2445E-02  0.8275E-03  0.7973E-08 -0.1269E+00  0.1980E+00  0.2329E+00  0.8262E+00  0.9173E+00 -0.2020E+01  0.9883E+04  0.6197E+04  0.8062E+04 -0.4851E-02  0.8692E-02  0.8622E-10  0.1124E+00  0.4738E-08  0.8639E-02  0.1539E-01 -0.2235E-02  0.2478E-01  0.4981E-01  0.1440E+00  0.1730E+00
    17  0.1900E+01  0.3280E+01  0.2603E-02  0.9965E-03  0.1104E-07 -0.1332E+00  0.1972E+00  0.4717E+00 -0.1179E+01  0.1139E+01 -0.2055E+01  0.9845E+04  0.5918E+04  0.7761E+04 -0.5144E-02  0.8663E-02  0.1059E-09  0.1122E+00  0.5361E-08  0.8600E-02  0.5486E-02 -0.1603E-01  0.6526E-01 -0.8552E-03 -0.1341E+00  0.1843E+00
    18  0.2250E+01 -0.3011E-03  0.2714E-02  0.1090E-02  0.1321E-07 -0.1203E+00  0.1993E+00  0.1287E+01 -0.1364E+01  0.1422E+01 -0.2204E+01  0.9802E+04  0.5729E+04  0.7551E+04 -0.4517E-02  0.8659E-02  0.1215E-09  0.1103E+00  0.5626E-08  0.8591E-02 -0.9882E-02 -0.1167E-01  0.2057E-01 -0.8138E-01 -0.5080E-01  0.1559E+00
    19  0.2600E+01 -0.3281E+01  0.3018E-02  0.1178E-02  0.1876E-07  0.5841E-02  0.1962E+00  0.1780E+01  0.3364E+00  0.1700E+01 -0.2358E+01  0.9804E+04  0.5276E+04  0.7184E+04 -0.1844E-02  0.8653E-02  0.1382E-09  0.1193E+00  0.5371E-08  0.8549E-02 -0.8891E-02 -0.1259E-01  0.2211E-01 -0.1011E+00  0.1349E+00  0.1873E+00
    20  0.2950E+01 -0.3170E-03  0.3296E-02  0.1321E-02  0.2624E-07 -0.1032E+00  0.1988E+00  0.7705E+00  0.1188E+01  0.2027E+01 -0.2399E+01  0.9813E+04  0.4891E+04  0.6791E+04 -0.4538E-02  0.8623E-02  0.1586E-09  0.1201E+00  0.5578E-08  0.8492E-02 -0.7452E-02 -0.1024E-01  0.2425E-01 -0.1049E+00  0.3149E+00  0.1449E+00
    21  0.3300E+01  0.3280E+01  0.3414E-02  0.1424E-02  0.3109E-07 -0.1041E+00  0.1974E+00  0.2636E+00  0.2954E+00  0.2300E+01 -0.2491E+01  0.9813E+04  0.4772E+04  0.6645E+04 -0.4656E-02  0.8620E-02  0.1772E-09  0.1091E+00  0.6123E-08  0.8503E-02 -0.1311E-01  0.4065E-02 -0.7836E-01 -0.9439E-01  0.1896E+00  0.1439E+00
    22  0.3650E+01 -0.2938E-03  0.3563E-02  0.1537E-02  0.3702E-07 -0.1017E+00  0.1985E+00  0.4471E+00 -0.8535E+00  0.2573E+01 -0.2536E+01  0.9823E+04  0.4600E+04  0.6473E+04 -0.4276E-02  0.8629E-02  0.1944E-09  0.1025E+00  0.6529E-08  0.8517E-02 -0.2946E-02  0.1405E-01 -0.1040E+00  0.2843E-01 -0.1714E+00  0.1261E+00
    23  0.4000E+01 -0.3281E+01  0.3961E-02  0.1632E-02  0.5121E-07 -0.1778E-01  0.1964E+00  0.1111E+01 -0.5855E+00  0.2849E+01 -0.2663E+01  0.9846E+04  0.4268E+04  0.6080E+04 -0.1872E-02  0.8694E-02  0.2177E-09  0.6299E-01  0.6876E-08  0.8638E-02 -0.6037E-02  0.1469E-01 -0.1032E+00  0.5390E-01 -0.1330E+00  0.1583E+00
    24  0.4350E+01 -0.3221E-03  0.4227E-02  0.1643E-02  0.6440E-07 -0.9039E-01  0.1993E+00  0.9031E+00  0.3309E+00  0.3452E+01 -0.2936E+01  0.9848E+04  0.4024E+04  0.5811E+04 -0.4177E-02  0.8728E-02  0.2398E-09  0.5623E-01  0.7141E-08  0.8676E-02 -0.6685E-02  0.1053E-01 -0.1025E+00  0.7863E-01  0.1831E+00  0.1311E+00
    25  0.4700E+01  0.3281E+01  0.4249E-02  0.1694E-02  0.6957E-07 -0.1137E+00  0.1967E+00  0.6426E+00  0.6301E+00  0.3759E+01 -0.3056E+01  0.9851E+04  0.3990E+04  0.5746E+04 -0.5027E-02  0.8730E-02  0.2563E-09  0.6195E-01  0.7700E-08  0.8668E-02  0.6176E-02  0.8694E-02  0.1736E-01  0.1650E+00  0.4059E+00  0.1213E+00
    26  0.5050E+01 -0.3045E-03  0.4385E-02  0.1802E-02  0.7952E-07 -0.8887E-01  0.1983E+00  0.2917E+00  0.4657E-01  0.4070E+01 -0.3060E+01  0.9855E+04  0.3893E+04  0.5604E+04 -0.4097E-02  0.8712E-02  0.2738E-09  0.6075E-01  0.8156E-08  0.8651E-02  0.9818E-02 -0.3383E-02  0.1296E+00  0.6950E-01  0.1376E+00  0.8144E-01
    27  0.5400E+01 -0.3281E+01  0.4341E-02  0.1800E-02  0.8043E-07 -0.5900E-01  0.1974E+00  0.5522E+00 -0.5038E+00  0.4449E+01 -0.3221E+01  0.9762E+04  0.3873E+04  0.5539E+04 -0.2969E-02  0.8703E-02  0.2853E-09  0.6450E-01  0.8721E-08  0.8639E-02  0.1322E-01 -0.3346E-02  0.1116E+00  0.5958E-01 -0.2047E+00  0.1031E+00
    28  0.5750E+01 -0.3111E-03  0.4335E-02  0.1722E-02  0.8270E-07 -0.8656E-01  0.1993E+00  0.7521E+00 -0.3609E+00  0.5202E+01 -0.3570E+01  0.9716E+04  0.3833E+04  0.5482E+04 -0.3859E-02  0.8711E-02  0.2985E-09  0.6543E-01  0.9146E-08  0.8648E-02  0.1313E-01 -0.3554E-03  0.1113E+00  0.1400E-01 -0.8044E-01  0.1125E+00
    29  0.6100E+01  0.3280E+01  0.4455E-02  0.1744E-02  0.9328E-07 -0.1329E+00  0.1962E+00  0.9081E+00  0.2580E+00  0.5691E+01 -0.3736E+01  0.9734E+04  0.3667E+04  0.5301E+04 -0.5604E-02  0.8683E-02  0.3149E-09  0.8145E-01  0.9354E-08  0.8584E-02  0.7046E-02 -0.1058E-01  0.8392E-01 -0.1289E+00  0.2403E+00  0.1451E+00
    30  0.6450E+01 -0.3091E-03  0.4545E-02  0.1855E-02  0.1035E-06 -0.8377E-01  0.1988E+00  0.4797E+00  0.4272E+00  0.6133E+01 -0.3710E+01  0.9726E+04  0.3597E+04  0.5170E+04 -0.3932E-02  0.8681E-02  0.3313E-09  0.9389E-01  0.9578E-08  0.8550E-02 -0.5004E-02 -0.8778E-02 -0.5796E-01 -0.1411E+00  0.3647E+00  0.1053E+00
    31  0.6800E+01 -0.3281E+01  0.4599E-02  0.1781E-02  0.1123E-06 -0.7005E-01  0.1978E+00  0.4097E+00 -0.1652E-01  0.6910E+01 -0.4054E+01  0.9737E+04  0.3584E+04  0.5156E+04 -0.3414E-02  0.8671E-02  0.3491E-09  0.8933E-01  0.1026E-07  0.8548E-02 -0.5850E-02 -0.8628E-02 -0.4455E-01 -0.1435E+00  0.1334E+00  0.8344E-01
    32  0.7150E+01 -0.3106E-03  0.4603E-02  0.1681E-02  0.1160E-06 -0.8198E-01  0.1989E+00  0.4918E+00 -0.3703E+00  0.7939E+01 -0.4454E+01  0.9724E+04  0.3558E+04  0.5121E+04 -0.3872E-02  0.8626E-02  0.3624E-09  0.9045E-01  0.1082E-07  0.8503E-02 -0.6144E-02 -0.9052E-02 -0.4832E-01 -0.9972E-01 -0.1167E+00  0.7160E-01
    33  0.7500E+01  0.3280E+01  0.4811E-02  0.1604E-02  0.1365E-06 -0.1277E+00  0.1963E+00  0.7892E+00 -0.1262E+00  0.8928E+01 -0.4897E+01  0.9762E+04  0.3450E+04  0.4990E+04 -0.5715E-02  0.8600E-02  0.3850E-09  0.7846E-01  0.1143E-07  0.8496E-02 -0.1306E-01  0.3385E-03 -0.1113E+00  0.1908E-01 -0.4686E-01  0.1199E+00
    34  0.7850E+01 -0.2984E-03  0.4941E-02  0.1576E-02  0.1539E-06 -0.7674E-01  0.1990E+00  0.5876E+00  0.2026E+00  0.1017E+02 -0.5198E+01  0.9765E+04  0.3387E+04  0.4902E+04 -0.3836E-02  0.8567E-02  0.4037E-09  0.8344E-01  0.1163E-07  0.8441E-02 -0.7063E-02  0.1043E-01 -0.3160E-01  0.1167E+00  0.2305E+00  0.1388E+00
    35  0.8200E+01 -0.3281E+01  0.4943E-02  0.1464E-02  0.1604E-06 -0.5488E-01  0.1974E+00  0.5403E+00  0.1748E+00  0.1167E+02 -0.5806E+01  0.9765E+04  0.3389E+04  0.4910E+04 -0.3013E-02  0.8545E-02  0.4190E-09  0.8829E-01  0.1204E-07  0.8403E-02 -0.8733E-02  0.8914E-02 -0.5454E-01  0.1406E+00  0.3331E+00  0.1447E+00
    36  0.8550E+01 -0.3229E-03  0.4914E-02  0.1465E-02  0.1610E-06 -0.7499E-01  0.1988E+00  0.4169E+00 -0.8119E-01  0.1266E+02 -0.5961E+01  0.9714E+04  0.3370E+04  0.4885E+04 -0.3925E-02  0.8502E-02  0.4283E-09  0.1018E+00  0.1205E-07  0.8321E-02 -0.7021E-02  0.7199E-02 -0.6793E-01  0.1091E+00  0.1299E+00  0.8134E-01
    37  0.8900E+01  0.3280E+01  0.4943E-02  0.1464E-02  0.1687E-06 -0.1125E+00  0.1967E+00  0.6270E+00 -0.1635E+00  0.1299E+02 -0.6074E+01  0.9684E+04  0.3377E+04  0.4876E+04 -0.5485E-02  0.8455E-02  0.4418E-09  0.9403E-01  0.1278E-07  0.8298E-02  0.5162E-02  0.9801E-02  0.3384E-01  0.8293E-01 -0.8836E-01  0.7987E-01
    38  0.9250E+01 -0.2989E-03  0.4893E-02  0.1462E-02  0.1665E-06 -0.7184E-01  0.1992E+00  0.5719E+00 -0.2086E-01  0.1409E+02 -0.6280E+01  0.9628E+04  0.3375E+04  0.4869E+04 -0.3837E-02  0.8455E-02  0.4525E-09  0.9397E-01  0.1304E-07  0.8303E-02  0.1258E-01 -0.4417E-03  0.6013E-01 -0.7604E-02  0.1286E-01  0.1198E+00
    39  0.9600E+01 -0.3281E+01  0.4870E-02  0.1440E-02  0.1669E-06 -0.4228E-01  0.1974E+00  0.6428E+00  0.1247E+00  0.1504E+02 -0.6496E+01  0.9573E+04  0.3321E+04  0.4819E+04 -0.2686E-02  0.8396E-02  0.4600E-09  0.1104E+00  0.1280E-07  0.8191E-02  0.1513E-01  0.2621E-02  0.9251E-01 -0.4363E-01  0.2485E+00  0.2045E+00
    40  0.9950E+01 -0.3205E-03  0.4887E-02  0.1481E-02  0.1719E-06 -0.7169E-01  0.1990E+00  0.4556E+00  0.7637E-01  0.1566E+02 -0.6447E+01  0.9533E+04  0.3312E+04  0.4787E+04 -0.3978E-02  0.8352E-02  0.4711E-09  0.1154E+00  0.1287E-07  0.8125E-02  0.1242E-01  0.4773E-02  0.1228E+00 -0.3005E-01  0.2871E+00  0.1589E+00
    41  0.1030E+02  0.3281E+01  0.4839E-02  0.1423E-02  0.1734E-06 -0.9856E-01  0.1971E+00  0.5563E+00 -0.6202E-01  0.1682E+02 -0.6859E+01  0.9494E+04  0.3350E+04  0.4832E+04 -0.5216E-02  0.8323E-02  0.4841E-09  0.1135E+00  0.1360E-07  0.8108E-02  0.8878E-02 -0.8219E-02  0.8468E-01 -0.9337E-01  0.1372E+00  0.1202E+00
    42  0.1065E+02 -0.3111E-03  0.4738E-02  0.1411E-02  0.1663E-06 -0.7058E-01  0.1993E+00  0.5192E+00 -0.1047E+00  0.1798E+02 -0.7012E+01  0.9403E+04  0.3355E+04  0.4828E+04 -0.4089E-02  0.8280E-02  0.4905E-09  0.1216E+00  0.1379E-07  0.8048E-02 -0.5077E-02 -0.1003E-01  0.5184E-02 -0.8426E-01 -0.2449E-02  0.9625E-01
    43  0.1100E+02 -0.3281E+01  0.4758E-02  0.1448E-02  0.1708E-06 -0.3498E-01  0.1976E+00  0.6693E+00  0.1365E-01  0.1818E+02 -0.6931E+01  0.9353E+04  0.3321E+04  0.4789E+04 -0.2775E-02  0.8219E-02  0.5007E-09  0.1266E+00  0.1382E-07  0.7963E-02 -0.6410E-02 -0.1331E-01 -0.1387E-01 -0.3882E-01  0.6188E-01  0.1789E+00
    44  0.1135E+02 -0.3104E-03  0.4749E-02  0.1527E-02  0.1735E-06 -0.7081E-01  0.1994E+00  0.5064E+00  0.9904E-01  0.1840E+02 -0.6708E+01  0.9307E+04  0.3312E+04  0.4782E+04 -0.4193E-02  0.8195E-02  0.5119E-09  0.1303E+00  0.1393E-07  0.7924E-02 -0.4323E-02 -0.1424E-01 -0.6691E-01 -0.3519E-01  0.2147E+00  0.1947E+00
    45  0.1170E+02  0.3280E+01  0.4700E-02  0.1508E-02  0.1706E-06 -0.9142E-01  0.1974E+00  0.5539E+00  0.3196E-01  0.1911E+02 -0.6844E+01  0.9231E+04  0.3323E+04  0.4763E+04 -0.5201E-02  0.8148E-02  0.5164E-09  0.1437E+00  0.1353E-07  0.7825E-02 -0.1489E-01 -0.4521E-02 -0.1264E+00  0.2883E-01  0.2908E+00  0.2205E+00
    46  0.1205E+02 -0.3075E-03  0.4660E-02  0.1560E-02  0.1675E-06 -0.6899E-01  0.1996E+00  0.4771E+00 -0.8477E-01  0.1932E+02 -0.6608E+01  0.9134E+04  0.3304E+04  0.4727E+04 -0.4289E-02  0.8068E-02  0.5202E-09  0.1524E+00  0.1328E-07  0.7707E-02 -0.8900E-02  0.9416E-02 -0.9495E-01  0.1008E+00  0.1752E+00  0.1497E+00
    47  0.1240E+02 -0.3281E+01  0.4651E-02  0.1573E-02  0.1698E-06 -0.3428E-01  0.1981E+00  0.6509E+00 -0.6376E-01  0.1963E+02 -0.6668E+01  0.9087E+04  0.3304E+04  0.4744E+04 -0.3128E-02  0.8035E-02  0.5320E-09  0.1457E+00  0.1391E-07  0.7703E-02 -0.9293E-02  0.1061E-01 -0.1047E+00  0.4534E-01  0.4694E-01  0.1669E+00
