 #VirtualDetector/Det                                                            
  output from Ecalc9 version 2 
  settings: 
    particle type:            0
    pzmin/pzmax:    0.0000000000000000      /   0.0000000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    0.0000000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.4250E+01  0.0000E+00  0.1916E-01  0.5364E+02  0.2006E-01  0.6733E+00  0.4397E+00  0.8818E+00  0.1353E+00  0.1916E+02 -0.3921E+00  0.7594E+04  0.7594E+04  0.7594E+04  0.9088E-01  0.3818E+00  0.5471E-07  0.7616E+00 -0.1123E-06  0.3766E+00 -0.5532E-02  0.1032E-02 -0.2815E-02 -0.5357E-03  0.7761E-02  0.1829E-02
     2  0.8450E+01  0.0000E+00  0.1812E-01  0.5042E+02  0.1690E-01  0.6598E+00  0.4274E+00  0.8916E+00  0.1192E+00  0.1876E+02 -0.3707E+00  0.7336E+04  0.7336E+04  0.7336E+04  0.8402E-01  0.3690E+00  0.5353E-07  0.9846E+00 -0.1290E-06  0.3606E+00 -0.5538E-02 -0.3278E-03  0.2747E-02 -0.3706E-02  0.1055E-01  0.2440E-02
     3  0.1265E+02  0.0000E+00  0.1703E-01  0.4788E+02  0.1423E-01  0.6312E+00  0.4141E+00  0.8697E+00  0.1059E+00  0.1821E+02 -0.3627E+00  0.7042E+04  0.7042E+04  0.7042E+04  0.7560E-01  0.3589E+00  0.5260E-07  0.1063E+01 -0.1496E-06  0.3496E+00 -0.8411E-02  0.1761E-02  0.4164E-02 -0.4153E-02  0.1168E-01  0.2701E-02
     4  0.1685E+02  0.0000E+00  0.1600E-01  0.4510E+02  0.1210E-01  0.6195E+00  0.3996E+00  0.8668E+00  0.1174E+00  0.1804E+02 -0.3364E+00  0.6803E+04  0.6803E+04  0.6803E+04  0.6957E-01  0.3471E+00  0.5250E-07  0.1683E+01 -0.2270E-06  0.3313E+00 -0.9861E-02  0.2989E-02  0.5570E-02 -0.4532E-02  0.1319E-01  0.3065E-02
     5  0.2105E+02  0.0000E+00  0.1546E-01  0.4488E+02  0.1096E-01  0.5847E+00  0.3863E+00  0.8230E+00  0.1233E+00  0.1822E+02 -0.3694E+00  0.6571E+04  0.6571E+04  0.6571E+04  0.6355E-01  0.3349E+00  0.5287E-07  0.9745E+00 -0.1401E-06  0.3260E+00 -0.9582E-02  0.3022E-02  0.4953E-02 -0.3378E-02  0.1174E-01  0.2739E-02
     6  0.2525E+02  0.0000E+00  0.1480E-01  0.4378E+02  0.9837E-02  0.5546E+00  0.3764E+00  0.7997E+00  0.1152E+00  0.1881E+02 -0.3762E+00  0.6259E+04  0.6259E+04  0.6259E+04  0.5777E-01  0.3229E+00  0.5378E-07  0.9730E+00 -0.1323E-06  0.3130E+00 -0.8778E-02  0.1977E-02  0.4397E-02 -0.1864E-02  0.1403E-01  0.3126E-02
     7  0.2945E+02  0.0000E+00  0.1402E-01  0.4275E+02  0.8863E-02  0.5310E+00  0.3676E+00  0.7801E+00  0.1016E+00  0.1907E+02 -0.3467E+00  0.6001E+04  0.6001E+04  0.6001E+04  0.5231E-01  0.3141E+00  0.5476E-07  0.1335E+01 -0.1914E-06  0.3001E+00 -0.8431E-02  0.7708E-03  0.2408E-02 -0.1987E-02  0.1321E-01  0.2900E-02
     8  0.3365E+02  0.0000E+00  0.1300E-01  0.4032E+02  0.7429E-02  0.5323E+00  0.3569E+00  0.7964E+00  0.1156E+00  0.1918E+02 -0.2964E+00  0.5764E+04  0.5764E+04  0.5764E+04  0.4842E-01  0.3024E+00  0.5560E-07  0.2229E+01 -0.3623E-06  0.2816E+00 -0.8220E-02  0.1495E-02  0.4729E-02 -0.1200E-02  0.1393E-01  0.3018E-02
     9  0.3785E+02  0.0000E+00  0.1238E-01  0.3994E+02  0.6624E-02  0.4903E+00  0.3481E+00  0.7697E+00  0.9298E-01  0.1946E+02 -0.2941E+00  0.5540E+04  0.5540E+04  0.5540E+04  0.4265E-01  0.2953E+00  0.5646E-07  0.2269E+01 -0.3700E-06  0.2741E+00 -0.1053E-01  0.1243E-02  0.4239E-02 -0.2679E-02  0.1303E-01  0.2882E-02
    10  0.4205E+02  0.0000E+00  0.1221E-01  0.4163E+02  0.6362E-02  0.4524E+00  0.3392E+00  0.7398E+00  0.1051E+00  0.1988E+02 -0.3553E+00  0.5365E+04  0.5365E+04  0.5365E+04  0.3873E-01  0.2887E+00  0.5708E-07  0.9079E+00 -0.1205E-06  0.2776E+00 -0.1030E-01  0.1343E-02  0.5928E-02 -0.4413E-02  0.1359E-01  0.2957E-02
