#BLTrackFile VirtualDetector/det26
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
2.19449 20.4 109700 -18.0088 14.518 209.055 417.064 -13 1 1 0 1
-8.63147 -22.7772 109700 -1.8698 10.1158 200.578 415.366 -13 2 1 0 1
2.19098 45.0052 109700 24.6417 -26.3954 191.72 420.694 -13 3 1 0 1
-46.5642 -18.6489 109700 -23.1066 5.28365 195.291 421.49 -13 4 1 0 1
35.7467 -62.9934 109700 -9.64518 -60.5972 196.924 428.317 -13 5 1 0 1
-2.31879 17.1346 109700 23.5228 -2.00785 206.529 411.501 -13 6 1 0 1
-118.009 -12.8141 109700 -14.9959 53.4675 191.889 426.002 -13 8 1 0 1
25.5736 8.28454 109700 6.37828 -13.2455 192.104 417.858 -13 9 1 0 1
-2.39544 27.5665 109700 -3.09359 5.74657 205.404 414.782 -13 10 1 0 1
144.291 53.8288 109700 24.8007 -85.9121 169.039 432.628 -13 11 1 0 1
37.9425 -28.1524 109700 -34.084 -7.49793 189.221 424.112 -13 12 1 0 1
11.2471 43.3201 109700 38.0457 2.5894 219.135 407.446 -13 13 1 0 1
-65.5073 -39.8702 109700 -10.4836 31.7599 198.081 418.789 -13 14 1 0 1
-7.45026 -14.661 109700 -4.40164 21.7134 194.657 419.082 -13 15 1 0 1
62.8065 67.8067 109700 45.3327 -29.9792 197.762 415.489 -13 16 1 0 1
45.438 42.8146 109700 30.8456 -1.31167 221.472 409.078 -13 17 1 0 1
16.0003 55.1131 109700 38.7262 6.66548 200.403 415.082 -13 18 1 0 1
87.0244 32.9875 109700 20.5126 -51.289 197.8 415.586 -13 19 1 0 1
14.0607 51.0666 109700 32.5334 -0.344236 195.952 416.149 -13 20 1 0 1
6.66896 -1.14847 109700 -0.301093 -13.8472 197.138 415.87 -13 21 1 0 1
10.7263 29.0878 109700 35.0005 15.0464 201.411 416.426 -13 22 1 0 1
84.4944 -48.345 109700 0.075808 -65.7116 192.732 424.304 -13 23 1 0 1
62.5584 38.8112 109700 48.4652 -27.763 205.093 413.968 -13 24 1 0 1
5.99787 13.5255 109700 24.5356 -25.7342 197.01 417.672 -13 25 1 0 1
-62.2213 -2.8542 109700 25.5594 36.8399 188.608 424.129 -13 26 1 0 1
-1.14708 137.43 109700 72.9716 13.5218 203.813 416.744 -13 27 1 0 1
10.5555 24.4359 109700 8.56879 -28.4201 199.948 416.028 -13 28 1 0 1
96.5896 -43.9695 109700 -5.6894 -55.7142 215.405 411.659 -13 29 1 0 1
18.0464 33.867 109700 9.40745 -5.35878 202.017 414.494 -13 30 1 0 1
-55.6409 13.9918 109700 -31.7752 12.6592 192.931 430.611 -13 31 1 0 1
-37.5579 56.4131 109700 12.4189 28.9857 191.171 423.042 -13 32 1 0 1
38.6909 -65.1117 109700 -30.1103 -21.3093 199.114 417.217 -13 33 1 0 1
-83.7782 -56.0217 109700 -22.9938 46.3971 159.423 443.397 -13 34 1 0 1
-39.4245 -3.31237 109700 -0.666014 16.6907 174.863 428.709 -13 35 1 0 1
52.6592 36.9542 109700 33.0023 -19.643 193.741 418.049 -13 36 1 0 1
13.3739 5.88216 109700 10.6703 -10.0862 194.235 416.722 -13 37 1 0 1
3.79604 -46.8167 109700 -17.43 16.4882 200.99 417.64 -13 38 1 0 1
-42.8644 5.36672 109700 18.1991 21.444 179.471 426.281 -13 39 1 0 1
57.0907 23.9814 109700 17.5623 -35.6891 177.14 425.893 -13 40 1 0 1
14.7644 2.40915 109700 -4.32063 -0.208206 206.22 412.986 -13 41 1 0 1
-78.9129 17.2913 109700 -1.63587 42.1293 186.174 424.846 -13 42 1 0 1
16.5619 41.5067 109700 37.2423 -26.1312 196.995 415.875 -13 43 1 0 1
17.6947 23.3568 109700 20.6922 36.0641 203.539 422.573 -13 44 1 0 1
7.81544 8.63881 109700 3.035 -4.46798 191.038 418.548 -13 45 1 0 1
58.715 -32.3948 109700 3.90065 -56.827 208.223 414.243 -13 46 1 0 1
-6.12956 1.19168 109700 -4.59812 -19.2647 197.659 417.802 -13 47 1 0 1
32.8436 21.9831 109700 38.0281 -8.42419 206.136 413.509 -13 48 1 0 1
37.413 8.34429 109700 5.25887 -18.8322 201.021 414.005 -13 49 1 0 1
29.661 12.4373 109700 -8.35308 5.34358 217.815 412.026 -13 50 1 0 1
-15.1271 -6.6692 109700 4.05144 9.90037 192.606 418.213 -13 51 1 0 1
-24.7648 53.8499 109700 16.2935 15.871 177.494 428.767 -13 52 1 0 1
25.5938 45.5958 109700 30.2815 -16.0844 177.084 425.722 -13 53 1 0 1
70.6806 9.72914 109700 24.1971 -42.5559 199.619 415.275 -13 54 1 0 1
50.7904 0.165934 109700 -76.2107 -22.7318 181.56 438.57 -13 55 1 0 1
-21.1944 54.6589 109700 6.64751 28.4692 200.466 420.223 -13 56 1 0 1
41.084 134.256 109700 92.3229 12.9409 144.187 462.196 -13 57 1 0 1
117.195 11.7757 109700 2.28527 -67.5747 193.84 419.383 -13 58 1 0 1
61.9085 -57.1988 109700 -2.6068 -63.6419 197.342 424.718 -13 59 1 0 1
-62.5985 -20.6316 109700 8.46319 48.8709 197.452 419.528 -13 60 1 0 1
15.703 1.71422 109700 3.1516 -12.1912 198.358 414.973 -13 61 1 0 1
-35.2186 10.5521 109700 29.5792 25.0781 191.283 420.608 -13 62 1 0 1
15.9424 -39.0152 109700 -10.9258 -43.959 205.324 417.349 -13 63 1 0 1
-39.1992 15.6433 109700 12.5409 14.7959 187.341 421.191 -13 64 1 0 1
16.3516 30.7158 109700 18.558 -22.1071 190.832 418.579 -13 65 1 0 1
44.4629 32.9483 109700 31.8117 -27.3511 204.175 411.915 -13 66 1 0 1
0.323345 116.073 109700 61.943 0.0108067 199.816 415.994 -13 67 1 0 1
-16.509 -6.34511 109700 33.0884 27.6721 207.809 417.135 -13 68 1 0 1
54.2529 68.0022 109700 9.56919 -53.5391 201.157 422.071 -13 69 1 0 1
5.88564 27.8364 109700 30.4361 -24.2785 204.902 413.078 -13 70 1 0 1
95.611 118.526 109700 69.4084 -47.8948 181.897 426.338 -13 71 1 0 1
-107.551 13.2977 109700 -7.80107 59.6745 177.903 428.264 -13 72 1 0 1
23.5574 24.5007 109700 17.7379 -21.0193 211.832 409.335 -13 73 1 0 1
