# TuneParticle
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 -3000 0 0 200 0 -13 -2 1 0 1 1.79788e-20 -9.43053e-05 -0.0142757 0 0 0 
1.76986e-06 6.32911e-11 -2995 0.000141703 7.60581e-09 200 0.0188625 -13 -2 1 0 1 1.24882e-11 -9.47613e-05 -0.0143465 0 0 0 
7.09079e-06 5.08507e-10 -2990 0.000284084 3.05976e-08 200 0.0377251 -13 -2 1 0 1 5.03607e-11 -9.52108e-05 -0.0144173 0 0 0 
1.59796e-05 1.72357e-09 -2985 0.000427134 6.92375e-08 200 0.0565876 -13 -2 1 0 1 1.14231e-10 -9.56538e-05 -0.0144881 0 0 0 
2.84531e-05 4.103e-09 -2980 0.000570863 1.23792e-07 200 0.0754502 -13 -2 1 0 1 2.04745e-10 -9.61176e-05 -0.0145602 0 0 0 
4.45285e-05 8.04807e-09 -2975 0.000715284 1.94534e-07 200 0.0943127 -13 -2 1 0 1 3.22534e-10 -9.65768e-05 -0.0146325 0 0 0 
6.4223e-05 1.39669e-08 -2970 0.000860389 2.81737e-07 200 0.113175 -13 -2 1 0 1 4.68233e-10 -9.70293e-05 -0.0147047 0 0 0 
8.75537e-05 2.22744e-08 -2965 0.00100618 3.85679e-07 200 0.132038 -13 -2 1 0 1 6.42571e-10 -9.74994e-05 -0.0147782 0 0 0 
0.000114538 3.33927e-08 -2960 0.00115268 5.06647e-07 200 0.1509 -13 -2 1 0 1 8.46187e-10 -9.79685e-05 -0.0148519 0 0 0 
0.000145194 4.7751e-08 -2955 0.00129988 6.44927e-07 200 0.169763 -13 -2 1 0 1 1.07973e-09 -9.84308e-05 -0.0149257 0 0 0 
0.000179538 6.57857e-08 -2950 0.00144778 8.00807e-07 200 0.188625 -13 -2 1 0 1 1.34402e-09 -9.89072e-05 -0.0150005 0 0 0 
0.000217589 8.79406e-08 -2945 0.0015964 9.74591e-07 200 0.207488 -13 -2 1 0 1 1.63974e-09 -9.93864e-05 -0.0150758 0 0 0 
0.000259364 1.14667e-07 -2940 0.00174573 1.16658e-06 200 0.226351 -13 -2 1 0 1 1.9675e-09 -9.98587e-05 -0.0151511 0 0 0 
0.000304881 1.46424e-07 -2935 0.00189577 1.37706e-06 200 0.245213 -13 -2 1 0 1 2.32823e-09 -0.000100342 -0.0152273 0 0 0 
0.000354158 1.83677e-07 -2930 0.00204654 1.60637e-06 200 0.264076 -13 -2 1 0 1 2.72269e-09 -0.000100831 -0.0153042 0 0 0 
0.000407214 2.26902e-07 -2925 0.00219805 1.85481e-06 200 0.282938 -13 -2 1 0 1 3.15144e-09 -0.000101314 -0.015381 0 0 0 
0.000464067 2.7658e-07 -2920 0.00235028 2.1227e-06 200 0.301801 -13 -2 1 0 1 3.61547e-09 -0.000101803 -0.0154586 0 0 0 
0.000524734 3.33201e-07 -2915 0.00250325 2.41037e-06 200 0.320663 -13 -2 1 0 1 4.11571e-09 -0.000102304 -0.0155371 0 0 0 
0.000589235 3.97265e-07 -2910 0.00265697 2.71814e-06 200 0.339526 -13 -2 1 0 1 4.65261e-09 -0.000102797 -0.0156156 0 0 0 
0.000657589 4.69279e-07 -2905 0.00281142 3.04635e-06 200 0.358388 -13 -2 1 0 1 5.22719e-09 -0.000103292 -0.0156946 0 0 0 
0.000729813 5.49756e-07 -2900 0.00296664 3.39534e-06 200 0.377251 -13 -2 1 0 1 5.84069e-09 -0.000103804 -0.0157748 0 0 0 
0.000805927 6.39222e-07 -2895 0.00312262 3.76545e-06 200 0.396113 -13 -2 1 0 1 6.49334e-09 -0.000104308 -0.015855 0 0 0 
0.00088595 7.38208e-07 -2890 0.00327934 4.15704e-06 200 0.414976 -13 -2 1 0 1 7.18613e-09 -0.00010481 -0.0159354 0 0 0 
0.000969901 8.47255e-07 -2885 0.00343684 4.57045e-06 200 0.433838 -13 -2 1 0 1 7.92082e-09 -0.000105333 -0.0160173 0 0 0 
0.0010578 9.66915e-07 -2880 0.00359512 5.00606e-06 200 0.452701 -13 -2 1 0 1 8.69727e-09 -0.000105848 -0.0160992 0 0 0 
0.00114966 1.09775e-06 -2875 0.00375416 5.46422e-06 200 0.471564 -13 -2 1 0 1 9.51638e-09 -0.000106357 -0.0161811 0 0 0 
0.00124551 1.24032e-06 -2870 0.00391399 5.9453e-06 200 0.490426 -13 -2 1 0 1 1.03806e-08 -0.000106892 -0.0162648 0 0 0 
0.00134537 1.39521e-06 -2865 0.00407461 6.4497e-06 200 0.509289 -13 -2 1 0 1 1.12894e-08 -0.000107418 -0.0163484 0 0 0 
0.00144925 1.563e-06 -2860 0.00423601 6.97778e-06 200 0.528151 -13 -2 1 0 1 1.22436e-08 -0.000107936 -0.016432 0 0 0 
0.00155718 1.7443e-06 -2855 0.00439821 7.52993e-06 200 0.547014 -13 -2 1 0 1 1.32462e-08 -0.00010848 -0.0165173 0 0 0 
0.00166917 1.9397e-06 -2850 0.00456122 8.10656e-06 200 0.565876 -13 -2 1 0 1 1.42964e-08 -0.000109018 -0.0166028 0 0 0 
0.00178524 2.14983e-06 -2845 0.00472503 8.70807e-06 200 0.584739 -13 -2 1 0 1 1.53948e-08 -0.000109548 -0.0166882 0 0 0 
0.00190543 2.37531e-06 -2840 0.00488965 9.33484e-06 200 0.603601 -13 -2 1 0 1 1.6545e-08 -0.0001101 -0.0167751 0 0 0 
0.00202973 2.61679e-06 -2835 0.0050551 9.98732e-06 200 0.622464 -13 -2 1 0 1 1.77461e-08 -0.00011065 -0.0168624 0 0 0 
0.00215819 2.8749e-06 -2830 0.00522137 1.06659e-05 200 0.641326 -13 -2 1 0 1 1.89987e-08 -0.000111192 -0.0169497 0 0 0 
0.00229081 3.1503e-06 -2825 0.00538845 1.1371e-05 200 0.660189 -13 -2 1 0 1 2.03062e-08 -0.000111751 -0.0170383 0 0 0 
0.00242762 3.44367e-06 -2820 0.00555638 1.21031e-05 200 0.679052 -13 -2 1 0 1 2.16685e-08 -0.000112313 -0.0171275 0 0 0 
