# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.731734 -1.1308 199.995 0 -13 -2 1 0 1 0.0292552 -0.0365005 1.72966 0 0 0 
-10.6984 13.687 99.9973 1.71308 -0.525981 199.992 0.377251 -13 -2 1 0 1 0.035017 -0.0447988 2.31764 0 0 0 
-9.53051 13.487 199.99 2.98326 -0.400779 199.977 0.754502 -13 -2 1 0 1 0.0348364 -0.0492984 3.01968 0 0 0 
-7.75256 13.1135 299.973 4.0026 -1.29412 199.956 1.13175 -13 -2 1 0 1 0.0246765 -0.0417406 3.72299 0 0 0 
-5.76644 12.0199 399.947 3.602 -3.17302 199.942 1.509 -13 -2 1 0 1 0.00821929 -0.0171328 4.20613 0 0 0 
-4.52185 9.99114 499.918 1.04819 -4.74289 199.941 1.88625 -13 -2 1 0 1 -0.00632436 0.0139739 4.22135 0 0 0 
-5.64639 7.06219 599.864 -5.6491 -6.36542 199.819 2.26351 -13 -2 1 0 1 -0.0987344 0.104909 3.63726 0 0 0 
-9.9434 4.07075 699.723 -11.1098 -5.44537 199.617 2.64076 -13 -2 1 0 1 -0.106248 0.06806 2.53328 0 0 0 
-16.306 1.43962 799.485 -13.9401 -5.54841 199.436 3.01801 -13 -2 1 0 1 -0.136645 0.0256907 1.12096 0 0 0 
-23.536 -2.12351 899.158 -14.6458 -9.39905 199.241 3.39526 -13 -2 1 0 1 -0.172694 0.00417005 -0.372278 0 0 0 
-30.4794 -8.6262 998.698 -12.4684 -17.0938 198.878 3.77251 -13 -2 1 0 1 -0.186259 0.00305157 -1.7355 0 0 0 
-35.1855 -19.2895 1098 -5.50147 -25.1099 198.341 4.14976 -13 -2 1 0 1 -0.128883 0.0315388 -2.73809 0 0 0 
-35.4169 -32.757 1197.08 4.61464 -27.4057 198.06 4.52701 -13 -2 1 0 1 -0.00996087 0.115089 -3.15281 0 0 0 
-31.2225 -45.3846 1296.18 10.906 -22.1366 198.472 4.90426 -13 -2 1 0 1 0.0979375 0.248486 -2.86982 0 0 0 
-26.0183 -54.5026 1395.62 8.42071 -14.4755 199.298 5.28151 -13 -2 1 0 1 0.146855 0.368403 -1.97355 0 0 0 
-24.0171 -60.2375 1495.43 -1.31424 -8.82775 199.801 5.65876 -13 -2 1 0 1 0.164992 0.435665 -0.695532 0 0 0 
-27.9324 -63.3366 1595.28 -14.6384 -3.05989 199.44 6.03601 -13 -2 1 0 1 0.207435 0.453272 0.713915 0 0 0 
-38.5339 -62.3033 1694.68 -27.038 8.60568 197.977 6.41326 -13 -2 1 0 1 0.265163 0.40519 2.02854 0 0 0 
-53.3958 -53.3475 1793.12 -29.9887 28.1073 195.731 6.79052 -13 -2 1 0 1 0.261962 0.261789 3.0026 0 0 0 
-65.7011 -34.4606 1890.49 -16.5927 45.8166 193.973 7.16777 -13 -2 1 0 1 0.107316 0.0981099 3.395 0 0 0 
-68.4424 -10.1768 1987.4 5.72436 48.2452 194.009 7.54502 -13 -2 1 0 1 -0.132781 0.0459974 3.10264 0 0 0 
-61.2056 11.2609 2084.77 21.114 35.9749 195.602 7.92227 -13 -2 1 0 1 -0.295532 0.109708 2.21549 0 0 0 
-49.537 25.379 2183.05 23.6391 20.977 197.487 8.29952 -13 -2 1 0 1 -0.324139 0.192973 0.951626 0 0 0 
-38.9507 33.1595 2282.17 17.8886 11.2473 198.881 8.67677 -13 -2 1 0 1 -0.25907 0.234891 -0.460233 0 0 0 
-32.1082 37.5997 2381.83 9.3007 7.27044 199.651 9.05402 -13 -2 1 0 1 -0.149662 0.231512 -1.80636 0 0 0 
-29.6177 40.9337 2481.73 0.88274 6.33933 199.898 9.43127 -13 -2 1 0 1 -0.0221119 0.162364 -2.84866 0 0 0 
-30.821 44.0858 2581.67 -5.11795 6.38967 199.832 9.80852 -13 -2 1 0 1 0.101823 0.0309755 -3.33766 0 0 0 
-34.0472 47.5562 2681.56 -7.05487 7.88528 199.72 10.1858 -13 -2 1 0 1 0.205507 -0.131588 -3.13085 0 0 0 
-37.1768 52.5025 2781.38 -4.80318 12.502 199.551 10.563 -13 -2 1 0 1 0.269544 -0.285013 -2.29229 0 0 0 
-38.1567 60.6043 2881.04 1.69262 20.308 198.959 10.9403 -13 -2 1 0 1 0.285487 -0.412361 -1.04428 0 0 0 
-34.4506 72.9203 2980.18 14.4578 28.6262 197.412 11.3175 -13 -2 1 0 1 0.253631 -0.52357 0.358105 0 0 0 
-22.2492 88.2357 3078.2 35.6519 30.8291 194.367 11.6948 -13 -2 1 0 1 0.169867 -0.576419 1.69801 0 0 0 
1.79627 101.107 3174.32 59.9373 17.4396 190.009 12.072 -13 -2 1 0 1 0.0578082 -0.48107 2.7568 0 0 0 
35.4757 102.761 3268.34 71.0811 -12.6548 186.514 12.4493 -13 -2 1 0 1 0.0503726 -0.189795 3.30097 0 0 0 
68.6333 88.6107 3361.5 57.7062 -41.6802 186.903 12.8265 -13 -2 1 0 1 0.250706 0.133899 3.17429 0 0 0 
90.9155 64.7402 3455.93 31.0395 -49.5959 191.251 13.2038 -13 -2 1 0 1 0.540813 0.288066 2.39008 0 0 0 
100.799 42.621 3552.88 10.5136 -36.291 196.399 13.581 -13 -2 1 0 1 0.737124 0.276025 1.12539 0 0 0 
103.393 29.9766 3651.98 1.31103 -13.6442 199.53 13.9583 -13 -2 1 0 1 0.793295 0.215154 -0.384396 0 0 0 
102.666 29.0257 3751.91 -4.61721 9.39073 199.726 14.3355 -13 -2 1 0 1 0.747138 0.175834 -1.92633 0 0 0 
97.67 38.1737 3851.32 -16.8124 25.0815 197.708 14.7128 -13 -2 1 0 1 0.557887 0.136612 -3.2708 0 0 0 
84.9168 51.0307 3949.64 -34.0223 22.6256 195.782 15.09 -13 -2 1 0 1 0.254824 0.0347655 -4.14957 0 0 0 
65.4026 57.4154 4047.45 -40.9158 0.63384 195.769 15.4673 -13 -2 1 0 1 -0.00584199 -0.125251 -4.39423 0 0 0 
47.4881 51.1503 4145.54 -27.7034 -24.5235 196.548 15.8445 -13 -2 1 0 1 -0.117429 -0.211644 -4.07369 0 0 0 
39.501 35.004 4243.82 -3.77113 -37.6405 196.39 16.2218 -13 -2 1 0 1 -0.141068 -0.164025 -3.43349 0 0 0 
43.2207 15.5471 4341.79 17.5578 -38.7422 195.425 16.599 -13 -2 1 0 1 -0.158288 -0.0693963 -2.7138 0 0 0 
55.8412 -2.96118 4439.23 31.8226 -34.9885 194.328 16.9763 -13 -2 1 0 1 -0.190453 -0.0127625 -2.06084 0 0 0 
74.1736 -19.4672 4536.13 40.8786 -31.281 193.263 17.3535 -13 -2 1 0 1 -0.225379 -0.00697093 -1.53258 0 0 0 
96.2843 -34.56 4632.47 47.2706 -29.4147 192.095 17.7308 -13 -2 1 0 1 -0.246233 -0.0211367 -1.13238 0 0 0 
121.165 -49.0999 4728.23 51.5286 -28.4344 191.145 18.108 -13 -2 1 0 1 -0.150907 0.061152 -0.839535 0 0 0 
147.296 -62.867 4823.77 52.8432 -26.7961 191.023 18.4853 -13 -2 1 0 1 -0.132219 0.056432 -0.627588 0 0 0 
173.898 -76.0263 4919.26 53.4856 -25.9435 190.962 18.8625 -13 -2 1 0 1 -0.113067 0.0494317 -0.474877 0 0 0 
196.775 -86.9976 5000.68 53.7501 -25.6077 190.933 19.1843 -13 -2 1 0 1 -0.0978765 0.0432729 -0.378253 0 0 0 

# Event -1 Track 1
-11.2945 14.0917 0 0.731734 -1.1308 199.995 0 -13 -1 1 0 1 0.0292552 -0.0365005 1.72966 0 0 0 
-10.6984 13.687 99.9973 1.71308 -0.525981 199.992 0.377251 -13 -1 1 0 1 0.035017 -0.0447988 2.31764 0 0 0 
-9.53051 13.487 199.99 2.98326 -0.400779 199.977 0.754502 -13 -1 1 0 1 0.0348364 -0.0492984 3.01968 0 0 0 
-7.75256 13.1135 299.973 4.0026 -1.29412 199.956 1.13175 -13 -1 1 0 1 0.0246765 -0.0417406 3.72299 0 0 0 
-5.76644 12.0199 399.947 3.602 -3.17302 199.942 1.509 -13 -1 1 0 1 0.00821929 -0.0171328 4.20613 0 0 0 
-4.52185 9.99114 499.918 1.04819 -4.74289 199.941 1.88625 -13 -1 1 0 1 -0.00632436 0.0139739 4.22135 0 0 0 
-5.64639 7.06219 599.864 -5.6491 -6.36542 199.819 2.26351 -13 -1 1 0 1 -0.0987344 0.104909 3.63726 0 0 0 
-9.9434 4.07075 699.723 -11.1098 -5.44537 199.617 2.64076 -13 -1 1 0 1 -0.106248 0.06806 2.53328 0 0 0 
-16.306 1.43962 799.485 -13.9401 -5.54841 199.436 3.01801 -13 -1 1 0 1 -0.136645 0.0256907 1.12096 0 0 0 
-23.536 -2.12351 899.158 -14.6458 -9.39905 199.241 3.39526 -13 -1 1 0 1 -0.172694 0.00417005 -0.372278 0 0 0 
-30.4794 -8.6262 998.698 -12.4684 -17.0938 198.878 3.77251 -13 -1 1 0 1 -0.186259 0.00305157 -1.7355 0 0 0 
-35.1855 -19.2895 1098 -5.50147 -25.1099 198.341 4.14976 -13 -1 1 0 1 -0.128883 0.0315388 -2.73809 0 0 0 
-35.4169 -32.757 1197.08 4.61464 -27.4057 198.06 4.52701 -13 -1 1 0 1 -0.00996087 0.115089 -3.15281 0 0 0 
-31.2225 -45.3846 1296.18 10.906 -22.1366 198.472 4.90426 -13 -1 1 0 1 0.0979375 0.248486 -2.86982 0 0 0 
-26.0183 -54.5026 1395.62 8.42071 -14.4755 199.298 5.28151 -13 -1 1 0 1 0.146855 0.368403 -1.97355 0 0 0 
-24.0171 -60.2375 1495.43 -1.31424 -8.82775 199.801 5.65876 -13 -1 1 0 1 0.164992 0.435665 -0.695532 0 0 0 
-27.9324 -63.3366 1595.28 -14.6384 -3.05989 199.44 6.03601 -13 -1 1 0 1 0.207435 0.453272 0.713915 0 0 0 
-38.5339 -62.3033 1694.68 -27.038 8.60568 197.977 6.41326 -13 -1 1 0 1 0.265163 0.40519 2.02854 0 0 0 
-53.3958 -53.3475 1793.12 -29.9887 28.1073 195.731 6.79052 -13 -1 1 0 1 0.261962 0.261789 3.0026 0 0 0 
-65.7011 -34.4606 1890.49 -16.5927 45.8166 193.973 7.16777 -13 -1 1 0 1 0.107316 0.0981099 3.395 0 0 0 
-68.4424 -10.1768 1987.4 5.72436 48.2452 194.009 7.54502 -13 -1 1 0 1 -0.132781 0.0459974 3.10264 0 0 0 
-61.2056 11.2609 2084.77 21.114 35.9749 195.602 7.92227 -13 -1 1 0 1 -0.295532 0.109708 2.21549 0 0 0 
-49.537 25.379 2183.05 23.6391 20.977 197.487 8.29952 -13 -1 1 0 1 -0.324139 0.192973 0.951626 0 0 0 
-38.9507 33.1595 2282.17 17.8886 11.2473 198.881 8.67677 -13 -1 1 0 1 -0.25907 0.234891 -0.460233 0 0 0 
-32.1082 37.5997 2381.83 9.3007 7.27044 199.651 9.05402 -13 -1 1 0 1 -0.149662 0.231512 -1.80636 0 0 0 
-29.6177 40.9337 2481.73 0.88274 6.33933 199.898 9.43127 -13 -1 1 0 1 -0.0221119 0.162364 -2.84866 0 0 0 
-30.821 44.0858 2581.67 -5.11795 6.38967 199.832 9.80852 -13 -1 1 0 1 0.101823 0.0309755 -3.33766 0 0 0 
-34.0472 47.5562 2681.56 -7.05487 7.88528 199.72 10.1858 -13 -1 1 0 1 0.205507 -0.131588 -3.13085 0 0 0 
-37.1768 52.5025 2781.38 -4.80318 12.502 199.551 10.563 -13 -1 1 0 1 0.269544 -0.285013 -2.29229 0 0 0 
-38.1567 60.6043 2881.04 1.69262 20.308 198.959 10.9403 -13 -1 1 0 1 0.285487 -0.412361 -1.04428 0 0 0 
-34.4506 72.9203 2980.18 14.4578 28.6262 197.412 11.3175 -13 -1 1 0 1 0.253631 -0.52357 0.358105 0 0 0 
-22.2492 88.2357 3078.2 35.6519 30.8291 194.367 11.6948 -13 -1 1 0 1 0.169867 -0.576419 1.69801 0 0 0 
1.79627 101.107 3174.32 59.9373 17.4396 190.009 12.072 -13 -1 1 0 1 0.0578082 -0.48107 2.7568 0 0 0 
35.4757 102.761 3268.34 71.0811 -12.6548 186.514 12.4493 -13 -1 1 0 1 0.0503726 -0.189795 3.30097 0 0 0 
68.6333 88.6107 3361.5 57.7062 -41.6802 186.903 12.8265 -13 -1 1 0 1 0.250706 0.133899 3.17429 0 0 0 
90.9155 64.7402 3455.93 31.0395 -49.5959 191.251 13.2038 -13 -1 1 0 1 0.540813 0.288066 2.39008 0 0 0 
100.799 42.621 3552.88 10.5136 -36.291 196.399 13.581 -13 -1 1 0 1 0.737124 0.276025 1.12539 0 0 0 
103.393 29.9766 3651.98 1.31103 -13.6442 199.53 13.9583 -13 -1 1 0 1 0.793295 0.215154 -0.384396 0 0 0 
102.666 29.0257 3751.91 -4.61721 9.39073 199.726 14.3355 -13 -1 1 0 1 0.747138 0.175834 -1.92633 0 0 0 
97.67 38.1737 3851.32 -16.8124 25.0815 197.708 14.7128 -13 -1 1 0 1 0.557887 0.136612 -3.2708 0 0 0 
84.9168 51.0307 3949.64 -34.0223 22.6256 195.782 15.09 -13 -1 1 0 1 0.254824 0.0347655 -4.14957 0 0 0 
65.4026 57.4154 4047.45 -40.9158 0.63384 195.769 15.4673 -13 -1 1 0 1 -0.00584199 -0.125251 -4.39423 0 0 0 
47.4881 51.1503 4145.54 -27.7034 -24.5235 196.548 15.8445 -13 -1 1 0 1 -0.117429 -0.211644 -4.07369 0 0 0 
39.501 35.004 4243.82 -3.77113 -37.6405 196.39 16.2218 -13 -1 1 0 1 -0.141068 -0.164025 -3.43349 0 0 0 
43.2207 15.5471 4341.79 17.5578 -38.7422 195.425 16.599 -13 -1 1 0 1 -0.158288 -0.0693963 -2.7138 0 0 0 
55.8412 -2.96118 4439.23 31.8226 -34.9885 194.328 16.9763 -13 -1 1 0 1 -0.190453 -0.0127625 -2.06084 0 0 0 
74.1736 -19.4672 4536.13 40.8786 -31.281 193.263 17.3535 -13 -1 1 0 1 -0.225379 -0.00697093 -1.53258 0 0 0 
96.2843 -34.56 4632.47 47.2706 -29.4147 192.095 17.7308 -13 -1 1 0 1 -0.246233 -0.0211367 -1.13238 0 0 0 
121.165 -49.0999 4728.23 51.5286 -28.4344 191.145 18.108 -13 -1 1 0 1 -0.150907 0.061152 -0.839535 0 0 0 
147.296 -62.867 4823.77 52.8432 -26.7961 191.023 18.4853 -13 -1 1 0 1 -0.132219 0.056432 -0.627588 0 0 0 
173.898 -76.0263 4919.26 53.4856 -25.9435 190.962 18.8625 -13 -1 1 0 1 -0.113067 0.0494317 -0.474877 0 0 0 
196.775 -86.9976 5000.68 53.7501 -25.6077 190.933 19.1843 -13 -1 1 0 1 -0.0978765 0.0432729 -0.378253 0 0 0 

# Event 1 Track 1
0 0 0 0 0 0 0 -13 1 1 0 1 0 0 1.73094 0 0 0 
0 0 0 0 0 0 1e+06 -13 1 1 0 1 0 0 1.73094 0 0 0 

# End of Event 1

