# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.731734 -1.1308 199.995 0 -13 -2 1 0 1 -0.0646162 0.0372879 3.28149 0 0 0 
-11.5563 12.9578 99.9918 -2.14986 -3.3408 199.961 0.377251 -13 -2 1 0 1 -0.0964225 0.0801465 2.93282 0 0 0 
-13.679 10.8454 199.945 -6.42601 -5.06648 199.833 0.754502 -13 -2 1 0 1 -0.121856 0.0958954 1.99753 0 0 0 
-17.9353 7.78524 299.805 -10.433 -7.45775 199.588 1.13175 -13 -2 1 0 1 -0.151415 0.0868994 0.704593 0 0 0 
-23.8101 2.94133 399.511 -12.5888 -12.4714 199.213 1.509 -13 -2 1 0 1 -0.180274 0.0602565 -0.696881 0 0 0 
-29.8008 -5.19481 498.992 -10.3889 -20.3846 198.687 1.88625 -13 -2 1 0 1 -0.180465 0.0234323 -1.98969 0 0 0 
-33.0642 -17.3016 598.19 -1.57685 -27.3206 198.119 2.26351 -13 -2 1 0 1 -0.116201 0.00891332 -2.93619 0 0 0 
-30.7523 -31.2461 697.169 10.733 -26.8628 197.897 2.64076 -13 -2 1 0 1 -0.00291863 0.0718589 -3.30339 0 0 0 
-23.2419 -42.7724 796.205 17.7518 -18.388 198.36 3.01801 -13 -2 1 0 1 0.0789077 0.20888 -2.98116 0 0 0 
-14.7216 -49.5212 895.602 14.7661 -9.1291 199.245 3.39526 -13 -2 1 0 1 0.0915322 0.338409 -2.05977 0 0 0 
-9.62246 -52.6736 995.409 4.90968 -4.21518 199.895 3.77251 -13 -2 1 0 1 0.0810978 0.405157 -0.768845 0 0 0 
-10.2093 -54.11 1095.38 -7.38953 -1.42427 199.858 4.14976 -13 -2 1 0 1 0.0975199 0.410634 0.648725 0 0 0 
-16.8471 -53.486 1195.14 -18.5932 4.94643 199.072 4.52701 -13 -2 1 0 1 0.141469 0.348914 1.96182 0 0 0 
-27.65 -48.0519 1294.39 -22.8483 17.6495 197.905 4.90426 -13 -2 1 0 1 0.155858 0.208191 2.9308 0 0 0 
-37.5677 -35.7404 1393.1 -14.7279 30.733 197.075 5.28151 -13 -2 1 0 1 0.074625 0.0470111 3.31844 0 0 0 
-40.983 -18.9826 1491.6 1.46161 34.2307 197.044 5.65876 -13 -2 1 0 1 -0.0660993 -0.0266515 3.01933 0 0 0 
-36.7003 -3.26876 1590.24 14.3675 27.5255 197.575 6.03601 -13 -2 1 0 1 -0.154793 0.00339313 2.12382 0 0 0 
-28.091 8.25366 1689.19 18.6999 18.9638 198.219 6.41326 -13 -2 1 0 1 -0.15055 0.0652381 0.857348 0 0 0 
-19.0884 16.4686 1788.44 16.4882 14.8244 198.767 6.79052 -13 -2 1 0 1 -0.0918545 0.109837 -0.545441 0 0 0 
-12.2757 23.9031 1887.93 10.1715 15.5036 199.139 7.16777 -13 -2 1 0 1 -0.0245128 0.124298 -1.86361 0 0 0 
-9.43371 32.1947 1987.54 0.828853 17.4868 199.232 7.54502 -13 -2 1 0 1 0.0243659 0.0896147 -2.86021 0 0 0 
-11.48 40.9103 2087.12 -8.60764 16.7624 199.11 7.92227 -13 -2 1 0 1 0.0596548 -0.0186866 -3.30019 0 0 0 
-17.1945 48.5393 2186.67 -13.0849 13.7145 199.1 8.29952 -13 -2 1 0 1 0.110617 -0.181965 -3.05128 0 0 0 
-23.3474 55.0395 2286.26 -10.4005 13.0555 199.302 8.67677 -13 -2 1 0 1 0.17512 -0.340229 -2.17967 0 0 0 
-26.6093 62.4448 2385.93 -1.73235 17.2925 199.244 9.05402 -13 -2 1 0 1 0.212227 -0.462531 -0.912006 0 0 0 
-24.0891 72.6573 2485.34 12.9297 23.3137 198.215 9.43127 -13 -2 1 0 1 0.186187 -0.550692 0.500555 0 0 0 
-12.5567 84.7211 2583.89 34.0771 23.0233 195.726 9.80852 -13 -2 1 0 1 0.0853856 -0.57247 1.84606 0 0 0 
10.0314 93.0085 2680.88 55.0692 7.06182 192.139 10.1858 -13 -2 1 0 1 -0.0372116 -0.44326 2.89627 0 0 0 
39.805 89.2855 2776.16 60.0867 -23.1284 189.353 10.563 -13 -2 1 0 1 -0.0353933 -0.1563 3.4153 0 0 0 
66.0504 70.714 2870.74 41.6362 -48.4135 189.533 10.9403 -13 -2 1 0 1 0.163903 0.104921 3.25387 0 0 0 
79.9675 44.5721 2966.17 14.45 -52.3854 192.476 11.3175 -13 -2 1 0 1 0.41358 0.174192 2.45706 0 0 0 
82.2249 21.1653 3063.31 -3.02394 -39.5925 196.019 11.6948 -13 -2 1 0 1 0.545041 0.09927 1.2307 0 0 0 
79.2006 5.5981 3162.01 -7.28463 -22.7945 198.563 12.072 -13 -2 1 0 1 0.544837 0.00594469 -0.18518 0 0 0 
