# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.731734 -1.1308 199.995 0 -13 -2 1 0 1 -0.0646162 0.0372879 3.28149 0 0 0 
-11.5563 12.9578 99.9918 -2.14986 -3.3408 199.961 0.377251 -13 -2 1 0 1 -0.0964225 0.0801465 2.93282 0 0 0 
-13.679 10.8454 199.945 -6.42601 -5.06648 199.833 0.754502 -13 -2 1 0 1 -0.121856 0.0958954 1.99753 0 0 0 
-17.9353 7.78524 299.805 -10.433 -7.45775 199.588 1.13175 -13 -2 1 0 1 -0.151415 0.0868994 0.704593 0 0 0 
-23.8101 2.94133 399.511 -12.5888 -12.4714 199.213 1.509 -13 -2 1 0 1 -0.180274 0.0602565 -0.696881 0 0 0 
-29.8008 -5.19481 498.992 -10.3889 -20.3846 198.687 1.88625 -13 -2 1 0 1 -0.180465 0.0234323 -1.98969 0 0 0 
-33.0642 -17.3016 598.19 -1.57685 -27.3206 198.119 2.26351 -13 -2 1 0 1 -0.116201 0.00891332 -2.93619 0 0 0 
-30.7523 -31.2461 697.169 10.733 -26.8628 197.897 2.64076 -13 -2 1 0 1 -0.00291863 0.0718589 -3.30339 0 0 0 
-23.2419 -42.7724 796.205 17.7518 -18.388 198.36 3.01801 -13 -2 1 0 1 0.0789077 0.20888 -2.98116 0 0 0 
-14.7216 -49.5212 895.602 14.7661 -9.1291 199.245 3.39526 -13 -2 1 0 1 0.0915322 0.338409 -2.05977 0 0 0 
-9.62246 -52.6736 995.409 4.90937 -4.21535 199.895 3.77251 -13 -2 1 0 1 0.0811056 0.405222 -0.765566 0 0 0 
-10.2096 -54.1101 1095.38 -7.39017 -1.42458 199.858 4.14976 -13 -2 1 0 1 0.0975221 0.410635 0.648725 0 0 0 
-16.8477 -53.4862 1195.14 -18.5939 4.94635 199.072 4.52701 -13 -2 1 0 1 0.141473 0.348916 1.96182 0 0 0 
-27.651 -48.0521 1294.39 -22.849 17.6498 197.905 4.90426 -13 -2 1 0 1 0.155862 0.208192 2.9308 0 0 0 
-37.569 -35.7404 1393.1 -14.7284 30.7337 197.075 5.28151 -13 -2 1 0 1 0.0746255 0.0470113 3.31844 0 0 0 
-40.9844 -18.9822 1491.6 1.46148 34.2315 197.043 5.65876 -13 -2 1 0 1 -0.0661037 -0.0266501 3.01933 0 0 0 
-36.7018 -3.26801 1590.24 14.3676 27.5261 197.575 6.03601 -13 -2 1 0 1 -0.154801 0.00339739 2.12383 0 0 0 
-28.0924 8.25463 1689.19 18.6992 18.9648 198.219 6.41326 -13 -2 1 0 1 -0.150563 0.0652626 0.854083 0 0 0 
-19.0907 16.4704 1788.44 16.4865 14.8257 198.767 6.79052 -13 -2 1 0 1 -0.0918702 0.109849 -0.545437 0 0 0 
-12.2779 23.9044 1887.93 10.1722 15.5019 199.139 7.16777 -13 -2 1 0 1 -0.0245261 0.124306 -1.86361 0 0 0 
-9.43549 32.1951 1987.54 0.829999 17.4851 199.233 7.54502 -13 -2 1 0 1 0.0243592 0.0896166 -2.86021 0 0 0 
-11.481 40.91 2087.12 -8.60585 16.7613 199.111 7.92227 -13 -2 1 0 1 0.0596543 -0.0186866 -3.30019 0 0 0 
-17.1945 48.5387 2186.67 -13.0828 13.7144 199.1 8.29952 -13 -2 1 0 1 0.110617 -0.181964 -3.05128 0 0 0 
-23.3464 55.0391 2286.26 -10.3986 13.0561 199.302 8.67677 -13 -2 1 0 1 0.175115 -0.340227 -2.17967 0 0 0 
-26.6075 62.4448 2385.93 -1.72988 17.2934 199.244 9.05402 -13 -2 1 0 1 0.212256 -0.462592 -0.908743 0 0 0 
-24.0831 72.6577 2485.34 12.9444 23.3126 198.215 9.43127 -13 -2 1 0 1 0.186186 -0.550769 0.50398 0 0 0 
-12.541 84.7186 2583.89 34.1026 23.008 195.723 9.80852 -13 -2 1 0 1 0.0853216 -0.572545 1.84964 0 0 0 
10.0607 92.9898 2680.87 55.0929 7.00937 192.135 10.1858 -13 -2 1 0 1 -0.0373179 -0.443291 2.89999 0 0 0 
39.8381 89.23 2776.16 60.0712 -23.2205 189.347 10.563 -13 -2 1 0 1 -0.0354479 -0.15637 3.41914 0 0 0 
66.0594 70.6088 2870.73 41.554 -48.513 189.525 10.9403 -13 -2 1 0 1 0.163849 0.104535 3.25786 0 0 0 
79.9209 44.4228 2966.15 14.315 -52.4597 192.466 11.3175 -13 -2 1 0 1 0.41321 0.173309 2.46136 0 0 0 
82.105 20.9845 3063.29 -3.17634 -39.6486 196.005 11.6948 -13 -2 1 0 1 0.5441 0.0979863 1.23547 0 0 0 
79.0093 5.38574 3161.99 -7.41118 -22.8726 198.55 12.072 -13 -2 1 0 1 0.543418 0.00437545 -0.183226 0 0 0 
