#BLTrackFile VirtualDetector/Det17
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
66.6859 8.74367 71450.2 -1.59006 -26.0515 236.488 259.069 13 562 20 -1 5.00266
-25.3152 54.5417 71450.2 30.7719 -14.3474 136.747 375.053 13 750 33 -1 6.20948
36.5076 4.56494 71450.2 -2.53441 -29.7179 240.416 258.978 13 814 34 -1 1.11424
-28.0713 -35.7589 71450.2 -20.0984 31.885 191.821 277.633 13 858 38 -1 7.07787
-61.3789 12.8597 71450.2 4.81126 27.1628 192.768 249.776 13 929 43 -1 6.24555
26.8996 107.777 71450.2 29.814 -27.1505 282.768 221.48 13 1246 56 -1 4.90929
-83.7835 22.5966 71450.2 41.8143 30.5651 275.312 293.134 13 1702 74 -1 1.19457
88.0759 62.5514 71450.2 -6.10428 -40.0297 256.034 220.575 13 1770 81 -1 4.65343
7.4287 -49.0355 71450.2 -41.599 -3.79173 268.13 324.102 13 2334 106 -1 6.15946
27.6612 14.1268 71450.2 -7.11383 -2.78619 217.577 262.372 13 2701 119 -1 4.371
-8.44404 -25.235 71450.2 -3.9665 17.4791 184.359 286.614 13 3479 150 -1 8.97324
69.6261 -60.3817 71450.2 -39.3623 -40.0113 268.227 342.229 13 3486 151 -1 6.33583
-80.2088 34.0475 71450.2 39.7096 17.2145 219.171 262.447 13 3555 154 -1 6.37807
-16.3623 -48.7674 71450.2 -5.21916 4.38793 255.169 246.583 13 3618 159 -1 4.76841
51.1907 -82.2387 71450.2 -36.2198 -25.0837 261.482 268.252 13 3837 168 -1 7.88388
23.0123 -82.0424 71450.2 -72.3798 -28.0574 251.372 375.942 13 4166 191 -1 9.60226
-6.74698 -6.19116 71450.2 -16.2334 29.74 233.702 277.582 13 4277 196 -1 9.54745
-28.775 -68.2928 71450.2 -43.9858 -3.27976 234.547 271.111 13 4444 205 -1 6.26729
-67.0719 -11.5729 71450.2 -14.4837 28.6402 225.144 268.459 13 4460 207 -1 7.07126
