#BLTrackFile VirtualDetector/DetLast
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-53.8126 19.0711 131750 -15.6024 -2.82064 221.646 485.233 13 562 20 -1 5.00266
-28.8345 -3.81785 131750 -2.49549 3.86191 231.247 599.078 13 750 33 -1 6.20948
27.6188 -1.88865 131750 -7.09504 7.64053 244.232 485.073 13 814 34 -1 1.11424
-42.033 -68.691 131750 -5.98731 0.97874 210.31 503.41 13 858 38 -1 7.07787
28.6618 125.293 131750 -25.9624 -1.48734 215.916 476.122 13 929 43 -1 6.24555
68.2337 -32.075 131750 -15.4291 20.1132 248.307 519.694 13 1702 74 -1 1.19457
-9.08571 14.9214 131750 -0.947456 -12.9275 221.079 488.448 13 2701 119 -1 4.371
95.3433 12.784 131750 -3.88807 15.278 198.905 476.694 13 3155 140 -1 8.61052
-43.8345 -15.3119 131750 -3.99275 1.94085 218.892 512.764 13 3479 150 -1 8.97324
8.48198 11.8161 131750 -9.29466 2.55389 193.523 509.691 13 3522 153 -1 8.78518
43.5509 -10.059 131750 1.51126 -3.75148 237.032 488.19 13 3555 154 -1 6.37807
-6.83124 36.1201 131750 6.7414 -15.9798 241.34 494.449 13 3837 168 -1 7.88388
36.7399 -38.2857 131750 9.81535 -0.728723 245.125 601.964 13 4166 191 -1 9.60226
47.1071 -45.9853 131750 33.7515 0.110786 212.469 503.824 13 4277 196 -1 9.54745
-23.6027 -66.5337 131750 19.355 -17.2378 196.962 528.591 13 5870 277 -1 5.1246
-59.9551 -17.7835 131750 5.21163 6.70856 190.44 531.213 13 6087 287 -1 6.13271
8.96263 -29.6458 131750 1.11895 0.158261 161.263 479.367 13 6228 300 -1 6.15095
11.3937 -56.8509 131750 -15.4913 11.4677 240.818 546.646 13 6285 306 -1 5.05944
35.9046 -0.124713 131750 -2.34118 4.81584 234.215 534.378 13 6596 318 -1 8.19438
-8.4772 33.4151 131750 -1.12282 -0.762917 214.408 509.717 13 6807 328 -1 1.77848
-67.1074 -40.5523 131750 8.5365 -15.3656 212.998 451.765 13 7021 334 -1 1.24436
-20.1667 -1.49155 131750 -6.67496 -4.29641 196.503 512.977 13 7149 338 -1 7.92605
-59.393 -15.423 131750 13.31 -15.1735 214.887 488.298 13 9135 421 -1 10.6348
-8.85539 -54.8997 131750 -3.23946 8.01617 193.671 565.177 13 9380 428 -1 5.37569
56.0938 6.23645 131750 -5.19159 5.59184 203.669 500.706 13 9798 460 -1 5.60106
18.6762 37.9871 131750 -5.21437 2.27306 235.495 525.185 13 11068 519 -1 6.22706
-18.6268 -58.05 131750 7.35009 -4.26996 195.826 494.293 13 12431 586 -1 6.59573
24.1346 15.8858 131750 -2.67977 -0.335227 223.079 478.904 13 12544 595 -1 6.17295
-28.203 -64.4098 131750 10.9811 -15.34 209.786 528.592 13 13118 623 -1 5.48637
29.3548 50.5733 131750 -17.0346 -11.8268 226.449 602.155 13 13236 627 -1 2.78678
27.1077 -40.499 131750 2.97629 5.05147 212.715 555.956 13 13428 635 -1 7.88681
-8.77526 0.0489233 131750 9.24327 -26.7212 204.439 506.622 13 13474 636 -1 2.43518
18.0556 17.6189 131750 10.8351 15.4864 230.963 537.663 13 14421 676 -1 7.61486
48.6301 16.4352 131750 4.523 17.0516 235.529 562.203 13 14471 678 -1 5.84083
48.4295 -20.2031 131750 4.08855 6.80026 206.562 537.474 13 14840 695 -1 8.51353
-11.8905 1.80058 131750 0.387967 5.11238 186.627 531.509 13 15374 728 -1 6.64192
-104.578 -46.6378 131750 -13.4709 -24.3546 201.558 497.254 13 15831 754 -1 9.62495
22.1393 57.4247 131750 -18.5298 -14.323 216.035 491.124 13 17619 808 -1 7.41063
71.6523 37.2344 131750 -23.666 -1.82768 241.981 479.365 13 17966 825 -1 5.28315
13.5145 26.926 131750 1.78919 -3.89402 238.06 537.277 13 18880 862 -1 9.80308
22.8226 -39.555 131750 -2.27245 0.845359 247.209 497.393 13 19342 890 -1 8.99865
