# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.735393 -1.13645 200.995 0 -13 -2 1 0 1 0.0742529 -0.077735 -1.9919 0 0 0 
-10.2734 14.1934 99.9932 3.37922 1.58977 200.965 0.376842 -13 -2 1 0 1 0.078749 -0.097107 -0.69662 0 0 0 
-9.25487 14.7491 150 4.83777 2.83105 200.922 0.565338 -13 -2 1 0 1 0.0727327 -0.104196 0.0056451 0 0 0 
-9.25484 14.7491 150 4.8378 2.83107 200.922 0.565342 -13 -2 1 0 1 0.0727325 -0.104196 0.0056591 0 0 0 
-5.98365 16.5312 249.93 8.4821 3.91387 200.783 0.942184 -13 -2 1 0 1 0.0470854 -0.110061 1.38207 0 0 0 
-0.744382 18.0786 349.778 12.4551 1.63886 200.607 1.31903 -13 -2 1 0 1 0.0134936 -0.0902601 2.52712 0 0 0 
5.99217 17.5575 449.546 13.921 -4.13101 200.475 1.69587 -13 -2 1 0 1 0.000858469 -0.0372389 3.19156 0 0 0 
9.38596 16.1043 500 12.8309 -7.3601 200.455 1.88651 -13 -2 1 0 1 0.0115645 -0.00664876 3.28245 0 0 0 
9.38602 16.1042 500 12.8309 -7.36015 200.455 1.88651 -13 -2 1 0 1 0.0115648 -0.00664819 3.28245 0 0 0 
14.6199 11.2691 599.742 7.78609 -11.345 200.528 2.26336 -13 -2 1 0 1 0.0593189 0.0312084 2.93738 0 0 0 
17.112 5.6025 699.547 2.55958 -10.7512 200.696 2.6402 -13 -2 1 0 1 0.106459 0.0263804 2.00491 0 0 0 
17.6614 1.01979 799.439 0.186353 -7.44844 200.862 3.01704 -13 -2 1 0 1 0.127261 0.00116515 0.711483 0 0 0 
17.6825 -0.610908 850 0.0780398 -5.50545 200.925 3.20767 -13 -2 1 0 1 0.128657 -0.010666 0.00121002 0 0 0 
17.6825 -0.610926 850 0.078043 -5.50541 200.925 3.20768 -13 -2 1 0 1 0.128657 -0.0106662 0.00119591 0 0 0 
17.9055 -2.39805 949.983 0.942631 -1.69751 200.991 3.58452 -13 -2 1 0 1 0.118503 -0.0238916 -1.37644 0 0 0 
18.5785 -2.33392 1049.98 1.57398 1.8765 200.985 3.96136 -13 -2 1 0 1 0.0887354 -0.0220382 -2.52318 0 0 0 
19.2067 -0.714971 1149.96 0.681429 4.31213 200.953 4.3382 -13 -2 1 0 1 0.0338739 -0.0142898 -3.1875 0 0 0 
19.2675 0.413008 1200 -0.213501 4.62716 200.947 4.52681 -13 -2 1 0 1 2.47726e-05 -0.0133363 -3.27701 0 0 0 
19.2675 0.413028 1200 -0.21352 4.62716 200.947 4.52681 -13 -2 1 0 1 2.40837e-05 -0.0133363 -3.27701 0 0 0 
18.7517 2.45543 1299.98 -1.67226 3.15621 200.968 4.90366 -13 -2 1 0 1 -0.0634701 -0.0204532 -2.93067 0 0 0 
17.8779 3.25845 1399.97 -1.56025 -0.0861341 200.994 5.2805 -13 -2 1 0 1 -0.104622 -0.0284488 -1.99522 0 0 0 
17.3779 2.304 1499.96 -0.413637 -3.77 200.964 5.65734 -13 -2 1 0 1 -0.123141 -0.0231263 -0.69974 0 0 0 
17.3316 1.13149 1550 -0.0132434 -5.65103 200.921 5.84595 -13 -2 1 0 1 -0.126138 -0.014349 0.00306163 0 0 0 
