# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-10.446 14.9402 0 0.735393 -1.13645 200.995 0 -13 -2 1 0 1 0.0693528 -0.0826397 -1.99201 0 0 0 
-10.4407 14.9406 0.4995 0.749453 -1.12496 200.995 0.00188246 -13 -2 1 0 1 0.0694035 -0.0827829 -1.98622 0 0 0 
-10.4407 14.9406 0.5005 0.749481 -1.12494 200.995 0.00188623 -13 -2 1 0 1 0.0694036 -0.0827832 -1.9862 0 0 0 
-9.3705 15.0113 100.493 3.56904 1.44917 200.963 0.378728 -13 -2 1 0 1 0.0725128 -0.102828 -0.689738 0 0 0 
-6.80662 16.269 200.451 6.88097 3.33468 200.855 0.75557 -13 -2 1 0 1 0.0547106 -0.113958 0.714138 0 0 0 
-2.38997 17.8967 300.338 10.9187 2.62331 200.686 1.13241 -13 -2 1 0 1 0.0228087 -0.10697 2.00423 0 0 0 
3.87706 18.2313 400.138 13.805 -1.8797 200.517 1.50925 -13 -2 1 0 1 -0.00215199 -0.0667802 2.93704 0 0 0 
10.6245 15.695 499.873 12.4666 -8.25891 200.443 1.8861 -13 -2 1 0 1 0.0115192 -0.00671774 3.28265 0 0 0 
15.5852 10.4807 599.61 7.09598 -11.9332 200.52 2.26294 -13 -2 1 0 1 0.062499 0.0285267 2.93843 0 0 0 
17.7155 4.61881 699.412 1.84331 -10.9621 200.692 2.63978 -13 -2 1 0 1 0.10991 0.0206922 2.00657 0 0 0 
17.9471 -0.00644988 799.303 -0.357285 -7.44236 200.862 3.01662 -13 -2 1 0 1 0.129233 -0.00594551 0.713404 0 0 0 
17.8047 -2.73846 899.264 0.0800829 -3.56373 200.968 3.39347 -13 -2 1 0 1 0.126222 -0.0261332 -0.691055 0 0 0 
18.1484 -3.58397 999.258 1.25359 0.129676 200.996 3.77031 -13 -2 1 0 1 0.106491 -0.0303647 -1.98552 0 0 0 
18.8646 -2.69008 1099.25 1.34099 3.29177 200.969 4.14715 -13 -2 1 0 1 0.0643476 -0.0212938 -2.92515 0 0 0 
19.2099 -0.614396 1199.23 -0.13456 4.62003 200.947 4.52399 -13 -2 1 0 1 0.000556053 -0.0133534 -3.27666 0 0 0 
18.7231 1.43684 1299.21 -1.65588 3.19332 200.968 4.90083 -13 -2 1 0 1 -0.0629304 -0.0170164 -2.93565 0 0 0 
17.8207 2.25901 1399.2 -1.70155 -0.0546737 200.993 5.27768 -13 -2 1 0 1 -0.104037 -0.0226647 -2.00409 0 0 0 
17.2029 1.31392 1499.19 -0.748578 -3.75901 200.963 5.65452 -13 -2 1 0 1 -0.12183 -0.0162732 -0.710493 0 0 0 
16.9422 -1.48227 1599.15 -0.599138 -7.46378 200.861 6.03136 -13 -2 1 0 1 -0.122327 0.00436447 0.693491 0 0 0 
16.1741 -6.01674 1699.04 -3.00999 -10.5268 200.702 6.4082 -13 -2 1 0 1 -0.101376 0.0289106 1.98659 0 0 0 
13.4773 -11.5021 1798.85 -8.12832 -10.8485 200.542 6.78504 -13 -2 1 0 1 -0.0560121 0.0324654 2.92566 0 0 0 
8.13419 -16.047 1898.6 -12.9128 -6.72546 200.472 7.16189 -13 -2 1 0 1 -0.0119495 -0.00587748 3.27943 0 0 0 
1.34359 -17.8199 1998.35 -13.5597 -0.436639 200.542 7.53873 -13 -2 1 0 1 -0.00642031 -0.064625 2.94426 0 0 0 
-4.69716 -16.8794 2098.16 -10.3321 3.58273 200.702 7.91557 -13 -2 1 0 1 -0.0360259 -0.100699 2.01904 0 0 0 
-8.82817 -14.9059 2198.05 -6.37533 3.78113 200.863 8.29241 -13 -2 1 0 1 -0.0686572 -0.104449 0.729183 0 0 0 
-11.2088 -13.5297 2298.01 -3.35048 1.49673 200.967 8.66926 -13 -2 1 0 1 -0.0853436 -0.0927282 -0.675112 0 0 0 
-12.2374 -13.5206 2398.01 -0.775202 -1.41634 200.994 9.0461 -13 -2 1 0 1 -0.0801105 -0.0749963 -1.97539 0 0 0 
-11.9361 -14.7471 2498 2.00288 -3.18449 200.965 9.42294 -13 -2 1 0 1 -0.0516257 -0.04481 -2.92091 0 0 0 
-10.3516 -16.2916 2597.97 4.09748 -2.63181 200.941 9.79978 -13 -2 1 0 1 -0.0123008 0.00548636 -3.28027 0 0 0 
-8.26131 -17.1017 2697.95 3.8354 -0.533009 200.963 10.1766 -13 -2 1 0 1 0.0168782 0.0629512 -2.94787 0 0 0 
-6.94829 -16.885 2797.94 1.14023 1.24973 200.993 10.5535 -13 -2 1 0 1 0.0321755 0.102947 -2.0224 0 0 0 
-7.29283 -15.9867 2897.93 -2.57076 2.32141 200.97 10.9303 -13 -2 1 0 1 0.0455595 0.116527 -0.731517 0 0 0 
-9.45422 -14.4773 2997.89 -5.96664 3.982 200.872 11.3071 -13 -2 1 0 1 0.0629049 0.107627 0.672851 0 0 0 
