# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.531737 -1.33079 199.995 0 -13 -2 1 0 1 0.0742529 -0.077735 -1.9919 0 0 0 
-11.2898 14.0917 0.4995 0.545359 -1.31886 199.995 0.00188448 -13 -2 1 0 1 0.0743146 -0.0778689 -1.98611 0 0 0 
-11.2898 14.0917 0.5005 0.545387 -1.31884 199.995 0.00188825 -13 -2 1 0 1 0.0743147 -0.0778691 -1.9861 0 0 0 
-10.3479 14.094 100.495 3.22262 1.38134 199.969 0.379139 -13 -2 1 0 1 0.0792866 -0.0964645 -0.689661 0 0 0 
-7.99214 15.376 200.457 6.34635 3.49664 199.869 0.75639 -13 -2 1 0 1 0.0629211 -0.107765 0.714196 0 0 0 
-3.84938 17.1798 300.353 10.3037 3.15377 199.71 1.13364 -13 -2 1 0 1 0.0312308 -0.102818 2.00421 0 0 0 
2.17861 17.8849 400.166 13.3944 -0.951293 199.549 1.51089 -13 -2 1 0 1 0.00354656 -0.0655956 2.93678 0 0 0 
8.86595 15.8526 499.917 12.5254 -7.18471 199.478 1.88814 -13 -2 1 0 1 0.0115376 -0.00669483 3.28205 0 0 0 
13.9951 11.1026 599.668 7.57271 -11.1009 199.548 2.26539 -13 -2 1 0 1 0.0571881 0.0306204 2.93748 0 0 0 
16.4154 5.52405 699.48 2.42925 -10.5465 199.707 2.64264 -13 -2 1 0 1 0.102409 0.0259163 2.00543 0 0 0 
16.9124 0.99353 799.375 0.087662 -7.3625 199.864 3.0199 -13 -2 1 0 1 0.122054 0.000981666 0.7123 0 0 0 
16.9398 -1.76736 899.335 0.319976 -3.68663 199.966 3.39715 -13 -2 1 0 1 0.120201 -0.0193969 -0.691916 0 0 0 
17.3662 -2.71266 999.328 1.35622 -0.121416 199.995 3.7744 -13 -2 1 0 1 0.101921 -0.0253128 -1.98597 0 0 0 
18.1298 -1.96108 1099.32 1.43688 2.96786 199.973 4.15165 -13 -2 1 0 1 0.0618114 -0.0188234 -2.92507 0 0 0 
18.5482 -0.0347263 1199.3 0.0670911 4.32669 199.953 4.5289 -13 -2 1 0 1 0.000487338 -0.0133359 -3.27614 0 0 0 
18.1921 1.91397 1299.28 -1.33024 3.05159 199.972 4.90615 -13 -2 1 0 1 -0.061197 -0.0186086 -2.9348 0 0 0 
17.4696 2.7186 1399.27 -1.29617 -0.00168188 199.996 5.2834 -13 -2 1 0 1 -0.102034 -0.0253146 -2.00304 0 0 0 
17.0681 1.8332 1499.27 -0.272411 -3.57131 199.968 5.66065 -13 -2 1 0 1 -0.120904 -0.019869 -0.709353 0 0 0 
17.0712 -0.87616 1599.23 -0.0059099 -7.27599 199.868 6.0379 -13 -2 1 0 1 -0.123218 0.000161196 0.69465 0 0 0 
16.6304 -5.37835 1699.13 -2.28628 -10.5287 199.71 6.41515 -13 -2 1 0 1 -0.104001 0.0252037 1.98766 0 0 0 
14.29 -10.9764 1798.94 -7.40963 -11.2026 199.549 6.7924 -13 -2 1 0 1 -0.0587366 0.0306543 2.92643 0 0 0 
9.22679 -15.8063 1898.69 -12.4416 -7.39037 199.476 7.16965 -13 -2 1 0 1 -0.0119756 -0.00593872 3.2797 0 0 0 
