# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.731734 -1.1308 199.995 0 -13 -2 1 0 1 0.0742529 -0.077735 -1.9919 0 0 0 
-10.2703 14.1969 99.9932 3.37459 1.59627 199.965 0.377251 -13 -2 1 0 1 0.0787277 -0.0971314 -0.696621 0 0 0 
-9.24787 14.757 150 4.8333 2.83742 199.921 0.565952 -13 -2 1 0 1 0.0726833 -0.104252 0.00564471 0 0 0 
-9.24784 14.757 150 4.83333 2.83744 199.921 0.565956 -13 -2 1 0 1 0.0726831 -0.104253 0.00565917 0 0 0 
-5.96153 16.5501 249.929 8.48267 3.91387 199.782 0.943207 -13 -2 1 0 1 0.0469416 -0.110184 1.38207 0 0 0 
-0.694147 18.1003 349.776 12.4605 1.61588 199.605 1.32046 -13 -2 1 0 1 0.0132559 -0.0903643 2.52711 0 0 0 
6.07554 17.5562 449.541 13.9074 -4.18926 199.472 1.69771 -13 -2 1 0 1 0.000710498 -0.0372397 3.19156 0 0 0 
9.48048 16.0792 500 12.7939 -7.43038 199.452 1.88858 -13 -2 1 0 1 0.0115646 -0.00664871 3.28247 0 0 0 
9.48053 16.0791 500 12.7939 -7.43044 199.452 1.88858 -13 -2 1 0 1 0.011565 -0.00664814 3.28247 0 0 0 
14.7086 11.1853 599.739 7.69665 -11.4053 199.526 2.26583 -13 -2 1 0 1 0.0596152 0.0309268 2.93741 0 0 0 
17.1611 5.4696 699.543 2.44833 -10.7727 199.695 2.64309 -13 -2 1 0 1 0.106742 0.0256129 2.00496 0 0 0 
17.6606 0.860696 799.433 0.092149 -7.44487 199.861 3.02034 -13 -2 1 0 1 0.127255 6.26478e-05 0.711559 0 0 0 
17.6601 -0.777111 850 0.000351088 -5.50054 199.924 3.2112 -13 -2 1 0 1 0.128498 -0.0118408 0.00121252 0 0 0 
17.6601 -0.777129 850 0.000354627 -5.5005 199.924 3.2112 -13 -2 1 0 1 0.128498 -0.0118409 0.00119842 0 0 0 
17.8545 -2.57349 949.983 0.90206 -1.70576 199.991 3.58845 -13 -2 1 0 1 0.118171 -0.0250338 -1.37643 0 0 0 
18.5197 -2.51704 1049.98 1.56869 1.85448 199.985 3.9657 -13 -2 1 0 1 0.0884569 -0.022904 -2.52315 0 0 0 
19.1546 -0.901521 1149.96 0.697452 4.29044 199.953 4.34296 -13 -2 1 0 1 0.0337826 -0.0146163 -3.18746 0 0 0 
