 #VirtualDetector/Det                                                            
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:   0.10000000000000001      /  0.34999999999999998     
    transverse cuts:    9.7500000000000000E-003   1.4999999999999999E-002
    longitudinal cut:    3.5000000000000003E-002
    RF frequency (MHz):    325.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.4250E+01  0.0000E+00  0.1570E-01  0.4019E-01  0.1129E-04  0.7339E+00  0.2548E+00  0.5323E+00  0.2537E+00  0.8657E+00 -0.2720E+00  0.4631E+04  0.1288E+03  0.2374E+03  0.8105E-01  0.3594E-01  0.4540E-09  0.2688E+00  0.2982E-08  0.3384E-01 -0.4163E-02  0.2066E-02 -0.2267E-01  0.7888E-02  0.9182E-01  0.1749E-01
     2  0.8450E+01  0.0000E+00  0.1406E-01  0.6273E-01  0.1354E-04  0.6988E+00  0.2529E+00  0.5312E+00  0.1936E+00  0.1211E+01 -0.1902E+00  0.4755E+04  0.1389E+03  0.2665E+03  0.6850E-01  0.3723E-01  0.6560E-09  0.3174E+00  0.3091E-08  0.3495E-01 -0.9391E-02  0.5090E-02 -0.2616E-01 -0.1113E-01  0.9251E-01  0.2145E-01
     3  0.1265E+02  0.0000E+00  0.1313E-01  0.6239E-01  0.1137E-04  0.6514E+00  0.2517E+00  0.5331E+00  0.1809E+00  0.1116E+01  0.2241E-01  0.4810E+04  0.1610E+03  0.3000E+03  0.5942E-01  0.3831E-01  0.6274E-09  0.3755E+00  0.2744E-08  0.3555E-01 -0.1287E-01  0.4676E-02 -0.3270E-01 -0.3946E-01  0.8578E-01  0.2395E-01
     4  0.1685E+02  0.0000E+00  0.1250E-01  0.5606E-01  0.9175E-05  0.6095E+00  0.2464E+00  0.5277E+00  0.1692E+00  0.1073E+01 -0.2128E+00  0.4712E+04  0.1970E+03  0.3530E+03  0.5263E-01  0.3672E-01  0.5886E-09  0.3179E+00  0.2188E-08  0.3466E-01 -0.1461E-01  0.5905E-02 -0.4313E-01 -0.3320E-01  0.8257E-01  0.2709E-01
     5  0.2105E+02  0.0000E+00  0.1198E-01  0.5873E-01  0.8443E-05  0.5602E+00  0.2435E+00  0.5201E+00  0.1984E+00  0.9522E+00 -0.9184E-01  0.4691E+04  0.2090E+03  0.3827E+03  0.4677E-01  0.3783E-01  0.5694E-09  0.2384E+00  0.1499E-08  0.3669E-01 -0.1419E-01  0.5995E-02 -0.4874E-01 -0.2893E-01  0.6761E-01  0.2295E-01
     6  0.2525E+02  0.0000E+00  0.1132E-01  0.5433E-01  0.7110E-05  0.5133E+00  0.2423E+00  0.5121E+00  0.1733E+00  0.9710E+00 -0.5179E-01  0.4551E+04  0.2128E+03  0.4319E+03  0.4046E-01  0.3621E-01  0.5561E-09  0.2827E+00  0.1893E-08  0.3474E-01 -0.1280E-01  0.4273E-02 -0.3812E-01 -0.3836E-01  0.6948E-01  0.2105E-01
     7  0.2945E+02  0.0000E+00  0.1074E-01  0.4513E-01  0.5278E-05  0.4852E+00  0.2395E+00  0.5176E+00  0.1693E+00  0.8412E+00 -0.3198E-01  0.4392E+04  0.2709E+03  0.5166E+03  0.3614E-01  0.3494E-01  0.4738E-09  0.2563E+00  0.1229E-08  0.3373E-01 -0.1070E-01  0.2907E-02 -0.3736E-01 -0.3114E-01  0.7258E-01  0.1849E-01
     8  0.3365E+02  0.0000E+00  0.1005E-01  0.4576E-01  0.4794E-05  0.4530E+00  0.2378E+00  0.5179E+00  0.1692E+00  0.8897E+00 -0.5141E-01  0.4360E+04  0.3031E+03  0.5380E+03  0.3143E-01  0.3494E-01  0.4920E-09  0.3627E+00  0.1028E-08  0.3290E-01 -0.1201E-01  0.2651E-02 -0.2675E-01 -0.4584E-01  0.7379E-01  0.2016E-01
     9  0.3785E+02  0.0000E+00  0.9588E-02  0.4109E-01  0.3873E-05  0.4180E+00  0.2355E+00  0.5248E+00  0.1457E+00  0.8955E+00  0.5990E-01  0.4247E+04  0.3069E+03  0.5627E+03  0.2769E-01  0.3290E-01  0.4698E-09  0.3650E+00 -0.1575E-09  0.3088E-01 -0.1342E-01  0.3075E-02 -0.4174E-01 -0.5667E-01  0.7450E-01  0.2366E-01
    10  0.4205E+02  0.0000E+00  0.9109E-02  0.4099E-01  0.3431E-05  0.3827E+00  0.2336E+00  0.5261E+00  0.1620E+00  0.8630E+00  0.6794E-02  0.4174E+04  0.3581E+03  0.6511E+03  0.2417E-01  0.3255E-01  0.4649E-09  0.3129E+00 -0.1400E-08  0.3120E-01 -0.1427E-01  0.2814E-02 -0.3891E-01 -0.5528E-01  0.6569E-01  0.2329E-01
