#BLTrackFile VirtualDetector/Det995
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
54.4835 -5.63044 99450.2 -6.0851 -0.834376 222.839 371.445 -13 9 1 0 1
-55.0107 43.3794 99450.2 41.9962 8.56679 245.413 371.787 -13 21 1 0 1
-48.0337 -2.27453 99450.2 13.2688 20.937 215.261 371.917 -13 22 1 0 1
3.3542 -101.474 99450.2 -1.9828 15.5784 232.616 372.493 -13 37 1 0 1
-21.955 -7.86023 99450.2 -1.41397 32.2673 219.863 371.88 -13 38 1 0 1
37.1167 3.44119 99450.2 -17.578 -21.0261 233.817 371.406 -13 40 1 0 1
-55.2045 56.0048 99450.2 5.93894 4.45443 226.214 371.497 -13 41 1 0 1
-77.1208 14.4549 99450.2 -9.67628 6.98132 236.856 371.898 -13 46 1 0 1
-9.18232 56.0545 99450.2 2.4067 -8.38399 219.986 371.671 -13 47 1 0 1
-70.7445 26.6742 99450.2 23.5991 -18.3155 220.919 371.654 -13 51 1 0 1
57.2589 -6.68591 99450.2 -10.5628 4.00509 209.702 371.523 -13 54 1 0 1
8.63056 32.2579 99450.2 -15.6343 -11.2746 251.474 371.424 -13 61 1 0 1
10.3918 0.688308 99450.2 -14.1835 -5.06917 188.253 371.677 -13 65 1 0 1
-23.6386 -25.6737 99450.2 21.6512 3.73388 194.562 371.938 -13 66 1 0 1
51.2103 -59.2143 99450.2 -4.71304 -0.00132772 214.863 371.481 -13 70 1 0 1
-35.4385 -21.5498 99450.2 -8.88499 -6.54007 211.729 371.754 -13 75 1 0 1
-19.2837 55.7494 99450.2 16.0262 4.81897 215.004 371.645 -13 82 1 0 1
-17.2399 50.0574 99450.2 24.1222 24.7147 233.903 371.217 -13 85 1 0 1
34.1749 -25.9345 99450.2 -4.26201 -5.78824 188.075 371.348 -13 89 1 0 1
-2.85361 -22.9377 99450.2 -5.55541 -14.1291 179.648 371.446 -13 92 1 0 1
-16.4635 25.6925 99450.2 -7.9218 -9.44962 225.791 371.902 -13 97 1 0 1
3.80205 -106.374 99450.2 -6.48567 2.01896 229.053 371.55 -13 100 1 0 1
