#BLTrackFile VirtualDetector/DetLast
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
30.0013 37.5527 131750 19.6675 -0.841461 239.494 493.188 -13 6 1 0 1
66.2003 62.6343 131750 35.0614 -19.0763 236.21 493.142 -13 9 1 0 1
-17.7614 -41.0686 131750 1.68855 13.102 212.895 492.722 -13 19 1 0 1
-6.78051 30.2014 131750 16.6497 4.61444 243.192 492.836 -13 20 1 0 1
68.5904 18.9657 131750 15.7204 -24.5271 232.047 492.721 -13 21 1 0 1
-33.3287 55.9033 131750 54.9519 -1.25366 278.346 492.918 -13 22 1 0 1
38.8286 34.9551 131750 17.3009 -16.4066 226.183 493.073 -13 37 1 0 1
31.2012 21.2778 131750 23.8717 -20.0409 226.326 492.741 -13 41 1 0 1
-81.3688 5.53652 131750 4.35997 29.0089 203.664 492.923 -13 45 1 0 1
-34.4744 48.2743 131750 34.1213 16.0923 239.507 493.072 -13 46 1 0 1
-80.718 -22.34 131750 -10.9713 63.4628 203.682 492.937 -13 51 1 0 1
9.9471 8.03404 131750 22.1516 1.8836 195.492 492.737 -13 60 1 0 1
10.8591 5.66184 131750 26.2135 11.6911 228.243 493.291 -13 62 1 0 1
9.44216 53.0996 131750 20.3601 -19.4757 228.639 492.778 -13 65 1 0 1
-4.31047 31.1039 131750 19.0468 -0.400835 239.591 492.805 -13 66 1 0 1
56.2094 -57.7833 131750 14.0393 -34.206 265.71 493.376 -13 75 1 0 1
-62.0339 -13.582 131750 -1.05647 32.1663 191.174 493.211 -13 89 1 0 1
-11.6781 -46.2502 131750 -36.3819 23.0393 181.862 492.98 -13 100 1 0 1
