#BLTrackFile VirtualDetector/Det16
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-63.2622 46.0213 67250.2 19.6071 -21.0443 239.871 632.196 -13 2 1 0 0.6315
65.1077 22.3861 67250.2 -10.8016 17.4446 201.366 619.691 -13 3 1 0 0.6315
103.847 -6.59038 67250.2 -16.6802 35.7923 367.968 588.908 -13 7 1 0 0.6315
19.4614 -53.8469 67250.2 53.4729 -7.26496 311.102 607.263 -13 8 1 0 0.6315
36.3808 -36.1434 67250.2 26.7018 30.6169 203.628 626.352 -13 12 1 0 0.6315
32.9408 -90.7815 67250.2 -68.8777 22.0918 306.351 610.368 -13 14 1 0 0.6315
-12.3067 -38.7781 67250.2 48.0994 46.8631 318.892 611.569 -13 15 1 0 0.6315
34.8087 45.1822 67250.2 -75.2524 55.5334 919.271 570.123 -13 17 1 0 0.6315
21.2361 -78.3014 67250.2 24.935 30.0161 285.115 648.002 -13 23 1 0 0.6315
10.9834 -76.1833 67250.2 0.299143 35.5148 453.296 584.354 -13 30 1 0 0.6315
-104.252 -9.02847 67250.2 36.3591 -29.5669 233.094 635.596 -13 33 1 0 0.6315
-6.09441 190.766 67250.2 -70.3115 -59.0011 737.577 575.74 -13 39 1 0 0.6315
-8.45047 42.1237 67250.2 -28.6712 -11.717 229.633 681.738 -13 40 1 0 0.6315
23.1749 -2.89428 67250.2 -23.0373 9.36568 204.824 730.543 -13 41 1 0 0.6315
-0.750257 -146.102 67250.2 30.9045 -33.503 274.012 811.649 -13 46 1 0 0.6315
-113.987 -35.9928 67250.2 28.2991 11.3281 190.63 622.996 -13 49 1 0 0.6315
-49.467 130.043 67250.2 -53.5543 -45.6183 612.187 573.517 -13 52 1 0 0.6315
7.16774 170.824 67250.2 -50.9338 -54.7369 243.979 685.606 -13 53 1 0 0.6315
-4.80478 -4.59606 67250.2 -45.2984 -9.91827 272.656 666.272 -13 55 1 0 0.6315
25.7388 73.9523 67250.2 -44.8843 4.20782 249.481 619.637 -13 63 1 0 0.6315
-14.3395 -29.1287 67250.2 16.0502 7.93872 485.929 582.343 -13 64 1 0 0.6315
9.05664 -18.4228 67250.2 -13.3026 -41.216 197.251 622.812 -13 70 1 0 0.6315
64.3829 3.51085 67250.2 -13.7879 -23.1995 253.768 604.397 -13 71 1 0 0.6315
47.2766 62.2103 67250.2 -46.3301 5.34097 238.312 624.152 -13 72 1 0 0.6315
-113.981 -53.0725 67250.2 62.7792 -21.3555 223.006 654.48 -13 75 1 0 0.6315
-82.1969 -19.771 67250.2 -7.17212 9.62667 211.905 678.481 -13 76 1 0 0.6315
-103.613 -19.3297 67250.2 12.3777 36.0158 229.871 902.992 -13 77 1 0 0.6315
52.9339 12.4396 67250.2 20.3286 -22.4103 248.865 678.283 -13 78 1 0 0.6315
-53.7843 31.6207 67250.2 -56.5733 0.858897 281.269 653.975 -13 81 1 0 0.6315
-8.57584 -45.3042 67250.2 1.67082 -21.5454 374.016 584.969 -13 82 1 0 0.6315
15.3864 116.83 67250.2 -2.36507 67.6233 292.649 608.001 -13 83 1 0 0.6315
-43.5161 -78.5599 67250.2 56.2027 67.3052 1040.26 571.571 -13 84 1 0 0.6315
97.7566 88.0739 67250.2 -43.1167 32.7154 832.376 568.885 -13 87 1 0 0.6315
-158.181 26.9273 67250.2 -34.2636 -41.5692 263.965 615.112 -13 88 1 0 0.6315
-147.529 13.0165 67250.2 83.4554 -38.8157 242.627 654.116 -13 89 1 0 0.6315
-36.5689 109.391 67250.2 14.7304 81.9146 287.073 650.894 -13 90 1 0 0.6315
-63.02 132.303 67250.2 -25.6488 -32.7806 255.518 628.96 -13 92 1 0 0.6315
13.5388 -92.8332 67250.2 17.0269 3.20742 248.929 611.252 -13 94 1 0 0.6315
-41.1278 -25.0702 67250.2 -60.7789 1.17 309.023 622.822 -13 96 1 0 0.6315
32.0203 160.277 67250.2 -68.8157 -37.6142 242.483 747.103 -13 97 1 0 0.6315
-109.315 -29.3554 67250.2 -0.959278 -16.5015 263.482 730.811 -13 99 1 0 0.6315
65.619 -74.0268 67250.2 -10.509 28.8471 250.394 638.786 -13 102 1 0 0.6315
80.6457 12.2676 67250.2 -33.9884 -2.18857 724.13 572.673 -13 103 1 0 0.6315
-40.4706 57.2969 67250.2 -7.39836 13.6003 558.85 578.068 -13 104 1 0 0.6315
117.808 -17.2888 67250.2 -15.9932 30.1744 643.991 574.678 -13 105 1 0 0.6315
23.6295 -37.2661 67250.2 22.0353 3.52392 642.856 573.72 -13 107 1 0 0.6315
-23.3697 -162.632 67250.2 39.0324 41.0127 248.975 625.603 -13 108 1 0 0.6315
32.1932 -79.6288 67250.2 66.562 52.3025 271.362 616.063 -13 109 1 0 0.6315
-73.074 -76.1303 67250.2 -39.8311 20.5794 281.441 619.416 -13 110 1 0 0.6315
-132.381 -13.9378 67250.2 0.563557 -26.2732 230.094 635.304 -13 111 1 0 0.6315
-38.3002 -50.7289 67250.2 -49.3112 26.2932 305.608 648.259 -13 112 1 0 0.6315
-61.4263 52.1379 67250.2 -88.2481 -0.740123 509.615 576.108 -13 117 1 0 0.6315
2.05553 -102.147 67250.2 25.357 -7.8416 282.092 675.392 -13 119 1 0 0.6315
44.5659 74.6927 67250.2 -74.6701 28.808 533.184 577.564 -13 120 1 0 0.6315
-3.22511 49.5641 67250.2 -43.9058 -8.47566 222.665 642.623 -13 122 1 0 0.6315
-63.0795 -113.66 67250.2 22.6256 -34.0728 346.892 596.238 -13 123 1 0 0.6315
-17.1078 108.54 67250.2 -49.2168 10.4027 301.24 593.945 -13 125 1 0 0.6315
14.8676 48.2875 67250.2 14.7323 72.97 248.602 683.084 -13 127 1 0 0.6315
34.5894 -79.1212 67250.2 10.2498 14.3256 225.466 823.251 -13 129 1 0 0.6315
-20.8392 -26.4497 67250.2 11.0887 -30.2159 207.856 650.57 -13 134 1 0 0.6315
-8.41225 -41.6698 67250.2 -24.8244 32.7014 1569.19 569.032 -13 135 1 0 0.6315
-36.707 86.3106 67250.2 -10.849 -31.8116 947.379 574.131 -13 137 1 0 0.6315
-75.7082 45.1075 67250.2 -24.7 -29.3342 240.717 632.229 -13 144 1 0 0.6315
-60.198 97.6226 67250.2 -11.5064 -62.0962 332.661 590.381 -13 145 1 0 0.6315
39.0975 19.1596 67250.2 -61.7103 -13.5297 709.858 577.298 -13 146 1 0 0.6315
77.0394 -24.79 67250.2 2.81696 7.53227 238.124 872.843 -13 148 1 0 0.6315
-40.5067 -33.4831 67250.2 -15.5972 -39.5337 247.074 612.092 -13 150 1 0 0.6315
64.2026 -5.88026 67250.2 25.552 9.08298 281.083 600.073 -13 154 1 0 0.6315
-21.5254 -31.0806 67250.2 21.5271 3.63035 883.125 568.199 -13 155 1 0 0.6315
43.594 20.0454 67250.2 -12.6653 -20.9378 244.249 604.568 -13 156 1 0 0.6315
6.18403 35.8054 67250.2 -35.5168 -9.05997 261.761 672.022 -13 160 1 0 0.6315
34.7721 -29.7645 67250.2 -4.90178 19.0994 329.736 604.383 -13 163 1 0 0.6315
-1.74998 134.314 67250.2 -50.9213 -28.2397 260.622 865.35 -13 164 1 0 0.6315
-46.887 95.8811 67250.2 -26.6886 -9.91416 417.754 582.733 -13 165 1 0 0.6315
30.1808 35.5351 67250.2 -36.5249 -5.94739 644.186 571.832 -13 168 1 0 0.6315
-62.3378 21.4328 67250.2 13.3863 -37.2543 202.26 648.179 -13 169 1 0 0.6315
-62.0091 -13.3779 67250.2 39.3855 -18.6625 164.507 637.431 -13 170 1 0 0.6315
63.057 146.703 67250.2 -75.741 11.6748 175.561 607.84 -13 174 1 0 0.6315
93.0269 -70.0513 67250.2 -27.8551 68.2324 384.715 595.206 -13 177 1 0 0.6315
50.6616 -82.2565 67250.2 -2.3765 49.8027 268.366 608.389 -13 179 1 0 0.6315
-27.6555 -112.598 67250.2 28.0339 -5.89646 231.432 635.219 -13 182 1 0 0.6315
225.925 -29.8698 67250.2 -1.72712 78.9092 939.375 569.208 -13 183 1 0 0.6315
-32.6358 31.4566 67250.2 -25.0282 11.7196 440.218 577.787 -13 184 1 0 0.6315
16.386 0.432847 67250.2 31.97 22.6769 284.845 613.642 -13 185 1 0 0.6315
29.5589 -20.1874 67250.2 25.6386 11.1274 280.769 730.595 -13 189 1 0 0.6315
62.0739 107.707 67250.2 -9.07981 37.4672 258.985 606.858 -13 193 1 0 0.6315
-8.41195 79.4493 67250.2 -9.98756 -27.7951 423.43 592.561 -13 194 1 0 0.6315
-2.23762 -63.3307 67250.2 43.3523 16.2192 269.638 647.711 -13 195 1 0 0.6315
-52.6061 -56.2498 67250.2 -19.4184 -30.948 212.114 620.242 -13 196 1 0 0.6315
34.7521 97.5228 67250.2 -52.9095 15.8223 244.828 699.935 -13 197 1 0 0.6315
17.0615 -88.0176 67250.2 22.4839 -9.85653 257.412 666.181 -13 198 1 0 0.6315
-29.0888 -48.3011 67250.2 28.1867 46.6622 280.921 653.875 -13 199 1 0 0.6315
-1.9551 52.0997 67250.2 -5.44279 3.9476 217.077 623.112 -13 200 1 0 0.6315
-41.0824 40.85 67250.2 -3.35635 11.1071 209.168 706.124 -13 203 1 0 0.6315
-25.0644 -54.3505 67250.2 -13.3139 -20.5999 890.142 571.159 -13 204 1 0 0.6315
-53.1801 94.0745 67250.2 -18.2765 10.4249 236.863 610.695 -13 207 1 0 0.6315
44.157 72.8138 67250.2 -12.3585 -0.631702 236.795 648.001 -13 208 1 0 0.6315
-44.5266 55.6175 67250.2 -27.601 -15.5508 251.182 613.595 -13 211 1 0 0.6315
-37.2975 -79.2433 67250.2 17.5659 0.949607 411.553 592.295 -13 214 1 0 0.6315
64.7487 95.1072 67250.2 -35.6398 -6.89373 266.138 608.301 -13 215 1 0 0.6315
36.1347 -20.5586 67250.2 2.82062 -29.6134 258.451 623.249 -13 216 1 0 0.6315
-89.8104 22.7075 67250.2 -53.7683 -27.3599 705.677 573.829 -13 217 1 0 0.6315
19.1892 87.8889 67250.2 -18.2285 -19.7102 374.162 595.247 -13 219 1 0 0.6315
75.8657 86.5839 67250.2 -24.1811 51.222 378.489 592.79 -13 220 1 0 0.6315
-26.7574 46.1337 67250.2 -8.94526 -49.0843 265.688 749.22 -13 222 1 0 0.6315
-17.5671 -16.2831 67250.2 -15.2695 38.4918 212.301 638.246 -13 225 1 0 0.6315
101.713 -65.527 67250.2 35.5794 7.92197 223.753 670.043 -13 227 1 0 0.6315
17.625 34.4083 67250.2 -43.7936 -12.048 228.715 647.361 -13 228 1 0 0.6315
7.9606 -120.226 67250.2 40.201 9.66751 244.337 697.336 -13 229 1 0 0.6315
-21.3264 -81.7337 67250.2 47.8935 -25.2596 241.008 626.067 -13 231 1 0 0.6315
-94.8787 29.3345 67250.2 -15.1112 -57.6084 184.807 706.376 -13 237 1 0 0.6315
-91.2115 2.03249 67250.2 -16.138 -10.9979 225.263 632.294 -13 238 1 0 0.6315
17.4516 -81.8863 67250.2 10.3378 15.7696 227.11 693.746 -13 243 1 0 0.6315
-61.7605 -41.8706 67250.2 25.6828 -58.0884 432.989 583.522 -13 244 1 0 0.6315
74.8827 121.672 67250.2 -43.0828 -0.77018 521.624 581.022 -13 245 1 0 0.6315
4.2639 -60.4089 67250.2 58.6792 13.6586 199.593 755.816 -13 247 1 0 0.6315
-92.1903 81.0892 67250.2 -40.8056 -40.8894 242.906 622.041 -13 249 1 0 0.6315
30.2885 -6.74295 67250.2 4.43295 39.9403 238.314 687.182 -13 251 1 0 0.6315
-70.4853 -15.04 67250.2 1.98222 -22.7143 235.812 746.335 -13 253 1 0 0.6315
3.15127 -35.5071 67250.2 45.1064 42.016 227.838 627.24 -13 256 1 0 0.6315
34.1666 31.836 67250.2 -2.53293 14.4965 692.337 573.512 -13 258 1 0 0.6315
-162.127 -46.4234 67250.2 -21.6945 -36.9725 920.163 572.412 -13 259 1 0 0.6315
30.9751 124.959 67250.2 -22.6395 0.706846 323.871 600.672 -13 263 1 0 0.6315
44.6139 82.2248 67250.2 -28.0883 -20.0381 250.336 857.434 -13 266 1 0 0.6315
-122.785 17.4294 67250.2 2.02037 -13.3806 1042.82 568.742 -13 285 1 0 0.6315
