#BLTrackFile VirtualDetector/DetLast
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
9.28869 -24.4291 131750 -7.12742 26.3375 206.391 874.08 -13 2 1 0 0.6315
-79.4024 75.2606 131750 43.432 19.0691 215.124 862.117 -13 3 1 0 0.6315
-13.5922 13.5221 131750 3.70832 42.0612 261.763 817.404 -13 7 1 0 0.6315
34.415 -52.9233 131750 13.7841 8.99499 150.157 869.93 -13 8 1 0 0.6315
37.9174 94.3835 131750 17.3162 -2.967 211.312 867.919 -13 12 1 0 0.6315
-9.57243 -111.298 131750 -42.6126 -19.7546 457.487 806.338 -13 30 1 0 0.6315
81.4302 -65.3475 131750 -21.7704 -14.913 242.173 877.352 -13 33 1 0 0.6315
14.2588 -11.2069 131750 7.89675 11.6644 209.488 923.554 -13 40 1 0 0.6315
16.9689 44.5027 131750 42.9064 -3.85246 238.96 972.857 -13 41 1 0 0.6315
2.07958 127.225 131750 41.7444 -8.84056 313.208 865.159 -13 49 1 0 0.6315
-16.4035 95.5515 131750 -15.9045 -2.10922 564.823 793.579 -13 52 1 0 0.6315
33.1971 22.6686 131750 15.0183 25.8396 284.74 907.588 -13 55 1 0 0.6315
95.0908 97.4503 131750 64.4574 -13.2255 214.883 861.576 -13 63 1 0 0.6315
-36.4277 -8.38247 131750 4.68742 11.7646 477.937 802.886 -13 64 1 0 0.6315
-82.5698 17.0988 131750 46.4678 39.0216 213.632 865.365 -13 70 1 0 0.6315
49.1135 -25.6045 131750 -23.066 -44.0274 187.287 846.137 -13 71 1 0 0.6315
68.7947 -82.7883 131750 -68.1079 -38.1667 214.193 865.045 -13 72 1 0 0.6315
47.1151 26.1763 131750 20.2936 -20.7763 243.704 920.774 -13 76 1 0 0.6315
49.0012 67.9431 131750 35.5195 -2.03655 212.951 1144.1 -13 77 1 0 0.6315
65.9447 -21.9259 131750 18.4611 -1.51511 210.323 895.176 -13 81 1 0 0.6315
-23.0253 -9.85622 131750 -30.8788 4.2716 366.191 808.694 -13 82 1 0 0.6315
79.5588 -102.905 131750 5.65346 -21.6725 794.439 786.264 -13 87 1 0 0.6315
-63.1441 -78.2803 131750 -22.8541 9.80585 194.248 973.116 -13 99 1 0 0.6315
-80.2243 1.48082 131750 23.3545 32.2072 712.658 790.575 -13 103 1 0 0.6315
-5.23936 112.235 131750 47.453 7.0059 551.981 797.732 -13 104 1 0 0.6315
-75.7451 81.1313 131750 -0.966032 39.151 606.612 793.449 -13 105 1 0 0.6315
38.043 -67.4744 131750 -9.02352 -9.69443 592.597 792.213 -13 107 1 0 0.6315
44.2688 -54.9271 131750 20.6264 -12.0251 249.556 877.782 -13 111 1 0 0.6315
-28.857 94.533 131750 24.2862 40.9292 294.538 917.33 -13 119 1 0 0.6315
113.076 140.284 131750 15.0958 -19.4934 465.464 799.27 -13 120 1 0 0.6315
59.7138 77.8372 131750 -5.15237 -1.9505 339.787 824.914 -13 125 1 0 0.6315
-25.02 45.4255 131750 -1.38444 -2.93176 212.472 1065.35 -13 129 1 0 0.6315
13.5364 14.6214 131750 24.0187 -36.1027 1552.97 784.762 -13 135 1 0 0.6315
43.3298 -71.5908 131750 -36.6635 -18.0189 913.307 791.099 -13 137 1 0 0.6315
9.8022 -73.1185 131750 -5.87652 17.3817 241.76 874.338 -13 144 1 0 0.6315
91.8572 2.68367 131750 -21.5708 -11.1585 639.746 795.721 -13 146 1 0 0.6315
-130.63 21.8775 131750 38.8325 46.1762 271.862 1113.83 -13 148 1 0 0.6315
121.081 125.264 131750 42.3772 -21.4216 113.566 868.311 -13 150 1 0 0.6315
111.575 121.1 131750 57.6465 -26.154 176.205 835.028 -13 154 1 0 0.6315
-12.5307 -14.0956 131750 14.3792 14.0328 865.333 785.079 -13 155 1 0 0.6315
-30.0964 23.3123 131750 16.4357 30.2296 199.423 846.896 -13 156 1 0 0.6315
38.8043 58.9495 131750 59.0898 11.4627 212.667 913.746 -13 160 1 0 0.6315
-57.8723 -79.2513 131750 -32.8177 16.265 183.703 841.98 -13 163 1 0 0.6315
-20.5319 -44.7771 131750 -33.2997 -18.2464 363.626 807.471 -13 165 1 0 0.6315
14.5194 20.6839 131750 -14.2665 -0.293548 616.44 790.151 -13 168 1 0 0.6315
-16.5822 51.2393 131750 42.3238 -22.1254 227.155 889.559 -13 169 1 0 0.6315
-118.83 -11.043 131750 8.91913 20.1512 207.765 850.646 -13 179 1 0 0.6315
51.5699 75.3585 131750 21.0975 15.2875 231.856 877.72 -13 182 1 0 0.6315
33.9183 103.497 131750 28.5342 -11.204 434.295 800.295 -13 184 1 0 0.6315
97.3587 13.7051 131750 38.7654 -51.5704 221.764 972.567 -13 189 1 0 0.6315
-77.5295 -148.337 131750 -55.7265 29.78 332.374 817.466 -13 194 1 0 0.6315
80.6663 -99.3686 131750 -35.9223 -6.37072 210.678 889.758 -13 195 1 0 0.6315
-82.9743 75.1372 131750 13.2301 46.2428 215.92 861.731 -13 196 1 0 0.6315
-92.1 12.1452 131750 -17.0037 7.61824 230.108 941.898 -13 197 1 0 0.6315
-23.0862 -36.4657 131750 -9.22269 -24.1956 181.75 907.683 -13 198 1 0 0.6315
13.8151 -11.9584 131750 -2.53998 -1.54902 190.708 865.131 -13 200 1 0 0.6315
16.4506 -15.4115 131750 3.74748 -15.6371 197.533 947.922 -13 203 1 0 0.6315
50.8408 47.6448 131750 26.8865 -17.3646 862.798 788.226 -13 204 1 0 0.6315
-62.6531 -24.9814 131750 -3.9566 10.9134 228.129 852.446 -13 207 1 0 0.6315
-0.354474 -45.0182 131750 -24.115 -21.1568 195.344 889.393 -13 208 1 0 0.6315
-79.295 -89.0613 131750 -30.8955 31.5558 228.468 855.841 -13 211 1 0 0.6315
-15.0375 -36.2467 131750 -47.1522 1.80605 330.229 817.691 -13 214 1 0 0.6315
32.5289 95.0137 131750 58.0169 13.7228 269.122 849.81 -13 215 1 0 0.6315
44.0489 30.0757 131750 15.8871 -40.0745 200.884 864.557 -13 216 1 0 0.6315
-89.619 169.442 131750 35.5733 30.7168 629.331 792.541 -13 217 1 0 0.6315
-19.5537 -42.8813 131750 -40.1662 -5.31806 274.614 823.602 -13 219 1 0 0.6315
-56.971 -43.628 131750 24.4996 -3.35342 260.335 823.389 -13 220 1 0 0.6315
-49.0179 155.659 131750 34.9925 40.3128 320.741 991.034 -13 222 1 0 0.6315
-109.289 119.325 131750 40.8984 28.9426 253.678 881.028 -13 225 1 0 0.6315
-69.4963 -43.0119 131750 10.7883 44.5812 222.415 889.977 -13 228 1 0 0.6315
-48.2897 21.716 131750 -20.8743 -6.8673 253.288 938.278 -13 229 1 0 0.6315
-6.19925 -105.503 131750 -19.9475 30.9058 222.788 868.078 -13 231 1 0 0.6315
-95.1104 72.0455 131750 -7.75915 34.2539 245.266 948.194 -13 237 1 0 0.6315
15.0371 -4.07849 131750 4.36282 6.574 249.375 874.363 -13 238 1 0 0.6315
-20.3544 74.2341 131750 27.3262 -5.18973 239.835 936.036 -13 243 1 0 0.6315
-124.889 -88.7431 131750 -16.0846 20.784 349.021 808.281 -13 244 1 0 0.6315
70.5999 -7.06564 131750 -40.0501 -29.9912 472.923 802.364 -13 245 1 0 0.6315
-113.281 -19.1612 131750 21.8355 34.0319 265.407 997.343 -13 247 1 0 0.6315
-34.2243 -44.6277 131750 -53.0924 13.3014 216.646 930.028 -13 251 1 0 0.6315
14.6115 -1.51371 131750 -6.72787 13.9283 227.634 988.08 -13 253 1 0 0.6315
-61.5272 -19.368 131750 4.24512 19.0505 678.375 791.437 -13 258 1 0 0.6315
150.782 17.381 131750 25.0095 -69.0495 174.868 833.822 -13 263 1 0 0.6315
62.2358 113.204 131750 47.2276 -9.47132 260.503 1098.64 -13 266 1 0 0.6315
-34.2742 -32.8532 131750 -20.1827 -6.5827 148.304 849.694 -13 286 1 0 0.6315
-68.227 -30.3531 131750 -13.5851 43.5182 189.005 846.802 -13 287 1 0 0.6315
22.4424 11.8693 131750 -7.88109 -12.6535 207.542 929.37 -13 298 1 0 0.6315
-72.9821 -83.2791 131750 26.6149 9.40821 457.949 803.799 -13 302 1 0 0.6315
-49.7499 9.74332 131750 -10.3163 20.6423 202.573 849.847 -13 304 1 0 0.6315
98.3337 -75.8297 131750 -17.665 -29.7489 623.107 793.35 -13 308 1 0 0.6315
106.091 93.2389 131750 19.7317 -31.6704 434.709 802.066 -13 313 1 0 0.6315
36.7634 -6.59363 131750 -19.8939 20.3895 221.338 948.98 -13 330 1 0 0.6315
22.4633 -15.0063 131750 13.4899 -25.1293 227.347 978.698 -13 331 1 0 0.6315
-59.2208 -45.1412 131750 -14.8592 14.1131 236.435 898.94 -13 337 1 0 0.6315
-37.1674 135.454 131750 44.1087 31.5904 257.291 870.544 -13 340 1 0 0.6315
23.7073 31.943 131750 12.0627 5.68777 536.187 797.723 -13 341 1 0 0.6315
-23.881 -15.7045 131750 0.712515 13.5151 207.51 969.426 -13 342 1 0 0.6315
-14.8832 -17.3752 131750 -6.63557 4.69473 239.549 926.503 -13 345 1 0 0.6315
-49.0675 75.4288 131750 24.9314 9.25246 253.353 846.535 -13 346 1 0 0.6315
33.9367 -5.47971 131750 -3.4752 -16.2343 202.679 984.76 -13 348 1 0 0.6315
9.40231 19.5531 131750 -21.3178 -28.3601 191.067 923.684 -13 349 1 0 0.6315
38.7361 76.0631 131750 20.7121 -10.4758 517.67 800.81 -13 361 1 0 0.6315
-18.3944 -114.361 131750 -13.091 23.5486 580.873 794.532 -13 364 1 0 0.6315
144.844 39.6338 131750 17.2313 -39.2005 442.68 798.214 -13 365 1 0 0.6315
-2.53967 -111.068 131750 -29.5061 -12.537 205.775 886.602 -13 369 1 0 0.6315
-9.5833 -161.561 131750 -50.2734 1.9882 642.304 792.851 -13 370 1 0 0.6315
44.2026 -7.74221 131750 26.0034 -7.84051 252.91 871.163 -13 373 1 0 0.6315
-42.4753 -88.6874 131750 -12.5259 25.8103 225.275 852.385 -13 375 1 0 0.6315
82.1935 40.4423 131750 15.5563 -24.6227 369.603 805.046 -13 376 1 0 0.6315
-68.8452 -73.2839 131750 -27.388 22.1786 332.961 805.648 -13 380 1 0 0.6315
23.9127 22.5341 131750 41.4566 1.07767 245.876 868.177 -13 381 1 0 0.6315
-54.7834 10.7005 131750 6.28616 3.71378 190.337 973.096 -13 384 1 0 0.6315
97.1752 12.3382 131750 -6.46158 -46.4873 226.959 901.891 -13 388 1 0 0.6315
-4.47745 -42.6189 131750 -34.5633 6.69961 338.054 816.801 -13 389 1 0 0.6315
41.7528 3.58197 131750 26.0293 -30.6643 274.602 861.544 -13 391 1 0 0.6315
48.2273 12.5375 131750 29.8608 -48.8977 2080.45 780.612 -13 392 1 0 0.6315
-73.0311 -49.8785 131750 -39.7249 8.03993 596.369 796.881 -13 393 1 0 0.6315
11.5159 161.009 131750 66.0203 11.8138 311.08 849.603 -13 399 1 0 0.6315
63.2165 42.9487 131750 -0.435917 -18.9915 222.711 892.725 -13 400 1 0 0.6315
16.6166 -55.9374 131750 -7.9097 17.0465 494.883 800.553 -13 401 1 0 0.6315
-66.3927 105.894 131750 33.2149 9.11338 261.005 907.646 -13 404 1 0 0.6315
27.0959 -4.97 131750 19.1697 -3.06567 253.397 870.981 -13 405 1 0 0.6315
-168.383 9.76767 131750 21.5297 60.7274 252.974 1003.81 -13 406 1 0 0.6315
-128.868 -21.0456 131750 20.2271 50.1907 507.603 801.025 -13 414 1 0 0.6315
57.5802 58.318 131750 25.356 8.78754 255.82 902.42 -13 415 1 0 0.6315
-13.7871 27.6121 131750 12.7647 -1.70967 213.8 936.346 -13 416 1 0 0.6315
31.0726 102.371 131750 40.9477 -40.5209 248.211 1015.68 -13 417 1 0 0.6315
